,text
0,The team’s new title sponsor will officially change on May 1.
1,Heart attack on a plate? Some experts aren’t so sure.
2,"Find some of your favorite products from Giro, Shimano, POC, and more for 30 percent or more off."
3,"A new material, called Wavecel, crumples, flexes, and slides in a crash to protect your brain.   "
4,New research provides further evidence that staying active could play a serious preventive role.
5,"Carbon, schmarbon: This race bike proves that aluminum still has something to offer."
6,Get ready to go hard in just a few weeks with this easy-to-follow plan.
7,"Conquer any weather with jackets from Gore Wear, Arc’Teryx, and The North Face that are up to 25 percent off."
8,Durango Devo is unleashing the power of play to create the next generation of cyclists—and national champions.
9,These stellar options can go anywhere and do almost anything
10,Forget your chronological age—this is a better indicator of how long you’ll live.
11,A mix of trail bike and enduro racing design elements makes for a highly adaptable ride.
12, Here’s what it said about the future of tech and your health. 
13,The pro gravel racer promises a scenic route with celebratory food and beer at the end.  
14,"And all the skills, smarts, bikes, and stuff you'll need to conquer them all."
15,Add some resistance to bodyweight exercises to crank up the results.
16,"Commuter, city, cargo, cruiser, road, and mountain—electric bikes for every type of rider. "
17,"The mountain bike world champion is no joke when it comes to strength training. Here, she shares 11 exercises you can add to your own routine. "
18,"Even  if that snack says “high in protein” on the front, it might not be as healthy as you think."
19,Quit freewheeling and engage in your commute with these simplistic fixed-gear bikes.
20,Get ready for these eight terrific showdowns.
21,"A heartfelt letter from friend and fellow pro cyclist Kirsti Lay reveals the Olympian's kind, quirky personality."
22,"These exceptional bikes, tested by our experts, can save you tons of cash."
23,There are some surprising benefits to a little bit of indulgence.
24,"Mark Catlin, M.D., analyzes the factors leading to the Olympic cyclist’s suicide, in hopes of preventing future tragedies."
25,Get amazing images to keep your riding buddies and followers inspired.
26,These do-anywhere moves require zero equipment but yield serious results.
27,How one rider’s experience with the MSR shaped his persepctive on racing.
28,It’s time to cut the cord and upgrade your wireless earbuds.
29,The indoor cycling platform doesn’t just want to get e-racing into the Olympics. It also wants to create a whole new sport.  
30,"It might stave off muscle loss during injury-related downtime, new research suggests."
31,"You'll love the ride, and the low price."
32,"From race-cut and casual options to women’s bibs and baggies, even a sub-$25 model."
33,"The Classic is a pure road model, and the Explore is designed for gravel adventures."
34,"Lance Rake’s creation has accessibility at its forefront—he built it in kit form, so customers can simply assemble and go."
35,"The burglar took a pair of cycling sunglasses, but left his state-issued ID. "
36,The anonymous creator of @gravel_tryhard explains why humor is one of the best tools for change.
37,"Boost your aerobic fitness while you build some seriously strength in your arms, shoulders, and core."
38,"The struggles are real, but the solutions are simple. "
39,Stefan Loos was killed in a car-bike crash after a group of riders mistakenly went off course.
40,Try these high-intensity interval routines when time is tight to get fit fast.
41,"Music publishers allege the indoor workout streaming platform used more than 1,000 songs without permission."
42,The team’s new title sponsor will officially change on May 1.
43,"This superlight and super fast, short-reach XC bike has razor-sharp handling and a unique ride."
44,Heart attack on a plate? Some experts aren’t so sure.
45,"Find some of your favorite products from Giro, Shimano, POC, and more for 30 percent or more off."
46,"It has 29-inch wheels, 160mm of VPP travel, a coil-shock option, and two flip chips to customize the ride. "
47,Brain injury experts share the facts on how to identify concussion symptoms and treatment. 
48,"A new material, called Wavecel, crumples, flexes, and slides in a crash to protect your brain.   "
49,New research provides further evidence that staying active could play a serious preventive role.
50,"Sorry, we couldn't find the page you wanted. Check out our latest stories."
51,"Hearst Digital Media is home to a powerful portfolio of brands, from iconic industry-leading fashion and lifestyle properties to some of the fastest-growing voices in food and commerce."
