,text
0, 
1, 
2, 
3,Never miss a story. Follow us on social.
4,Subscribe to our other newsletters here.
5,"CityLab is committed to telling the story of the world’s cities: how they work, the challenges they face, and the solutions they need."
6,Citylab.com © 2019 The Atlantic Monthly Group
7, 
8, 
9, 
10,Never miss a story. Follow us on social.
11,Subscribe to our other newsletters here.
12,"CityLab is committed to telling the story of the world’s cities: how they work, the challenges they face, and the solutions they need."
13,Citylab.com © 2019 The Atlantic Monthly Group
14,"Aarian Marshall is a contributing writer to CityLab. She lives in Brooklyn, New York."
15,"But the city’s bid for new, young riders might miss the mark."
16,"A large and incredibly precise study finds that drivers are texting, talking, and crying on the road. That isn’t good."
17,A recent study suggests there’s a best—and cheapest!—corner for passenger pickups.
18,Jewelry made from chandeliers lets you get your hands on a sparkly piece of the Plaza Hotel’s history.
19,"Researchers working with Volvo show off a prototype, and civilization shakes in its boots."
20,"Open Reblock can help improve access to much-needed public services, like clean water and medical care. "
21,And it might be coming to an autonomous vehicle near you.
22,"The city’s months-long garbage crisis hits a new, horrible low."
23,A new study comes closer to cracking the code.
24,The Ministry of Education is taking tidying up a lot more seriously than your roommates are.
25,A new paper finds much of “affordable” housing isn’t so affordable.
26,"Because stoners like to jog, too."
27,"Despite some high-profile incidents, highway-bound buses are still pretty safe to ride."
28,You wanna build on top of an old Jesuit retreat? You gotta live with streets named after greed.
29,Because angry is better than hangry.
30,What’s more disorienting than moving to New York City and having to pick a verb?
31,The city’s partnership with Bridj will show the world what happens when ride-hailing really meets public transit.
32,"They’re part of a larger German movement to reduce food waste, but inspectors recently found “unhygienic conditions.”"
33,Zalec is well-known for its hops. Now it wants to be known for dispensing them like water.
34,Minneapolis is thinking about nixing these consumer-friendly byways. More cities should follow suit.
35,Subscribe to our other newsletters here.
36,"CityLab is committed to telling the story of the world’s cities: how they work, the challenges they face, and the solutions they need."
37,Citylab.com © 2019 The Atlantic Monthly Group
38,Abby Ohlheiser is a former staff writer for The Wire.
39,"It's a proposal to help feed low-income kids when school's out, but only rural districts would be able to participate."
40,From 2007 to today.
41,"Dumb, dumb, dumb."
42,Anyone caught sneaking past the starting line or onto the path mid-race will be in trouble.
43,"Including conspiracy, bribery charges, wire fraud, and money laundering."
44,"Unlike certain, ahem, other mayors."
45,"Over 90 percent of Americans celebrate Christmas, but the ""How?"" and ""Why?"" of those celebrations aren't quite as clear-cut."
46,And he still faces a civil lawsuit.
47,The timing is pretty awful for Brazil's turn at hosting the 2014 World Cup games this summer.
48,The City Council stripped him of most of his responsibilities Monday.
49,A hostage was also reportedly taken on the Champs-Elysees.
50,He also prefers phone calls to Twitter.
51,The vote will make it easier for residents to sue the police department for profiling and bias.
52,Now will he resign?
53,The very things that made Bloomberg's tenure so transformative also helped to hurt the city.
54,Kevyn Orr asked Christie's auction house to come in and appraise the city-owned collection at the Detroit Institute of Arts.
