,text
0,"Mecum Auctions is scheduled to send three of the late Dale Earnhardt Sr.’s NASCAR race cars across the block on Saturday, each with six-figure auction estimates. But the team that ran the cars described, Richard Childress Racing, told Jalopnik Friday night that the listings are “not what they claim to be.”"
1,"Anker’s EufyCam home security system was a Kickstarter sensation, raising over $3,000,000. And now that the new version is available to all, you can get the 1-camera starter kit for $80 off with promo code EUFYULMS."
2,"It’s been over 10 years since the Aston Martin DBS engine note blew me away in the opening car chase to 2008's Quantum of Solace and I’ve never forgotten it, but the new Bond movie is reportedly going to be much different, with Bond driving the upcoming electric Aston Martin Rapide."
3,"After the reveal of the new Tesla Model Y last week, company CEO Elon Musk hinted that there had been an easter egg in the presentation that just about everybody missed. Turns out it was a teaser image of what’s supposed to be the upcoming Tesla pickup truck."
4,"TV Club The Walking Dead goes back in time for its darkest story in years | Jezebel In Case It Wasn’t Clear, Olivia Jade Was Not Super Into School | Splinter Donald Trump Is Out of His Mind, Again | Deadspin Lionel Messi’s Hat Trick Inspired Opposing Supporters To Give Him A Standing Ovation | The Root Connecticut…"
5,"A $100 robo vac, Nectar mattresses, and the EufyCam home security starter kit lead off Monday’s best deals."
6,"Don’t worry, folks, President Donald Trump is here to save General Motors’ Ohio plan, just like he saved, uh, Carrier. Oh god. This isn’t going to end well, is it. All that and more in The Morning Shift for Monday, March 18, 2019."
7,"Most non-car people are familiar with Fisker because of the striking-looking-if-flawed Fisker Karma, though the man has designed some other well-known and remarkable cars like the BMW Z8 and Aston Martin V8 Vantage.  Fisker announced a plan Monday morning to introduce a mass-market SUV priced around $40,000 and with a…"
8,"There have been  plenty of comments clowning on the 2019 BMW X7’s significant proportions, but frankly I think this vehicle is overdue. America’s lust for luxury vehicles the size of trucks has been insatiable for decades and the Mercedes GLS needed a rival anyway. Now it’s time to drive the Ultimatest Driving…"
9,"A bestselling, top-rated, and audience-favorite robotic vacuum is marked down to just $100 right now as a refurb, easily one of the best robotic vacuum deals we’ve seen. "
10,"My coworker Jason may have called the 2009 Kia Borrego a “Meh Car,” but I find the short-lived SUV quite interesting, with its body-on-frame construction, available 337 horsepower 4.6-liter V8 engine, three rows of seating, and styling that remains modern to this day."
11,"Traffic sucks, so why not start your morning off with some music? You provide the toast and we’ll provide the jams."
12,"Today’s Nice Price or Crack Pipe Chrysler 300 combines that model’s mobster aesthetic with a healthy dose of go-fast goodies for good measure. Let’s see if its mods outweigh its asking, or if that price has you saying fuggedaboutit."
13,"It was the Cadillac CTS sedan that brought Cadillac into its modern era, past the Broughams and Fleetwoods your grandparents drove and into BMW-fighting high performance. In V form especially it brought a ton of horsepower to the table with wonderful results, but at the end, sales were dreadfully slow—leaving Cadillac…"
14,"A sound system sale, Kindle biographies and memoirs, and a discounted Queen Helene scrub lead off Sunday’s best deals from around the web."
15,"There was a bit of rain at Sebring during the 12 hour race this weekend, but thankfully it wasn’t as bad as the wetness in 1965. Back then, Jim Hall and Hap Sharp won in a Chapparal 2A by a 4 lap margin. "
16,"There is a certain prestige added to your brand that comes with a vintage shuttle repurposed as company notice-me vehicle. Whether it be an old Unimog or a Volvo C303. Whether you have an upstart vintage jeanshort sales consortium, a holistic bath bomb atelier, a new upstart watches-for-dogs boutique, or you are an …"
17,"A few car friends and I have recently been discussing the concept of a “forever car” and whether it exists for every car-minded enthusiast. It’s something along the same lines as a soul mate. Do you believe in soul mates? You might believe in forever cars, too. And if you do believe in forever cars, do you have one? A…"
18,"A small section of Interstate 820, a loop around Ft. Worth, Texas, was closed down for this stunt, and to all of the people inconvenienced in the middle of the night I’m sorry, but it was worth it. I’ve dreamed of being able to drift a cloverleaf, and have been known to do a couple laps trying to perfect my apexes and…"
19,"Spring is nearly here, and if you have any home improvement projects on the horizon, today’s DEWALT Gold Box on Amazon may have a tool deal for you."
20,"It’s amazing that in the decades since Porsche built the giant flat-twelve engines in the Le Mans-winning 917 racers of the late 60s and early 70s, mankind has not been capable of making a more aurally pleasant engine. The prophecy was foretold that one true best-sounding engine would come, and it did. Porsche nailed…"
21,Advertisement
22,Advertisement
23,Advertisement
24,"IndyCar will race at Circuit of The Americas in Austin for the first time ever this weekend alongside some entertaining support series, but not before we get the chance to have a little fun ourselves. If you’re going to the track this weekend or happen to be in town, feel free to join us for a meetup on Saturday night."
25,"Porsche has decided to jump on a particular bandwagon of our time, and has introduced a new version of their popular Cayenne SUV that has a dramatically sloping rear roofline. Continuing a recent automotive tradition of ignoring what words actually mean, they’re calling it a Coupe, which it definitely isn’t. It is,…"
26,"As we all know by now, Volkswagen has developed an impressive new modular electric vehicle platform called MEB, and they’re going to be using that to underpin a really interesting variety of cars in the near future. According to Volkswagen CEO Herbert Diess, one of those interesting new electric cars will not be a…"
27,"While its grip might not be quite as secure as a perfectly-sized socket, this Tacklife universal socket can get a good-enough hold on almost any bolt, not to mention oddly-shaped things like hooks, without taking up a ton of space in your tool box. Get it for just $8 with promo code 2GYFTGXW."
28,"Talks of a possible partnership or even merger between Peugeot and Fiat Chrysler abound after a French newspaper interviewed PSA Peugeot-Citroën executive Robert Peugeot, who implied that Fiat Chrysler might make for a suitable partner for the French automaker."
29,"The next time some Tesla bro corners you in the locker room at the gym, dripping and wearing only a towel while he explains to you, finger jabbing into your sternum, that he’s saving the world and defeating the massive oil industry’s stranglehold on America, and you, you’re the problem, just stop him right there and…"
30,"In November, I received a PR email with “#Basic” in the subject and an opening line that began with, “We have some V lit news.” Having been hit so hard with “How do you do, fellow kids?” vibes that I’ve only now regained consciousness, my editors are forcing me to write about it."
31,"You don’t need to buy a new car, or even a new stereo to get Bluetooth streaming and hands-free calls in your older vehicle. You just need $9, an AUX jack, and an extra USB port. Use promo code ROAVNGB2 plus the $2 on-page coupon to save on this Anker Roav Bluetooth receiver, which includes a built-in mic."
32,Todd is tired of navigating the pot-hole minefield of Los Angeles and wrecking his wheels. He wants to get an affordable coupe that he can turn into a safari- style car with more suspension travel and off-road tire goodness. What car should he buy?
33,"Almost as suddenly as the electric rent-a-scooters appeared, everyone had an opinion about them. They began clogging sidewalks across the Bay Area in late 2017 ($1 to start!) as brands with four-letter names like Bird and Lime fought for dominance in the latest vampiric startup scheme. Folks were excited to share…"
34,"The Mazda Miata has been rear-wheel drive for its entire 30-year existence, as most people believe a proper sports car should be. But the new Mazda 3 will have all-wheel-drive for the first time. This got me wondering if an all-wheel-drive Miata isn’t the worst idea after all—and if Mazda could even pull it off."
35,"A discount on Philips Hue bulbs, Cuisinart cast iron, and a reader-favorite keyboard lead off Thursday’s best deals."
36,"The Bloodhound supersonic car project that’s been racing toward  a 1,000-mph land record for the past decade was saved from death last year, and for quite a while since, its website has shown the same message: “The new owner has been busy working ... out if its [sic] possible to save the ... project.”"
