,text
0,"Two years ago, Nola and Brent Peacock of Jackson, Wyo., weren’t sure their daughter, Annika, then 13, was ready to take on the Cache Creek Mountain Bike Race."
1,"“It’s really hard, it’s not a kid’s race. It’s not that long, but there’s a lot of elevation gain,” said Mrs. Peacock, whose husband decided he’d ride behind his daughter in case she needed extra motivation. She didn’t. “She had her own grit and eye of the tiger inside her, and I had not seen that before that race,” Mrs. Peacock said."
2,"Like many of today’s parents striving to raise strong daughters, the Peacocks had heard no shortage of advice on how to grow gritty girls: Take them to a march. Let them fail. Make bossy a virtue."
3,Now they are ready to add a new activity to the list: Ride a bike in the woods.
4,"A small but dedicated group of organizations are using bikes as tools for female empowerment, and some research backs them up. A 2015 study published in The Journal of Adventure Education and Outdoor Learning found that girls showed significant gains in measures of resilience after completing a five-day mountain bike camp called Dirt Divas. One month later the benefits persisted, “even after they went back to their home environments,” says Anja Whittington, the lead author on the study."
5,"Dr. Whittington notes that other adventure sports might have produced similar results. And to be sure, such sports can be good for boys. But ask any fat-tire rider and she’ll tell you, anecdotally, the sport is a perfect fit for building women’s confidence and drive."
6,"Bicycles have a storied historical role in empowering women. “Suffragists used to say, ‘Woman is riding to suffrage on a bicycle,’” said Dr. Danielle Swiontek, a professor of women’s history at Santa Barbara City College. “This was independent transportation that allowed women to go and do what they wanted.” The requirements of riding also pushed women to reject heavy hoop skirts and restrictive corsets, playing a critical role in women’s dress reform."
7,"Today, mountain biking can help to counterbalance two of the challenges of adolescent girlhood: increasing concerns about adhering to gender and beauty ideals, and decreasing feelings of confidence."
8,"“Girls, at large, experience so much hesitancy and a normative drop in confidence over the middle school and high school years,” said Andrea Bastiani Archibald, a developmental psychologist and the chief girl and family engagement officer for Girl Scouts of the USA. The organization has worked to counter the cratering of confidence that can occur during the teen years in part by sending girls out into the woods to do things like mountain biking. In the period where most girls are experiencing a confidence drop, “our girls actually experience a confidence boost,” says Dr. Bastiani Archibald."
9,"Lea Davison, a two-time Olympic mountain biker and co-founder of Little Bellas, a nationwide program that teaches girls ages 7 to 17 how to ride, has found that the earlier girls start, the better. “At 7, 8, 9, they don’t have any fear. It’s ideal because you’re learning these mountain bike skills when you don’t have any fear. So with them, we actually have to hold them back a little bit,” she said. But as girls get older, “there’s this really interesting transition that happens where they get more timid. I think they’re concerned of what other people think.”"
10,"Kristin Borda, who is the program lead for a Little Bellas chapter in New Jersey, witnessed how concerns about what their peers might think can melt on the bike trail on her group’s first outing. “There’s a super steep dirt hill on the trails we ride,” she explained, and many of the girls were wary. But then a couple of them asked if they could try it."
11,"The first girl didn’t make it to the top of the hill. That spurred another rider to try. “Before you know it, everyone is saying ‘I want to try next.’ I mean, they’re not making it up this hill. We spent 30 minutes, and they were not making it, but they would not give up. They wanted it so badly,” she said. And no one seemed to care how they looked when, stalling out mid-climb, they tumbled over sideways."
12,"Concerns about beauty standards can likewise lift the moment a mud puddle turns a girl riding a bike into a Jackson Pollock painting. “On cold, rainy days we have mud competitions, so it takes the girls’ minds off of ‘Oh, it’s 35 degrees and raining.’ It’s kind of the opposite of gender norms for girls,” said Ms. Davison."
13,"Dr. Whittington, who takes young women on canoe trips as part of her research, adds: “I love to watch them transition from caring what they look like to not caring. I love how it challenges their femininity and the social constructs they live in.” By day five, when the girls need to portage over land, they happily embrace the challenge. “When someone asks if they want help they’re like, nope, we’re all set, we’ve been carrying these for several days.”"
14,"Of course, there’s mud on soccer fields, and you can learn stick-to-itiveness from basketball drills or batting practice. But mountain biking doesn’t come laden with the politics and expectations of team sports. “No one sits on a bench,” said Ms. Davison, “and no one gets stuck playing just a single position.”"
15,"Even better: Parents are often left sitting in cars at the trailhead. “Parents are parents,” she says, and every now and then one gets aggressive about his or her child’s performance. But as soon as the kids ride off and into the woods, they’re free to recreate on their own terms."
16,"What they do, once they get into those woods, can be pretty empowering. “There’s a certain work ethic you have to have to be a mountain biker,” said Annika Peacock, who is now 15. “If there’s a section of the trail that’s really hard for me, I’ll go try it five more times. I say to myself, yes, yes, yes, I can do this.” And then the next day? “I go back and do it again.” She now competes against other teens as part of the National Interscholastic Cycling Association, an organization working to bring mountain biking programs to high schools throughout the United States."
17,"Annika’s mother says of her daughter, “She’s this petite little bundle of smiles, but she has this self-talk inside her that says ‘I can do this’, and she will ride and re-ride something until she gets it. There’s this resilience she’s trained in herself. She’s fierce.”"
18,"SANTA ANA, Calif. — Nearly two months after a federal jury decided that a notorious motorcycle club must forfeit the rights to its trademarked emblem, a judge on Thursday nullified the verdict, finding that seizure of the intellectual property was unconstitutional."
19,"In a 51-page ruling, Federal District Judge David O. Carter said the government’s strategy of trying to devastate the Mongols motorcycle club by confiscating its treasured Genghis Khan-style logo would violate the group’s First Amendment right to free speech and the excessive fines clause of the Eighth Amendment."
20,"The decision upended years of efforts by prosecutors to weaken the Mongols, which a federal jury in January deemed a criminal enterprise after finding the group guilty of racketeering and racketeering conspiracy for the crimes of murder, attempted murder and drug dealing. In the second phase of that wide-ranging, eight-week trial, the jury found that the Mongols must give up their rights to the emblem, which is emblazoned on the vests, T-shirts and motorcycles of hundreds of members."
21,But Judge Carter declined to order the Mongols to forfeit the logo until he had a chance to review their arguments and consider their free speech rights.
22,"“The Mongol Nation’s and its members’ right to express their identity through the noncommercial display of symbols constitutes speech subject to First Amendment protections,” Judge Carter wrote in the ruling released Thursday. He added that the First Amendment bars the government from using forfeiture laws in racketeering cases “to chill this expression.”"
23,"Judge Carter further wrote that since the jury determined that the Mongols logo was forfeitable only on the racketeering conspiracy count, but not racketeering itself, taking away the insignia was an inordinate punishment."
24,"What’s more, Judge Carter wrote, “There is no evidence that forfeiture of collective membership marks will lead to a less violent or capable organization.”"
25,[Read: How to Crush an Outlaw Biker Club: Seize Its … Logo?]
26,"The Mongols, who feared that losing the rights to their logo — a brawny Genghis Khan-like man sporting a queue and sunglasses and riding a chopper while brandishing a sword — would have severe consequences, hailed the ruling as not just a victory for the group, but for other biker clubs that law enforcement authorities have tried to take down."
27,"“The Mongols MC is ecstatic that they could successfully defend the First Amendment for themselves and all motorcycle clubs,” the club’s general counsel, Stephen Stubbs, said. “Today, Judge Carter stood strong against the United States government’s attempt to ban symbolic speech in an epic win for all Americans.”"
28,Judge Carter’s ruling was a severe setback for California prosecutors who spent more than a decade going after the Mongols patch.
29,"A spokesman for the United States attorney’s office for the Central District of California, Thom Mrozek, said in a statement that prosecutors were disappointed by the decision and that they believed Judge Carter was required by law to issue the forfeiture order that the government had requested. He said the office was considering an appeal."
30,"“While affirming the jury’s guilty verdicts on racketeering charges, the court’s ruling nullifies the jury’s finding that these marks are a core component of the Mongols’ decades-long pattern of murder, assault and drug trafficking,” Mr. Mrozek said."
31,"The roots of the government’s case date to 2005 when four undercover agents for the Bureau of Alcohol, Tobacco, Firearms and Explosives managed to become full members of the Mongols."
32,"The result was a jarring blow to the club. In October 2008, a grand jury returned an 86-count federal racketeering indictment against 79 Mongols, accused of crimes ranging from murder to drug trafficking to money laundering. Except for one defendant who died in custody and another who was deemed incompetent, all others eventually pleaded guilty."
33,"Donald Charles Davis, who writes the biker blog “The Aging Rebel,” said that he felt Judge Carter’s ruling was “inevitable.”"
34,"“The government’s ambition was blatantly unconstitutional,” Mr. Davis said. “The government sought to turn symbols like the Mongols insignia, the club’s name and sentiments associated with the club like ‘Support The Mongols,’ into contraband.”"
35,"Judge Carter’s ruling was drawn from a flood of legal opinions that were submitted by academics, law firms and think tanks. He upheld the Mongols’ convictions on racketeering and racketeering conspiracy, and tentatively granted the forfeiture of the various weapons and property that had been seized."
36,"Despite certain members of the club wearing the symbols “while committing violent crimes” or being “rewarded with other patches for the commission of crimes” that did not justify the forfeiture of the logo, Judge Carter wrote."
37,"David Santillan, the national president of the Mongols, pumped his fist into the air as the decision was read before a courtroom audience that included several Mongols members."
38,"“He upheld our constitutional rights, not only as the Mongols motorcycle club, but as citizens,” Mr. Santillan said. “A big weight has been lifted off the club’s shoulders.”"
39,"LOS ANGELES — A 19-year-old Los Angeles man suspected of slashing at least nine people with a sharp-edged object as he rode through the city on a bicycle has been booked on suspicion of attempted murder, police said on Thursday."
40,"Lenrey Briones was taken into custody shortly after 1 p.m. on Wednesday near a homeless camp where detectives believe he lived, said Officer Rosario Cervantes of the Los Angeles Police Department. "
41,"His arrest came after police released photo and video images of the suspect in the seemingly random attacks, which left parts of America's second-largest city on edge, and called on the public's help in apprehending him."
42,Local KABC-TV reported that officers were tipped off to Briones by his probation office. A bike resembling the one used by the slasher was found at the homeless camp. 
43,"The string of slashings began on March 20, according to the LAPD. They often took place in broad daylight and included victims ranging in age from 13 to 85."
44,The latest two attacks occurred on Monday when officers responding to a radio call at around 8:40 p.m. found a man suffering from a severe wound to the left side of his face. 
45,"About 15 minutes later, a young woman was attacked nearby."
46,"""He just came in back of me and hit me,"" Stefany Coboz told local KNBC-TV, displaying a stitched and bandaged wound in her neck. ""I just started looking at him, he looked back, I grabbed myself full of blood."""
47,Coboz said her assailant did not speak to her but laughed as he rode away.
48, (Reporting by Dan Whitcomb; Editing by Bill Tarrant and Peter Cooney)
49,"Welcome to the Smarter Living newsletter. We email readers once a week with tips and advice for living a better, more fulfilling life. Sign up here to get it in your inbox every Monday morning."
50,"Biking to work in the winter can seem like a daunting, insurmountable activity. The snow! The ice! The freezing temperatures!"
51,"But listen here, friends. I’m here to tell you about the simple ways to address the elements and enjoy cold-season commuting."
52,"For my first winter of riding to work, I used a hand-me-down mountain bike with two studded tires, for better grip on the snow and ice. I dressed in layers — recycling the same clothes I use for cross-country skiing and frosty running — put on a pair of old mitts, and I was on my merry way."
53,"I’ve refined my low-key approach slightly, but am still convinced you don’t need to own a lot of fancy equipment to be comfortable when winter biking. While it might be nippy outside, just a few key pieces will make a significant difference."
54,"In collaboration with Wirecutter, a New York Times company that reviews and recommends products, here are five cheap(ish) things that will keep you commuting on your bike all season."
55,"(And if you’re new to commuting by bike, here are all the basics you’ll need.)"
56,"I live in Calgary, a Canadian city that is wintry for multiple months per year. The secret to survival? Long johns, which are crucial to making outdoor pursuits comfortable. Though base layers are on the higher end of cheap(ish), keep in mind they’re extremely versatile; I wear the same long johns for multiple activities."
57,"The Arc’teryx Rho LT Bottom is Wirecutter’s favorite long john for women, while the Smartwool Merino 150 Base Layer Pattern Long Sleeve is their favorite top. For men, Wirecutter recommends the Icebreaker Men’s BodyfitZone Zone Leggings along with the Smartwool Men’s Merino 150 Base Layer Long Sleeve."
58,"For years I associated Buffs with the reality show “Survivor,” where contestants on tropical islands wear the closed tubes of fabrics as wristbands, headbands, scarves and even tube tops. Turns out Buffs are also multipurpose must-haves for cyclists, especially ideal for keeping your neck and face warm in frigid weather. I adore the adaptability: If it’s chilly, I start my ride with a Buff covering my ears and nose then tug it down to my chin once I get toasty."
59,"Wirecutter recommends an “Original Reflective for lightly cold or breezy rides; a ThermoNet for rainy or almost-winter conditions; and for freezing or below, the Polar for slower rides, the Tech Fleece for faster, windier rides, and the Heavyweight Merino” for truly frigid temperatures."
60,"One of my biggest concerns when I started bike commuting year-round was that my hands would freeze, so I relied on the thickest pair of mitts I owned. But they were bulky, making shifting and braking precarious. I’ve since switched to a layered approach: a light glove liner, an insulating pair of mitts, topped with a waterproof shell. The problem now is that I have six separate pieces of clothing to keep track of (and that’s just for my hands)."
61,"Avoid my mistake and pick up Wirecutter’s recommendation, the Pearl Izumi P.R.O. Am-FIB Lobster Glove, a hybrid mitt and glove with a split-finger design."
62,"Every snow season commuter has a different preference for footwear. Some people opt to stick with cycling shoes and add shoe covers for more warmth, others shell out for winter specific cycling shoes, while some people (like me) prefer hiking boots or winter boots. No matter your choice, you’ll want to start with good socks, and I’ve found that hiking socks keep my feet warmer than cycling socks."
63,"The Darn Tough Light Hiker Micro Crew Light Cushion sock for men and women is Wirecutter’s top pick for best hiking sock, thanks to its mix of comfort, durability and cushioning."
64,"This is a no-brainer: It’s cold out, so you want something to keep your morning beverage hot."
65,Wirecutter’s favorite travel mug to keep that coffee warm — even on a winter bike ride — is the Zojirushi SM-SA48 Stainless Steel Mug.
66,"Why You Should Dig Up Your Family’s History — and How to Do It. Learning your history is forced reckoning, asking you to consider whose stories you carry with you and which ones you want to carry forward."
67,"6 Steps to Turn Regret Into Self-Improvement. Stop beating yourself up, and turn your emotions into action. "
68,"Spend Money Where You Spend the Most Time. It’s tempting to pamper yourself with a windfall of cash, but try this instead — look at how you spend your day. Then put your money toward the things you spend the most time doing. You’ll be happier."
69,"How to Reject an Online Suitor. No ghosting, no treacle. Be direct. Consider a little booster in the form of a smiley emoji."
70,"How to Tidy Up After You’ve Kondo-ed Everything. If the Tidying Up with Marie Kondo Netflix show inspired you to throw out the things that don’t “spark joy,” here’s what to do with what’s left."
