,text
0,"This summer, 100 city bus shelters will be transformed into platforms for an exhibition of work by a New York-based photographer, Elle Pérez."
1,"Pérez’s “from sun to sun,” which opens on Aug. 13, is the first exhibition in a collaboration between the nonprofit Public Art Fund and the advertising firm JCDecaux, which controls the ad space for about 3,400 bus shelters in New York City. The Public Art Fund will use this unconventional canvas to present two solo photography exhibitions annually; each exhibition will run for 14 weeks on 100 bus shelters."
2,"Mx. Pérez, 29, has been photographing New York, and especially the Bronx, for years. Past work by Mx. Pérez, who uses the gender-neutral pronouns “they” and “them,” has explored the punk community in the Bronx, underground night life culture, gender identity and Latinx communities. (Latinx is a gender neutral alternative to Latino or Latina.) For “from sun to sun,” Mx. Pérez will shoot new work all over the city — mostly focused on portraiture, but also on revisiting locations that have personal significance."
3,"“I grew up all over the city,” Mx. Pérez said, recalling long rides on the No. 6 train from Lower Manhattan to the Bronx, “certain spots in Harlem” and the Puerto Rican neighborhood in Bushwick where they now live. “I’ve been hanging out in bus stops for research,” they said."
4,"Katerina Stathopoulou, assistant curator at the Public Art Fund, said the broad reach of the exhibition was part of the goal. “We really want to reach all five boroughs,” she said."
5,"Ms. Stathopoulou said there are visual advantages to bus shelters-as-exhibition-spaces. “The work will be at street level, and at eye level,” she said. “When you look at something in a bus shelter, it’s often at life scale. Especially because in the first iterations of the series we’re primarily focusing on portraiture, to be able to look at a full-sized portrait eye-to-eye will be a really powerful experience.”"
6,"Mx. Pérez is also excited about the bus stop as a platform. “What’s really exciting to me about this project is the potential for having something on the street available and accessible to the people I grew up with and grew up around,” they said, noting that people might have extra time at bus stops. “When someone is sitting on a bench on the way to work, knowing the bus is coming, they may have to wait a long time,” Mx. Pérez said. “That may be time that they don’t actually spend with one image in museums and galleries, but while they’re waiting for the bus, they can.”"
7,STOCKHOLM — A bus exploded on Sunday morning in the heart of Stockholm after ramming into a barrier near the entrance of a tunnel in the Swedish capital.
8,"No passengers were on the bus, the Swedish newspaper Aftonbladet reported, but the driver was taken to a hospital."
9,Emergency services received calls about the crash at Klara Tunnel in central Stockholm about 11:25 a.m. local time.
10,"A witness, Björn Wallentin, told Aftonbladet: “I heard a big explosion and then several smaller ones. It sounded like the scaffolding of a building falling down. I thought it was a terror attack.”"
11,"The cause of the accident was not immediately clear, but there were no indications of any link to terrorism. The Stockholm police told the newspaper that the bus ran on natural gas."
12,"After the crash, a plume of black smoke could be seen rising from the wreckage of the bus, which was consumed in flames that stretched above nearby buildings."
13,Another witness told Aftonbladet that a notice on the bus indicated that it had not been in service at the time.
14,"A third witness, Linus Axelsson, told Aftonbladet: “I had just parked my car and then heard this enormous explosion and the bus was in flames. It was scary.”"
15,"The driver was headed toward the northern part of the city, where his bus route was to start, Patrik Aberg, a spokesman for Keolis, the driver’s employer, told Aftonbladet."
16,The bus plowed into a barrier indicating the maximum height for vehicles traveling into the tunnel.
17,"“The bus drove into a beam hanging down from the tunnel entrance, and then the gas tank on the roof exploded,” Asa Skold, an operator with the emergency services, told the newspaper."
18,"Mr. Aberg said the bus had taken the wrong road. “You can’t drive that way because the buses are too tall,” he said."
19,"The fire had been extinguished by 12:04 p.m., according to a reporter for Aftonbladet, who was at the site of the crash."
20,"BEIJING — A long-distance coach bus taking tourists to Mao Zedong’s hometown in southern China erupted in flames, killing more than two dozen people onboard, according to official statements and news reports on Saturday."
21,"The diesel-powered bus was going from Henan Province in central China to Hunan Province in the south, and the fire broke out near Changde, a city in Hunan, on Friday night, officials said in an account released through state-run news media. The flames swiftly consumed the bus, and at least 26 of the 56 people aboard died, apparently trapped by the flames."
22,"Twenty-eight other people were injured and treated at three hospitals, including five who were said to be in serious condition."
23,"Other details of the accident were unclear, and investigators were trying to determine the fire’s cause. One Chinese news website, Shangyou News, cited a survivor who said that the bus had been taking tourists to Shaoshan, the small city where Mao Zedong was born, and that the fire broke out at the back of the bus, quickly overcoming passengers who did not have time to jump out."
24,"Two drivers survived and were detained while the police and safety officials investigated, the Changde government said."
25,"The accident was another jarring reminder of China’s shaky safety record, coming soon after a blast at a chemical plant in eastern China on Thursday that killed at least 64 people."
26,"Deaths on Chinese roads have risen with the rapid expansion of expressways and car ownership. The government has responded with tighter enforcement of speed limits, bans on drunken driving and stricter vehicle inspections."
27,"Even so, nearly 64,000 people died in transportation accidents in China in 2017, mostly on roads, according to government statistics. The real toll could be much higher: Past studies by safety experts have found that Chinese police statistics seriously underestimated road deaths, and the World Health Organization said in 2016 that about 260,000 people died on Chinese roads every year."
28,"Last year, there were five road accidents in China in which 10 or more people died, a decline from 2017, the Ministry of Public Security said in January."
29,"ROME — An Italian school bus driver took 51 seventh-graders hostage in northern Italy on Wednesday, pouring gasoline on the bus floor and later setting it afire."
30,"After someone on the bus made an emergency call, Italian carabinieri, or military police, reached the bus and safely rescued all the children, as well as two teachers and a janitor aboard, as it burst into flames."
31,"The driver, Osseynou Sy, an Italian of Senegalese origin, said that “he wanted to vindicate the dead of the Mediterranean,” according to Warrant Officer Marco Palmieri, a spokesman for Milan’s provincial branch of the carabinieri, Italy’s military police."
32,"Mr. Sy, he said, was referring to the large number of migrants who lose their lives each year during the perilous crossing of the Mediterranean from North Africa to Europe. The International Organization for Migration estimates that 282 people have drowned that way this year."
33,"A promise to curb migration from North Africa was a key factor in the election of Italy’s populist national government a year ago. Since then, the country — once a principal hub for migrants crossing the Mediterranean — has closed its ports to nongovernmental rescue vessels, to force other European countries to bear the burden of migrant landings."
34,"The Italian interior ministry announced on Sunday that migrant arrivals were down 94 percent this year, compared to 2018."
