,text
0,[What you need to know to start the day: Get New York Today in your inbox.]
1,"Given the Metropolitan Transportation Authority’s difficulty running a functional subway system, it might be unrealistic to expect subway stations to have decent bathrooms. It’s not the Metropolitan Restroom Authority."
2,"But subway bathrooms have long occupied an inner ring of the city’s underworld, each grim, battered door a portal to a multisensory nightmare."
3,"Or so we had heard. In 25 combined years in the city, these two reporters had never summoned the courage to enter one."
4,"Recently, though, your correspondents took a whirlwind tour (as others have done) to see if subway restrooms lived up to the horrific hype. Mostly, they did."
5,"The most scandalous thing about New York’s subway bathrooms may be not how gross they are, but how few. By the M.T.A.’s official count, there are operative restrooms — at least one per gender — in 51 of the 472 stations. In a system with an average 5.6 million riders each weekday, that’s about one bathroom for every 53,000 riders. "
6,"The M.T.A. is working on this. The agency fixed up 12 bathrooms last year. It plans to refurbish an additional 25 this year. “Our customers and employees can all use more open, clean bathrooms,” said Shams Tarek, an M.T.A. spokesman."
7,"To be fair, the bathrooms at the handful of new multibillion-dollar stations on Second Avenue and the West Side are practically pristine. But here’s what you may encounter in the rest of the system."
8,"Touch of class: A guard sits in a booth and buzzes you in to one of four single-occupancy restrooms, where you have a five-minute time limit."
9,"The stainless-steel sink and toilet gave off a penitentiary vibe, but were reasonably clean. It was the only station on our tour that supplied all the basics of personal hygiene (though none of the stations had tampons or pads)."
10,"Maximum-security steampunk: In the men’s room, toilet paper rolls hung from the wall by a heavy chain and padlock. A sticker on the stall door advertised the services of Rikersgoods.com, which delivers packages to inmates of the city jail."
11,A prospective user walked in but exited immediately.
12,"“It’s not looking pleasant to me right now,” said the man, a 30-year-old welder who gave his name only as Michael. The missing soap dispenser was the deal breaker. “That should be illegal,” he said."
13,"The women’s room floor featured two piles of toilet paper. One was dry, the other was a blob atop a yellowing spread of wet newspaper."
14,"There was no coat hook on the stall door, leaving a reporter to choose between putting her handbag on the floor or clenching the strap in her teeth. A fellow customer left without flushing, glancing at the sink on her way out."
15,"Beside the empty paper-towel dispenser, a hand dryer emitted a feeble puff."
16,The urine smell in the women’s room was more subtle than in the men’s. It was still staggering.
17,"The cracked concrete floor of the men’s room looked like it had not been mopped in years. But on the plus side, on the frigid day of our visit, the room was toasty hot."
18,"So hot that someone had wedged takeout Chinese food between the scalding radiator and the wall, possibly to keep it warm — a full container of shrimp-fried rice and brown-breaded nuggets."
19,"“That’s no good,” said the station supervisor, S. Hope, when we brought it to his attention. “That will melt and catch fire.” He threw it out. "
20,"In the women’s room, fire safety has apparently been learned the hard way. “No storage within three (3) feet,” read a sign on the floor beside a radiator covered in burn marks. The radiator was working fine, though. The environment was reminiscent of the tropical monkey habitat at the Central Park Zoo."
21,(Mr. Hope said the bathrooms are cleaned three times a day.)
22,"The main door to the women’s room has a peephole to let you see who’s in the hall. But it does not lock. “People hert people,” reads graffiti on the door."
23,"The women’s room offered another unexpected sight: a man, standing at the toilet. He apologized on his way out, but offered no explanation. Nor did he flush."
24,"Evidently a good place to kick back and relax: A 25-ounce can of malt liquor rested on the toilet in the men’s room, and generously proportioned hermaphroditic portraits graced two walls of the stall."
25,"But the only toilet paper in the room was stuck around the rim of the toilet, perhaps by someone who did not want to sit on the spattered seat. "
26,The women’s room was wreathed in cigarette smoke. There was no toilet paper at all.
27,The luxury liner of dilapidated subway restrooms. The soap dispenser in the women’s room was half full. Toilet paper flowed freely. The trash can was being used for trash.
28,"In the men’s room, where a pleasantly crenulated green-and-white tile motif adorns the walls, traffic was brisk and the hand dryer roared like a happy lion. The door latch was too bent to slide, but bent so that it kept the door from swinging open. Good work, M.T.A."
29,[What you need to know to start the day: Get New York Today in your inbox.]
30,"Subway officials in New York City held a news conference recently to celebrate the system’s progress. The on-time rate for trains hit 76 percent, they boasted, signaling a “renaissance” for the floundering system."
31,But that figure masks a surprising disparity.
32,"While the numbered lines have seen a notable boost in reliability, many of the lettered lines are still delivering poor service. The F train has a miserable on-time rate of about 50 percent — the lowest in the system."
33,"“It seems like there’s always something, from a sick passenger to signal problems,” said Paul Galloway, an F train rider who lives in Brooklyn and works at the Museum of Modern Art. “It just seems like a cursed line to me.”"
34,"It is clear that the subway is improving after hitting rock bottom in the summer of 2017, when a train derailed in Harlem and the on-time rate dipped below 65 percent — the worst of any major transit system in the world. The subway’s leader, Andy Byford, has won accolades for making the system more reliable."
35,But the diverging fates of the lines represented by letters and numbers can feel like A Tale of Two Subways — a system where some riders see signs of hope while others continue to endure constant pain.
36,"Subway leaders say there are several reasons for the gulf: schedule changes on the numbered lines that boosted the on-time rate; a computer system on the numbered lines that allows workers to more efficiently dispatch trains; the opening of the Second Avenue subway, which eased crowding on several numbered lines; and signal upgrades that improved service on another numbered line."
37,The trend has left some riders wondering how to game the system to get where they are going on time.
38,"“The numbered lines have more stops, but they arrive more regularly and are less prone to problems,” said Benjamin Kabak, who writes the Second Ave. Sagas subway blog and lives near several lines in Brooklyn. “Do you roll the dice and take the ideally faster way, or do you take the way you know is going to work?”"
39,"Monthly rate, on weekdays"
40,90%
41,Numbered lines and
42,42nd Street shuttle
43,80
44,70
45,Lettered
46,lines
47,and other
48,shuttles
49,60
50,50
51,40
52,Jan. 
53,2017
54,Jan.
55,2018
56,Jan.
57,2019
58,Source: Metropolitan Transportation Authority
59,By The New York Times
60,[Read more on why your subway train might start moving faster.]
61,"The seven numbered subway lines are on time about 79 percent of the time, compared to about 68 percent for the fifteen lettered lines. Trains are considered on time if they reach the final stop within five minutes of the schedule."
62,"One reason the lettered lines are lagging is that they have older equipment. Some lettered lines are slated to  get modern signals, which should improve reliability. But Mr. Byford’s plan to modernize the entire subway will cost billions of dollars, and it is not clear whether state leaders will approve new funding streams for the transit system this year."
63,"Still, every line has improved as part of a broader effort to make trains run faster, said Sally Librera, the head of the subways department. Workers are increasing speed limits on parts of the system and replacing faulty signals that slowed trains."
64,"Transit officials point to other statistics that show subway service is improving, including fewer major incidents that delay 50 or more trains."
65,"“We recognize that we have more to do,” Ms. Librera said. “But we’re encouraged by the progress that we’re seeing.”"
66,"The subway now has its best on-time rate in four years — a figure that Gov. Andrew M. Cuomo is highlighting as he presses state lawmakers to approve congestion pricing, a proposal to toll drivers entering the busiest part of Manhattan to raise money for the transit system. Mr. Cuomo, who controls the subway, is also pushing for reforms at the transit agency, though the State Senate issued a separate reform proposal."
67,"Critics have raised concerns over the schedule changes in late 2017 that made it easier to ensure that certain numbered trains are on time. On the No. 6 line, five trains were eliminated at Grand Central Station in Manhattan during the morning rush from 7 to 9 a.m., according to documents obtained by The New York Times."
68,"There were 68 trains scheduled on the 6 line during the morning rush in June 2017. The number fell to 63 last year. The on-time rate for the 6 train jumped to 72 percent in January, up from 52 percent in September 2017."
69,"“I’m inherently skeptical when they say we changed the schedule, and now everything is running on time,” Mr. Kabak said. “You’re running the risk of padding the schedule.”"
70,[Read more on how NYC tackled subway crime and how it may be coming back.]
71,Subway officials denied padding the schedule and said the changes were needed to accurately reflect how long it took to route trains through the system.
72,"“Adjusting schedules to accurately reflect actual system conditions allows for less train congestion and faster, more reliable service,” said Maxwell Young, a spokesman for the Metropolitan Transportation Authority, which runs the system. “This, along with other significant factors such as the $800 million Subway Action Plan and deliberately improved operating procedures, have led to the recent subway performance gains.”"
73,"Though fewer trains are scheduled, the same number of trains are running on the 6 line during the morning rush — an average of about 61 trains, Mr. Young said. Officials also cut service on the No. 1 and 5 lines, which each lost two scheduled trains in Midtown Manhattan during the morning rush."
74,"While fewer trains could help raise the on-time performance, they also can lead to more crowded trains and less capacity on the system. Each train can carry roughly 1,000 passengers."
75,"Most riders never learned about the schedule changes. The authority’s board did not approve them because they only vote on “major” service changes, said Shams Tarek, a spokesman for the authority. The schedule changes on the numbered lines were considered “minor” and the board was merely notified."
76,"An investigation by The New York Times in 2017 revealed that the transit agency was running fewer trains. The Lexington Avenue line, which carries the 4, 5 and 6 trains, regularly failed to meet its schedule, effectively canceling dozens of trains and reducing the system’s capacity by tens of thousands of riders. At Grand Central Station, just 77 of 90 scheduled trains regularly ran through the stop from 8 a.m. to 9 a.m."
77,"For years, the lettered trains actually had better on-time rates than the numbered trains, but that shifted in January 2018, shortly after the schedule changes took effect. Ms. Librera cited two other factors behind the resurgence: The Second Avenue line opened on the Upper East Side of Manhattan in January 2017, drawing riders who had previously used the overburdened 4, 5 and 6 lines, which bolstered the on-time rate for those lines. New signals on the No. 7 line also improved service."
78,"Most experts agree that the system is bouncing back. Andrew Albert, a board member who represents riders, said he noticed trains running faster along the Lexington Avenue line in Manhattan where they used to move at a snail’s pace."
79,"“Absolutely, it’s getting better,” he said. “I’m thwarted less often, and I notice the running times are much faster.”"
80,[What you need to know to start the day: Get New York Today in your inbox.]
81,The police officers who patrol New York City’s transit system are constantly scanning subway stations looking for a familiar set of faces: repeat sexual offenders who have arrest records.
