,text
0,"WASHINGTON — A Maryland man inspired by a 2016 terrorist attack in Nice, France, has been detained for allegedly plotting to drive a stolen truck into pedestrians at a busy shopping and entertainment complex alongside the Potomac River in hopes of creating “panic and chaos,” the U.S. Justice Department said on Monday."
1,"The U.S. Attorney's Office for the District of Maryland said it charged 28-year-old Rondell Henry of Germantown, Maryland, with interstate commerce transportation of a stolen vehicle. It said the government has since petitioned a federal court to detain Henry pending trial after learning more about his motives."
2,"“I was just going to keep driving and driving and driving. I wasn’t going to stop,"" the government quotes Henry as saying in its motion seeking detention pending trial."
3,"A detention hearing is scheduled for Tuesday in U.S. District Court in Greenbelt, Maryland, before U.S. Magistrate Judge Thomas M. DiGirolamo."
4,"Henry's public defender, Michael Citaramanis, declined to comment."
5,"In its criminal complaint, the government said that on March 26, the Alexandria Police Department in Virginia received a report about a leased U-Haul truck that was stolen from a nearby mall."
6,"The driver who rented the truck initially reported seeing a man in a blue BMW follow the U-Haul off Interstate 395 and park in a space near the U-Haul at the mall. When police arrived at the mall, they found the BMW still parked there and discovered it was registered to Henry."
7,"A day later, the stolen U-Haul was found in National Harbor, a bustling development along the Potomac in Maryland across from Alexandria, Virginia, that features bars and restaurants, shops, a Ferris wheel, a luxury hotel and residential apartments."
8,Video surveillance showed Henry parking and getting out of the truck. He was arrested the next day.
9,Prosecutors say that Henry has harbored “hatred” for those who do not practice the Muslim faith and was allegedly inspired by videos he watched of foreign terrorists.
10,"Specifically, they said he was inspired by the 2016 terrorist attack in Nice, France, in which a man drove a truck at high speed into crowds, killing 86 people, and for which Islamic State claimed responsibility."
11,"Henry ""walked off his job in Germantown, Maryland, in the middle of the day, determined to walk down the extremist path,"" the government alleged in court papers."
12,"""Recognizing that his older four-door sedan would not cause the catastrophic damage that he desired, the defendant drove around the Washington, D.C., metropolitan area looking for a larger vehicle to steal."""
13,"According to a posting http://www.mymcpnews.com/2019/03/27/concern-for-missing-germantown-man-19 on the Montgomery County Police Department, Henry was reported missing and was last seen by his co-workers on March 26."
14,"The Justice Department said that before setting his sights on National Harbor, Henry wanted to try driving the truck into pedestrians at Dulles International Airport in Virginia."
15,"He arrived at the airport around 5 a.m. on March 27, but the airport ""lacked the large number of unloading pedestrians the defendant hoped to find,"" the court filing says. He also tried to find a way through security at the airport, but struck out multiple times."
16,"Henry then made his way to National Harbor, arriving around 10 a.m. that same day. He later told police he wanted to create “panic and chaos,” just like ""what happened in France,” prosecutors said."
17,"Henry still did not find a large crowd, however, so he decided to wait. He broke into a boat and hid there overnight, the government said."
18,"The next day, police had tracked down the stolen truck and were there waiting. After Henry jumped over a security fence, the government said, he was arrested."
19, (Reporting by Sarah N. Lynch; Editing by Marguerita Choy and Leslie Adler)
20,"The number of pedestrians killed in traffic in the United States is approaching a three-decade high, contributing to what has been an “alarming rise” in such deaths in recent years, according to a new study."
21,"An estimated 6,227 pedestrians were killed in traffic in 2018, according to the study from the Governors Highway Safety Association, a projection based on data from the first half of the year. That figure represents a striking rise from a decade earlier, when 4,109 pedestrians were killed in traffic."
22,"“I’ve been in this business for 36 years and I’ve never seen a pattern like this,” said Richard Retting, who wrote the report and has worked in a variety of traffic engineering and safety roles for the New York City Department of Transportation, the Insurance Institute for Highway Safety and other federal and local transportation agencies."
23,"The report cited alcohol use, speeding, unsafe infrastructure and the prevalence of SUVs as some of the biggest problems contributing to the fatalities. It also suggested that the increased use of smartphones may contribute to such deaths."
24,"“We can’t say in any definitive way that the amount of wireless data and the amount of smartphone use is an exact cause, but the relationship is uncanny and it’s not unrelated,” said Mr. Retting. “The fact is that many, many smartphones are used while people are driving cars.”"
25,"With smartphone use on the rise, both drivers and pedestrians are at risk of being increasingly distracted. According to the report, the number of smartphones in active use increased more than fivefold between 2009 and 2017 and was matched by an even larger increase in annual wireless data traffic."
26,"Some of the increase can be attributed to population growth, but that was not the largest factor, according to Jonathan Adkins, executive director of the Governors Highway Safety Association. “That doesn’t mean that it’s acceptable,” he added."
27,"“We are driving more and driving deadlier cars,” said Emiko Atherton, director of the National Complete Streets Coalition."
28,"Also of concern: City dwellers who cannot afford to drive are being pushed into suburbs that are not designed to be walkable, Ms. Atherton said."
29,"“When you combine high-speed, high-volume roads with sprawl, it’s a perfect recipe for death,” she added."
30,"In recent years, cities across the country have worked to tackle the problem, adopting “Vision Zero” plans, modeled on a successful Swedish initiative of the same name, with the goal of eliminating traffic fatalities outright. But while many cities have made progress toward that goal, pedestrian deaths have proved difficult to eradicate."
31,"In New York, for example, overall traffic deaths fell to their lowest levels in more than a century last year, though pedestrian deaths increased, mirroring the longer-term trend nationwide. The last time the number of pedestrian deaths in the country was higher was 1990, when 6,482 people were killed."
32,"Nationally, overall traffic deaths fell 6 percent from 2008 to 2017, but pedestrian deaths rose 35 percent over that same period."
33,"“Vehicles are becoming safer, but as pedestrians we don’t have that same armor protecting us,” Mr. Adkins said."
34,"Many of those deaths are occurring at night. From 2008 to 2017, the number of nighttime pedestrian fatalities increased by 45 percent while daytime pedestrian fatalities increased by 11 percent."
35,"A 2016 analysis in New York found that the end of daylight saving time contributed to the problem: Earlier sunsets and darkness in the fall and winter were linked to more pedestrian traffic fatalities. In response, the city has since instated an awareness campaign to remind drivers of the increased risk during winter."
36,"In its effort to reduce pedestrian deaths, the city has focused on what the data show, redesigning particularly dangerous streets, reducing speed limits and even giving pedestrians a head start over vehicles when crossing streets, according to Polly Trottenberg, New York’s transportation commissioner."
37,"“It’s geography, it’s seasonality and time of day, it’s speed management, it’s driver behavior,” she said."
38,"Five states accounted for nearly half of the projected deaths: Arizona, California, Florida, Georgia and Texas."
39,"Florida is the deadliest state for pedestrians, according to a January report from the National Complete Streets Coalition, a program within the nonprofit advocacy group Smart Growth America. But it has made considerable strides toward reducing pedestrian deaths, Mr. Retting said."
40,"For example, he said, the state has invested $100 million to improve lighting in about 2,500 locations throughout the state to make it easier to see pedestrians using or crossing roads at night."
41,"“That’s the kind of action that’s called for,” Mr. Retting said."
42,"The state also recently overhauled its roadway design manual with a renewed focus on “putting the right road in the right place,” said DeWayne Carver, who manages the state’s Complete Streets program. Florida has also put a pedestrian and bicycle safety plan in place."
43,"Such infrastructure improvements are keys to improving safety, he said, but technological improvements can help, too."
44,"Last year, for example, the nonprofit Insurance Institute for Highway Safety found that Subaru’s collision-avoidance system, EyeSight, led to a 35 percent reduction in pedestrian-related insurance claims."
45,"“One of the things we can do as consumers and as a nation is to get this kind of technology in every car,” Mr. Retting said."
46,"The National Complete Streets Coalition report ranked states and metropolitan areas using a calculation called the Pedestrian Danger Index, which controls for the number of people who live in the state as well as the number of people who walk to work."
47,"Florida cities accounted for eight of the 10 most dangerous metropolitan areas for walking, and the state itself ranked first in the nation with 5,433 pedestrian deaths between 2008 and 2017."
48,"The problem of pedestrian fatalities is nearly as old as the car itself. In early 1886, Karl Benz, of Germany, applied for a patent on what is often credited as the first gas-powered automobile. A decade later, Bridget Driscoll became its first pedestrian victim, according to Guinness World Records."
49,"Federal prosecutors said Monday they had filed a criminal charge against a 28-year-old man who they say planned to run down pedestrians on the National Harbor waterfront, a popular tourist site along the Potomac River near Washington."
50,"The man, Rondell Henry of Germantown, Md., was inspired by the terrorist group ISIS when he stole a U-Haul van from a parking garage in Alexandria, Va., on March 26, according to the United States attorney’s office in Maryland. He has been charged with interstate transportation of a stolen vehicle."
51,"Prosecutors say Mr. Henry, a computer engineer, drove the van early on March 27 to Dulles International Airport, where he got out and tried, unsuccessfully, for more than two hours to find a way through security. Mr. Henry then got back in the U-Haul and drove to the National Harbor in Maryland, arriving around 10 a.m., they said."
52,"According to prosecutors, Mr. Henry walked around looking for an ideal spot to mimic a 2016 Bastille Day attack in Nice, France, in which a truck barreled through a crowd of spectators, killing more than 80 people."
53,"Because the crowds at the National Harbor waterfront on March 27, a Wednesday, were thin, he delayed his plans, prosecutors said. He broke into a boat and hid there overnight, according to court documents."
54,"The next morning, police officers discovered the stolen U-Haul and arrested Mr. Henry after he leapt over a security fence from the boat dock, according to prosecutors. The authorities first identified Mr. Henry through registration records left in his BMW, which was parked in Alexandria, near where the U-Haul was stolen, they said."
55,"Mr. Henry did not have an escape plan, as he did not plan to survive the attack, prosecutors said."
56,"“I was just going to keep driving and driving and driving,” he is quoted as saying in a motion for detention filed on Monday by federal prosecutors. “I wasn’t going to stop.”"
57,"A detention hearing is scheduled for Tuesday at 12:45 p.m. in Federal District Court in Greenbelt, Md."
58,"Thomas Mooney, a lawyer who is representing Mr. Henry on state burglary and malicious destruction of property charges related to the National Harbor episode, said he would plead not guilty. A public defender representing Mr. Henry on the federal charge did not immediately return a call for comment on Monday afternoon."
59,"Mr. Henry was reported missing after he left work around noon on March 26, and his family was concerned about his “physical and emotional welfare,” according to a public notice issued by the Montgomery County Police Department."
60,"A spokeswoman for Hughes Network Systems, a broadband satellite company in Germantown, said Mr. Henry had previously been employed there as an independent contractor. The company declined to provide details about his position."
61,"Seamus Hughes, the deputy director of George Washington University’s program on Extremism, said there is a long history of using vehicles as weapons of terror. In 2010, Al Qaeda promoted the use of cars to run over people in its online magazine, in an article titled “The Ultimate Mowing Machine.”"
62,"It was not until the rise of the Islamic State in 2014, however, that vehicular attacks became a common occurrence in Western countries. The most devastating was the 2016 attack on Bastille Day. It was followed by an attack on a Berlin Christmas market in 2016 as well as numerous smaller ISIS-inspired attacks in Europe and in North America."
63,"An ISIS motto has become, “It doesn’t matter what you do, as long as you do something,” Mr. Hughes said. And vehicles, of course, are easier to obtain than other weapons."
64,[What you need to know to start the day: Get New York Today in your inbox.]
65,"The number of traffic deaths in New York City dropped in 2018 to the lowest level in more than a century, a sign of progress for Mayor Bill de Blasio’s plan to eliminate fatalities on the city’s streets."
66,"The news, however, was not all promising: Although overall deaths declined, the number of pedestrians killed in traffic increased last year, city officials said on Tuesday."
67,"Mr. de Blasio has implemented a number of safety improvements in his aim to eliminate all traffic deaths by 2024, a program he named Vision Zero after a Swedish plan."
68,"The total number of people killed in traffic crashes in New York City fell to 200 last year, down from 222 deaths in 2017 and the lowest level since the city began tracking such deaths in 1910, according to preliminary data from the city."
69,"The reduction is part of a five-year decline from 299 deaths in 2013, the year before Vision Zero began and the speed limit on most streets was lowered to 25 miles per hour."
70,"“Vision Zero is clearly working,” Mr. de Blasio said in an interview, calling the drop since 2013 stunning."
71,"But pedestrian deaths, which account for the largest share of traffic fatalities, increased last year to 114, from 107 in 2017 — a troubling sign that the city’s streets remain dangerous for many New Yorkers."
72,"Mr. de Blasio, a Democrat who began his second term a year ago, called the rise in pedestrian deaths disappointing. He said the city would do more to redesign streets to make them safer and to enforce laws requiring vehicles to yield to pedestrians."
73,"“Drivers haven’t taken their responsibility to yield very seriously,” Mr. de Blasio said. “There has been a lot of enforcement, and there will be more.”"
74,"The number of bicyclist deaths dropped last year to 10, from 24 in 2017, according to the city. The number of people who died in vehicles also fell to 37, from 58 in 2017. But the number of motorcyclist deaths increased to 39, from 33 in 2017."
75,"Nationally, more than 37,000 people died in traffic crashes in 2017, according to federal transportation data that is not available yet for 2018. The number of traffic fatalities in the United States fell by about 2 percent in 2017, but that followed increases in deaths in 2016 and 2015."
76,"In New York, safety advocates have pressed Mr. de Blasio to move faster to improve streets. Marco Conner, deputy director of Transportation Alternatives, an advocacy group, said there were still too many deaths and injuries."
77,"“It’s an achievement, and it should be celebrated,” Mr. Conner said of the drop last year. “But I think the big question is: Why aren’t we doing more against the enormity of the epidemic? We’re only really taking baby steps.”"
78,"The people who lost their lives represent a cross section of New Yorkers: A 5-year-old girl, Abigail Blumenstein, and a 1-year-old boy, Joshua Lew, were killed by a driver in Brooklyn while crossing the street with their mothers; an 89-year-old woman, Beatrice Kahn, was hit by a car in the Bronx; and a 9-year-old boy, Giovanni Ampuero, was struck by a driver who fled the scene in Queens."
79,"In August, a 23-year-old Australian woman died after she was hit by a garbage truck while riding a bicycle near Central Park. She was cut off by a livery cab that entered a bike lane. Her death led to calls for better bike infrastructure, such as protected lanes with a physical barrier."
80,"The city’s transportation commissioner, Polly Trottenberg, said that her agency completed 138 street improvement projects last year and added more than 20 miles of protected bike lanes. She called the 2018 figures “encouraging results unparalleled among American cities.”"
81,"New York City was once plagued by a huge number of traffic fatalities, which reached a peak of 1,360 deaths in 1929, even though there were far fewer cars than there are today. As recently as 1990, there were 701 traffic deaths, making the current lower figures even more notable."
82,"The city’s Vision Zero program faced a major hurdle last summer when state lawmakers failed to reauthorize speed cameras posted at 140 school zones — a policy the city said reduced speeding during school hours by as much as 63 percent. Gov. Andrew M. Cuomo and the City Council speaker, Corey Johnson, intervened to keep the cameras on."
83,"Mr. Johnson recently won the “Vision Zero Hero of the Year” award from Streetsblog, a website that reports on street safety, besting Mr. de Blasio for the top honor. The website praised Mr. Johnson for his support of speed cameras and congestion pricing, a proposal to collect tolls from cars entering Manhattan that Mr. de Blasio has resisted."
84,"Mr. Conner, of Transportation Alternatives, said Mr. Johnson had become a strong advocate for prioritizing street safety above cars — a leadership role that Mr. de Blasio had failed to achieve."
85,"“The mayor is still tied up in somewhat of a windshield perspective,” Mr. Conner said in reference to Mr. de Blasio’s reliance on cars to travel across the city."
86,"Mr. de Blasio dismissed the criticism that Mr. Johnson had taken the lead on Vision Zero, calling the safety program one of the “central missions” of his administration."
87,"“There’s plenty of credit to be shared,” Mr. de Blasio said."
88,[What you need to know to start the day: Get New York Today in your inbox.]
