,text
0,The deadly crash of a Boeing 737 Max 8 operated by Ethiopian Airlines has led to a virtual worldwide grounding of the plane and raised urgent questions about why a brand-new aircraft would go down minutes after takeoff.
1,"President Trump said on Wednesday that the United States, one of the last holdouts in barring flights of the popular jet, would now do so “until further notice.” American and Canadian regulators said new satellite data showed similarities between the Ethiopian crash and another deadly one months earlier by a Max 8 operated by Lion Air in Indonesia, raising further questions about the safety of the aircraft."
2,"The investigation into the Ethiopian crash, which killed 157 people from 35 countries, is fast-moving, and far-reaching. There are still more questions than answers, but some possible explanations are emerging."
3,Here’s a guide to our coverage.
4,"• The captain of the Ethiopian plane reported “flight control problems” to air traffic controllers minutes before the plane crashed near Addis Ababa, the airline said."
5,"• Such problems generally suggest difficulties with the handling of the aircraft or the computerized flight control system, rather than other issues like a fire on board."
6,"• After the Lion Air crash, part of the flight control software known as MCAS came under scrutiny. Investigators will try to determine whether the Ethiopian Airlines flight experienced software problems. The Ethiopian airline has a tradition of high-quality training of its pilots."
7,[A reconstruction of the Lion Air crash from the perspective of the pilots.]
8,"• The flight data and voice recorders have been recovered and will be sent abroad for study. If they are in good condition, the data could be read quickly. If not, the process could take weeks."
9,"• All of the 371 Max 8 planes in service worldwide now appear to be grounded. The United States grounding will affect Southwest and American, heavy users of the planes and the only United States carriers that have them."
10,"• Boeing’s chief executive, Dennis A. Muilenburg, called President Trump on Tuesday to express his confidence in the safety of the Max 8, and the Federal Aviation Administration had said until Mr. Trump’s announcement on Wednesday afternoon that the planes could keep flying while it conducted its review."
11,"• Norwegian Air, which has one of the largest Max 8 fleets outside the United States, said it would seek compensation from Boeing after European regulators grounded the aircraft."
12,"• Boeing shares fell 6 percent on Tuesday, after dropping 5 percent on Monday. They closed up slightly on Wednesday."
13,"• If the Ethiopian crash is linked to the MCAS system, the consequences for Boeing could be severe. It has already begun a costly redesign of the flight control software, an effort on which critics say Boeing has dragged its feet. It faces lawsuits from victims’ families and has suffered an incalculable blow to its reputation."
14,"CARACAS, Venezuela — A visit to Venezuela by two military airplanes from Russia, which landed in broad daylight at the international airport in Caracas, has set off alarms that the Kremlin might be acting more brazenly to protect President Nicolás Maduro from the uprising against him."
15,"Russian and Venezuelan officials have not disputed the arrival of the airplanes, which were first seen at the airport on Saturday. Such flights ordinarily would be sent to a protected military air base beyond the sight of the public."
16,[Why is Russia helping Venezuela?]
17,"The planes brought supplies and technical advisers to Caracas, Venezuela’s capital, according to a Russian state news agency and a Russian diplomat. The visit was related to military cooperation contracts signed years ago between Russia and Venezuela, said the news agency, Ria Novosti, suggesting it was routine."
18,"A Russian diplomat in Caracas, who spoke on condition of anonymity because the diplomat was not authorized to speak to the media, confirmed the Ria Novosti account and said there was nothing unusual."
19,"But opposition members said the visibility of the military planes was unusual and had been meant to send a message. The timing showed that both Russian and Venezuelan officials wanted to convert a routine technical stop into a show of strength, said Rocio San Miguel, a Venezuelan security analyst."
20,"“They want to make it as visible as possible,” said Ms. San Miguel. “This is a sort of bluff in a strategically important moment for Maduro.”"
21,Russia has emerged as Mr. Maduro’s main backer since opposition leader Juan Guaidó proclaimed himself interim president in late January with support of the United States and about 50 other states.
22,"Russia has maintenance contracts for weapons sold to Venezuela under late President Hugo Chávez, including air defense systems, fighter jets and tanks, that are worth billions of dollars."
23,"Flight tracking websites showed an Ilyushin IL-62 jet and an Antonov AN-124 cargo plane flew from Moscow’s military airport to Caracas’s international airport via Syria. The cargo plane flew back to Syria on Monday, according to flight tracking website bosphorusobserver.com."
24,"The arrival of the advisers came as Venezuela activated Russian-made S300 air defense systems last week, according to satellite imagery analysis firm ImageSat Intl. Russia has also recently deployed the S300 in Syria."
25,"Members of Venezuela’s opposition have accused Mr. Maduro of escalating the country’s deepening political crisis. They have pointed to widespread irregularities during the last election, consider Mr. Maduro’s government illegitimate and have asked him to step down and to allow them to call new elections."
26,"President Trump has repeatedly said that all options are on the table to remove Mr. Maduro, not ruling out military intervention."
27,State Secretary Michael Pompeo told his Russian counterpart in a phone call Monday that the United States will “not stand idly by as Russia exacerbates tensions in Venezuela.”
28,"Last week, Venezuelan secret police detained Mr. Guaidó’s chief of staff on terrorism charges, a move that the Trump administration said would be punished."
29,One of Russia’s richest women died on Sunday when a private plane on which she was traveling crashed near an airport in Germany.
30,"Natalia Fileva, 55, a co-owner of a conglomerate behind the Russian company S7 Airlines, was among three people killed when the six-seater plane crashed into an asparagus field south of Frankfurt, the German news agency D.P.A. reported."
31,"The plane took off from Cannes, France, and crashed on Sunday afternoon while approaching the Frankfurt-Egelsbach Airport, which is south of the German city’s main international airport. The pilot was among the three victims, and the Russian news media reported that the other passenger was Ms. Fileva’s father."
32,"In a statement, the S7 Group described the accident as “an irreparable loss.” The company said the circumstances of the crash were so far unknown, and that Russian experts would assist an international investigation."
33,"Two people were also killed nearby when a vehicle they were traveling in collided head-on with a police car that had been racing to the site of the plane crash, D.P.A. reported. Three officers in the police car were injured."
34,"S7 Airlines, also known as Siberia Airlines, has a fleet of 96 aircraft and flies to destinations in Europe and Asia, according to its website."
35,News reports on Monday cited an earlier article by Forbes Magazine that estimated Ms. Fileva’s net worth at $600 million.
36,"• The Federal Aviation Administration grounded all Boeing 737 Max 8 and Max 9 models. President Trump announced the decision hours after Canada had grounded them, pointing to new satellite data suggesting similarities between the Ethiopian Airlines crash on Sunday and a crash in Indonesia in October. The F.A.A. had been the holdout regulator in allowing the jetliners to keep flying."
37,• New disclosures point to what appears to have been a struggle by pilots of Ethiopian Airlines Flight 302 to control their new Max 8 aircraft minutes after takeoff.
38,"• Adding to pressure on Boeing, a major customer asked the company to compensate it financially for having to ground the aircraft."
39,• The company’s stock price fell on Mr. Trump’s announcement but rebounded to finish up slightly on Wall Street after two consecutive daily declines. Boeing shares are still down nearly 11 percent from last Friday.
40,• At least two pilots who flew United States routes on the Max 8 filed incident reports with the federal government that raised safety concerns and criticized a lack of training on the new plane.
41,[Read more about the latest developments in the wake of the Ethiopian Airlines crash.]
42,"President Trump said the United States would ground the 737 Max, reversing a decision by American regulators to keep the jets flying after a second deadly crash involving one of them, Ethiopian Airlines Flight 302, on Sunday."
43,"For days, the Federal Aviation Administration had resisted calls to ground the plane, even as safety regulators in more than 40 countries banned flights by the aircraft."
44,"The planes flew in similar erratic patterns, suggesting to experts that an automated system might have malfunctioned on both flights."
45,"Mr. Trump spoke hours after Transport Minister Marc Garneau of Canada grounded all Max 8 and Max 9 planes registered in the country. He also banned any entry into Canada’s airspace by the aircraft, a move that would have affected operations of carriers based in the United States that operated the planes."
46,The Max models of the 737 are among the best-selling commercial jetliners manufactured by Boeing.
47,Mr. Garneau said at a news conference that the step had been taken after a review of newly available satellite tracking data — presumably available to aviation regulators elsewhere — that suggested similarities in the Ethiopian Airlines crash and the crash last October of a Lion Air Max 8 in Indonesia.
48,"The F.A.A. said in a statement that the decision to temporarily ground the planes was based on “new evidence collected at the site and analyzed today,” but did not go into detail. “This evidence,” it said, “together with newly refined satellite data available to F.A.A. this morning, led to this decision.”"
49,"The reversal by the agency came a day after Boeing’s chief executive, Dennis A. Muilenburg, spoke with Mr. Trump by phone to make the case that the plane was safe."
50,"In a statement Wednesday after Mr. Trump’s announcement, Mr. Muilenburg said, “Boeing continues to have full confidence in the safety of the 737 Max.” But, he said, “We are supporting this proactive step out of an abundance of caution.”"
51,"Shortly after takeoff from Addis Ababa’s Bole International Airport, the captain of the Ethiopian Airlines jetliner reported “flight-control problems” to air traffic control. That suggests the cockpit crew was having trouble with the mechanical instruments used to handle the aircraft, the computerized systems that fly it, or both."
52,"The pilot’s alert was reported Wednesday by a spokesman for the airline, Asrat Begashaw; the airline’s chief executive, Tewolde GebreMariam, made similar remarks to CNN the day before."
53,"Mr. Begashaw said the control tower had granted the crew’s request to return to the airport, and three minutes later it crashed, killing all aboard."
