,tweetID,text
0,1116490022306418689,All this and ready accessibility via light rail and BRT.  https://t.co/j72zr0ltbP
1,1116489716965236736,@COHyperloop @jillgaebler @RideBustang It would be interesting to know the cost differential and the cost benefit.  BRT is taking off because of the cost differential to light rail/street car.
2,1116485959246213120,"We spent a good amount of time this fall talking about federalism and federal grants. Here's an example of transportation grants coming our way.  

https://t.co/icZiNKiixQ"
3,1116485491879239680,Germany: Woman in light rail sexually harassed by dark skinned man https://t.co/UyB9PQqogz
4,1116485343006593024,"Trackless trams do not require rails, so they are much cheaper to implement, says Newman. $3 million for. Three-car set and box station that comes with it. Light rail is Sydney is $175M ""and still not done."""
5,1116483674822692864,Federal Way Transit Center is due for @SoundTransit Light Rail in 5 years (that's what they say). https://t.co/tyU1xg5Ute https://t.co/1cunqk6iPL
6,1116483430831874049,"@knecessary I have a friend who’s moving this fall from St. Paul MN to Columbus, and currently relies on @MetroTransitMN light rail and bus to get around, and no car. With all due respect to @COTABus, it’s gonna be a change..."
7,1116483172513009664,Newman says people in number of cars on left will fit into 3 or 4 buses or one light rail. https://t.co/XI4cpVELMr
8,1116480549512712193,"Spring has sprung in Colorado, and so has this brand new listing! Live on the market is a 3-bed, 3-bath tri-level home in Aurora right near the Jewel Wetlands and plenty of shopping, restaurants and light rail!
.
Come on out to visit and snag some cookies this Saturday at my… https://t.co/zgZSB7F8le"
9,1116479807456464896,"Drivers, cyclists and pedestrians all need to be aware of light rail. This video shows a lot of near misses. https://t.co/cHknvdrBBP"
10,1116479368082022400,Oh hell yes. Let's get that Light Rail line up Aurora Avenue for ST4. Get it done @D5Juarez !!! https://t.co/qaw6y3zeRc
11,1116477285270478849,"Grand River Transit to test replacement shuttle service for LRT
https://t.co/dqazOj5HFC"
12,1116477245927895041,If you need to give your heart a start today take a look at this Light Rail near miss collection. Yikes! -Marc https://t.co/n4nmK4RLHJ
13,1116476932617424896,Near misses galore on the Canberra Light Rail - which hasn't even opened yet. https://t.co/L9vAHjM325
14,1116475776474288128,"Yikes! The near misses we have seen so far are a reminder that road safety is everyone’s responsibility.

Don't become a statistic. Stay safe around light rail. #Canberra #lightrail https://t.co/0imYnQnnfT"
15,1116472276575236096,"The @FTA_DOT moved Sound Transit’s Federal Way Link Extension forward in its rigorous funding process, granting the project approval to advance to the engineering phase — a necessary step toward securing a critical grant. @SoundTransit @kentreporter https://t.co/CWJHBxtDeT"
16,1116472069137416194,"Transport Canberra has released a compilation of near-misses on the light rail route. It's not for the faint-hearted.

https://t.co/jU4NE056Ih

#TimShawBreakfastShow #TalkingCanberra"
17,1116469725901533185,Now there are many people walking between Hovet and Globen Light Rail Trainstation
18,1116469365749080067,"I’m hearing that King County Executive Dow Constantine will nominate @D5Juarez, whose city council district includes 2 future light rail stations, to replace Ex- @CMRobJohnson on the @SoundTransit board. Watch this space for official confirmation."
19,1116468515651891203,RailRiders Men’s VersaTac Ultra-Light Pants in Black https://t.co/w2mCbG9wYf
20,1116468084339105792,"@BronyCon Do you plan on including directions (driving, using the light rail, etc.) on your website? I remember you did when I planned my attendance in 2017, and even though I didn't need them, it was a reassuring sight."
21,1116467650987581440,"Disappointing.

https://t.co/KPbDtNPmbQ"
22,1116467212859183104,Now there are many people walking between Annexet and Globen Light Rail Trainstation
23,1116467211005247488,Now there are many people walking between Globen and Globen Light Rail Trainstation
24,1116466966066130944,@pdxalerts Was this a light rail pursuit from Clackamas County all the way to the Hollywood Transit Center?
25,1116465987883114496,@tholmz Bonus points for @thelbach if he openly reads it on the light rail!
26,1116465963447328773,Princeton Tec Switch Rail WML Light https://t.co/skJlXfXG4S
27,1116465497388634112,"Light at the end of the #Westconnex tunnels? More air pollution, private tollways not rail extension costs too high. https://t.co/Xz3kmEeGwo"
28,1116464715037913089,"Leaving the light rail (@ International District / Chinatown Station - Bay A in Seattle, WA) https://t.co/wxFjotXkdf https://t.co/7q64DaD9ap"
29,1116464553041301505,"@JimWatsonOttawa gives a thumbs up to provincial budget, citing money for light rail and guns and gang unit. No mention in mayor's statement on province cutting number of public health units from 35 to 10."
30,1116464477669474305,@ZOmer636 I walk about 3 miles round trip to and from work everyday with another 1 mile light rail ride each way too!
31,1116463994317836288,No thanks weird man on light rail i will not take your second hand doritos please realize my headphones are specifically in so you leave me the hell alone not try harder to get my attention.
32,1116462254822776832,"Road closure alert: The 148th St. overpass at SR 520 and NE 24th St. will be closed from 11 p.m. to 5 a.m. on Friday, April 12 for construction related to Light Rail. https://t.co/XyrGVpxt7F https://t.co/gBj6RWpNwB"
33,1116461558903734274,"Road closure alert: The 148th St. overpass at SR 520 and NE 24th St. will be closed from 11 p.m. to 5 a.m. on Friday, April 12 for construction related to Light Rail. https://t.co/NVEXXKN9jH https://t.co/1pV5HYbr5O"
34,1116461266527236097,"Road closure alert: The 148th St. overpass at SR 520 and NE 24th St. will be closed from 11 p.m. to 5 a.m. on Friday, April 12 for construction related to Light Rail. https://t.co/eqw4lkph5T https://t.co/ZsNi4Ycke7"
35,1116460355369172992,"@BenSpurr My first thought was that this switch-a-roo was bait to point out supposed ""hypocrisy"": if people complain about light rail for the core, say how they were calling for that tech for Scarborough. Pretend capacity/density difference doesn't matter. Fuel downtown vs suburb divide."
36,1116459389664268295,"Boarding the light rail (@ SODO LINK Station - @soundtransit in Seattle, WA) https://t.co/x1NHZ8IY1a https://t.co/uOFvkDk4RA"
37,1116458796790894592,"@reviewjournal @RTCSNV I would like to know in the past what smart transportation decisions has Las Vegas made? You need to think for the  future. It will cost more money yes, but in the long run the light rail system could be expanded through the entire city of Las Vegas."
38,1116458583229550592,@ebsharpe @nswa @OptimismBrewing @ComSciConPNW The light-rail station is easy WALK to @OptimismBrewing 🚈🚈🍻 We can talk black holes or #WomenInSTEM or both!
39,1116458434319327232,Amazon may minimize traffic by making public transit free for employees (as they do in Seattle): https://t.co/4CrctadKBk  #nationallanding #crystalcity #hq2 #metro #commute #arlington https://t.co/DwfXxFXtZE
