,tweetID,text
0,1116491081598873600,"Old heads with androids really the biggest freaks bro, this man next to me on the train just got a nude from some woman and he started going in with his reply like sir we’re in public lmfaooooooo 🤨"
1,1116491039047426048,can’t believe the train broke down and i’m stuck in this cart with an annoying as family
2,1116491037386641408,"Jesus MF Christ if I ever get on a redline train that DOES NOT smell like piss I will play every lotto that day

#Chicago"
3,1116491032135438337,"I just busted my lip on my headphones. Everyone is scared of me boarding the train now cause I look like a badass fighter. Little do they know, all I am is an asshole."
4,1116491024346468352,oliver to elio at the train station https://t.co/stObzhgRwm
5,1116491023486717952,M.T.A./Long Island Railroad:  Port Jefferson Branch irregular train service. delays at Mineola #traffic https://t.co/cLJ9IKsg5n
6,1116491022287007744,@albinokid @startrekcbs @SpaceChannel @StarTrekNetflix I’ll be watching as always on iPad on the long train ride in Tokyo. But wish I could spore jump to the office and back so I could watch at home! Black Alert!
7,1116491007715987456,@officialLRT1 train 1230B's AC unit is off. Are you f*cking serious?
8,1116491005996433411,@CarmintheB Been there! Once caught a Brown Line at Clark and Lake that turned out to be a Green Line train!
9,1116490989596704768,Almost passed out on the train and my friend offered me pasta and I binged and now I just feel sick
10,1116490979694055425,"Individual Training ('Oriented Reception', '1st Touch', etc.) - Olympique Lyon🇫🇷 18/19 - Bruno Génésio🇫🇷

✅⚽ Follow @PedMenCoach and the 'Football Coaches Lyceum'📚🧠(link:https://t.co/QREtQeCLbv)

⚽'Train with the ball to play Football'⚽ https://t.co/bxrnE60vg5"
11,1116490963826954240,"@RTfarmers @NFUtweets @NFUFoodChain @TheAHDB Instead of wasting thousands on advertising...train your staff and abattoir workers in respecting animal needs. This is not a slur against farmers, just to point out a need for cctv in all areas of animal husbandry and dispatch."
12,1116490955530493953,@tysmo I think joe the mechanics only works below certain speed.  So you can still cause sudden stop inside train station but haven’t seen this in a long while.
13,1116490951877439494,Anchor legs of the freight train relay at the @CPgophertrack and Frontier track meet! @GopherAD https://t.co/nDFJBsRun1
14,1116490944121933825,@jasonBY100 thank you very much for the follow us really appreciate it I can’t see your bio so I have no idea what it says and if you want to show it to me you can because I run the trains and I can’t put you on the train without knowing what your bio says thank you
15,1116490931111374850,My phone finna die on the train. Now I gotta hear this niggas niggafy the atmosphere.
16,1116490919002271744,"@stacanova It’s amazing to think that Musgrave who has NEVER been successful ANYWHERE gets credit for 2016. W/out DC (as shown when hurt), Musgrave has been a train wreck. For those thinking Bill is a good OC, go ask a Viking fan if he has a clue."
17,1116490902170738694,"The ACs replace the DCs 2to1  because of the way they start a train. The ACs work better at slower speeds and stall situations while the DCs are great for speed, but have brushes to replace."
18,1116490870239498240,The pedestrian versus train crash occurred Wednesday evening. #montana https://t.co/uVFQSrHp12
19,1116490836525629446,"@TeamTrump @DonaldJTrumpJr Voting for Donald J Trump to remain as our president...
TRUMP 2020...PEOPLE CAN EITHER BOARD THE TRUMP TRAIN OR STAY OFF THE TRACKS"
20,1116490832511684615,This is what you call a VIP train? looks like a general compartment https://t.co/j7sQqIoyCg
21,1116490822395019265,"Gonna tell ya something. If you knew me before I even started to train I was annoyingly fearful. Like even jumping from a low wall could terrify me.

Seeing what I can do now when I'm training just blows my mind. I'm doing things I never thought I would."
22,1116490810768396289,Maybe she’ll go and train with Steve. Or the other interns.
23,1116490796159553536,"@MarcyBones64 I would have love that Fox haven't give any crap and Macbeth train driver said:

""This guy ain't taking me seriously"""
24,1116490794150649856,Great train! https://t.co/q3YwyHF3W2
25,1116490777243398144,"A final and unsuccessful attempt was made to stage the train show at an elementary school in the Jane-Finch area in 2005. There is presently no full-size annual show entirely devoted to model trains in Toronto itself, though there are several around the GTA. 3/3"
26,1116490775183941634,"In 1986 the model train show moved to @ICpresents by the airport. By then the show was Canada's largest, attracting almost 9,000 visitors. When it moved again to the Congress Centre in the 1990's, attendance was already declining; the last show at that venue was in 2004. 2/3 https://t.co/EqRDDZAnU3"
27,1116490773195837440,you gotta train your mind to be stronger than your emotions or else you’ll lose yourself everytime
28,1116490772663230470,"Apr 11, 1976: the Canadian Railroad Historical Association's Toronto and York Division holds its first annual model train show at @HarbourfrontTO. The show used various buildings in the complex until 1981 when it moved to the Queen Elizabeth Exhibit Hall at @ExPlaceTO. 1/3 https://t.co/pfsdZg23ix"
29,1116490766933643264,"“We’re sorry for the inconvenience” @SFBART does it again - stopping a Richmond train at North Berkely, forcing everyone off and sending that train back to SF. During Rush hour. Thanks for everything.

#BART #Shame https://t.co/zoyfgexOuU"
30,1116490763892924418,@rejectai Seems cheaper than train to Manchester
