,tweetID,text
0,1116491112540266497,This tutorial will walk users through building a Random Forest model in Azure Machine Learning and R. Let's start learning! #LearnDataScience #azure https://t.co/lf7fdMD5Kp
1,1116491111848136704,@clariJo42 True 😭 I really am just gonna walk in and do it like I’m ordering fries.
2,1116491108849262592,"Cdt’s Martin &amp; Thomas would like to say a HUGE thank you to everyone who came out this past Sunday to support our fun run/dog walk! $2,080 was raised and we are thrilled to be able to present that to two great charities in our community! @BrandonBearClan @fundsfurfriends https://t.co/s8z36xXysr"
3,1116491106617892864,@mariquernutella But they've got planes and trains and cars I'd walk to you if I had no other way
4,1116491106609442816,"@DrJillStein Your Russian overlords must be so proud of you, Jill!

Anybody who thinks treason is a walk in the park should take note of your rapid deterioration. I'm sure it's very tough on you!"
5,1116491106479374342,Biked 20 miles today on the trails in white clay and now I can’t even walk 😅
6,1116491098539679744,"@solomonster @SeanRossSapp She needs to go.  Seriously.  AEW would build their women's division around her in a second and be better for it.  Sasha's been way too talented to be jerked around like this.  The line in the sand has to be drawn at some point and sometimes, ya gotta walk away."
7,1116491098048720897,Yo help me my gz..I ain't been to the barbershop in like a month and a half.I walk in today and all the barbers is gone and itd someone in here with a Beijing beard cutting hair with mad old heads around.what do I do
8,1116491093720403968,"@LeiaPeison85 @IndivisibleNet @realDonaldTrump It's Howard Stern. DUH? Was he to defend himself? Walk out of the interview? @HowardStern has probably falsely called legitimately 100s of people sex predators. It's what he does. It's a shtick. As YOU said, a ""joke"". Stupid, yes. A source? Not even a little. https://t.co/7z3ZS8p15a"
9,1116491091824398338,New Listing: Campus Rental Home – Showing Saturday (10th/E – Walk to Campus) $3050 5bd https://t.co/e4zKBn8mne
10,1116491072903847936,.@United has maintenance flight delays that cause me to hit Chicago after midnight and miss connection. Customer service won't commit to a hotel for me. (UA 698) I shelled out $340 for the only one I can walk to and get maybe 6 hours of sleep.
11,1116491067606667264,"@VeoliaUK @kirstenhearn @haringeycouncil @CllrEjiofor Dumped #rubbish on Ferndale Rd N15 on 11th April 2019. Over to @VeoliaUK to clear away, &amp; for @kirstenhearn (@haringeycouncil''s #ejioflytippingfailure lead) to note. Some ward councillors do walk the Tottenham #streets. But does @CllrEjiofor even know the place? #SodOffSugar https://t.co/iUy69mXnj1"
12,1116491066704896000,"I turn 23 in a week....so like, how does this “no one likes you when you’re 23” thing work?? Are people just going to stop talking to me? Walk away when I walk towards them? Wear a sign that says “cya when you’re 24”??"
13,1116491062233763840,if they even leave nygmobs open for us to interpret ill kiss the ground they walk on its really come to that and i HATE it
14,1116491061478809600,@YPNDise Oooo shit. Yikes. What I walk into https://t.co/Lvyv6BCah8
15,1116491033402060801,"@bfosterls7 Fat Bottomed Girls

Play That Funky Music Whiteboy

Walk This Way by Run DMC and the Aerosmith

All 4 Love by Color Me Badd"
16,1116491031544045568,Thanks @FannieLouHS and @SanesYancy for organizing an amazing #AutismAwareness walk and raising money for @autismspeaks !! We are proud to be a part of the day and reinforcing what happens when students take the lead. #futureFannieLouHSers https://t.co/S1FmVX0cHE
17,1116491017832861696,"Let’s count those leafs...1,2,3,4!!! Chris found a four leaf clover on our walk today 🤩🍀"
18,1116491004289396737,Lead the Way 5K Run/Walk - Learn more&gt;&gt; https://t.co/uLOpdKT0Lt https://t.co/zOo84do1Oy
19,1116491003240701954,"@sheeeor 2/3 and 3/3 might seem to contradict, but I think the healthiest path is the one that balances prudence and potentially risky trust. It’s a scary tension and we’ve seriously got to rely on the Spirit’s guidance and friends’ counsel as we walk the tightrope. (4/3)"
20,1116491002808799233,From ClimbNow Blog: Benny Beg and the Elie Chain Walk https://t.co/a3tLfAiqFt #scotwinter
21,1116491000258662401,"🚫✈️‼️. Well darn... I had to stay another day! 

Flight delays and cancellations simply dictated another walk on the 🏖

We had to say goodbye to Andrea. 

Thankful Garland was ok with changes. 

So, more... https://t.co/Vc7pKZTzKG"
22,1116490993082064896,"@AgentAnimal @BrittanyVenti @ayy_mike00 Completely misdirected my dude. I see what you were trying to get at, but you’re missing the point. Also, attacking someone ad hominem is a logical fallacy so pls stand up, take a 5 min walk, and try again."
23,1116490984022511624,@KelsWingert do my eyes deceive me? Did Flo get on base with a walk? Are we sure it wasn’t a HBP?
24,1116490980931321857,"I’ve done so many squats in the past three days, it makes me physically nauseous to walk"
25,1116490980386062336,"Anyway, it's fun to think about how to explain a video store to stream teens. ""A library possessed by Hulu."" ""Content...without algorithms."" ""Imagine you could walk into your torrenting program and there were different viruses involved."""
26,1116490977831784450,@PapaRandlicious @shop615 Ahhhh tootsies. Never been in there but walk by it every time we go to the Ryman.  Gonna have to try!
27,1116490976405491712,"Seat 3C - #PrinceGeorge &gt; #Vancouver &gt; #Victoria 
..... { Then a walk around the Inner Harbour to clear my mind for tomorrow's presentation: Healthy Brain, Healthy Workplace } https://t.co/XKGsQqtqqZ"
28,1116490975390703618,"I offered to buy this white man flip flops cause he outside barefoot. This nigga said ""nah I'm good. I have money I just walk everywhere barefoot"" .....uhmmm....I have questions...."
29,1116490972911874050,"Imagine: you work a nine to five job at Albertsons and you hate it. Suddenly, at 7pm, 5 unaccompanied teens walk in and buy nothing but two jugs of mango tea and some chives"
30,1116490970755944449,I can’t wait to have a son so me &amp; him can walk around in our draws Saturday morning bothering my wife because we hungry
31,1116490955757096962,Recap - Cat-Henesey-Smith decides to walk out of BACHELOR in PARADISE  https://t.co/xs2Rl5XwVw
32,1116490947653562368,"if I ask to use the bathroom during class don’t expect me to walk in 2 min later, I’m going to walk around this whole campus before I come back"
33,1116490944247947264,@ZkotosKoritsi Well - maybe the Tories and the Blarites are willing partners  (remember Blair letting war criminal Pinochet walk free; USAs poodle during the illegal Iraq invasion and occupation etc )  We need a leader that will say Oxi to the US next time they tell us what to do!
34,1116490928435257345,I have full intentions of claiming that booty. You wont be able to walk for a week.
