,tweetID,text
0,1116128712460840961,"Going on an evening bike ride during spring is a must, making our bike lights great giveaway products for your company or event! https://t.co/5FtH1jA9mt https://t.co/1pkJCDypNT"
1,1116128546806796289,@EllieJ2009 @Jambeanie Bring ur camper van yo Scotland. And ur bike. Jaffa cakes on me 🤣🤣🤣🤣🤣
2,1116128521443790849,Put on shoes for the first time in months. Have to go fill up the tires for my bike. https://t.co/gy34Sd6jim
3,1116128499134124032,Track-Only #Aprilia RSV4 X Revealed | read: https://t.co/5CaroQfz2n | #Asia #Bike #Italy #Motorbike #Race #Racing #RSV4X #WSBK https://t.co/uvtQWyhjsN
4,1116128485414703105,"This literally just happened a few minutes ago:

So, I was riding my bike around the neighborhood. After some minutes, I was heading home, very close to my house, where this elderly woman was walking her dog. (1/2)"
5,1116128425520111617,@wpgcyclist I have a Jets flag that I attach to my bike (and to my car when I drive) not only to show my support for my team but also so those black trucks with the Jets license plates recognize that even those of us that ride bikes are Jets fan.
6,1116128413755084800,I did a cute lil bike ride today. That’s all the exercise the universe is getting from me today.
7,1116128399288881152,@Sosaless_ @ThicFlair @FameWrestling @Atarian__ COOL HELMET! DONT FALL OFF YOUR BIKE!
8,1116128352765534208,@dubidubidapini Workout tas Bike. Hahahahah
9,1116128293261123585,"100 Franklin starts to shed its skin, plus Spruce Street first graders get a tour of Thalassa; the China Institute offers Go classes; bike lane extended on Lafayette; one more look at the Mill Street Synagogue.https://t.co/xgJUTN3X8b"
10,1116128256669908993,About 20 deep in the shop right now.  #werk ☠️🛠💵 @ Blue Collar Bike Werks https://t.co/Yol65shWzY
11,1116128212206145538,"@timjreynolds Sure, a city bike scheme or better street lightning algos won't IPO for billions, but cumulatively they do improve human condition.

Or at least that's what I believe in."
12,1116128196234235909,Weather like this make me miss home like I could really be on the back of somebody son’s bike right now. 😐
13,1116128080706375680,Me on my bike this week: https://t.co/FC9cXrTnD4
14,1116128054701690880,@acoyle98 I hope you know since you met me and to this day I also cannot ride a bike (I am unsure if there’s correlation)
15,1116128036808798208,Will I finish this bike or will this bike finish me? #goinghandy #bikebuilding
16,1116128005158576129,"@mitchellvii He over played his hand.  Gave Dems a reason to go to court, get grand jury evidence, including wire taps.   Proving there was probable cause.  Think the Nixon tapes.  Big f.....up"
17,1116127997642321920,"burned 1,654 calories doing 147 minutes of Bicycling, 16-20 mph, very fast (cycling, biking, bike riding) #myfitnesspal"
18,1116127967699177472,"nah, they gonna have a bike so fast for a lot"
19,1116127964482007040,@acbowen do a story on this ..cars blocking bike lane to pick up kids from school at old town academy...maybe other others and schools have similar issues https://t.co/3sPO52UGZL
20,1116127922497126400,"2 interviews tomorrow 😊 the universe totally didn't want me to be a bike messenger anymore, for good reason,its shitty money and dangerous so I guess I can't bike that things haven't been working out.  I deserve better."
21,1116127826896281600,"Started Bike Riding Brompton with #cyclemeter at 8:56, on 通勤往 route."
22,1116127823301791744,"In the past five years, has the number of bike shops in your market …. https://t.co/hlD6GiIVFS"
23,1116127811008438272,@MckennaLindseyy I’d rather be on the bike than intact
24,1116127705018327040,"burned 790 calories doing 59 minutes of Bicycling, 16-20 mph, very fast (cycling, biking, bike riding) #myfitnesspal #myfitnesspal"
