,tweetID,text
0,1116128719104544769,Don’t you love it when you check up on old classmates and one of them has an expensive ass car that may or may not be named “The Panty Dropper”
1,1116128718957756416,is a vegan car a horse
2,1116128718852739072,@thestorykids I slapped minho inside a car :')
3,1116128718303518720,"@CorrieeChase @superstuff @jordylancaster Ohh boy, you don’t have an understanding of how car insurance works, do you?"
4,1116128713580503040,U of A students win big with little fuel in international car competition https://t.co/kbpG5nnSkc https://t.co/ZxmA0NRflr
5,1116128709046677504,Thankful to have a best friend like mine who is letting me drive her car until mine is fixed. Thank you to my brakes going out while driving 🙃 🙃
6,1116128708203548674,"cleaning out ya car be one of the best feelings. I done added a new smell good in this bih, it’s poppin😩"
7,1116128700192428032,@dezreki also wow jon you joined the hatchback car crew I can't believe it. thats a great stationwagon you've got there
8,1116128696648101889,@CNoelBhDWminion @TangnikaiA @DonnieWahlberg @Sophia_DdubGirl @JaimeRKOFan @cassie040683 @ac2cnkotb @lovenkotb4life9 @jonknightgirl85 @MonicaAsian @tweetforNKOTB @shergiggles @Amy_DDubGirl @fanfenzy @blockhead4eva @NellyB1977 @Ruth_A_Day @MarciNkotb79 @DDUBGIRL69 @PetrinaJoyce @BounlayAbubakar @AnaProgl1 @MargaretTallma1 @tammywalker2334 @juskeepbreathn @LoveRemarkableU @Sheila413Sheila @CBlockhead88 @DolphinMg @angwar72 @MavaBlueBloods @naturenohurry91 @ElisaGoRaiders @CaroClou @KaraStraitUp @junebug61767 @Asure76 @VroniquePersic1 @joeygirl4ever77 @janet23hbk @Blockheadgirl23 @Jonsfriend4ever @coe05 @Crystal_NKOTB @chrissylynn7837 @NanaBoysNKOTB61 Hello noel and everyone we are back home now from being out today so glad to be home. Lpt if traffic. Now John has to take the car in to get fixed sigh xoxoxo been a long day still have headache bit relaxing now. Y'all better best wood yourselves now 😁😁😁😂😂😂😊😊🤗🤗 🥊🥊🤺🤺
9,1116128694852939776,"you know the vine where the lady is in the car and she honks the horn and the cat goes AH yeah haru the cat, im the lady and the horn was tiny dancer by aimer at 100 volume"
10,1116128694114955264,@brooksontheroad @brian_da_starr Save yourself the trouble and buy another car. Imagine the situation if something is broken and you have to wait several months for service.
11,1116128692676124672,"@awudrick @cathmckenna if it was really about the environment, all the money given to big corporations that can afford change would have been a better investment if you gave low income earners a free electric car if they trade-in their vehicles that require gas."
12,1116128691476750341,I got horses in my car like a farmer ... FUCK THA OTHER SIDE HOE... Tracy Gang bitch
13,1116128676138164224,@ggqt3 @DisabledResist What was he falsely accused of? What could he have done that he needed to be in hand cuffs and placed in a squad car? Do you think a scared 10yr old understands his rights as they are read to him? Which MF cop goes home and tells his family he arrested a 10yr old
14,1116128674552610816,@o_villagomez20 @BBWslayer666 Well i do wanna have a car convo w u
15,1116128673927782400,"I shouldn’t have to say this but there is zero tolerance for tampering with or vandalizing someone’s car, house or other property. Any damage caused by you will have to be paid for by you. Be smart and don’t mess with things you shouldn’t mess with."
16,1116128672480681984,"@JaySolstice i smooth wore all black today, so I can wear blue tomorrow. I work at a car dealership for now, so luckily one of our rotating colors is blue. I just wish I had something royal blue to wear ...."
17,1116128668265271296,ARE U FKN KIDDING ME A DIFFERENT TIRE HAS A BIG ASS GOUGE CUT OUT OF IT!!!! 2 new tires in 5 days 💕💕💕💕 for my 9 month old car 💕💕💕💕
18,1116128662691225600,@JoeMaskivish Had to remove the car seat to accommodate the Iron City.
19,1116128658131963904,I need a new car show to watch
