,tweetID,text
0,1116491064305565696,"I was walking across the pedestrian bridge from the airport terminal to Short Term Parking when I saw something shiny fall from a higher level of the garage onto the bridge. It was the pop-up part of a can of Skoal chewing tobacco. I dunno, y'all."
1,1116490925721526272,@jeremyhachat I only do it because my brain is constantly emitting genius-level output so I need to keep my hands busy doing something menial and pedestrian.
2,1116490870239498240,The pedestrian versus train crash occurred Wednesday evening. #montana https://t.co/uVFQSrHp12
3,1116490802941841408,"👏🏻RESULTS👏🏻
Pedestrian vs. Auto, tough disputed causation of injuries against our client. We fought. We won. Another happy client. Result $850,000.00 .
.
.
.
.
#putuporshutup #weliveforthis #winning #cantstopwontstop #lessBSGreatresults #Candicebond #1bo… https://t.co/WccM6stnxH https://t.co/E1WjPS5HBg"
4,1116490499697905664,Police suspect this car was involved in a hit-and-run accident that critically injured man. Do you recognize it? https://t.co/LzzA20yzlX https://t.co/v5hfeSbtmm
5,1116490291354095616,Owners who cross the street w their dogs (not on a pedestrian lane) are the worst
6,1116490261436059648,Yep. I've noticed this as a pedestrian as well. It became especially noticable in this mostly white town I currently reside in. It's like white folks think sharing the sidewalk is beneath them. https://t.co/yd2Cu6PNYv
7,1116490133056966657,"just scared a pedestrian at a stop sign while blasting @ThinkItAintOnMe 

ENERGY"
8,1116490030938087424,"@rach_art @dragontwins229 @CDN_FootyGOAT @kevryanperson @DBMcWeeberton @CynischeCineast @Tremulous_Hand @AynRandPaulRyan @ArrogantW1zard @dtipson @mburchett @mulherndave @KrangTNelson @miel @ladyastronauty If Beale Street Said Walk   (producer, pedestrian uncredited)"
9,1116489543052603392,Gatlinburg Is Getting the Longest Pedestrian-Only Suspension Bridge in America https://t.co/KTXGbAst9U
10,1116489471069790208,Not a silver bullet but a golden bullet. Need to introduce AEB as an Australian Design Rule urgently whoever wins @M_McCormackMP &amp; @GlennSterle Any new vehicle sold in Australia should NOW have mandatory AEB installed to save cyclists &amp; pedestrian lives &amp; reduce road trauma. https://t.co/lin7tTBVAg
11,1116489272733814784,"ThisDMV bitch almost ran ME over and still had the audacity to get mad, like wtf!! Pedestrian right away, bitch! You should know that."
12,1116488893447061505,"@RepThomasMassie @ishaantharoor Because the evidence is so overwhelming, even a pedestrian can understand it."
13,1116488876808339457,Enhanced pedestrian spaces coming soon to Main Street! #RRCouncil passes resolution to move forward with soliciting proposals for “parklets” in @DowntownRRTX. https://t.co/MuDMYyWLVO
14,1116488039130378240,"“To some people, the existence of vegans is a tremendously confronting idea — enough that a traffic-stopping protest on Monday has caused Australia’s usually quite sensible (lol) gaggle of right-wing media figures to completely snap.” https://t.co/Pme5y2n4vK"
15,1116487352577347584,"SW Bond Avenue construction will impact pedestrian, bicycle traffic on Tilikum Crossing bridge. https://t.co/M2q6JIf9H3 https://t.co/23ojEkOe9J"
16,1116487341860896768,"Charlottesville residents are invited to attend an April 17 informational meeting on proposed bicycle and pedestrian improvements to intersections along Monticello Ave.
https://t.co/BvyGSEX1n1"
17,1116487201792122882,"As cities look for solutions to tackle climate change, air pollution, traffic, and pedestrian deaths, they should move the cars causing those problems out of the way and let the buses through https://t.co/q98TIsUeik"
18,1116486721154244613,"The tacky souvenir store on the pedestrian mall, apparently at the end of its grandfathered rents or property taxes, is finally moving out.

I like that it might get replaced with something not so useless, but I'm bummed that it was surely one of the last non-chains on 16th St."
19,1116486432565100544,"@aheimert @DDOTDC I believe it is for the construction of the pedestrian bridge to the Kennedy Center, but NPS would have more info."
20,1116486140796604416,"@clintRhea @ChiefDOutlaw @PortlandPolice That's like comparing apples to oranges.
OF COURSE a vehicle is going to kill a cyclist/pedestrian if it comes down to one vs the other.  The question I think you meant to ask was ""How many pedestrians and cyclists have been hit at no fault of their own?"""
21,1116486121137917952,"@BogleMM @Chambersgc That's bad &amp; illegal behaviour, they also have a horn and a legal requirement to keep a safe distance. Remember these people at the Australain are the same ones who say that bicycles clog the roads, are too silent, constitute a pedestrian hazard, and ought to be registered."
22,1116485715209195521,So soon after a pedestrian was stuck and killed at the same intersection. Cars need to fuck off https://t.co/7Scd60JEEH
23,1116485541510430721,"*Traffic signal upgrade at Orange and High streets, $161,000.

*Change order to LeTort Interceptor rehab contract to change bypass route across Harmony Hall Road, $17,422.50.

*Pedestrian curb ramp rehabilitation project, $121,604.

*Engineering for water tank project, $18,799."
24,1116485422190931968,"Collision: Sherbourne St N/ Bloor St E
- pedestrian struck, conscious/breathing
- veh/driver remained on scene
- Police/EMS/Fire services on scene
#GO656156
@tps51div
^ka"
25,1116485333946753030,"The pedestrian flashing signal (HAWK signal) at Snoqualmie Parkway and Fisher Ave SE was due to be in use this week. Due to inclement weather, the crosswalk striping has not been completed. The signal will be in use as soon as possible. https://t.co/EIGSYNsFm6"
26,1116485144238411776,&gt;@SanJosePD release booking photo of fatal hit and run suspect they say struck and killed a woman early this morning on Nieman Blvd.  The victim has not been identified.  @KPIXtv  Police ID suspect as Delilah Paray of #SJ  10th fatal vehicle vs. pedestrian fatality in 2019 https://t.co/DCglP8uLMv
27,1116484336931475458,"For future posterity, a dramatic 2 second Soulja boy across a pedestrian crossing @halbrownlee https://t.co/XGnyYeQ19L"
28,1116484198318034945,@typewriteralley Half signals have been installed since the 1970's in Seattle at school and pedestrian prioritized arterial crossings. Side streets have stop signs to reduce number of vehicles using the walking route and crossing at arterial. Typically have one crosswalk where kids crossed.
29,1116483569495494656,CAPTION THIS: A gator was spotted obeying pedestrian laws in South Carolina. What was on the other side of the road? https://t.co/0Oju7DbddO
30,1116483402742603776,"@tombroen @yfreemark Literally the first thing one of these cars did in the wild was kill a pedestrian in a totally avoidable collision. For the foreseeable future these cars are not less dangerous. They are more dangerous, because they DON’T FUCKING WORK."
31,1116483326288760833,i get pedestrian rage more than road rage ngl https://t.co/IF5fx3tejp
32,1116482143780126720,Town in Iceland Paints 3D Zebra Crosswalk To Slow Down Speeding Cars https://t.co/gHozocV41v
33,1116482036351606784,"@RandalPaster @NYPDTransport @NYC_DOT @NYC_SafeStreets @NYPDnews @NYPDONeill @NYPDChiefofDept @NYPDChiefPatrol @NYPDDCPI @NYCMayorsOffice @NYCMayor @NYPDTSBA @TransAlt Reducing traffic volume is nothing to underestimate as a driver, cyclist, pedestrian, or mass transit user. (Says one of them)"
34,1116481791454400512,"@SenatorPalumbo @heatherredman @kslosh @geekwire The pedestrian's in front of the Amazon entrance.
GBF!
The gated entrance was The Art Bar.
I had the office over the art bar for a while, and many mornings it was so smokey you couldn't see out the window from the door.
On 11/30/1999 it filled with WTO Riot tear gas.
Crazy times."
35,1116481700215894017,@GimliJetsMan @m0ntesa which still says nothing about a pedestrian?
36,1116481574445420545,"The #InspectorGadget original series soundtrack -- by my pedestrian, unsophisticated reckoning -- is an underrated masterpiece of early 1980s instrumental electronic music. https://t.co/4my6BEafkR"
37,1116481445525184514,"Ok, Its Been About 24Hrs.. I Can Finally Tell You Guys LoL... I Almost Ran Over My First Pedestrian! See What Had Happened Was.. 

I Was Trying To Turn Right.. All These Cars Kept Coming From The Left.. Soon As I... https://t.co/l7o1pY5VEH"
38,1116481425488924673,"I'm at Pfluger Pedestrian Bridge in Austin, TX https://t.co/0PnYwMvgio"
39,1116481273789386755,"UPDATE: The Washoe County Regional Medical Examiner's Office has identified a pedestrian who was hit by a vehicle and killed last Saturday on I-580, north of Mill Street. They said they need the public's help locating next of kin. https://t.co/ZDFxdlDqsk https://t.co/V48YvdzEw7"
40,1116481143958900736,The Fascinating Story Behind Highland Park's Almost Forgotten Pedestrian Tunnels https://t.co/LwuEDqz3EJ
41,1116480811144888320,"@DelhiPwd @SatyendarJain @LtGovDelhi , respected concern, there is need to built speed breakers before the zebra crossings on both sides of the road no 57 at Hasan pur village bus stop. Due to heavy pedestrian movement here, pedestrians cross the road in fear of danger."
42,1116480648913379328,"Get an exclusive first look at the new southbound pedestrian plaza on the east side of the San Ysidro LPOE. Today workers put the finishing touches on the new plaza which will open @ 8 am on Monday, April 15! Find out more here: https://t.co/N6g90svHsE https://t.co/pI0O5QCo9w"
