,tweetID,text
0,1119752364569841664,Here is a great article about sample questions that are helpful when preparing for upcoming interview! https://t.co/d3HTREmfFs
1,1119752259578028032,I got a free @RicolaUSA Cough Drops sample from the #Freeosk @Walmart https://t.co/pHYDHPkYrk
2,1119752129307193344,Tomorrow you can get one free sample size ice cream cookie sandwich with every purchase for the first 50 customers for Easter! https://t.co/AYb0xJAE3g https://t.co/doyugJndFx
3,1119752125477683201,"Don't really care about or fuck with logic but that aeroplane sample hits the feels. Of course, that album is old as fuck now."
4,1119751901720006662,@HPbasketball Is it really that hard for you to not overreact to miniscule sample size of game time? You don't usually do it as often as you did in this series.
5,1119751888734343169,"At the top of the page was a name I didn’t recognize and it said that she was predicted to be my half-sister. I remember thinking, “This has to be a sample page.”"
6,1119751830869815301,The Making of OPUS sample flip beat for CMA - TaurusBeats Life Story Music https://t.co/o5W5jFvkBp via @YouTube
7,1119751796690341888,"SAMPLE novel excerpts from multi-genre author, Sylvia Massara. There is something for everyone https://t.co/zYoSivHDEC Genres: #mystery #romance #drama #scifi https://t.co/eu9EwlvAq2"
8,1119751706797953024,"⚠️ Attention: ALL ARMY ⚠️

Start requesting for Boy With Luv on Most Requested Live now! Here’s how you can help ⬇️

sample tweet:
Hi @OnAirRomeo! Can you pls play #BoyWithLuv by @BTS_twt ft. @halsey on @MostRequestLive? Thank you. #MostRequestedLive https://t.co/E6nmX2eS8D"
9,1119751574933233664,What a sample testimony! Strongly written words. Wow. https://t.co/A9kHzlXyD9
10,1119751520642322432,"Intriguing theory, but needs a larger sample size. https://t.co/bawkWcsmlL"
11,1119751426262163459,@ConnerJeromeC That ps2 sample 🔥🔥
12,1119751379986386945,"Reuters 37% Approval Poll is skewed The poll of 1,005 adults was conducted between April 18-19. The sample of respondents included 353 Democrats, 344 Republicans, and 210 Independents.
Rasmussen now polls @POTUS @realDonaldTrump at 53% Approval. Reuters is left wing propaganda!"
13,1119751355550318593,"Legacy
Book 4 in the series 'The Chronicles of the White Tower' -First Volume of Trilogy 'Throwback' 

Read Sample:https://t.co/gJhWri4l7e
Buy:https://t.co/qUf8QsHkuN
Buy Signed Copy:https://t.co/voTWJ9s8RX
Read FREE on Kindle Unlimited
#TheChroniclesoftheWhiteTower
#MarkPatrick https://t.co/06EwG2bRWh"
14,1119751279251730432,"@RickVanover It’s actually just for OneDrive sample content, but now you have my interest! https://t.co/wQP8wiQYXJ"
15,1119751114423803904,@rlthingy a sample for unrespect human being. //
16,1119751109289975808,@levierkant_24 @JLaSalle20 Excellent! Let us know how we can help. Try our FREE Sample Stationery Kit! https://t.co/iREDO0HWbt
17,1119750999999172609,So did y’all use https://t.co/I4HJapq0SI or took his blood sample for this DUMB ass information. Why you did all this “research “ as if it’s gonna let him off the hook. Take 3 seats bitch. He’s not black HIMSELF what he did was wrong and he needs to apologize. PERIODT https://t.co/rbrMMI72FC
18,1119750857791139840,@brittbeard That's great Britt! Let us know how we can help. Check out our FREE Sample Stationery Kit! https://t.co/lELATArmsy
19,1119750818415038468,"I love spicy chai.
My lips are buzzing &amp; warm.
If only you could feel them against your cheek.
Unfortunately, you'll never get to sample my sweet lips.
you're just a Loser paying for My chai, &amp; enjoying the honor.
#findommegoddess 
#finsubwanted 
#finslave #footsub 
$MissControl"
20,1119750782851665920,"@RealSpiderMom So when did you become a God?
How did it happen?
What are your powers?
Can I kill you? For science of course
And
I need a sample of your webs"
21,1119750731743973376,https://t.co/MnDyvw6ihL sample challenge shit
22,1119750720087937024,"@soopa I could be wrong, but it doesn’t sound like it’s YC alumni doing this.

And I only have a small sample size, but every single YC alum we ever talked to pre-interview was eager to go out of their way to help, with zero expectations of any sort. https://t.co/BeAe0kYj8c"
23,1119750696746745856,"QB1 all day. If he had shown what he had in 1 year over 2-3 years, this wouldn’t even be debatable. His sample size may be small, but his traits, tape, and analytics are incredible. https://t.co/XfNlbZG6KS"
24,1119750521798184960,My book #EmmaStevensandtheLordofCrime will not be out til May at the earliest though you can check out my site/section https://t.co/n7jYyv8jUl  to read a sample of my novel and to read old crime fiction stories which the novel is based on. https://t.co/n3vNTIQV0u
25,1119750516945211392,@Madaaahlynn I’ve been wanting to try it!! That’s the one I wanted to sample but they talked me into Laura mercier smh
26,1119750463405133828,"@CraigMurrayOrg The other thing which is odd why would they use Novack?  A Ukranian created chemical weapon during the Soviet era, which matched the same sample as Portadown and the only other country to successful create it was Iran????"
27,1119750272526495745,"Think this might expand, fire up Democratic base??

#election2020 sample ballot:

President  

      Republican:    Donald J. Trump:______

      Democrat:      Indict Trump:       ______

Mueller report post-WH criminal exposure for trump? @CNNPolitics https://t.co/ly358M1Jhc"
28,1119750254339903488,I always sample the honey walnut shrimp at Panda Express even tho I already know what it tastes like bc that’s the kind of girl I am
29,1119750125931249664,I've just seen that many of my Prints are advertised on a site called TSYGXLGO. Whoever is advertising them has lifted the descriptions and the sample photographs direct from my Amazon listings. They can only be... https://t.co/UEwKPOS9pf
30,1119750113302405120,Selling clean pee today and all this coming week. $50 a sample. #420day
31,1119749938890645504,Shoutout to 2 chainz for using that High Life sample on RAP OR GO TO THE LEAGUE @HaZe_DGB @stayhumble
32,1119749923254276102,"Download our great new Trance Sample Pack Collection from our International ebay Store. 

We have even given you an 80% discount to celebrate its release.

Download it here: https://t.co/tMK0N3jLm5 

#Trance #Loops #Samples https://t.co/0MPC4pNqWt"
33,1119749901037002752,enjoy your sample @jonghyonce https://t.co/XUWgY0KqtC
34,1119749753451888640,@Spoiled_Art get back to work sample man
35,1119749730706153472,should i spend $60 on the too faced born this way foundation that i’ve wanted to buy ever since i got a sample of it
36,1119749686045204481,"We are more than the bullet points on our resumes.We are better than the sentences we string together into a word salad under the magnifying glass of an interview. No one is rejecting us.They are rejecting a sample of our work, sometimes only after seeing it through a foggy lens https://t.co/BMmEYGpuMk"
37,1119749672384512002,enjoy your sample @GeneralAmidala https://t.co/u7pGeMSLce
38,1119749663698116608,"@mekosoff My wife made a batch of brownies and had me test them. I even cut her sample size in half. Started to kick in right before dinner, got sick as a dog the second I was finished. Had to leave early."
39,1119749448739868672,Join 'We're all Beauties' on Facebook. Win giveaways and sample gift packs!! We're new and excited to grow! Share videos and opinions about beauty products!  💋https://t.co/yzr5E10DCD
40,1119749392704077825,enjoy your sample @minhoprism https://t.co/JnMbPzmDLF
41,1119749383572971521,@Jersey_Craig My poll shows close to a 100% behind the idea. (My sample could be biased.)
42,1119749335615332357,"Yay! Another excerpt from The Regular Guys, as funny a book as you will read or my name isn't Kareem Abdul-Jabbar.

Click here for a sample chapter:

https://t.co/KIxUVL699G

Thank you,
gaylon

#novelines #bookish #bookworm #readers #literature #booklovers #readingtime #novel https://t.co/BJRL4JM3DI"
43,1119749325758914561,@THEPERFOURMER I agree there seemed to be some excessive force used. And it can happen unintentionally in high emotion situations like this. There are some bad cops out there but of the videos we see you are seeing a small sample size in relation to the # of cops in the US
44,1119749233828073473,enjoy your sample @shawoIbebe https://t.co/EJxlK0GB07
45,1119749166052335621,@MySocialPoint @isparkrecords There's no sample of her voice on the snippet......yeah yeah I know but.....
46,1119749151850262530,that amerie sample 🎈
47,1119749128085495809,"@KRileyUTSA16 @JayneWTHB AJ reed had a ton of potential and doesn’t look like he’s gonna ever capitalize on that, of course in part to us being set at the position but I’ll take a known over potential any day. Such a small sample size let’s see how he’s doing later on in the year before saying you’d"
48,1119749063774220288,Bored on your Saturday night? Help me grow my Sample Programs repo with your solution to the Fizz Buzz problem in your favorite language. https://t.co/vsmaYLo3u0
49,1119749037962465282,My idea of getting lit in Houston these days is going to all the wine sample ladies in HEB and chatting them up enough to not notice they gave me a glass each
50,1119748926683451393,"Crowley: *drinks a sample from the store*

Everyone else in the nail polish department: https://t.co/f2cKWIpaGh"
51,1119748861407440902,@JakyltheOracle I do that a lot. There is a nice bartender who tries getting me to sample a dif beer and she hates that I order miller
52,1119748859142369280,"@DominicBenson 5 weeks is a small sample size, but it’s looking promising DB. Get on board"
53,1119748390529773568,@RealBrianMartin @Pat_Egan So you criticize @Pat_Egan for using a small sample size but justify that criticism by using second hand rhetoric from two cities in the Midwest?
54,1119748326428217345,"@DarthCalculus @ApoloJed1 @AApologetics @ImJackFrank @gutteridge_alec @BrianHuffling @CAstronomyNews @jason_lisle @Lead1225 @LisaQthinks @JK_Riki Rock dating must assume a certain quantity of parent and daughter isotopes in the original sample and infer that no ""natural"" contamination has taken place over the subsequent eons of time. Not a geologist, but I've discussed this issue with skeptics several times."
55,1119748197448970240,Even though it's a sample from another song. https://t.co/XHlQE7Uh5e
56,1119748182664151041,My cat is strange. He likes to smell the air coming out of the vent. He stands there for several minutes so he gets a good representative sample 🤣🥰 What do your pets do that’s weird? #ShowMeYourPet #Caturday #SendMeAnimalPics https://t.co/MwWaFNhNUp
57,1119748079908007936,Happy 4/20!!! Go download the FREE SAMPLE PACK AT https://t.co/ZcjSHblhdf
58,1119747759777521664,Cc @arsenalamerica — would love to broaden our poll sample size for Gooners traveling to LA.
59,1119747675245559809,SHE GoT SKILLS | Check out this brilliant @GameOfThrones black board art hand-dreams by our super talented Jessica Mack 😱 Drop in to see it for yourself &amp; sample one of these limited GoT whiskies while you’re at it. Would be rude not to really https://t.co/k9soMQ6NEP
60,1119747651493187584,@ensanelybold That's excellent Erika! Let us know if we can help! Try our FREE Sample Stationery Kit! https://t.co/c0b1db17xk
61,1119747564000239617,Keep one in case niggas want a sample
62,1119747560049192961,enjoy your sample @lveltm https://t.co/iril0SBAqc
63,1119747407133192193,"#WORCESTER - Michele Loughlin of Dudley enjoys a beer sample with a friend, at the 9th Annual #Brew #Woo #Beer #Festival @DCUCenter @telegramdotcom https://t.co/l6wrgNa5vb"
64,1119747404536922112,"(then again, that's a sample size of three, so maybe that's not conclusive enough ~Clears Throat~)"
65,1119747384098131970,enjoy your sample @heebumiee https://t.co/m68ktugx8b
66,1119747208369274880,"@RealCandaceO This is another sample of ""against the nature"" attitude!  Poor little boy!"
67,1119747128635604992,enjoy your sample @lgbtshinee https://t.co/R7rOZSZhRN
68,1119747123489267713,"@NatsinNY @edit_susan My take is that this is an extremely small sample size and luck doesn’t always even itself out even during a whole season.  But since his stuff looks the same and his k and bb rates look good, ill bet on Max ending the year being top 3 or so in the NL."
69,1119747057072214016,"This is a sample logo that I had made for my Anime project. Pretty good, now that I have a better idea of how I want the logo to look, I might have some slight changes be made. But for… https://t.co/JzBrRGsqhT"
70,1119747026810327042,I’ll take victory from a one game sample size
71,1119747010763153408,@TheRealJitsu Yeah a player who has played in over  550 games shoots well for a season and a half and then reverts back to being a poor shooter. There’s a larger sample size that says he’s a poor shooter than not
72,1119746947303084032,➝MASAKI YODA -Danceing in the with you(sample)- https://t.co/eW3JOMtLvz #música #Japón #información
73,1119746773180792834,➟Manabu Uchiyama -The departure of dawn- https://t.co/8UrsipvglP https://t.co/FZiHwFF4tb #音樂 #Japan #information
74,1119746737021706240,@40mackenzie This is amazing! I didn’t sample this. But it’s insanely similar lol great find
75,1119746300860407809,"Well you see it’s a question of sample population, sigma, variance, standard deviation and the confidence interva… — If only you answered this in a more simple way. https://t.co/ONLr0KuH1t"
76,1119746271210639360,"Is it ok to go to an ice cream shop, sample a few flavors, and leave if you don’t like the ice cream? 🍦"
77,1119746270082600961,@atrupar @SupremeDickhead Somebody should remix the old Alkoholiks song with that sample
78,1119746243217911808,Sample Love Full Feature https://t.co/8WhZI7jc80 via @YouTube
79,1119746167301124097,100% Authentic Louis Vuitton Don Patchwork Sneaker Runway Sample** LV Size 9 https://t.co/0pddV5TIR6
80,1119746163933007873,@MsLaMondaLSES Congrats Lauren! Let us know how we can help! Try our FREE Sample Stationery Kit! https://t.co/O74ZakUFkc
