,count,pair,word,cooccurword,alphaword
0,1.0,"(also,000)",000,also,000also
1,8.0,"(also,1)",1,also,1also
2,1.0,"(also,105)",105,also,105also
3,5.0,"(also,12)",12,also,12also
4,2.0,"(also,140)",140,also,140also
5,1.0,"(also,1523)",1523,also,1523also
6,1.0,"(also,15qr)",15qr,also,15qralso
7,2.0,"(also,160mm)",160mm,also,160mmalso
8,1.0,"(also,19)",19,also,19also
9,7.0,"(also,1x)",1x,also,1xalso
10,1.0,"(also,235inch)",235inch,also,235inchalso
11,1.0,"(also,26)",26,also,26also
12,3.0,"(also,275inch)",275inch,also,275inchalso
13,1.0,"(also,275inchwheel)",275inchwheel,also,275inchwheelalso
14,1.0,"(also,27mm)",27mm,also,27mmalso
15,1.0,"(also,280)",280,also,280also
16,1.0,"(also,2xl)",2xl,also,2xlalso
17,1.0,"(also,2xu35)",2xu35,also,2xu35also
18,2.0,"(also,35liter)",35liter,also,35literalso
19,5.0,"(also,40)",40,also,40also
20,2.0,"(also,47)",47,also,47also
21,2.0,"(also,49cm)",49cm,also,49cmalso
22,1.0,"(also,4mm)",4mm,also,4mmalso
23,1.0,"(also,539)",539,also,539also
24,3.0,"(also,56cm)",56cm,also,56cmalso
25,1.0,"(also,5800)",5800,also,5800also
26,1.0,"(also,68)",68,also,68also
27,5.0,"(also,75)",75,also,75also
28,2.0,"(also,8)",8,also,8also
29,1.0,"(also,90mm)",90mm,also,90mmalso
30,1.0,"(also,973)",973,also,973also
31,1.0,"(also,9speed)",9speed,also,9speedalso
32,13.0,"(also,abl)",abl,also,ablalso
33,1.0,"(also,aboveaverag)",aboveaverag,also,aboveaveragalso
34,2.0,"(also,acknowledg)",acknowledg,also,acknowledgalso
35,8.0,"(also,actual)",actual,also,actualalso
36,2.0,"(also,adam)",adam,also,adamalso
37,1.0,"(also,advocaci)",advocaci,also,advocacialso
38,16.0,"(also,aerodynam)",aerodynam,also,aerodynamalso
39,2.0,"(also,agre)",agre,also,agrealso
40,1.0,"(also,alloy)",alloy,also,alloyalso
41,8.0,"(also,alreadi)",alreadi,also,alreadialso
42,5.0,"(also,alter)",also,alter,alsoalter
43,2.0,"(also,although)",also,although,alsoalthough
44,1.0,"(also,altimet)",also,altimet,alsoaltimet
45,2.0,"(also,ambient)",also,ambient,alsoambient
46,2.0,"(also,ambush)",also,ambush,alsoambush
47,28.0,"(also,and)",also,and,alsoand
48,1.0,"(also,andinclud)",also,andinclud,alsoandinclud
49,1.0,"(also,android)",also,android,alsoandroid
50,1.0,"(also,anger)",also,anger,alsoanger
51,1.0,"(also,angular)",also,angular,alsoangular
52,1.0,"(also,ankl)",also,ankl,alsoankl
53,1.0,"(also,antarctia)",also,antarctia,alsoantarctia
54,4.0,"(also,anthem)",also,anthem,alsoanthem
55,2.0,"(also,antimicrobi)",also,antimicrobi,alsoantimicrobi
56,4.0,"(also,antitheft)",also,antitheft,alsoantitheft
57,1.0,"(also,apartit)",also,apartit,alsoapartit
58,1.0,"(also,appeal)",also,appeal,alsoappeal
59,3.0,"(also,appli)",also,appli,alsoappli
60,10.0,"(also,area)",also,area,alsoarea
61,4.0,"(also,arent)",also,arent,alsoarent
62,4.0,"(also,arm)",also,arm,alsoarm
63,1.0,"(also,ashland)",also,ashland,alsoashland
64,1.0,"(also,ashlandfoodcoop)",also,ashlandfoodcoop,alsoashlandfoodcoop
65,2.0,"(also,assault)",also,assault,alsoassault
66,1.0,"(also,asset)",also,asset,alsoasset
67,5.0,"(also,at)",also,at,alsoat
68,1.0,"(also,atit)",also,atit,alsoatit
69,43.0,"(also,avail)",also,avail,alsoavail
70,2.0,"(also,averag)",also,averag,alsoaverag
71,1.0,"(also,backcountri)",also,backcountri,alsobackcountri
72,1.0,"(also,baggi)",also,baggi,alsobaggi
73,3.0,"(also,bat)",also,bat,alsobat
74,16.0,"(also,batteri)",also,batteri,alsobatteri
75,1.0,"(also,bbright)",also,bbright,alsobbright
76,3.0,"(also,begin)",also,begin,alsobegin
77,1.0,"(also,belli)",also,belli,alsobelli
78,1.0,"(also,besid)",also,besid,alsobesid
79,1.0,"(also,bestrid)",also,bestrid,alsobestrid
80,1.0,"(also,bikeit)",also,bikeit,alsobikeit
81,1.0,"(also,bikeshop)",also,bikeshop,alsobikeshop
82,1.0,"(also,bikethes)",also,bikethes,alsobikethes
83,2.0,"(also,bladder)",also,bladder,alsobladder
84,4.0,"(also,blindspot)",also,blindspot,alsoblindspot
85,4.0,"(also,boast)",also,boast,alsoboast
86,4.0,"(also,boom)",also,boom,alsoboom
87,48.0,"(also,boost)",also,boost,alsoboost
88,2.0,"(also,boot)",also,boot,alsoboot
89,18.0,"(also,bottom)",also,bottom,alsobottom
90,1.0,"(also,boxsect)",also,boxsect,alsoboxsect
91,57.0,"(also,brake)",also,brake,alsobrake
92,1.0,"(also,brew)",also,brew,alsobrew
93,2.0,"(also,brought)",also,brought,alsobrought
