,count,pair,word,cooccurword,alphaword
32984,757.0,"(bike,ride)",bike,ride,bikeride
26425,544.0,"(bike,mountain)",bike,mountain,bikemountain
24296,529.0,"(road,bike)",bike,road,bikeroad
13808,497.0,"(bike,like)",bike,like,bikelike
1194,413.0,"(bike,new)",bike,new,bikenew
16713,413.0,"(one,bike)",bike,one,bikeone
26526,365.0,"(bike,race)",bike,race,bikerace
8101,350.0,"(get,bike)",bike,get,bikeget
1128,349.0,"(bike,make)",bike,make,bikemake
39731,338.0,"(bike,trail)",bike,trail,biketrail
