,count,pair,word,cooccurword,alphaword
0,1.0,"(atlant,a)",a,atlant,aatlant
1,1.0,"(atlant,across)",across,atlant,acrossatlant
2,1.0,"(atlant,around)",around,atlant,aroundatlant
3,1.0,"(atlant,assist)",assist,atlant,assistatlant
4,1.0,"(atlant,content)",atlant,content,atlantcontent
5,1.0,"(atlant,dover)",atlant,dover,atlantdover
6,2.0,"(atlant,forth)",atlant,forth,atlantforth
7,3.0,"(atlant,he)",atlant,he,atlanthe
8,1.0,"(atlant,jeremi)",atlant,jeremi,atlantjeremi
9,1.0,"(atlant,jordan)",atlant,jordan,atlantjordan
10,1.0,"(atlant,khazan)",atlant,khazan,atlantkhazan
11,1.0,"(atlant,krishnadev)",atlant,krishnadev,atlantkrishnadev
12,3.0,"(atlant,matt)",atlant,matt,atlantmatt
13,2.0,"(atlant,matthew)",atlant,matthew,atlantmatthew
14,1.0,"(atlant,more)",atlant,more,atlantmore
15,1.0,"(atlant,partner)",atlant,partner,atlantpartner
16,1.0,"(atlant,pinsker)",atlant,pinsker,atlantpinsker
17,1.0,"(atlant,previous)",atlant,previous,atlantprevious
18,2.0,"(atlant,professor)",atlant,professor,atlantprofessor
19,3.0,"(atlant,she)",atlant,she,atlantshe
20,1.0,"(atlant,social)",atlant,social,atlantsocial
21,1.0,"(atlant,state)",atlant,state,atlantstate
22,2.0,"(atlant,week)",atlant,week,atlantweek
23,2.0,"(citi,10)",10,citi,10citi
24,2.0,"(citi,100)",100,citi,100citi
25,1.0,"(citi,170)",170,citi,170citi
26,1.0,"(citi,2)",2,citi,2citi
27,2.0,"(citi,2005)",2005,citi,2005citi
28,2.0,"(citi,2012)",2012,citi,2012citi
29,4.0,"(citi,21st)",21st,citi,21stciti
30,2.0,"(citi,24)",24,citi,24citi
31,1.0,"(citi,38)",38,citi,38citi
32,1.0,"(citi,9)",9,citi,9citi
33,4.0,"(citi,access)",access,citi,accessciti
34,5.0,"(citi,address)",address,citi,addressciti
35,2.0,"(citi,advoc)",advoc,citi,advocciti
36,1.0,"(citi,affluent)",affluent,citi,affluentciti
37,1.0,"(citi,alcohol)",alcohol,citi,alcoholciti
38,4.0,"(citi,along)",along,citi,alongciti
39,4.0,"(citi,ambiti)",ambiti,citi,ambiticiti
40,18.0,"(citi,america)",america,citi,americaciti
41,1.0,"(citi,andr)",andr,citi,andrciti
42,1.0,"(citi,anniversari)",anniversari,citi,anniversariciti
43,2.0,"(citi,answer)",answer,citi,answerciti
44,2.0,"(citi,apart)",apart,citi,apartciti
45,3.0,"(citi,applic)",applic,citi,applicciti
