,count,pair
0,1.0,"(also,000)"
1,8.0,"(also,1)"
2,1.0,"(also,105)"
3,5.0,"(also,12)"
4,2.0,"(also,140)"
5,1.0,"(also,1523)"
6,1.0,"(also,15qr)"
7,2.0,"(also,160mm)"
8,1.0,"(also,19)"
9,7.0,"(also,1x)"
10,1.0,"(also,235inch)"
11,1.0,"(also,26)"
12,3.0,"(also,275inch)"
13,1.0,"(also,275inchwheel)"
14,1.0,"(also,27mm)"
15,1.0,"(also,280)"
16,1.0,"(also,2xl)"
17,1.0,"(also,2xu35)"
18,2.0,"(also,35liter)"
19,5.0,"(also,40)"
20,2.0,"(also,47)"
21,2.0,"(also,49cm)"
22,1.0,"(also,4mm)"
23,1.0,"(also,539)"
24,3.0,"(also,56cm)"
25,1.0,"(also,5800)"
26,1.0,"(also,68)"
27,5.0,"(also,75)"
28,2.0,"(also,8)"
29,1.0,"(also,90mm)"
30,1.0,"(also,973)"
31,1.0,"(also,9speed)"
32,13.0,"(also,abl)"
33,1.0,"(also,aboveaverag)"
34,2.0,"(also,acknowledg)"
35,8.0,"(also,actual)"
36,2.0,"(also,adam)"
37,1.0,"(also,advocaci)"
38,16.0,"(also,aerodynam)"
39,2.0,"(also,agre)"
40,1.0,"(also,alloy)"
41,8.0,"(also,alreadi)"
42,5.0,"(also,alter)"
43,2.0,"(also,although)"
44,1.0,"(also,altimet)"
45,2.0,"(also,ambient)"
46,2.0,"(also,ambush)"
47,28.0,"(also,and)"
48,1.0,"(also,andinclud)"
49,1.0,"(also,android)"
50,1.0,"(also,anger)"
51,1.0,"(also,angular)"
52,1.0,"(also,ankl)"
53,1.0,"(also,antarctia)"
54,4.0,"(also,anthem)"
55,2.0,"(also,antimicrobi)"
56,4.0,"(also,antitheft)"
57,1.0,"(also,apartit)"
58,1.0,"(also,appeal)"
59,3.0,"(also,appli)"
60,10.0,"(also,area)"
61,4.0,"(also,arent)"
62,4.0,"(also,arm)"
63,1.0,"(also,ashland)"
64,1.0,"(also,ashlandfoodcoop)"
65,2.0,"(also,assault)"
66,1.0,"(also,asset)"
67,5.0,"(also,at)"
68,1.0,"(also,atit)"
69,43.0,"(also,avail)"
70,2.0,"(also,averag)"
71,1.0,"(also,backcountri)"
72,1.0,"(also,baggi)"
73,3.0,"(also,bat)"
74,16.0,"(also,batteri)"
75,1.0,"(also,bbright)"
76,3.0,"(also,begin)"
77,1.0,"(also,belli)"
78,1.0,"(also,besid)"
79,1.0,"(also,bestrid)"
80,1.0,"(also,bikeit)"
81,1.0,"(also,bikeshop)"
82,1.0,"(also,bikethes)"
83,2.0,"(also,bladder)"
84,4.0,"(also,blindspot)"
85,4.0,"(also,boast)"
86,4.0,"(also,boom)"
87,48.0,"(also,boost)"
88,2.0,"(also,boot)"
89,18.0,"(also,bottom)"
90,1.0,"(also,boxsect)"
91,57.0,"(also,brake)"
92,1.0,"(also,brew)"
93,2.0,"(also,brought)"
94,2.0,"(also,bubbl)"
95,1.0,"(also,buddi)"
96,1.0,"(also,bugger)"
97,1.0,"(also,burst)"
98,1.0,"(also,calfe)"
99,3.0,"(also,camera)"
100,1.0,"(also,campus)"
101,3.0,"(also,car)"
102,54.0,"(also,carbon)"
103,4.0,"(also,carbonfib)"
104,2.0,"(also,care)"
105,1.0,"(also,carl)"
106,4.0,"(also,casual)"
107,5.0,"(also,categori)"
108,1.0,"(also,centerlin)"
109,1.0,"(also,centimet)"
110,2.0,"(also,chainringa)"
111,1.0,"(also,championship)"
112,1.0,"(also,changer)"
113,1.0,"(also,charl)"
114,1.0,"(also,chosen)"
115,1.0,"(also,chris)"
116,1.0,"(also,citywis)"
117,1.0,"(also,clari)"
118,2.0,"(also,clement)"
119,1.0,"(also,cliffdrop)"
120,1.0,"(also,clipclosur)"
121,2.0,"(also,closest)"
122,1.0,"(also,clutch)"
123,1.0,"(also,coach)"
124,1.0,"(also,coauthor)"
125,5.0,"(also,code)"
126,1.0,"(also,coilshock)"
127,2.0,"(also,combo)"
128,5.0,"(also,compact)"
129,1.0,"(also,complaint)"
130,14.0,"(also,complet)"
131,21.0,"(also,connect)"
132,1.0,"(also,consent)"
133,8.0,"(also,contact)"
134,1.0,"(also,contest)"
135,3.0,"(also,conveni)"
136,2.0,"(also,coppi)"
137,1.0,"(also,cordura)"
138,4.0,"(also,core)"
139,2.0,"(also,corvus)"
140,33.0,"(also,could)"
141,1.0,"(also,cozi)"
142,2.0,"(also,crack)"
143,3.0,"(also,creek)"
144,1.0,"(also,cri)"
145,6.0,"(also,cross)"
146,6.0,"(also,crown)"
147,3.0,"(also,damag)"
148,1.0,"(also,decouplera)"
149,3.0,"(also,deep)"
150,1.0,"(also,delic)"
151,1.0,"(also,dental)"
152,3.0,"(also,descend)"
153,62.0,"(also,design)"
154,2.0,"(also,detach)"
155,2.0,"(also,deterr)"
156,1.0,"(also,dfuse)"
157,7.0,"(also,diamet)"
158,25.0,"(also,differ)"
159,1.0,"(also,differenti)"
160,1.0,"(also,differentlyit)"
161,1.0,"(also,dilut)"
162,4.0,"(also,discbrak)"
163,1.0,"(also,discon)"
164,1.0,"(also,dish)"
165,1.0,"(also,django)"
166,2.0,"(also,doman)"
167,1.0,"(also,doublewal)"
168,13.0,"(also,downhil)"
169,1.0,"(also,dr)"
170,2.0,"(also,draw)"
171,15.0,"(also,drop)"
172,2.0,"(also,dualcrown)"
173,1.0,"(also,duallink)"
174,2.0,"(also,due)"
175,1.0,"(also,dull)"
176,1.0,"(also,dump)"
177,5.0,"(also,dura)"
178,1.0,"(also,durableaft)"
179,1.0,"(also,duti)"
180,1.0,"(also,dwidth)"
181,4.0,"(also,eagl)"
182,2.0,"(also,earli)"
183,5.0,"(also,earlier)"
184,1.0,"(also,easton)"
185,2.0,"(also,ebik)"
186,1.0,"(also,eco)"
187,1.0,"(also,electrolyt)"
188,1.0,"(also,embed)"
189,1.0,"(also,endurostyl)"
190,9.0,"(also,engag)"
191,28.0,"(also,enough)"
192,5.0,"(also,enter)"
193,1.0,"(also,erac)"
194,1.0,"(also,esi)"
195,2.0,"(also,essenc)"
196,2.0,"(also,establish)"
197,1.0,"(also,etub)"
198,4.0,"(also,ever)"
199,2.0,"(also,exercis)"
200,1.0,"(also,exhilar)"
201,3.0,"(also,expect)"
202,4.0,"(also,extens)"
203,2.0,"(also,extern)"
204,2.0,"(also,extrem)"
205,15.0,"(also,eye)"
206,3.0,"(also,eyewear)"
207,13.0,"(also,fabric)"
208,2.0,"(also,fall)"
209,2.0,"(also,famili)"
210,1.0,"(also,famous)"
211,2.0,"(also,fashionista)"
212,3.0,"(also,fatback)"
213,2.0,"(also,fausto)"
214,8.0,"(also,favorit)"
215,6.0,"(also,feedback)"
216,11.0,"(also,fender)"
217,1.0,"(also,field)"
218,2.0,"(also,final)"
219,26.0,"(also,find)"
220,5.0,"(also,firm)"
221,17.0,"(also,first)"
222,2.0,"(also,fitbut)"
223,1.0,"(also,flagship)"
224,1.0,"(also,flap)"
225,1.0,"(also,flash)"
226,1.0,"(also,flatmount)"
227,3.0,"(also,flatter)"
228,1.0,"(also,flexstay)"
229,10.0,"(also,float)"
230,1.0,"(also,flotat)"
231,5.0,"(also,flow)"
232,2.0,"(also,flowier)"
233,1.0,"(also,folder)"
234,2.0,"(also,founder)"
235,1.0,"(also,fourtim)"
236,1.0,"(also,framesthi)"
237,1.0,"(also,fresher)"
238,1.0,"(also,frill)"
239,1.0,"(also,fulcrum)"
240,1.0,"(also,fuzzi)"
241,1.0,"(also,gadget)"
242,1.0,"(also,gaitor)"
243,2.0,"(also,gargantuan)"
244,1.0,"(also,gaug)"
245,2.0,"(also,gel)"
246,1.0,"(also,genet)"
247,10.0,"(also,geometri)"
248,1.0,"(also,goanywher)"
249,27.0,"(also,good)"
250,1.0,"(also,gotta)"
251,1.0,"(also,gp)"
252,19.0,"(also,grip)"
253,4.0,"(also,grip2)"
254,1.0,"(also,groceri)"
255,1.0,"(also,groov)"
256,4.0,"(also,gum)"
257,1.0,"(also,gut)"
258,1.0,"(also,handlebarmount)"
259,1.0,"(also,has171inch)"
260,4.0,"(also,have)"
261,31.0,"(also,head)"
262,2.0,"(also,hear)"
263,8.0,"(also,heavier)"
264,1.0,"(also,hex)"
265,5.0,"(also,hill)"
266,2.0,"(also,hint)"
267,3.0,"(also,holder)"
268,1.0,"(also,housebuilt)"
269,1.0,"(also,howev)"
270,1.0,"(also,hrm)"
271,1.0,"(also,hud)"
272,2.0,"(also,hyrd)"
273,114.0,"(also,i)"
274,1.0,"(also,i9)"
275,1.0,"(also,ib2)"
276,1.0,"(also,ibiss)"
277,1.0,"(also,immedi)"
278,6.0,"(also,import)"
279,1.0,"(also,incom)"
280,7.0,"(also,inform)"
281,15.0,"(also,instead)"
282,2.0,"(also,instinct)"
283,4.0,"(also,insul)"
284,1.0,"(also,intrigu)"
285,1.0,"(also,island)"
286,5.0,"(also,issu)"
287,2.0,"(also,itll)"
288,10.0,"(also,jacket)"
289,14.0,"(also,jet)"
290,2.0,"(also,judg)"
291,2.0,"(also,junction)"
292,1.0,"(also,kashima)"
293,40.0,"(also,keep)"
294,1.0,"(also,kestrel)"
295,3.0,"(also,key)"
296,10.0,"(also,kit)"
297,1.0,"(also,kmh)"
298,1.0,"(also,knee)"
299,1.0,"(also,lag)"
300,7.0,"(also,larg)"
301,1.0,"(also,laseretch)"
302,1.0,"(also,leakag)"
303,1.0,"(also,leakproof)"
304,5.0,"(also,leav)"
305,1.0,"(also,legal)"
306,1.0,"(also,lend)"
307,1.0,"(also,lengthi)"
308,1.0,"(also,lessexpens)"
309,1.0,"(also,lessthanstellar)"
310,9.0,"(also,level)"
311,1.0,"(also,leverag)"
312,2.0,"(also,lezyn)"
313,2.0,"(also,lid)"
314,4.0,"(also,lift)"
315,5.0,"(also,lightest)"
316,11.0,"(also,lightweight)"
317,90.0,"(also,like)"
318,2.0,"(also,limitson)"
319,4.0,"(also,liner)"
320,2.0,"(also,listen)"
321,1.0,"(also,lone)"
322,1.0,"(also,longabout)"
323,15.0,"(also,longer)"
324,1.0,"(also,longevityth)"
325,1.0,"(also,loop)"
326,1.0,"(also,lowcarb)"
327,1.0,"(also,lowlight)"
328,1.0,"(also,lowspe)"
329,5.0,"(also,lunch)"
