,count,pair
0,1.0,"(atlant,a)"
1,1.0,"(atlant,across)"
2,1.0,"(atlant,around)"
3,1.0,"(atlant,assist)"
4,1.0,"(atlant,content)"
5,1.0,"(atlant,dover)"
6,2.0,"(atlant,forth)"
7,3.0,"(atlant,he)"
8,1.0,"(atlant,jeremi)"
9,1.0,"(atlant,jordan)"
10,1.0,"(atlant,khazan)"
11,1.0,"(atlant,krishnadev)"
12,3.0,"(atlant,matt)"
13,2.0,"(atlant,matthew)"
14,1.0,"(atlant,more)"
15,1.0,"(atlant,partner)"
16,1.0,"(atlant,pinsker)"
17,1.0,"(atlant,previous)"
18,2.0,"(atlant,professor)"
19,3.0,"(atlant,she)"
20,1.0,"(atlant,social)"
21,1.0,"(atlant,state)"
22,2.0,"(atlant,week)"
23,2.0,"(citi,10)"
24,2.0,"(citi,100)"
25,1.0,"(citi,170)"
26,1.0,"(citi,2)"
27,2.0,"(citi,2005)"
28,2.0,"(citi,2012)"
29,4.0,"(citi,21st)"
30,2.0,"(citi,24)"
31,1.0,"(citi,38)"
32,1.0,"(citi,9)"
33,4.0,"(citi,access)"
34,5.0,"(citi,address)"
35,2.0,"(citi,advoc)"
36,1.0,"(citi,affluent)"
37,1.0,"(citi,alcohol)"
38,4.0,"(citi,along)"
39,4.0,"(citi,ambiti)"
40,18.0,"(citi,america)"
41,1.0,"(citi,andr)"
42,1.0,"(citi,anniversari)"
43,2.0,"(citi,answer)"
44,2.0,"(citi,apart)"
45,3.0,"(citi,applic)"
46,1.0,"(citi,appreci)"
47,1.0,"(citi,attend)"
48,2.0,"(citi,audienc)"
49,1.0,"(citi,automat)"
50,1.0,"(citi,bamako)"
51,1.0,"(citi,barri)"
52,1.0,"(citi,beef)"
53,5.0,"(citi,belt)"
54,5.0,"(citi,best)"
55,3.0,"(citi,bill)"
56,1.0,"(citi,bombard)"
57,1.0,"(citi,breuer)"
58,3.0,"(citi,bring)"
59,1.0,"(citi,brt)"
60,1.0,"(citi,bryan)"
61,2.0,"(citi,builder)"
62,10.0,"(citi,busi)"
63,4.0,"(citi,buy)"
64,1.0,"(citi,byway)"
65,1.0,"(citi,canva)"
66,2.0,"(citi,capita)"
67,1.0,"(citi,captur)"
68,3.0,"(citi,card)"
69,1.0,"(citi,casino)"
70,6.0,"(citi,centuri)"
71,2.0,"(citi,ceo)"
72,1.0,"(citi,chief)"
73,4.0,"(citi,choic)"
74,2.0,"(citi,class)"
75,10.0,"(citi,climat)"
76,1.0,"(citi,coalit)"
77,1.0,"(citi,coastal)"
78,15.0,"(citi,come)"
79,1.0,"(citi,competit)"
80,4.0,"(citi,complaint)"
81,1.0,"(citi,complex)"
82,1.0,"(citi,condesa)"
83,1.0,"(citi,connor)"
84,1.0,"(citi,controlw)"
85,1.0,"(citi,convey)"
86,1.0,"(citi,corpor)"
87,1.0,"(citi,cosmopolitan)"
88,4.0,"(citi,coupl)"
89,3.0,"(citi,creativ)"
90,2.0,"(citi,creator)"
91,1.0,"(citi,crew)"
92,3.0,"(citi,crimin)"
93,4.0,"(citi,crisi)"
94,3.0,"(citi,crystal)"
95,1.0,"(citi,cub)"
96,9.0,"(citi,cultur)"
97,1.0,"(citi,daher)"
98,10.0,"(citi,day)"
99,1.0,"(citi,dayand)"
100,2.0,"(citi,dcs)"
101,1.0,"(citi,declar)"
102,2.0,"(citi,decrimin)"
103,1.0,"(citi,defin)"
104,1.0,"(citi,delamont)"
105,2.0,"(citi,demand)"
106,1.0,"(citi,deni)"
107,2.0,"(citi,devic)"
108,2.0,"(citi,discrimin)"
109,1.0,"(citi,divers)"
110,1.0,"(citi,doctor)"
111,1.0,"(citi,dri)"
112,1.0,"(citi,drought)"
113,3.0,"(citi,drove)"
114,1.0,"(citi,earthquak)"
115,1.0,"(citi,eater)"
116,1.0,"(citi,ecuador)"
117,1.0,"(citi,edg)"
118,1.0,"(citi,edit)"
119,1.0,"(citi,edward)"
120,1.0,"(citi,eisen)"
121,1.0,"(citi,emerg)"
122,1.0,"(citi,enclav)"
123,6.0,"(citi,enforc)"
124,1.0,"(citi,enhanc)"
125,1.0,"(citi,entiti)"
126,2.0,"(citi,environment)"
127,6.0,"(citi,especi)"
128,3.0,"(citi,estat)"
129,1.0,"(citi,euro)"
130,1.0,"(citi,everi)"
131,1.0,"(citi,everyon)"
132,2.0,"(citi,excerpt)"
133,2.0,"(citi,exchang)"
134,2.0,"(citi,expens)"
135,2.0,"(citi,expos)"
136,1.0,"(citi,express)"
137,1.0,"(citi,fairyland)"
138,1.0,"(citi,falk)"
139,2.0,"(citi,fan)"
140,1.0,"(citi,fariston)"
141,1.0,"(citi,fastest)"
142,1.0,"(citi,financ)"
143,3.0,"(citi,financi)"
144,1.0,"(citi,finger)"
145,1.0,"(citi,fire)"
146,1.0,"(citi,flight)"
147,2.0,"(citi,formal)"
148,3.0,"(citi,free)"
149,3.0,"(citi,gain)"
150,1.0,"(citi,gas)"
151,1.0,"(citi,gaze)"
152,1.0,"(citi,goe)"
153,6.0,"(citi,govern)"
154,1.0,"(citi,gray)"
155,1.0,"(citi,greek)"
156,1.0,"(citi,guardian)"
157,4.0,"(citi,half)"
158,6.0,"(citi,health)"
159,7.0,"(citi,hes)"
160,2.0,"(citi,homeown)"
161,1.0,"(citi,hood)"
162,3.0,"(citi,host)"
163,1.0,"(citi,hurrican)"
164,7.0,"(citi,idea)"
165,2.0,"(citi,imagin)"
166,5.0,"(citi,impact)"
167,1.0,"(citi,implement)"
168,3.0,"(citi,incarcer)"
169,5.0,"(citi,includ)"
170,1.0,"(citi,indic)"
171,8.0,"(citi,initi)"
172,1.0,"(citi,jame)"
173,1.0,"(citi,japan)"
174,1.0,"(citi,jetsonsera)"
175,1.0,"(citi,klaus)"
176,2.0,"(citi,know)"
177,1.0,"(citi,knowledg)"
178,3.0,"(citi,lab)"
179,4.0,"(citi,land)"
180,1.0,"(citi,lauren)"
181,5.0,"(citi,law)"
182,2.0,"(citi,led)"
183,1.0,"(citi,left)"
184,8.0,"(citi,life)"
185,1.0,"(citi,littl)"
186,2.0,"(citi,low)"
187,1.0,"(citi,madelein)"
188,1.0,"(citi,mantra)"
189,5.0,"(citi,market)"
190,1.0,"(citi,marshal)"
191,1.0,"(citi,mercado)"
192,1.0,"(citi,middleag)"
193,1.0,"(citi,migrant)"
194,2.0,"(citi,minneapoli)"
195,1.0,"(citi,mislead)"
196,2.0,"(citi,mistak)"
197,4.0,"(citi,modern)"
198,1.0,"(citi,mold)"
199,1.0,"(citi,montana)"
200,1.0,"(citi,moral)"
201,1.0,"(citi,morn)"
202,1.0,"(citi,movi)"
203,1.0,"(citi,mudflat)"
204,3.0,"(citi,must)"
205,1.0,"(citi,narrat)"
206,1.0,"(citi,natali)"
207,4.0,"(citi,nativ)"
208,11.0,"(citi,need)"
209,1.0,"(citi,nhl)"
210,1.0,"(citi,nimbi)"
211,1.0,"(citi,noodl)"
212,1.0,"(citi,northeastern)"
213,2.0,"(citi,nyc)"
214,1.0,"(citi,occur)"
215,1.0,"(citi,octob)"
216,1.0,"(citi,odditi)"
217,7.0,"(citi,often)"
218,1.0,"(citi,oldstyl)"
219,2.0,"(citi,omalley)"
220,1.0,"(citi,oncal)"
221,3.0,"(citi,oper)"
222,1.0,"(citi,operateand)"
223,4.0,"(citi,out)"
224,1.0,"(citi,outsiz)"
225,1.0,"(citi,own)"
226,2.0,"(citi,pacif)"
227,1.0,"(citi,paradis)"
228,1.0,"(citi,pathway)"
229,1.0,"(citi,patronag)"
230,1.0,"(citi,peak)"
231,1.0,"(citi,perman)"
232,1.0,"(citi,permiss)"
233,2.0,"(citi,pick)"
234,2.0,"(citi,pilot)"
235,2.0,"(citi,plant)"
236,4.0,"(citi,play)"
237,1.0,"(citi,pledg)"
238,1.0,"(citi,ponder)"
239,1.0,"(citi,poorest)"
240,1.0,"(citi,pound)"
241,1.0,"(citi,preemin)"
242,6.0,"(citi,presid)"
243,6.0,"(citi,previous)"
244,1.0,"(citi,pride)"
245,19.0,"(citi,problem)"
246,1.0,"(citi,profound)"
247,13.0,"(citi,project)"
248,3.0,"(citi,promis)"
249,1.0,"(citi,prosecut)"
250,1.0,"(citi,pskowski)"
251,30.0,"(citi,public)"
252,1.0,"(citi,radic)"
253,2.0,"(citi,ralph)"
254,1.0,"(citi,rare)"
255,1.0,"(citi,realiti)"
256,1.0,"(citi,realtim)"
257,1.0,"(citi,reduct)"
258,1.0,"(citi,referendum)"
259,1.0,"(citi,relationship)"
260,1.0,"(citi,relentless)"
261,15.0,"(citi,report)"
262,1.0,"(citi,reproduc)"
263,3.0,"(citi,revit)"
264,1.0,"(citi,revolut)"
265,1.0,"(citi,riccardi)"
266,2.0,"(citi,ridership)"
267,1.0,"(citi,rueda)"
268,4.0,"(citi,run)"
269,3.0,"(citi,rural)"
270,1.0,"(citi,salon)"
271,1.0,"(citi,sarisari)"
272,2.0,"(citi,saw)"
273,3.0,"(citi,scene)"
274,2.0,"(citi,schaller)"
275,1.0,"(citi,schism)"
276,1.0,"(citi,scrugg)"
277,4.0,"(citi,sculptur)"
278,1.0,"(citi,secondlargest)"
279,3.0,"(citi,sector)"
280,2.0,"(citi,secur)"
281,4.0,"(citi,seven)"
282,2.0,"(citi,sf)"
283,1.0,"(citi,shadowi)"
284,5.0,"(citi,shape)"
285,2.0,"(citi,short)"
286,1.0,"(citi,shortchang)"
287,1.0,"(citi,should)"
288,1.0,"(citi,shrink)"
289,5.0,"(citi,shutterstockcom)"
290,1.0,"(citi,site)"
291,2.0,"(citi,skeleton)"
292,1.0,"(citi,slew)"
293,1.0,"(citi,somewher)"
294,1.0,"(citi,sotu)"
295,1.0,"(citi,speci)"
296,3.0,"(citi,spend)"
297,2.0,"(citi,spring)"
298,4.0,"(citi,st)"
299,2.0,"(citi,stanford)"
300,14.0,"(citi,state)"
301,1.0,"(citi,statewid)"
302,1.0,"(citi,statuari)"
303,1.0,"(citi,stephen)"
304,1.0,"(citi,stoni)"
305,1.0,"(citi,storefront)"
306,1.0,"(citi,storey)"
307,1.0,"(citi,storytel)"
308,1.0,"(citi,strateg)"
309,1.0,"(citi,strength)"
310,1.0,"(citi,strong)"
311,7.0,"(citi,struggl)"
312,2.0,"(citi,submit)"
313,1.0,"(citi,suck)"
314,2.0,"(citi,sunday)"
315,1.0,"(citi,suspicion)"
316,1.0,"(citi,swift)"
317,1.0,"(citi,symbol)"
318,3.0,"(citi,taken)"
319,6.0,"(citi,talk)"
320,1.0,"(citi,tend)"
321,1.0,"(citi,term)"
322,3.0,"(citi,these)"
323,1.0,"(citi,they)"
324,1.0,"(citi,theyv)"
325,1.0,"(citi,tide)"
326,1.0,"(citi,tire)"
327,1.0,"(citi,tower)"
328,1.0,"(citi,transmiss)"
329,15.0,"(citi,transport)"
330,3.0,"(citi,tree)"
331,1.0,"(citi,tribut)"
332,4.0,"(citi,twitter)"
333,1.0,"(citi,un)"
334,13.0,"(citi,univers)"
335,2.0,"(citi,unstabl)"
336,1.0,"(citi,uproot)"
337,1.0,"(citi,user)"
338,2.0,"(citi,vast)"
339,1.0,"(citi,vein)"
340,2.0,"(citi,vision)"
341,2.0,"(citi,voucher)"
342,2.0,"(citi,vy)"
343,2.0,"(citi,walker)"
344,8.0,"(citi,washington)"
345,3.0,"(citi,wave)"
346,2.0,"(citi,west)"
347,3.0,"(citi,when)"
348,1.0,"(citi,will)"
349,1.0,"(citi,woo)"
350,1.0,"(citi,wwwjamessrussellnet)"
351,3.0,"(citi,yet)"
352,1.0,"(citylab,alastair)"
353,2.0,"(citylab,atlant)"
354,1.0,"(citylab,boon)"
355,1.0,"(citylab,clair)"
356,1.0,"(citylab,data)"
357,1.0,"(citylab,dc)"
358,1.0,"(citylab,denvir)"
359,1.0,"(citylab,dilday)"
360,1.0,"(citylab,editorinchief)"
361,1.0,"(citylab,harvard)"
362,6.0,"(citylab,he)"
363,1.0,"(citylab,local)"
364,3.0,"(citylab,manag)"
365,1.0,"(citylab,mathew)"
366,2.0,"(citylab,mathi)"
367,1.0,"(citylab,montgomeri)"
368,2.0,"(citylab,poon)"
369,1.0,"(citylab,sara)"
370,5.0,"(citylab,senior)"
371,4.0,"(citylab,she)"
372,2.0,"(citylab,shes)"
373,1.0,"(citylab,slate)"
374,9.0,"(citylab,staff)"
375,489.0,"(citylab,tell)"
376,1.0,"(citylab,textil)"
377,1.0,"(citylab,thick)"
378,1.0,"(citylab,walljasp)"
379,13.0,"(citylab,writer)"
380,1.0,"(group,american)"
381,2.0,"(group,around)"
382,2.0,"(group,away)"
383,1.0,"(group,battl)"
384,1.0,"(group,bias)"
385,1.0,"(group,biennial)"
386,1.0,"(group,buy)"
387,1.0,"(group,ceo)"
388,1.0,"(group,claim)"
389,1.0,"(group,ecomind)"
390,1.0,"(group,edina)"
391,1.0,"(group,editor)"
392,1.0,"(group,exist)"
393,1.0,"(group,feel)"
394,1.0,"(group,fewer)"
395,1.0,"(group,food)"
396,1.0,"(group,gear)"
397,492.0,"(group,group)"
398,1.0,"(group,home)"
399,1.0,"(group,in)"
400,1.0,"(group,intern)"
