,count,pair
0,1.0,"(advertis,associ)"
1,1.0,"(advertis,book)"
2,5.0,"(advertis,car)"
3,1.0,"(advertis,editori)"
4,2.0,"(advertis,gearhead)"
5,2.0,"(advertis,i)"
6,2.0,"(advertis,includ)"
7,1.0,"(advertis,incorrect)"
8,1.0,"(advertis,isnt)"
9,1.0,"(advertis,languag)"
10,1.0,"(advertis,news)"
11,1.0,"(advertis,notic)"
12,1.0,"(advertis,order)"
13,2.0,"(advertis,provid)"
14,2.0,"(advertis,report)"
15,1.0,"(advertis,serious)"
16,5.0,"(advertis,the)"
17,1.0,"(advertis,we)"
18,1.0,"(advertis,well)"
19,2.0,"(also,000)"
20,1.0,"(also,10spoke)"
21,1.0,"(also,112)"
22,2.0,"(also,12)"
23,1.0,"(also,140)"
24,2.0,"(also,1960s)"
25,2.0,"(also,19932000)"
26,2.0,"(also,20052009)"
27,2.0,"(also,2013)"
28,1.0,"(also,350z)"
29,3.0,"(also,35liter)"
30,1.0,"(also,392)"
31,1.0,"(also,62liter)"
32,1.0,"(also,68)"
33,2.0,"(also,707)"
34,1.0,"(also,75)"
35,1.0,"(also,8600)"
36,1.0,"(also,9146)"
37,3.0,"(also,abl)"
38,13.0,"(also,actual)"
39,2.0,"(also,alreadi)"
40,5.0,"(also,although)"
41,21.0,"(also,and)"
42,1.0,"(also,anonym)"
43,1.0,"(also,appeal)"
44,1.0,"(also,appli)"
45,1.0,"(also,area)"
46,1.0,"(also,art)"
47,1.0,"(also,assault)"
48,1.0,"(also,assess)"
49,1.0,"(also,asset)"
50,1.0,"(also,at)"
51,2.0,"(also,author)"
52,1.0,"(also,auxiliari)"
53,13.0,"(also,avail)"
54,1.0,"(also,aviat)"
55,1.0,"(also,await)"
56,3.0,"(also,b)"
57,1.0,"(also,batteri)"
58,1.0,"(also,begin)"
59,1.0,"(also,bieber)"
60,1.0,"(also,blank)"
61,2.0,"(also,boast)"
62,1.0,"(also,bottom)"
63,16.0,"(also,brake)"
64,1.0,"(also,brought)"
65,2.0,"(also,buddi)"
66,1.0,"(also,cannon)"
67,91.0,"(also,car)"
68,1.0,"(also,car2go)"
69,12.0,"(also,carbon)"
70,1.0,"(also,carburetor)"
71,1.0,"(also,care)"
72,1.0,"(also,championship)"
73,4.0,"(also,chanc)"
74,1.0,"(also,childhood)"
75,1.0,"(also,clarkson)"
76,1.0,"(also,clinton)"
77,2.0,"(also,club)"
78,1.0,"(also,clutch)"
79,1.0,"(also,complaint)"
80,6.0,"(also,complet)"
81,4.0,"(also,confus)"
82,3.0,"(also,conveni)"
83,2.0,"(also,convict)"
84,18.0,"(also,could)"
85,1.0,"(also,damag)"
86,4.0,"(also,damn)"
87,1.0,"(also,daniil)"
88,3.0,"(also,dart)"
89,2.0,"(also,daytona)"
