,count,pair
0,360.0,"(like,)"
1,8.0,"(like,14)"
2,3.0,"(like,151)"
3,1.0,"(like,1516)"
4,1.0,"(like,1950s)"
5,6.0,"(like,1999)"
6,1.0,"(like,19th)"
7,1.0,"(like,200)"
8,1.0,"(like,2013)"
9,2.0,"(like,2020)"
10,1.0,"(like,21)"
11,2.0,"(like,26th)"
12,7.0,"(like,28)"
13,3.0,"(like,28day)"
14,4.0,"(like,3)"
15,1.0,"(like,35)"
16,1.0,"(like,375)"
17,2.0,"(like,40th)"
18,1.0,"(like,410)"
19,1.0,"(like,585)"
20,6.0,"(like,63)"
21,1.0,"(like,71yearold)"
22,1.0,"(like,830)"
23,1.0,"(like,84)"
24,3.0,"(like,98)"
25,6.0,"(like,accompani)"
26,3.0,"(like,across)"
27,6.0,"(like,act)"
28,5.0,"(like,adam)"
29,3.0,"(like,advic)"
30,1.0,"(like,affair)"
31,4.0,"(like,ago)"
32,1.0,"(like,agre)"
33,1.0,"(like,airtight)"
34,3.0,"(like,alien)"
35,2.0,"(like,aliv)"
36,1.0,"(like,allthetim)"
37,19.0,"(like,almost)"
38,3.0,"(like,amus)"
39,1.0,"(like,ancestor)"
40,1.0,"(like,anchorman)"
41,2.0,"(like,anniversari)"
42,3.0,"(like,announc)"
43,1.0,"(like,annoy)"
44,16.0,"(like,anoth)"
45,5.0,"(like,antibiot)"
46,1.0,"(like,antihillari)"
47,2.0,"(like,anybodi)"
48,8.0,"(like,app)"
49,2.0,"(like,appear)"
50,1.0,"(like,arc)"
51,1.0,"(like,archi)"
52,3.0,"(like,area)"
53,1.0,"(like,arena)"
54,2.0,"(like,argentinean)"
55,2.0,"(like,arthur)"
56,3.0,"(like,arugula)"
57,2.0,"(like,asia)"
58,4.0,"(like,assassin)"
59,1.0,"(like,atop)"
60,2.0,"(like,attract)"
61,2.0,"(like,authent)"
62,1.0,"(like,autom)"
63,16.0,"(like,ave)"
64,15.0,"(like,avocado)"
65,1.0,"(like,bachelor)"
66,3.0,"(like,backroom)"
67,1.0,"(like,backyard)"
68,2.0,"(like,balanc)"
69,1.0,"(like,balthazar)"
70,2.0,"(like,bandana)"
71,1.0,"(like,basebal)"
72,1.0,"(like,baseballthem)"
73,3.0,"(like,baymax)"
74,2.0,"(like,be)"
75,5.0,"(like,beauti)"
76,4.0,"(like,becam)"
77,4.0,"(like,becom)"
78,1.0,"(like,berlin)"
79,1.0,"(like,berri)"
80,5.0,"(like,beverag)"
81,22.0,"(like,big)"
82,1.0,"(like,bing)"
83,23.0,"(like,black)"
84,1.0,"(like,blackandwhitetil)"
85,4.0,"(like,blanket)"
86,3.0,"(like,block)"
87,3.0,"(like,board)"
88,1.0,"(like,boat)"
89,1.0,"(like,bodega)"
90,1.0,"(like,boot)"
91,2.0,"(like,booza)"
92,1.0,"(like,boulud)"
93,6.0,"(like,bourbon)"
94,1.0,"(like,bowlthat)"
95,1.0,"(like,breath)"
96,9.0,"(like,brew)"
97,2.0,"(like,brickwal)"
98,1.0,"(like,bridgeg)"
99,4.0,"(like,broth)"
100,11.0,"(like,brother)"
101,2.0,"(like,bruffin)"
102,2.0,"(like,brunchfocus)"
103,2.0,"(like,burrito)"
104,2.0,"(like,bushwick)"
105,35.0,"(like,but)"
106,14.0,"(like,butter)"
107,1.0,"(like,cabinet)"
108,1.0,"(like,caesar)"
109,7.0,"(like,cake)"
110,2.0,"(like,campaign)"
111,1.0,"(like,cancel)"
112,11.0,"(like,candi)"
113,1.0,"(like,canfor)"
114,1.0,"(like,cantina)"
115,1.0,"(like,caption)"
116,3.0,"(like,care)"
117,2.0,"(like,carl)"
118,1.0,"(like,cattl)"
119,1.0,"(like,center)"
120,1.0,"(like,ceremoni)"
121,1.0,"(like,cha)"
122,3.0,"(like,challeng)"
123,1.0,"(like,chan)"
124,1.0,"(like,checklist)"
125,1.0,"(like,cheeki)"
126,1.0,"(like,cherish)"
127,2.0,"(like,chicago)"
128,2.0,"(like,chilaquil)"
129,1.0,"(like,childlik)"
130,8.0,"(like,chili)"
131,3.0,"(like,circl)"
132,6.0,"(like,clam)"
133,1.0,"(like,clash)"
134,14.0,"(like,club)"
135,7.0,"(like,coconut)"
136,18.0,"(like,coffe)"
137,1.0,"(like,cohn)"
138,4.0,"(like,comfort)"
139,2.0,"(like,comic)"
140,2.0,"(like,commut)"
141,4.0,"(like,compar)"
142,2.0,"(like,compet)"
143,1.0,"(like,content)"
144,3.0,"(like,control)"
145,2.0,"(like,core)"
146,5.0,"(like,counter)"
147,2.0,"(like,countrysid)"
148,2.0,"(like,courtroom)"
149,1.0,"(like,courtyard)"
150,10.0,"(like,cover)"
151,1.0,"(like,cozi)"
152,3.0,"(like,croquett)"
153,1.0,"(like,cuckoo)"
154,1.0,"(like,cuit)"
155,1.0,"(like,cunningham)"
156,11.0,"(like,custom)"
157,5.0,"(like,d)"
158,1.0,"(like,daiya)"
159,1.0,"(like,damn)"
160,1.0,"(like,dart)"
161,2.0,"(like,dassara)"
162,6.0,"(like,daughter)"
163,9.0,"(like,death)"
164,1.0,"(like,decept)"
165,9.0,"(like,deep)"
166,1.0,"(like,deli)"
167,1.0,"(like,departur)"
168,3.0,"(like,depend)"
169,1.0,"(like,diabet)"
170,1.0,"(like,dinah)"
171,98.0,"(like,dish)"
172,1.0,"(like,dishwash)"
173,1.0,"(like,distinct)"
174,1.0,"(like,diwali)"
175,2.0,"(like,doherti)"
176,1.0,"(like,donald)"
177,1.0,"(like,dope)"
178,4.0,"(like,dragon)"
179,1.0,"(like,drank)"
180,1.0,"(like,drape)"
181,2.0,"(like,draw)"
182,6.0,"(like,drop)"
183,3.0,"(like,duck)"
184,1.0,"(like,dufresn)"
185,1.0,"(like,dumpl)"
186,2.0,"(like,ear)"
187,2.0,"(like,earn)"
188,1.0,"(like,earnest)"
189,1.0,"(like,easili)"
190,31.0,"(like,egg)"
191,4.0,"(like,eggplant)"
192,2.0,"(like,emboss)"
193,2.0,"(like,emot)"
194,1.0,"(like,empower)"
195,1.0,"(like,encourag)"
196,1.0,"(like,entertain)"
197,1.0,"(like,envelop)"
198,9.0,"(like,episod)"
199,1.0,"(like,equal)"
200,2.0,"(like,essay)"
201,2.0,"(like,estell)"
202,1.0,"(like,europeunlik)"
203,9.0,"(like,ever)"
204,1.0,"(like,exe)"
205,3.0,"(like,expand)"
206,4.0,"(like,experienc)"
207,1.0,"(like,experimentalclass)"
208,4.0,"(like,explain)"
209,1.0,"(like,factori)"
210,1.0,"(like,faith)"
211,9.0,"(like,fall)"
212,2.0,"(like,fascin)"
213,1.0,"(like,faze)"
214,2.0,"(like,februari)"
215,1.0,"(like,fed)"
216,1.0,"(like,feder)"
217,2.0,"(like,feed)"
218,2.0,"(like,femal)"
219,1.0,"(like,feta)"
220,29.0,"(like,find)"
221,1.0,"(like,finest)"
222,1.0,"(like,firm)"
223,2.0,"(like,fit)"
224,2.0,"(like,flour)"
225,3.0,"(like,foodi)"
226,1.0,"(like,fourpart)"
227,30.0,"(like,fresh)"
228,1.0,"(like,freshest)"
