,count,pair,word,cooccurword,alphaword
0,360.0,"(like,)",,like,like
1,8.0,"(like,14)",14,like,14like
2,3.0,"(like,151)",151,like,151like
3,1.0,"(like,1516)",1516,like,1516like
4,1.0,"(like,1950s)",1950s,like,1950slike
5,6.0,"(like,1999)",1999,like,1999like
6,1.0,"(like,19th)",19th,like,19thlike
7,1.0,"(like,200)",200,like,200like
8,1.0,"(like,2013)",2013,like,2013like
9,2.0,"(like,2020)",2020,like,2020like
10,1.0,"(like,21)",21,like,21like
11,2.0,"(like,26th)",26th,like,26thlike
12,7.0,"(like,28)",28,like,28like
13,3.0,"(like,28day)",28day,like,28daylike
14,4.0,"(like,3)",3,like,3like
15,1.0,"(like,35)",35,like,35like
16,1.0,"(like,375)",375,like,375like
17,2.0,"(like,40th)",40th,like,40thlike
18,1.0,"(like,410)",410,like,410like
19,1.0,"(like,585)",585,like,585like
20,6.0,"(like,63)",63,like,63like
21,1.0,"(like,71yearold)",71yearold,like,71yearoldlike
22,1.0,"(like,830)",830,like,830like
23,1.0,"(like,84)",84,like,84like
24,3.0,"(like,98)",98,like,98like
25,6.0,"(like,accompani)",accompani,like,accompanilike
26,3.0,"(like,across)",across,like,acrosslike
27,6.0,"(like,act)",act,like,actlike
28,5.0,"(like,adam)",adam,like,adamlike
29,3.0,"(like,advic)",advic,like,adviclike
30,1.0,"(like,affair)",affair,like,affairlike
31,4.0,"(like,ago)",ago,like,agolike
32,1.0,"(like,agre)",agre,like,agrelike
33,1.0,"(like,airtight)",airtight,like,airtightlike
34,3.0,"(like,alien)",alien,like,alienlike
35,2.0,"(like,aliv)",aliv,like,alivlike
36,1.0,"(like,allthetim)",allthetim,like,allthetimlike
37,19.0,"(like,almost)",almost,like,almostlike
38,3.0,"(like,amus)",amus,like,amuslike
39,1.0,"(like,ancestor)",ancestor,like,ancestorlike
40,1.0,"(like,anchorman)",anchorman,like,anchormanlike
41,2.0,"(like,anniversari)",anniversari,like,anniversarilike
42,3.0,"(like,announc)",announc,like,announclike
43,1.0,"(like,annoy)",annoy,like,annoylike
44,16.0,"(like,anoth)",anoth,like,anothlike
45,5.0,"(like,antibiot)",antibiot,like,antibiotlike
46,1.0,"(like,antihillari)",antihillari,like,antihillarilike
47,2.0,"(like,anybodi)",anybodi,like,anybodilike
48,8.0,"(like,app)",app,like,applike
49,2.0,"(like,appear)",appear,like,appearlike
50,1.0,"(like,arc)",arc,like,arclike
51,1.0,"(like,archi)",archi,like,archilike
52,3.0,"(like,area)",area,like,arealike
53,1.0,"(like,arena)",arena,like,arenalike
54,2.0,"(like,argentinean)",argentinean,like,argentineanlike
55,2.0,"(like,arthur)",arthur,like,arthurlike
56,3.0,"(like,arugula)",arugula,like,arugulalike
57,2.0,"(like,asia)",asia,like,asialike
58,4.0,"(like,assassin)",assassin,like,assassinlike
59,1.0,"(like,atop)",atop,like,atoplike
60,2.0,"(like,attract)",attract,like,attractlike
61,2.0,"(like,authent)",authent,like,authentlike
62,1.0,"(like,autom)",autom,like,automlike
63,16.0,"(like,ave)",ave,like,avelike
64,15.0,"(like,avocado)",avocado,like,avocadolike
65,1.0,"(like,bachelor)",bachelor,like,bachelorlike
66,3.0,"(like,backroom)",backroom,like,backroomlike
67,1.0,"(like,backyard)",backyard,like,backyardlike
68,2.0,"(like,balanc)",balanc,like,balanclike
69,1.0,"(like,balthazar)",balthazar,like,balthazarlike
70,2.0,"(like,bandana)",bandana,like,bandanalike
71,1.0,"(like,basebal)",basebal,like,baseballike
72,1.0,"(like,baseballthem)",baseballthem,like,baseballthemlike
73,3.0,"(like,baymax)",baymax,like,baymaxlike
74,2.0,"(like,be)",be,like,belike
75,5.0,"(like,beauti)",beauti,like,beautilike
76,4.0,"(like,becam)",becam,like,becamlike
77,4.0,"(like,becom)",becom,like,becomlike
78,1.0,"(like,berlin)",berlin,like,berlinlike
79,1.0,"(like,berri)",berri,like,berrilike
80,5.0,"(like,beverag)",beverag,like,beveraglike
81,22.0,"(like,big)",big,like,biglike
82,1.0,"(like,bing)",bing,like,binglike
83,23.0,"(like,black)",black,like,blacklike
84,1.0,"(like,blackandwhitetil)",blackandwhitetil,like,blackandwhitetillike
85,4.0,"(like,blanket)",blanket,like,blanketlike
86,3.0,"(like,block)",block,like,blocklike
87,3.0,"(like,board)",board,like,boardlike
88,1.0,"(like,boat)",boat,like,boatlike
89,1.0,"(like,bodega)",bodega,like,bodegalike
90,1.0,"(like,boot)",boot,like,bootlike
91,2.0,"(like,booza)",booza,like,boozalike
92,1.0,"(like,boulud)",boulud,like,bouludlike
93,6.0,"(like,bourbon)",bourbon,like,bourbonlike
94,1.0,"(like,bowlthat)",bowlthat,like,bowlthatlike
95,1.0,"(like,breath)",breath,like,breathlike
