,count,pair,word,cooccurword,alphaword
0,2.0,"(citi,10)",10,citi,10citi
1,1.0,"(citi,100)",100,citi,100citi
2,1.0,"(citi,191)",191,citi,191citi
3,1.0,"(citi,1970s)",1970s,citi,1970sciti
4,2.0,"(citi,2005)",2005,citi,2005citi
5,1.0,"(citi,200plus)",200plus,citi,200plusciti
6,1.0,"(citi,200year)",200year,citi,200yearciti
7,1.0,"(citi,660)",660,citi,660citi
8,1.0,"(citi,730)",730,citi,730citi
9,1.0,"(citi,9)",9,citi,9citi
10,1.0,"(citi,access)",access,citi,accessciti
11,1.0,"(citi,ad)",ad,citi,adciti
12,1.0,"(citi,address)",address,citi,addressciti
13,1.0,"(citi,advoc)",advoc,citi,advocciti
14,1.0,"(citi,afternoon)",afternoon,citi,afternoonciti
15,1.0,"(citi,all)",all,citi,allciti
16,3.0,"(citi,along)",along,citi,alongciti
17,1.0,"(citi,ambival)",ambival,citi,ambivalciti
18,1.0,"(citi,america)",america,citi,americaciti
19,1.0,"(citi,approv)",approv,citi,approvciti
20,1.0,"(citi,arriv)",arriv,citi,arrivciti
21,2.0,"(citi,attend)",attend,citi,attendciti
22,1.0,"(citi,avoid)",avoid,citi,avoidciti
23,2.0,"(citi,babi)",babi,citi,babiciti
24,1.0,"(citi,barbara)",barbara,citi,barbaraciti
25,6.0,"(citi,beach)",beach,citi,beachciti
26,1.0,"(citi,befor)",befor,citi,beforciti
27,3.0,"(citi,best)",best,citi,bestciti
28,2.0,"(citi,bright)",bright,citi,brightciti
29,4.0,"(citi,bring)",bring,citi,bringciti
30,1.0,"(citi,burglari)",burglari,citi,burglariciti
31,11.0,"(citi,busi)",busi,citi,busiciti
32,1.0,"(citi,cafe)",cafe,citi,cafeciti
33,3.0,"(citi,came)",came,citi,cameciti
34,1.0,"(citi,card)",card,citi,cardciti
35,1.0,"(citi,cash)",cash,citi,cashciti
36,1.0,"(citi,certain)",certain,citi,certainciti
37,2.0,"(citi,chief)",chief,citi,chiefciti
38,1.0,"(citi,childhood)",childhood,citi,childhoodciti
39,1.0,"(citi,class)",citi,class,citiclass
40,4.0,"(citi,climat)",citi,climat,citiclimat
41,1.0,"(citi,close)",citi,close,citiclose
42,1.0,"(citi,cocktail)",citi,cocktail,citicocktail
43,11.0,"(citi,come)",citi,come,citicome
44,1.0,"(citi,competit)",citi,competit,citicompetit
45,2.0,"(citi,complaint)",citi,complaint,citicomplaint
46,2.0,"(citi,contend)",citi,contend,citicontend
47,2.0,"(citi,corpor)",citi,corpor,citicorpor
48,6.0,"(citi,coupl)",citi,coupl,citicoupl
49,2.0,"(citi,court)",citi,court,citicourt
50,2.0,"(citi,crane)",citi,crane,citicrane
51,4.0,"(citi,crimin)",citi,crimin,citicrimin
52,1.0,"(citi,crisi)",citi,crisi,citicrisi
53,1.0,"(citi,crumbl)",citi,crumbl,citicrumbl
54,1.0,"(citi,crystal)",citi,crystal,citicrystal
55,1.0,"(citi,cultur)",citi,cultur,citicultur
56,3.0,"(citi,daili)",citi,daili,citidaili
57,7.0,"(citi,day)",citi,day,citiday
58,1.0,"(citi,demonstr)",citi,demonstr,citidemonstr
59,1.0,"(citi,dieselguzzl)",citi,dieselguzzl,citidieselguzzl
60,1.0,"(citi,dilemma)",citi,dilemma,citidilemma
61,1.0,"(citi,discount)",citi,discount,citidiscount
62,2.0,"(citi,discov)",citi,discov,citidiscov
63,2.0,"(citi,discrimin)",citi,discrimin,citidiscrimin
64,1.0,"(citi,doctor)",citi,doctor,citidoctor
65,1.0,"(citi,element)",citi,element,citielement
66,1.0,"(citi,emerg)",citi,emerg,citiemerg
67,1.0,"(citi,enrol)",citi,enrol,citienrol
68,1.0,"(citi,eponym)",citi,eponym,citieponym
69,2.0,"(citi,especi)",citi,especi,citiespeci
70,2.0,"(citi,estat)",citi,estat,citiestat
71,2.0,"(citi,everi)",citi,everi,citieveri
72,2.0,"(citi,excess)",citi,excess,citiexcess
73,2.0,"(citi,express)",citi,express,citiexpress
74,1.0,"(citi,fatal)",citi,fatal,citifatal
75,2.0,"(citi,festiv)",citi,festiv,citifestiv
76,2.0,"(citi,financi)",citi,financi,citifinanci
77,3.0,"(citi,fire)",citi,fire,citifire
78,1.0,"(citi,fleet)",citi,fleet,citifleet
79,1.0,"(citi,free)",citi,free,citifree
80,1.0,"(citi,gain)",citi,gain,citigain
81,3.0,"(citi,gas)",citi,gas,citigas
82,3.0,"(citi,gase)",citi,gase,citigase
83,5.0,"(citi,govern)",citi,govern,citigovern
84,5.0,"(citi,half)",citi,half,citihalf
85,1.0,"(citi,health)",citi,health,citihealth
86,1.0,"(citi,helmet)",citi,helmet,citihelmet
87,1.0,"(citi,hes)",citi,hes,citihes
88,1.0,"(citi,homeown)",citi,homeown,citihomeown
89,1.0,"(citi,horribl)",citi,horribl,citihorribl
90,4.0,"(citi,host)",citi,host,citihost
91,1.0,"(citi,imagin)",citi,imagin,citiimagin
92,2.0,"(citi,impact)",citi,impact,citiimpact
93,1.0,"(citi,implement)",citi,implement,citiimplement
94,1.0,"(citi,imprimatur)",citi,imprimatur,citiimprimatur
95,3.0,"(citi,includ)",citi,includ,citiinclud
96,1.0,"(citi,indulg)",citi,indulg,citiindulg
97,4.0,"(citi,initi)",citi,initi,citiiniti
98,1.0,"(citi,jame)",citi,jame,citijame
99,1.0,"(citi,jlo)",citi,jlo,citijlo
100,1.0,"(citi,justin)",citi,justin,citijustin
101,2.0,"(citi,land)",citi,land,citiland
102,2.0,"(citi,law)",citi,law,citilaw
103,1.0,"(citi,lawenforc)",citi,lawenforc,citilawenforc
104,3.0,"(citi,led)",citi,led,citiled
105,5.0,"(citi,left)",citi,left,citileft
106,1.0,"(citi,liaison)",citi,liaison,citiliaison
107,3.0,"(citi,licens)",citi,licens,citilicens
108,3.0,"(citi,life)",citi,life,citilife
109,1.0,"(citi,littl)",citi,littl,citilittl
110,1.0,"(citi,low)",citi,low,citilow
111,2.0,"(citi,magic)",citi,magic,citimagic
112,1.0,"(citi,market)",citi,market,citimarket
113,1.0,"(citi,maryland)",citi,maryland,citimaryland
114,1.0,"(citi,matter)",citi,matter,citimatter
115,3.0,"(citi,modern)",citi,modern,citimodern
116,3.0,"(citi,must)",citi,must,citimust
117,9.0,"(citi,need)",citi,need,citineed
118,1.0,"(citi,netherland)",citi,netherland,citinetherland
119,1.0,"(citi,ngo)",citi,ngo,citingo
120,1.0,"(citi,northeastern)",citi,northeastern,citinortheastern
121,1.0,"(citi,nu)",citi,nu,citinu
122,1.0,"(citi,oaxacan)",citi,oaxacan,citioaxacan
123,3.0,"(citi,often)",citi,often,citioften
124,4.0,"(citi,omalley)",citi,omalley,citiomalley
125,3.0,"(citi,oper)",citi,oper,citioper
126,1.0,"(citi,or)",citi,or,citior
127,1.0,"(citi,ostens)",citi,ostens,citiostens
128,1.0,"(citi,out)",citi,out,citiout
129,1.0,"(citi,outofst)",citi,outofst,citioutofst
130,1.0,"(citi,overlook)",citi,overlook,citioverlook
131,1.0,"(citi,overtaken)",citi,overtaken,citiovertaken
132,1.0,"(citi,own)",citi,own,citiown
133,3.0,"(citi,peak)",citi,peak,citipeak
134,1.0,"(citi,perman)",citi,perman,citiperman
135,2.0,"(citi,pile)",citi,pile,citipile
136,1.0,"(citi,plain)",citi,plain,citiplain
137,2.0,"(citi,plaincloth)",citi,plaincloth,citiplaincloth
138,2.0,"(citi,plant)",citi,plant,citiplant
139,1.0,"(citi,play)",citi,play,citiplay
140,2.0,"(citi,postfear)",citi,postfear,citipostfear
141,1.0,"(citi,pound)",citi,pound,citipound
142,1.0,"(citi,presag)",citi,presag,citipresag
143,5.0,"(citi,presid)",citi,presid,citipresid
144,5.0,"(citi,problem)",citi,problem,citiproblem
145,1.0,"(citi,profil)",citi,profil,citiprofil
146,3.0,"(citi,project)",citi,project,citiproject
147,8.0,"(citi,public)",citi,public,citipublic
148,1.0,"(citi,punish)",citi,punish,citipunish
149,1.0,"(citi,raid)",citi,raid,citiraid
150,1.0,"(citi,rare)",citi,rare,citirare
151,1.0,"(citi,realiti)",citi,realiti,citirealiti
152,1.0,"(citi,reduct)",citi,reduct,citireduct
153,1.0,"(citi,referendum)",citi,referendum,citireferendum
154,1.0,"(citi,regist)",citi,regist,citiregist
155,1.0,"(citi,relentless)",citi,relentless,citirelentless
156,6.0,"(citi,report)",citi,report,citireport
157,1.0,"(citi,risen)",citi,risen,citirisen
158,1.0,"(citi,robberi)",citi,robberi,citirobberi
159,1.0,"(citi,roca)",citi,roca,citiroca
160,1.0,"(citi,rode)",citi,rode,citirode
161,4.0,"(citi,run)",citi,run,citirun
162,1.0,"(citi,saw)",citi,saw,citisaw
163,1.0,"(citi,scale)",citi,scale,citiscale
164,1.0,"(citi,sector)",citi,sector,citisector
165,1.0,"(citi,secur)",citi,secur,citisecur
166,1.0,"(citi,segreg)",citi,segreg,citisegreg
167,1.0,"(citi,short)",citi,short,citishort
168,3.0,"(citi,site)",citi,site,citisite
169,2.0,"(citi,slogan)",citi,slogan,citislogan
170,2.0,"(citi,sort)",citi,sort,citisort
171,3.0,"(citi,spend)",citi,spend,citispend
172,1.0,"(citi,spring)",citi,spring,citispring
173,1.0,"(citi,st)",citi,st,citist
174,1.0,"(citi,starledg)",citi,starledg,citistarledg
175,9.0,"(citi,state)",citi,state,citistate
176,1.0,"(citi,stockholm)",citi,stockholm,citistockholm
177,1.0,"(citi,straight)",citi,straight,citistraight
178,1.0,"(citi,struggl)",citi,struggl,citistruggl
179,1.0,"(citi,sunday)",citi,sunday,citisunday
