,count,pair,word,cooccurword,alphaword
0,507.0,"(like,)",,like,like
1,2.0,"(like,10yearold)",10yearold,like,10yearoldlike
2,1.0,"(like,14)",14,like,14like
3,1.0,"(like,1950s)",1950s,like,1950slike
4,2.0,"(like,1985)",1985,like,1985like
5,2.0,"(like,19th)",19th,like,19thlike
6,5.0,"(like,200)",200,like,200like
7,1.0,"(like,2013)",2013,like,2013like
8,3.0,"(like,2020)",2020,like,2020like
9,1.0,"(like,21)",21,like,21like
10,1.0,"(like,28)",28,like,28like
11,1.0,"(like,32yearold)",32yearold,like,32yearoldlike
12,3.0,"(like,35)",35,like,35like
13,2.0,"(like,42)",42,like,42like
14,1.0,"(like,49)",49,like,49like
15,1.0,"(like,50point)",50point,like,50pointlike
16,2.0,"(like,70)",70,like,70like
17,1.0,"(like,70s)",70s,like,70slike
18,1.0,"(like,7389)",7389,like,7389like
19,1.0,"(like,abolish)",abolish,like,abolishlike
20,1.0,"(like,absenc)",absenc,like,absenclike
21,1.0,"(like,accommod)",accommod,like,accommodlike
22,4.0,"(like,accompani)",accompani,like,accompanilike
23,5.0,"(like,account)",account,like,accountlike
24,1.0,"(like,acerb)",acerb,like,acerblike
25,16.0,"(like,across)",across,like,acrosslike
26,19.0,"(like,act)",act,like,actlike
27,1.0,"(like,adam)",adam,like,adamlike
28,3.0,"(like,administr)",administr,like,administrlike
29,4.0,"(like,advic)",advic,like,adviclike
30,2.0,"(like,affair)",affair,like,affairlike
31,1.0,"(like,affidavit)",affidavit,like,affidavitlike
32,6.0,"(like,africanamerican)",africanamerican,like,africanamericanlike
33,1.0,"(like,aggressor)",aggressor,like,aggressorlike
34,12.0,"(like,ago)",ago,like,agolike
35,3.0,"(like,agre)",agre,like,agrelike
36,1.0,"(like,alabama)",alabama,like,alabamalike
37,3.0,"(like,alien)",alien,like,alienlike
38,2.0,"(like,aliv)",aliv,like,alivlike
39,2.0,"(like,allsystemsgo)",allsystemsgo,like,allsystemsgolike
40,22.0,"(like,almost)",almost,like,almostlike
41,2.0,"(like,altright)",altright,like,altrightlike
42,1.0,"(like,alun)",alun,like,alunlike
43,1.0,"(like,amort)",amort,like,amortlike
44,1.0,"(like,ana)",ana,like,analike
45,1.0,"(like,ancestor)",ancestor,like,ancestorlike
46,1.0,"(like,andes)",andes,like,andeslike
47,4.0,"(like,angri)",angri,like,angrilike
48,1.0,"(like,ankl)",ankl,like,ankllike
49,3.0,"(like,anniversari)",anniversari,like,anniversarilike
50,4.0,"(like,announc)",announc,like,announclike
51,2.0,"(like,annoy)",annoy,like,annoylike
52,25.0,"(like,anoth)",anoth,like,anothlike
53,2.0,"(like,anybodi)",anybodi,like,anybodilike
54,1.0,"(like,anyplac)",anyplac,like,anyplaclike
55,1.0,"(like,apocalyps)",apocalyps,like,apocalypslike
56,5.0,"(like,app)",app,like,applike
57,11.0,"(like,appear)",appear,like,appearlike
58,3.0,"(like,arc)",arc,like,arclike
59,1.0,"(like,archetyp)",archetyp,like,archetyplike
60,9.0,"(like,area)",area,like,arealike
61,2.0,"(like,aristocrat)",aristocrat,like,aristocratlike
62,2.0,"(like,arsenal)",arsenal,like,arsenallike
63,1.0,"(like,arthur)",arthur,like,arthurlike
