,count,pair
0,2.0,"(citi,10)"
1,1.0,"(citi,100)"
2,1.0,"(citi,191)"
3,1.0,"(citi,1970s)"
4,2.0,"(citi,2005)"
5,1.0,"(citi,200plus)"
6,1.0,"(citi,200year)"
7,1.0,"(citi,660)"
8,1.0,"(citi,730)"
9,1.0,"(citi,9)"
10,1.0,"(citi,access)"
11,1.0,"(citi,ad)"
12,1.0,"(citi,address)"
13,1.0,"(citi,advoc)"
14,1.0,"(citi,afternoon)"
15,1.0,"(citi,all)"
16,3.0,"(citi,along)"
17,1.0,"(citi,ambival)"
18,1.0,"(citi,america)"
19,1.0,"(citi,approv)"
20,1.0,"(citi,arriv)"
21,2.0,"(citi,attend)"
22,1.0,"(citi,avoid)"
23,2.0,"(citi,babi)"
24,1.0,"(citi,barbara)"
25,6.0,"(citi,beach)"
26,1.0,"(citi,befor)"
27,3.0,"(citi,best)"
28,2.0,"(citi,bright)"
29,4.0,"(citi,bring)"
30,1.0,"(citi,burglari)"
31,11.0,"(citi,busi)"
32,1.0,"(citi,cafe)"
33,3.0,"(citi,came)"
34,1.0,"(citi,card)"
35,1.0,"(citi,cash)"
36,1.0,"(citi,certain)"
37,2.0,"(citi,chief)"
38,1.0,"(citi,childhood)"
39,1.0,"(citi,class)"
40,4.0,"(citi,climat)"
41,1.0,"(citi,close)"
42,1.0,"(citi,cocktail)"
43,11.0,"(citi,come)"
44,1.0,"(citi,competit)"
45,2.0,"(citi,complaint)"
46,2.0,"(citi,contend)"
47,2.0,"(citi,corpor)"
48,6.0,"(citi,coupl)"
49,2.0,"(citi,court)"
50,2.0,"(citi,crane)"
51,4.0,"(citi,crimin)"
52,1.0,"(citi,crisi)"
53,1.0,"(citi,crumbl)"
54,1.0,"(citi,crystal)"
55,1.0,"(citi,cultur)"
56,3.0,"(citi,daili)"
57,7.0,"(citi,day)"
58,1.0,"(citi,demonstr)"
59,1.0,"(citi,dieselguzzl)"
60,1.0,"(citi,dilemma)"
61,1.0,"(citi,discount)"
62,2.0,"(citi,discov)"
63,2.0,"(citi,discrimin)"
64,1.0,"(citi,doctor)"
65,1.0,"(citi,element)"
66,1.0,"(citi,emerg)"
67,1.0,"(citi,enrol)"
68,1.0,"(citi,eponym)"
69,2.0,"(citi,especi)"
70,2.0,"(citi,estat)"
71,2.0,"(citi,everi)"
72,2.0,"(citi,excess)"
73,2.0,"(citi,express)"
74,1.0,"(citi,fatal)"
75,2.0,"(citi,festiv)"
76,2.0,"(citi,financi)"
77,3.0,"(citi,fire)"
78,1.0,"(citi,fleet)"
79,1.0,"(citi,free)"
80,1.0,"(citi,gain)"
81,3.0,"(citi,gas)"
82,3.0,"(citi,gase)"
83,5.0,"(citi,govern)"
84,5.0,"(citi,half)"
85,1.0,"(citi,health)"
86,1.0,"(citi,helmet)"
87,1.0,"(citi,hes)"
88,1.0,"(citi,homeown)"
89,1.0,"(citi,horribl)"
90,4.0,"(citi,host)"
91,1.0,"(citi,imagin)"
92,2.0,"(citi,impact)"
93,1.0,"(citi,implement)"
94,1.0,"(citi,imprimatur)"
95,3.0,"(citi,includ)"
96,1.0,"(citi,indulg)"
97,4.0,"(citi,initi)"
98,1.0,"(citi,jame)"
99,1.0,"(citi,jlo)"
100,1.0,"(citi,justin)"
101,2.0,"(citi,land)"
102,2.0,"(citi,law)"
103,1.0,"(citi,lawenforc)"
104,3.0,"(citi,led)"
105,5.0,"(citi,left)"
106,1.0,"(citi,liaison)"
107,3.0,"(citi,licens)"
108,3.0,"(citi,life)"
109,1.0,"(citi,littl)"
110,1.0,"(citi,low)"
111,2.0,"(citi,magic)"
112,1.0,"(citi,market)"
113,1.0,"(citi,maryland)"
114,1.0,"(citi,matter)"
115,3.0,"(citi,modern)"
116,3.0,"(citi,must)"
117,9.0,"(citi,need)"
118,1.0,"(citi,netherland)"
119,1.0,"(citi,ngo)"
120,1.0,"(citi,northeastern)"
121,1.0,"(citi,nu)"
122,1.0,"(citi,oaxacan)"
123,3.0,"(citi,often)"
124,4.0,"(citi,omalley)"
125,3.0,"(citi,oper)"
126,1.0,"(citi,or)"
127,1.0,"(citi,ostens)"
128,1.0,"(citi,out)"
129,1.0,"(citi,outofst)"
130,1.0,"(citi,overlook)"
131,1.0,"(citi,overtaken)"
132,1.0,"(citi,own)"
133,3.0,"(citi,peak)"
134,1.0,"(citi,perman)"
135,2.0,"(citi,pile)"
136,1.0,"(citi,plain)"
137,2.0,"(citi,plaincloth)"
138,2.0,"(citi,plant)"
139,1.0,"(citi,play)"
140,2.0,"(citi,postfear)"
141,1.0,"(citi,pound)"
142,1.0,"(citi,presag)"
143,5.0,"(citi,presid)"
144,5.0,"(citi,problem)"
145,1.0,"(citi,profil)"
146,3.0,"(citi,project)"
147,8.0,"(citi,public)"
148,1.0,"(citi,punish)"
149,1.0,"(citi,raid)"
150,1.0,"(citi,rare)"
151,1.0,"(citi,realiti)"
152,1.0,"(citi,reduct)"
153,1.0,"(citi,referendum)"
154,1.0,"(citi,regist)"
155,1.0,"(citi,relentless)"
156,6.0,"(citi,report)"
157,1.0,"(citi,risen)"
158,1.0,"(citi,robberi)"
159,1.0,"(citi,roca)"
160,1.0,"(citi,rode)"
161,4.0,"(citi,run)"
162,1.0,"(citi,saw)"
163,1.0,"(citi,scale)"
164,1.0,"(citi,sector)"
165,1.0,"(citi,secur)"
166,1.0,"(citi,segreg)"
167,1.0,"(citi,short)"
168,3.0,"(citi,site)"
169,2.0,"(citi,slogan)"
170,2.0,"(citi,sort)"
171,3.0,"(citi,spend)"
172,1.0,"(citi,spring)"
173,1.0,"(citi,st)"
174,1.0,"(citi,starledg)"
175,9.0,"(citi,state)"
176,1.0,"(citi,stockholm)"
177,1.0,"(citi,straight)"
