,count,pair
0,4.0,"(citi,10)"
1,5.0,"(citi,100)"
2,2.0,"(citi,1970s)"
3,1.0,"(citi,2)"
4,1.0,"(citi,200plus)"
5,2.0,"(citi,24)"
6,1.0,"(citi,30by60foot)"
7,1.0,"(citi,31)"
8,1.0,"(citi,310)"
9,1.0,"(citi,50th)"
10,1.0,"(citi,52)"
11,1.0,"(citi,80)"
12,1.0,"(citi,800)"
13,1.0,"(citi,9)"
14,1.0,"(citi,access)"
15,1.0,"(citi,acr)"
16,1.0,"(citi,ad)"
17,2.0,"(citi,address)"
18,2.0,"(citi,advoc)"
19,1.0,"(citi,after)"
20,2.0,"(citi,afternoon)"
21,2.0,"(citi,aggress)"
22,1.0,"(citi,all)"
23,4.0,"(citi,along)"
24,1.0,"(citi,ambival)"
25,2.0,"(citi,america)"
26,2.0,"(citi,anyon)"
27,1.0,"(citi,anywher)"
28,3.0,"(citi,apart)"
29,1.0,"(citi,approv)"
30,2.0,"(citi,arriv)"
31,1.0,"(citi,assum)"
32,3.0,"(citi,attend)"
33,1.0,"(citi,audienc)"
34,1.0,"(citi,aurora)"
35,1.0,"(citi,avoid)"
36,2.0,"(citi,babi)"
37,1.0,"(citi,baddest)"
38,1.0,"(citi,baymen)"
39,3.0,"(citi,beach)"
40,1.0,"(citi,bernardsvill)"
41,3.0,"(citi,best)"
42,1.0,"(citi,biden)"
43,1.0,"(citi,blueprint)"
44,2.0,"(citi,bright)"
45,3.0,"(citi,bring)"
46,1.0,"(citi,brochur)"
47,1.0,"(citi,burglari)"
48,5.0,"(citi,busi)"
49,2.0,"(citi,buy)"
50,2.0,"(citi,cafe)"
51,4.0,"(citi,came)"
52,1.0,"(citi,canva)"
53,1.0,"(citi,captur)"
54,1.0,"(citi,card)"
55,1.0,"(citi,cash)"
56,1.0,"(citi,cavern)"
57,1.0,"(citi,centuri)"
58,1.0,"(citi,certain)"
59,2.0,"(citi,chairman)"
60,1.0,"(citi,chief)"
61,1.0,"(citi,childhood)"
62,1.0,"(citi,choic)"
63,1.0,"(citi,class)"
64,1.0,"(citi,clock)"
65,13.0,"(citi,close)"
66,1.0,"(citi,coalit)"
67,6.0,"(citi,come)"
68,1.0,"(citi,commonplac)"
69,1.0,"(citi,competit)"
70,1.0,"(citi,complex)"
71,1.0,"(citi,congoles)"
72,1.0,"(citi,convent)"
73,2.0,"(citi,corpor)"
74,4.0,"(citi,coupl)"
75,1.0,"(citi,court)"
76,2.0,"(citi,crane)"
77,1.0,"(citi,creator)"
78,1.0,"(citi,credibl)"
79,1.0,"(citi,cricketcraz)"
80,4.0,"(citi,crimin)"
81,1.0,"(citi,crisi)"
82,1.0,"(citi,crumbl)"
83,4.0,"(citi,cultur)"
84,8.0,"(citi,daili)"
85,19.0,"(citi,day)"
86,1.0,"(citi,daytoday)"
87,1.0,"(citi,declar)"
88,1.0,"(citi,defin)"
89,1.0,"(citi,deindustri)"
90,2.0,"(citi,demand)"
91,1.0,"(citi,denver)"
92,1.0,"(citi,dial)"
93,1.0,"(citi,dilemma)"
94,1.0,"(citi,discount)"
95,1.0,"(citi,discov)"
96,2.0,"(citi,discrimin)"
97,1.0,"(citi,disput)"
98,4.0,"(citi,divers)"
99,2.0,"(citi,doctor)"
100,1.0,"(citi,domain)"
101,1.0,"(citi,ebola)"
102,1.0,"(citi,edg)"
103,1.0,"(citi,edit)"
104,1.0,"(citi,egyptian)"
105,1.0,"(citi,element)"
106,1.0,"(citi,elizabeth)"
107,4.0,"(citi,emerg)"
108,1.0,"(citi,enforc)"
109,1.0,"(citi,enrol)"
110,5.0,"(citi,especi)"
111,1.0,"(citi,establish)"
112,2.0,"(citi,estat)"
113,11.0,"(citi,everi)"
114,1.0,"(citi,everyon)"
115,2.0,"(citi,excess)"
116,2.0,"(citi,expens)"
117,1.0,"(citi,expo)"
118,1.0,"(citi,express)"
119,1.0,"(citi,fatal)"
120,1.0,"(citi,festiv)"
121,5.0,"(citi,financi)"
122,1.0,"(citi,fourhour)"
123,2.0,"(citi,free)"
124,1.0,"(citi,freeman)"
125,1.0,"(citi,freez)"
126,1.0,"(citi,funder)"
127,1.0,"(citi,funnel)"
128,1.0,"(citi,gain)"
129,2.0,"(citi,gas)"
130,2.0,"(citi,goe)"
131,1.0,"(citi,gotten)"
132,9.0,"(citi,govern)"
133,3.0,"(citi,half)"
134,1.0,"(citi,hang)"
135,1.0,"(citi,health)"
136,1.0,"(citi,hidden)"
137,1.0,"(citi,highspe)"
138,1.0,"(citi,horribl)"
139,1.0,"(citi,host)"
140,1.0,"(citi,husband)"
141,2.0,"(citi,idea)"
142,2.0,"(citi,imagin)"
143,2.0,"(citi,impact)"
144,1.0,"(citi,implement)"
145,1.0,"(citi,imprimatur)"
146,4.0,"(citi,inch)"
147,7.0,"(citi,includ)"
148,1.0,"(citi,infrequ)"
149,1.0,"(citi,initi)"
150,2.0,"(citi,jerusalem)"
151,1.0,"(citi,justin)"
152,3.0,"(citi,know)"
153,4.0,"(citi,land)"
154,1.0,"(citi,largerthanlif)"
155,2.0,"(citi,law)"
156,1.0,"(citi,lawenforc)"
157,1.0,"(citi,layer)"
158,4.0,"(citi,led)"
159,10.0,"(citi,left)"
160,4.0,"(citi,lesbian)"
161,1.0,"(citi,liaison)"
162,1.0,"(citi,licens)"
163,5.0,"(citi,life)"
164,1.0,"(citi,litani)"
165,1.0,"(citi,littl)"
166,1.0,"(citi,longrun)"
167,2.0,"(citi,low)"
168,3.0,"(citi,magic)"
169,1.0,"(citi,man)"
170,1.0,"(citi,maneuv)"
171,1.0,"(citi,market)"
172,1.0,"(citi,marqui)"
173,1.0,"(citi,maryland)"
174,1.0,"(citi,mediev)"
175,3.0,"(citi,migrant)"
176,4.0,"(citi,modern)"
177,3.0,"(citi,movi)"
178,4.0,"(citi,must)"
179,1.0,"(citi,mx)"
180,11.0,"(citi,need)"
181,1.0,"(citi,negat)"
182,1.0,"(citi,ngo)"
183,1.0,"(citi,niec)"
184,1.0,"(citi,normal)"
185,1.0,"(citi,nu)"
186,3.0,"(citi,oaxacan)"
187,1.0,"(citi,oblig)"
188,9.0,"(citi,often)"
189,4.0,"(citi,omalley)"
190,3.0,"(citi,oper)"
191,1.0,"(citi,outlook)"
192,1.0,"(citi,outofst)"
193,2.0,"(citi,overlook)"
194,1.0,"(citi,overtaken)"
195,4.0,"(citi,own)"
196,1.0,"(citi,oysterscoop)"
197,3.0,"(citi,peak)"
198,1.0,"(citi,perman)"
199,1.0,"(citi,pie)"
200,1.0,"(citi,piedra)"
201,3.0,"(citi,pile)"
202,1.0,"(citi,pilot)"
203,1.0,"(citi,plain)"
204,2.0,"(citi,plaincloth)"
205,4.0,"(citi,play)"
206,2.0,"(citi,postfear)"
207,1.0,"(citi,postindustri)"
208,7.0,"(citi,presid)"
209,1.0,"(citi,previous)"
210,1.0,"(citi,problem)"
211,1.0,"(citi,profil)"
212,4.0,"(citi,project)"
213,1.0,"(citi,promis)"
214,1.0,"(citi,prosecut)"
215,26.0,"(citi,public)"
216,1.0,"(citi,rare)"
217,2.0,"(citi,realiti)"
218,1.0,"(citi,reduct)"
219,1.0,"(citi,regist)"
220,1.0,"(citi,relentless)"
221,14.0,"(citi,report)"
222,1.0,"(citi,republican)"
223,1.0,"(citi,reserv)"
224,1.0,"(citi,rever)"
225,1.0,"(citi,revolut)"
226,1.0,"(citi,riddl)"
227,1.0,"(citi,ridership)"
228,1.0,"(citi,risen)"
229,1.0,"(citi,robberi)"
230,1.0,"(citi,roca)"
231,2.0,"(citi,rode)"
232,8.0,"(citi,run)"
233,2.0,"(citi,rural)"
234,1.0,"(citi,saffron)"
235,3.0,"(citi,saw)"
236,5.0,"(citi,scene)"
237,1.0,"(citi,scout)"
238,1.0,"(citi,sculptur)"
239,1.0,"(citi,secaucus)"
240,1.0,"(citi,sector)"
241,1.0,"(citi,seedi)"
242,4.0,"(citi,segreg)"
243,1.0,"(citi,separatebutequ)"
244,1.0,"(citi,shini)"
245,2.0,"(citi,short)"
246,1.0,"(citi,sit)"
247,1.0,"(citi,site)"
248,2.0,"(citi,skeleton)"
249,6.0,"(citi,slogan)"
250,2.0,"(citi,sort)"
251,5.0,"(citi,spend)"
252,1.0,"(citi,spring)"
253,2.0,"(citi,stark)"
254,22.0,"(citi,state)"
255,1.0,"(citi,stockholm)"
256,1.0,"(citi,straight)"
257,2.0,"(citi,strong)"
258,5.0,"(citi,struggl)"
259,1.0,"(citi,subject)"
260,2.0,"(citi,suburban)"
261,1.0,"(citi,sue)"
262,3.0,"(citi,superintend)"
263,1.0,"(citi,swift)"
264,2.0,"(citi,symbol)"
265,2.0,"(citi,tabloid)"
266,3.0,"(citi,talk)"
267,1.0,"(citi,tallest)"
268,1.0,"(citi,task)"
269,4.0,"(citi,teacher)"
270,3.0,"(citi,tend)"
271,1.0,"(citi,tendril)"
272,2.0,"(citi,term)"
273,1.0,"(citi,terror)"
274,2.0,"(citi,these)"
275,9.0,"(citi,they)"
276,1.0,"(citi,thought)"
277,4.0,"(citi,told)"
278,2.0,"(citi,tragedi)"
279,9.0,"(citi,transport)"
280,2.0,"(citi,treat)"
281,1.0,"(citi,trinh)"
282,2.0,"(citi,truth)"
283,1.0,"(citi,twitter)"
284,1.0,"(citi,un)"
285,2.0,"(citi,unapologet)"
286,1.0,"(citi,univers)"
287,4.0,"(citi,user)"
288,1.0,"(citi,vari)"
289,2.0,"(citi,various)"
290,3.0,"(citi,vast)"
291,2.0,"(citi,viral)"
292,2.0,"(citi,vision)"
293,1.0,"(citi,volta)"
294,4.0,"(citi,washington)"
295,2.0,"(citi,wave)"
296,1.0,"(citi,weapon)"
297,2.0,"(citi,wear)"
298,1.0,"(citi,websit)"
299,1.0,"(citi,weekday)"
300,1.0,"(citi,welless)"
301,7.0,"(citi,west)"
302,3.0,"(citi,when)"
303,1.0,"(citi,whip)"
304,1.0,"(citi,who)"
305,2.0,"(citi,william)"
306,1.0,"(citi,williamsburg)"
307,1.0,"(citi,wise)"
308,1.0,"(citi,worship)"
309,5.0,"(citi,yet)"
310,120.0,"(like,)"
311,2.0,"(like,10yearold)"
312,2.0,"(like,14)"
313,1.0,"(like,15yearold)"
314,1.0,"(like,2013)"
315,2.0,"(like,2020)"
316,2.0,"(like,21)"
317,1.0,"(like,42)"
318,1.0,"(like,70)"
319,1.0,"(like,98)"
320,1.0,"(like,abolish)"
321,1.0,"(like,absenc)"
322,2.0,"(like,accompani)"
323,5.0,"(like,across)"
324,5.0,"(like,act)"
325,2.0,"(like,administr)"
326,1.0,"(like,aeschylus)"
327,1.0,"(like,aficionado)"
328,3.0,"(like,africanamerican)"
329,1.0,"(like,ago)"
330,2.0,"(like,agre)"
331,1.0,"(like,aisl)"
332,1.0,"(like,aliv)"
333,1.0,"(like,allosaurus)"
334,7.0,"(like,almost)"
335,1.0,"(like,announc)"
336,7.0,"(like,anoth)"
337,1.0,"(like,antibiot)"
338,1.0,"(like,anybodi)"
339,1.0,"(like,app)"
340,4.0,"(like,appear)"
341,2.0,"(like,area)"
342,1.0,"(like,asia)"
343,2.0,"(like,aspen)"
344,2.0,"(like,attach)"
345,3.0,"(like,attract)"
346,1.0,"(like,avalon)"
347,1.0,"(like,avocado)"
348,1.0,"(like,awoken)"
349,1.0,"(like,baptism)"
350,1.0,"(like,bark)"
351,1.0,"(like,barr)"
352,1.0,"(like,barrack)"
353,1.0,"(like,barracuda)"
354,1.0,"(like,beauti)"
355,1.0,"(like,becam)"
356,12.0,"(like,becom)"
357,1.0,"(like,beleagu)"
358,1.0,"(like,bicker)"
359,5.0,"(like,big)"
360,1.0,"(like,biggest)"
361,4.0,"(like,black)"
362,1.0,"(like,bleacher)"
363,2.0,"(like,block)"
364,2.0,"(like,board)"
365,1.0,"(like,boot)"
366,1.0,"(like,boudin)"
367,1.0,"(like,breath)"
368,1.0,"(like,bride)"
369,2.0,"(like,brother)"
370,1.0,"(like,bruce)"
371,1.0,"(like,bsser)"
372,1.0,"(like,bueri)"
373,1.0,"(like,busiest)"
374,28.0,"(like,but)"
375,4.0,"(like,cahn)"
376,3.0,"(like,cake)"
377,2.0,"(like,campaign)"
378,1.0,"(like,cao)"
379,1.0,"(like,caption)"
380,2.0,"(like,care)"
381,1.0,"(like,carpent)"
382,2.0,"(like,cattl)"
383,5.0,"(like,center)"
384,1.0,"(like,chalk)"
385,1.0,"(like,challeng)"
386,1.0,"(like,chan)"
387,2.0,"(like,charg)"
388,4.0,"(like,chicago)"
389,1.0,"(like,clash)"
390,3.0,"(like,club)"
391,1.0,"(like,code)"
392,2.0,"(like,coffe)"
393,1.0,"(like,coli)"
394,1.0,"(like,comic)"
395,1.0,"(like,commission)"
396,1.0,"(like,commut)"
397,3.0,"(like,compar)"
398,1.0,"(like,compromis)"
399,1.0,"(like,condemn)"
400,1.0,"(like,confess)"
401,1.0,"(like,congest)"
402,1.0,"(like,content)"
403,1.0,"(like,control)"
404,1.0,"(like,coralin)"
405,1.0,"(like,corrupt)"
406,1.0,"(like,courtroom)"
407,2.0,"(like,cover)"
408,1.0,"(like,crashcours)"
409,1.0,"(like,cruelli)"
410,2.0,"(like,custom)"
411,2.0,"(like,dater)"
412,3.0,"(like,daughter)"
413,1.0,"(like,deadlin)"
414,5.0,"(like,death)"
415,1.0,"(like,deceit)"
416,1.0,"(like,deep)"
417,1.0,"(like,departur)"
418,1.0,"(like,depend)"
419,2.0,"(like,detect)"
420,1.0,"(like,dev)"
421,1.0,"(like,diagnosi)"
422,1.0,"(like,difficulti)"
423,1.0,"(like,disappear)"
424,2.0,"(like,discuss)"
425,2.0,"(like,dish)"
426,1.0,"(like,distract)"
427,2.0,"(like,donald)"
428,1.0,"(like,doorknob)"
429,1.0,"(like,dorm)"
430,1.0,"(like,dragon)"
431,1.0,"(like,drape)"
432,3.0,"(like,draw)"
433,3.0,"(like,drop)"
434,2.0,"(like,druze)"
435,1.0,"(like,dumb)"
436,1.0,"(like,dumpl)"
437,1.0,"(like,duti)"
438,1.0,"(like,earn)"
439,2.0,"(like,econom)"
440,1.0,"(like,egg)"
441,1.0,"(like,either)"
442,1.0,"(like,embarrass)"
443,2.0,"(like,encourag)"
444,1.0,"(like,ephemera)"
445,6.0,"(like,episod)"
446,1.0,"(like,equal)"
447,1.0,"(like,erdogan)"
448,1.0,"(like,eschatolog)"
449,3.0,"(like,ever)"
450,1.0,"(like,ex)"
451,1.0,"(like,exoner)"
452,2.0,"(like,expand)"
453,1.0,"(like,explain)"
454,1.0,"(like,export)"
455,1.0,"(like,faith)"
456,6.0,"(like,fall)"
457,4.0,"(like,feder)"
458,1.0,"(like,femal)"
459,1.0,"(like,fester)"
460,1.0,"(like,fifth)"
461,5.0,"(like,find)"
462,6.0,"(like,fit)"
463,1.0,"(like,flow)"
464,2.0,"(like,footag)"
465,1.0,"(like,formula)"
466,1.0,"(like,foxhol)"
467,1.0,"(like,franc)"
468,1.0,"(like,fresh)"
469,1.0,"(like,fruit)"
470,1.0,"(like,gang)"
471,1.0,"(like,gloria)"
472,4.0,"(like,good)"
473,1.0,"(like,grant)"
474,1.0,"(like,greg)"
475,1.0,"(like,greta)"
476,2.0,"(like,grown)"
477,1.0,"(like,guard)"
478,1.0,"(like,gymnast)"
479,1.0,"(like,harri)"
480,1.0,"(like,have)"
481,2.0,"(like,head)"
482,1.0,"(like,headey)"
483,15.0,"(like,hear)"
484,1.0,"(like,helm)"
485,3.0,"(like,hill)"
486,5.0,"(like,hindman)"
487,1.0,"(like,hodor)"
488,2.0,"(like,household)"
489,1.0,"(like,humanitarian)"
490,1.0,"(like,hybrid)"
491,1.0,"(like,iced)"
492,1.0,"(like,identif)"
493,1.0,"(like,imprison)"
494,3.0,"(like,improv)"
495,1.0,"(like,indic)"
496,2.0,"(like,influenc)"
497,1.0,"(like,initi)"
498,1.0,"(like,insist)"
499,1.0,"(like,intim)"
500,2.0,"(like,invas)"
501,1.0,"(like,iran)"
502,1.0,"(like,iron)"
503,3.0,"(like,is)"
504,1.0,"(like,isol)"
505,4.0,"(like,issu)"
506,1.0,"(like,italian)"
507,1.0,"(like,japan)"
508,1.0,"(like,jeffrey)"
509,3.0,"(like,john)"
510,2.0,"(like,joke)"
511,4.0,"(like,jordan)"
512,2.0,"(like,judg)"
513,1.0,"(like,june)"
514,4.0,"(like,keep)"
515,1.0,"(like,kidfriend)"
516,1.0,"(like,kirsten)"
517,2.0,"(like,landscap)"
518,3.0,"(like,larg)"
519,1.0,"(like,latenight)"
520,3.0,"(like,leav)"
521,1.0,"(like,lem)"
522,2.0,"(like,let)"
523,15.0,"(like,lettersnytimescom)"
524,1.0,"(like,lift)"
525,44.0,"(like,like)"
526,2.0,"(like,lion)"
527,8.0,"(like,littl)"
528,1.0,"(like,litzman)"
529,1.0,"(like,lone)"
530,2.0,"(like,magic)"
531,1.0,"(like,main)"
532,1.0,"(like,male)"
533,2.0,"(like,mall)"
534,1.0,"(like,margo)"
535,1.0,"(like,marriag)"
536,1.0,"(like,mathemat)"
537,1.0,"(like,mendini)"
538,1.0,"(like,merciless)"
539,1.0,"(like,merg)"
540,1.0,"(like,michel)"
541,6.0,"(like,mind)"
542,1.0,"(like,miscalcul)"
543,1.0,"(like,misinform)"
544,1.0,"(like,mobridg)"
545,1.0,"(like,moin)"
546,2.0,"(like,moral)"
547,1.0,"(like,mose)"
548,3.0,"(like,mountain)"
549,1.0,"(like,multin)"
550,1.0,"(like,muriisa)"
551,1.0,"(like,nanjiani)"
552,1.0,"(like,nationwid)"
553,1.0,"(like,nativ)"
554,3.0,"(like,network)"
555,29.0,"(like,new)"
556,1.0,"(like,newer)"
557,1.0,"(like,nonpubl)"
558,1.0,"(like,noodl)"
559,1.0,"(like,oaxaca)"
560,1.0,"(like,oblig)"
561,2.0,"(like,occur)"
562,13.0,"(like,often)"
563,1.0,"(like,oliv)"
564,2.0,"(like,onion)"
565,1.0,"(like,ooz)"
566,1.0,"(like,origin)"
567,1.0,"(like,overproduct)"
568,1.0,"(like,p4)"
569,1.0,"(like,pacif)"
570,7.0,"(like,park)"
571,2.0,"(like,passeng)"
572,1.0,"(like,penchant)"
573,4.0,"(like,person)"
574,2.0,"(like,pesto)"
575,1.0,"(like,pharaoh)"
576,1.0,"(like,pharoah)"
577,2.0,"(like,phrase)"
578,2.0,"(like,pierr)"
579,1.0,"(like,pilot)"
580,1.0,"(like,pingpong)"
581,2.0,"(like,platform)"
582,1.0,"(like,pleasant)"
583,1.0,"(like,pollut)"
584,2.0,"(like,present)"
585,2.0,"(like,preserv)"
586,1.0,"(like,pretti)"
587,1.0,"(like,princ)"
588,1.0,"(like,problemat)"
589,3.0,"(like,process)"
590,2.0,"(like,profession)"
591,3.0,"(like,progress)"
592,3.0,"(like,promot)"
593,1.0,"(like,propon)"
594,1.0,"(like,proust)"
595,1.0,"(like,pulitz)"
596,1.0,"(like,punch)"
597,3.0,"(like,put)"
598,2.0,"(like,quit)"
599,1.0,"(like,r)"
600,1.0,"(like,rail)"
601,1.0,"(like,railroad)"
602,2.0,"(like,rais)"
603,1.0,"(like,rank)"
604,1.0,"(like,rankandfil)"
605,1.0,"(like,rat)"
606,1.0,"(like,reagan)"
607,2.0,"(like,recal)"
608,1.0,"(like,recommend)"
609,4.0,"(like,remain)"
610,2.0,"(like,remot)"
