,count,pair
0,7.0,"(citi,10)"
1,5.0,"(citi,100)"
2,1.0,"(citi,1956)"
3,1.0,"(citi,1970s)"
4,3.0,"(citi,2)"
5,1.0,"(citi,200year)"
6,2.0,"(citi,2012)"
7,4.0,"(citi,24)"
8,1.0,"(citi,300th)"
9,4.0,"(citi,359)"
10,1.0,"(citi,50th)"
11,2.0,"(citi,52)"
12,1.0,"(citi,80)"
13,1.0,"(citi,800)"
14,2.0,"(citi,9)"
15,1.0,"(citi,abus)"
16,1.0,"(citi,access)"
17,8.0,"(citi,acr)"
18,2.0,"(citi,ad)"
19,2.0,"(citi,ada)"
20,3.0,"(citi,address)"
21,1.0,"(citi,adriat)"
22,2.0,"(citi,advoc)"
23,2.0,"(citi,affluent)"
24,2.0,"(citi,after)"
25,2.0,"(citi,afternoon)"
26,2.0,"(citi,aggress)"
27,3.0,"(citi,all)"
28,11.0,"(citi,along)"
29,1.0,"(citi,ambival)"
30,3.0,"(citi,america)"
31,1.0,"(citi,anniversari)"
32,2.0,"(citi,anywher)"
33,5.0,"(citi,apart)"
34,2.0,"(citi,approv)"
35,4.0,"(citi,arriv)"
36,1.0,"(citi,athen)"
37,3.0,"(citi,attend)"
38,1.0,"(citi,audienc)"
39,4.0,"(citi,avoid)"
40,2.0,"(citi,babi)"
41,1.0,"(citi,batman)"
42,1.0,"(citi,bear)"
43,1.0,"(citi,befor)"
44,1.0,"(citi,bergson)"
45,6.0,"(citi,best)"
46,6.0,"(citi,bill)"
47,1.0,"(citi,brainstorm)"
48,1.0,"(citi,brentwood)"
49,2.0,"(citi,bright)"
50,8.0,"(citi,bring)"
51,1.0,"(citi,broadsheet)"
52,1.0,"(citi,bulb)"
53,1.0,"(citi,bureau)"
54,1.0,"(citi,burglari)"
55,11.0,"(citi,busi)"
56,1.0,"(citi,buy)"
57,1.0,"(citi,cafe)"
58,4.0,"(citi,came)"
59,1.0,"(citi,captur)"
60,1.0,"(citi,card)"
61,8.0,"(citi,casino)"
62,2.0,"(citi,cemeteri)"
63,3.0,"(citi,centuri)"
64,4.0,"(citi,certain)"
65,1.0,"(citi,chairman)"
66,2.0,"(citi,chief)"
67,1.0,"(citi,choreographi)"
68,1.0,"(citi,class)"
69,1.0,"(citi,climat)"
70,13.0,"(citi,close)"
71,1.0,"(citi,coalit)"
72,15.0,"(citi,come)"
73,1.0,"(citi,commonplac)"
74,2.0,"(citi,competit)"
75,2.0,"(citi,complex)"
76,1.0,"(citi,conceal)"
77,1.0,"(citi,condominium)"
78,1.0,"(citi,consolid)"
79,1.0,"(citi,convent)"
80,3.0,"(citi,corpor)"
81,1.0,"(citi,corridor)"
82,1.0,"(citi,cosmopolitan)"
83,5.0,"(citi,coupl)"
84,4.0,"(citi,court)"
85,1.0,"(citi,credibl)"
86,4.0,"(citi,crimin)"
87,1.0,"(citi,crumbl)"
88,6.0,"(citi,cultur)"
89,4.0,"(citi,daili)"
90,1.0,"(citi,danc)"
91,22.0,"(citi,day)"
92,1.0,"(citi,dcs)"
93,1.0,"(citi,declar)"
94,3.0,"(citi,defac)"
95,2.0,"(citi,defin)"
96,3.0,"(citi,demand)"
97,1.0,"(citi,denver)"
98,1.0,"(citi,detritus)"
99,1.0,"(citi,dilemma)"
100,1.0,"(citi,dinner)"
101,2.0,"(citi,discount)"
102,2.0,"(citi,discov)"
103,2.0,"(citi,discrimin)"
104,3.0,"(citi,disput)"
105,3.0,"(citi,distribut)"
106,1.0,"(citi,divers)"
107,1.0,"(citi,doctor)"
108,1.0,"(citi,domain)"
109,2.0,"(citi,edg)"
110,2.0,"(citi,element)"
111,6.0,"(citi,emerg)"
112,1.0,"(citi,emperor)"
113,1.0,"(citi,employ)"
114,1.0,"(citi,encantada)"
115,2.0,"(citi,enclav)"
116,1.0,"(citi,enforc)"
117,2.0,"(citi,entiti)"
118,2.0,"(citi,environment)"
119,1.0,"(citi,eponym)"
120,2.0,"(citi,especi)"
121,1.0,"(citi,establish)"
122,2.0,"(citi,estat)"
123,10.0,"(citi,everi)"
124,1.0,"(citi,everyon)"
125,2.0,"(citi,excess)"
126,2.0,"(citi,expens)"
127,1.0,"(citi,expos)"
128,1.0,"(citi,express)"
129,1.0,"(citi,factor)"
130,3.0,"(citi,fan)"
131,1.0,"(citi,fatal)"
132,4.0,"(citi,festiv)"
133,9.0,"(citi,financ)"
134,9.0,"(citi,financi)"
135,3.0,"(citi,fire)"
136,1.0,"(citi,firearm)"
137,1.0,"(citi,fog)"
138,1.0,"(citi,folk)"
139,1.0,"(citi,forg)"
140,2.0,"(citi,fossil)"
141,3.0,"(citi,free)"
142,1.0,"(citi,freez)"
143,2.0,"(citi,fulltim)"
144,1.0,"(citi,funder)"
145,2.0,"(citi,funnel)"
146,2.0,"(citi,gain)"
147,1.0,"(citi,gas)"
148,2.0,"(citi,gase)"
149,3.0,"(citi,ginsburg)"
150,1.0,"(citi,glori)"
151,6.0,"(citi,goe)"
152,1.0,"(citi,goodwin)"
153,2.0,"(citi,gotten)"
154,8.0,"(citi,govern)"
155,2.0,"(citi,grant)"
156,5.0,"(citi,half)"
157,1.0,"(citi,hang)"
158,2.0,"(citi,hatch)"
159,2.0,"(citi,health)"
160,2.0,"(citi,height)"
161,1.0,"(citi,hell)"
162,1.0,"(citi,hidden)"
163,7.0,"(citi,highend)"
164,1.0,"(citi,highpric)"
165,1.0,"(citi,highspe)"
166,1.0,"(citi,homeown)"
167,1.0,"(citi,hong)"
168,1.0,"(citi,horribl)"
169,2.0,"(citi,host)"
170,2.0,"(citi,huawei)"
171,6.0,"(citi,idea)"
172,3.0,"(citi,imagin)"
173,7.0,"(citi,impact)"
174,3.0,"(citi,implement)"
175,1.0,"(citi,imprimatur)"
176,4.0,"(citi,inch)"
177,14.0,"(citi,includ)"
178,5.0,"(citi,initi)"
179,1.0,"(citi,injuri)"
180,1.0,"(citi,intact)"
181,2.0,"(citi,iter)"
182,1.0,"(citi,jam)"
183,1.0,"(citi,justin)"
184,2.0,"(citi,khan)"
185,3.0,"(citi,know)"
186,1.0,"(citi,lab)"
187,1.0,"(citi,land)"
188,9.0,"(citi,law)"
189,1.0,"(citi,lawenforc)"
190,2.0,"(citi,lean)"
191,2.0,"(citi,led)"
192,6.0,"(citi,left)"
193,2.0,"(citi,lehman)"
194,1.0,"(citi,liaison)"
195,7.0,"(citi,licens)"
196,5.0,"(citi,life)"
197,2.0,"(citi,lit)"
198,10.0,"(citi,littl)"
199,1.0,"(citi,livedeal)"
