,count,pair
0,507.0,"(like,)"
1,2.0,"(like,10yearold)"
2,1.0,"(like,14)"
3,1.0,"(like,1950s)"
4,2.0,"(like,1985)"
5,2.0,"(like,19th)"
6,5.0,"(like,200)"
7,1.0,"(like,2013)"
8,3.0,"(like,2020)"
9,1.0,"(like,21)"
10,1.0,"(like,28)"
11,1.0,"(like,32yearold)"
12,3.0,"(like,35)"
13,2.0,"(like,42)"
14,1.0,"(like,49)"
15,1.0,"(like,50point)"
16,2.0,"(like,70)"
17,1.0,"(like,70s)"
18,1.0,"(like,7389)"
19,1.0,"(like,abolish)"
20,1.0,"(like,absenc)"
21,1.0,"(like,accommod)"
22,4.0,"(like,accompani)"
23,5.0,"(like,account)"
24,1.0,"(like,acerb)"
25,16.0,"(like,across)"
26,19.0,"(like,act)"
27,1.0,"(like,adam)"
28,3.0,"(like,administr)"
29,4.0,"(like,advic)"
30,2.0,"(like,affair)"
31,1.0,"(like,affidavit)"
32,6.0,"(like,africanamerican)"
33,1.0,"(like,aggressor)"
34,12.0,"(like,ago)"
35,3.0,"(like,agre)"
36,1.0,"(like,alabama)"
37,3.0,"(like,alien)"
38,2.0,"(like,aliv)"
39,2.0,"(like,allsystemsgo)"
40,22.0,"(like,almost)"
41,2.0,"(like,altright)"
42,1.0,"(like,alun)"
43,1.0,"(like,amort)"
44,1.0,"(like,ana)"
45,1.0,"(like,ancestor)"
46,1.0,"(like,andes)"
47,4.0,"(like,angri)"
48,1.0,"(like,ankl)"
49,3.0,"(like,anniversari)"
50,4.0,"(like,announc)"
51,2.0,"(like,annoy)"
52,25.0,"(like,anoth)"
53,2.0,"(like,anybodi)"
54,1.0,"(like,anyplac)"
55,1.0,"(like,apocalyps)"
56,5.0,"(like,app)"
57,11.0,"(like,appear)"
58,3.0,"(like,arc)"
59,1.0,"(like,archetyp)"
60,9.0,"(like,area)"
61,2.0,"(like,aristocrat)"
62,2.0,"(like,arsenal)"
63,1.0,"(like,arthur)"
64,1.0,"(like,artifici)"
65,3.0,"(like,asia)"
66,2.0,"(like,aspen)"
67,2.0,"(like,assassin)"
68,1.0,"(like,atop)"
69,1.0,"(like,atrium)"
70,5.0,"(like,attach)"
71,2.0,"(like,attract)"
72,1.0,"(like,auckland)"
73,4.0,"(like,authent)"
74,1.0,"(like,autobiograph)"
75,1.0,"(like,autom)"
76,2.0,"(like,autonom)"
77,1.0,"(like,avalon)"
78,2.0,"(like,avocado)"
79,2.0,"(like,awkward)"
80,2.0,"(like,backup)"
81,6.0,"(like,balanc)"
82,1.0,"(like,bark)"
83,1.0,"(like,barr)"
84,1.0,"(like,barrack)"
85,10.0,"(like,basebal)"
86,1.0,"(like,batterypow)"
87,13.0,"(like,be)"
88,1.0,"(like,bearer)"
89,17.0,"(like,beauti)"
90,10.0,"(like,becam)"
91,29.0,"(like,becom)"
92,1.0,"(like,beecher)"
93,1.0,"(like,berlin)"
94,1.0,"(like,berryman)"
95,1.0,"(like,beverag)"
96,25.0,"(like,big)"
97,6.0,"(like,biggest)"
98,1.0,"(like,bin)"
99,27.0,"(like,black)"
100,1.0,"(like,blakey)"
101,1.0,"(like,bleacher)"
102,1.0,"(like,bleed)"
103,3.0,"(like,blind)"
104,5.0,"(like,block)"
105,1.0,"(like,blown)"
106,9.0,"(like,board)"
107,1.0,"(like,bookcas)"
108,2.0,"(like,boom)"
109,3.0,"(like,boot)"
110,2.0,"(like,bound)"
111,12.0,"(like,box)"
112,1.0,"(like,boyhood)"
113,1.0,"(like,bran)"
114,1.0,"(like,breath)"
115,3.0,"(like,brew)"
116,1.0,"(like,bride)"
117,1.0,"(like,brnnhild)"
118,5.0,"(like,brother)"
119,3.0,"(like,bruce)"
120,1.0,"(like,builtin)"
121,3.0,"(like,bunch)"
122,2.0,"(like,bushwick)"
123,2.0,"(like,busiest)"
124,126.0,"(like,but)"
125,4.0,"(like,butter)"
126,1.0,"(like,cabinet)"
127,1.0,"(like,cabrera)"
128,1.0,"(like,caff)"
129,2.0,"(like,cake)"
130,1.0,"(like,cali)"
131,2.0,"(like,callaway)"
132,5.0,"(like,campaign)"
133,2.0,"(like,cancel)"
134,4.0,"(like,candi)"
135,1.0,"(like,caption)"
136,9.0,"(like,care)"
137,1.0,"(like,carrol)"
138,2.0,"(like,carti)"
139,1.0,"(like,cartwheel)"
140,3.0,"(like,castelli)"
141,1.0,"(like,cement)"
142,14.0,"(like,center)"
143,2.0,"(like,ceremoni)"
144,1.0,"(like,chainlink)"
145,2.0,"(like,chalk)"
146,7.0,"(like,challeng)"
147,1.0,"(like,chan)"
148,14.0,"(like,charg)"
149,1.0,"(like,cheekier)"
150,2.0,"(like,chew)"
151,7.0,"(like,chicago)"
152,3.0,"(like,childish)"
153,1.0,"(like,cholli)"
154,1.0,"(like,chorus)"
155,1.0,"(like,chowder)"
156,1.0,"(like,churchil)"
157,2.0,"(like,circl)"
158,4.0,"(like,clam)"
159,1.0,"(like,clash)"
160,5.0,"(like,club)"
161,1.0,"(like,cocain)"
162,3.0,"(like,coconut)"
163,3.0,"(like,code)"
164,8.0,"(like,coffe)"
165,1.0,"(like,coffin)"
166,1.0,"(like,cogniflex)"
167,1.0,"(like,cognit)"
168,1.0,"(like,coincid)"
169,1.0,"(like,coke)"
170,1.0,"(like,colombo)"
171,1.0,"(like,comello)"
172,12.0,"(like,comfort)"
173,4.0,"(like,comic)"
174,3.0,"(like,command)"
175,2.0,"(like,commission)"
176,2.0,"(like,commut)"
177,11.0,"(like,compar)"
178,6.0,"(like,compet)"
179,1.0,"(like,complimentari)"
180,1.0,"(like,compromis)"
181,1.0,"(like,condemn)"
182,1.0,"(like,confess)"
183,2.0,"(like,confront)"
184,1.0,"(like,congest)"
185,1.0,"(like,contempl)"
186,2.0,"(like,content)"
187,13.0,"(like,control)"
188,1.0,"(like,coppola)"
189,1.0,"(like,corbusi)"
190,1.0,"(like,core)"
191,1.0,"(like,corleon)"
192,1.0,"(like,corral)"
193,3.0,"(like,corrupt)"
194,1.0,"(like,council)"
195,1.0,"(like,counterfil)"
196,13.0,"(like,cover)"
197,4.0,"(like,cozi)"
198,3.0,"(like,crave)"
199,1.0,"(like,croquett)"
200,1.0,"(like,crossbord)"
201,1.0,"(like,crossword)"
202,1.0,"(like,cruelli)"
203,1.0,"(like,cur)"
204,7.0,"(like,custom)"
205,1.0,"(like,cw)"
206,1.0,"(like,d)"
207,1.0,"(like,dater)"
208,8.0,"(like,daughter)"
209,2.0,"(like,deadlin)"
210,1.0,"(like,deafen)"
211,1.0,"(like,dean)"
212,15.0,"(like,death)"
213,1.0,"(like,deceit)"
214,1.0,"(like,decept)"
215,1.0,"(like,decommiss)"
216,1.0,"(like,decora)"
217,3.0,"(like,deep)"
218,1.0,"(like,default)"
219,1.0,"(like,deflect)"
220,1.0,"(like,deft)"
221,2.0,"(like,delillo)"
222,1.0,"(like,denial)"
223,1.0,"(like,denizen)"
224,4.0,"(like,depend)"
225,1.0,"(like,deregul)"
226,2.0,"(like,despair)"
227,9.0,"(like,detect)"
228,2.0,"(like,deviat)"
229,3.0,"(like,devour)"
