,count,pair
0,2.0,"(airlin,1979)"
1,1.0,"(airlin,1990s)"
2,8.0,"(airlin,20)"
3,1.0,"(airlin,2021)"
4,2.0,"(airlin,250)"
5,2.0,"(airlin,27)"
6,12.0,"(airlin,34)"
7,1.0,"(airlin,425)"
8,2.0,"(airlin,48)"
9,1.0,"(airlin,6)"
10,1.0,"(airlin,600)"
11,2.0,"(airlin,737800s)"
12,1.0,"(airlin,747)"
13,1.0,"(airlin,90)"
14,1.0,"(airlin,97)"
15,2.0,"(airlin,a320)"
16,1.0,"(airlin,adept)"
17,1.0,"(airlin,advertis)"
18,1.0,"(airlin,advoc)"
19,2.0,"(airlin,aeroflot)"
20,7.0,"(airlin,african)"
21,6.0,"(airlin,after)"
22,2.0,"(airlin,afternoon)"
23,2.0,"(airlin,agreement)"
24,1.0,"(airlin,airborn)"
25,1.0,"(airlin,airsick)"
26,3.0,"(airlin,alaska)"
27,4.0,"(airlin,allianc)"
28,3.0,"(airlin,along)"
29,2.0,"(airlin,although)"
30,5.0,"(airlin,an)"
31,1.0,"(airlin,ani)"
32,1.0,"(airlin,anniversari)"
33,4.0,"(airlin,announc)"
34,1.0,"(airlin,arrang)"
35,1.0,"(airlin,arriv)"
36,2.0,"(airlin,articl)"
37,1.0,"(airlin,asiana)"
38,9.0,"(airlin,associ)"
39,1.0,"(airlin,autopilot)"
40,2.0,"(airlin,avoid)"
41,1.0,"(airlin,awar)"
42,1.0,"(airlin,away)"
43,1.0,"(airlin,backward)"
44,1.0,"(airlin,bad)"
45,1.0,"(airlin,basi)"
46,1.0,"(airlin,beam)"
47,2.0,"(airlin,befor)"
48,2.0,"(airlin,begashaw)"
49,1.0,"(airlin,bet)"
50,1.0,"(airlin,betterknown)"
51,8.0,"(airlin,brief)"
52,5.0,"(airlin,bring)"
53,2.0,"(airlin,bulk)"
54,2.0,"(airlin,by)"
55,1.0,"(airlin,captur)"
56,2.0,"(airlin,certifi)"
57,1.0,"(airlin,cfo)"
58,1.0,"(airlin,chao)"
59,2.0,"(airlin,chicago)"
60,16.0,"(airlin,chief)"
61,1.0,"(airlin,choic)"
62,1.0,"(airlin,chunk)"
63,4.0,"(airlin,cite)"
64,4.0,"(airlin,class)"
65,2.0,"(airlin,clinch)"
66,7.0,"(airlin,close)"
67,6.0,"(airlin,cockpit)"
68,1.0,"(airlin,comac)"
69,3.0,"(airlin,comfort)"
70,1.0,"(airlin,confer)"
71,1.0,"(airlin,content)"
72,8.0,"(airlin,contract)"
73,30.0,"(airlin,control)"
74,3.0,"(airlin,coupl)"
75,3.0,"(airlin,court)"
76,2.0,"(airlin,coverag)"
77,4.0,"(airlin,crisi)"
78,2.0,"(airlin,current)"
79,1.0,"(airlin,curv)"
80,1.0,"(airlin,customercentr)"
81,1.0,"(airlin,dan)"
82,23.0,"(airlin,data)"
83,1.0,"(airlin,definit)"
84,1.0,"(airlin,deleg)"
85,3.0,"(airlin,disabl)"
86,8.0,"(airlin,dollar)"
87,2.0,"(airlin,done)"
88,1.0,"(airlin,dread)"
89,2.0,"(airlin,emblem)"
