,count,pair,word,cooccurword,alphaword
0,1.0,"(amp,08)",08,amp,08amp
1,1.0,"(amp,102)",102,amp,102amp
2,1.0,"(amp,1080p)",1080p,amp,1080pamp
3,11.0,"(amp,12)",12,amp,12amp
4,1.0,"(amp,125pm)",125pm,amp,125pmamp
5,1.0,"(amp,12pm)",12pm,amp,12pmamp
6,2.0,"(amp,139)",139,amp,139amp
7,1.0,"(amp,13th)",13th,amp,13thamp
8,1.0,"(amp,143)",143,amp,143amp
9,1.0,"(amp,1512mm)",1512mm,amp,1512mmamp
10,3.0,"(amp,17)",17,amp,17amp
11,1.0,"(amp,1pmchat1)",1pmchat1,amp,1pmchat1amp
12,2.0,"(amp,21)",21,amp,21amp
13,1.0,"(amp,229)",229,amp,229amp
14,2.0,"(amp,22nd)",22nd,amp,22ndamp
15,1.0,"(amp,279)",279,amp,279amp
16,1.0,"(amp,2v74)",2v74,amp,2v74amp
17,8.0,"(amp,3)",3,amp,3amp
18,3.0,"(amp,30)",30,amp,30amp
19,5.0,"(amp,300)",300,amp,300amp
20,1.0,"(amp,3am)",3am,amp,3amamp
21,1.0,"(amp,495)",495,amp,495amp
22,2.0,"(amp,4br3ba)",4br3ba,amp,4br3baamp
23,1.0,"(amp,4k)",4k,amp,4kamp
24,1.0,"(amp,4th)",4th,amp,4thamp
25,1.0,"(amp,50s99sta)",50s99sta,amp,50s99staamp
26,1.0,"(amp,5800)",5800,amp,5800amp
27,1.0,"(amp,6999)",6999,amp,6999amp
28,1.0,"(amp,6x1k)",6x1k,amp,6x1kamp
29,1.0,"(amp,70mph)",70mph,amp,70mphamp
30,1.0,"(amp,7565)",7565,amp,7565amp
31,1.0,"(amp,8)",8,amp,8amp
32,1.0,"(amp,80)",80,amp,80amp
33,1.0,"(amp,896)",896,amp,896amp
34,1.0,"(amp,954)",954,amp,954amp
35,2.0,"(amp,_slimmer_)",_slimmer_,amp,_slimmer_amp
36,1.0,"(amp,aboard)",aboard,amp,aboardamp
37,3.0,"(amp,absolut)",absolut,amp,absolutamp
38,2.0,"(amp,accessoriesgtapparel)",accessoriesgtapparel,amp,accessoriesgtapparelamp
39,2.0,"(amp,ace)",ace,amp,aceamp
40,3.0,"(amp,act)",act,amp,actamp
41,2.0,"(amp,add)",add,amp,addamp
42,1.0,"(amp,adjourn)",adjourn,amp,adjournamp
43,1.0,"(amp,adopt)",adopt,amp,adoptamp
44,1.0,"(amp,afterdan)",afterdan,amp,afterdanamp
45,1.0,"(amp,aggress)",aggress,amp,aggressamp
46,1.0,"(amp,agre)",agre,amp,agreamp
47,1.0,"(amp,ahhhhh)",ahhhhh,amp,ahhhhhamp
48,1.0,"(amp,allpurpos)",allpurpos,amp,allpurposamp
49,2.0,"(amp,am_anatiala)",am_anatiala,amp,am_anatialaamp
50,4.0,"(amp,amaz)",amaz,amp,amazamp
51,8.0,"(amp,and)",amp,and,ampand
52,1.0,"(amp,android)",amp,android,ampandroid
53,1.0,"(amp,ani)",amp,ani,ampani
54,1.0,"(amp,aoif)",amp,aoif,ampaoif
55,2.0,"(amp,apac)",amp,apac,ampapac
56,2.0,"(amp,apex)",amp,apex,ampapex
57,4.0,"(amp,appreci)",amp,appreci,ampappreci
58,17.0,"(amp,april)",amp,april,ampapril
59,4.0,"(amp,are)",amp,are,ampare
60,2.0,"(amp,art)",amp,art,ampart
61,4.0,"(amp,ass)",amp,ass,ampass
62,1.0,"(amp,atherton)",amp,atherton,ampatherton
63,3.0,"(amp,athlet)",amp,athlet,ampathlet
64,1.0,"(amp,atm)",amp,atm,ampatm
65,1.0,"(amp,austria)",amp,austria,ampaustria
66,1.0,"(amp,avoid)",amp,avoid,ampavoid
67,2.0,"(amp,awesom)",amp,awesom,ampawesom
68,1.0,"(amp,badt_boi_)",amp,badt_boi_,ampbadt_boi_
69,1.0,"(amp,baggi)",amp,baggi,ampbaggi
70,1.0,"(amp,balconi)",amp,balconi,ampbalconi
