,count,pair,word,cooccurword,alphaword
1460,1387.0,"(light,rail)",light,rail,lightrail
10613,441.0,"(get,subway)",get,subway,getsubway
9122,439.0,"(subway,im)",im,subway,imsubway
14474,438.0,"(subway,like)",like,subway,likesubway
4210,339.0,"(subway,new)",new,subway,newsubway
4552,322.0,"(subway,station)",station,subway,stationsubway
19240,296.0,"(subway,go)",go,subway,gosubway
19958,268.0,"(subway,sandwich)",sandwich,subway,sandwichsubway
9427,257.0,"(subway,nyc)",nyc,subway,nycsubway
4717,247.0,"(subway,want)",subway,want,subwaywant
