,count,pair
0,1.0,"(amp,08)"
1,1.0,"(amp,102)"
2,1.0,"(amp,1080p)"
3,11.0,"(amp,12)"
4,1.0,"(amp,125pm)"
5,1.0,"(amp,12pm)"
6,2.0,"(amp,139)"
7,1.0,"(amp,13th)"
8,1.0,"(amp,143)"
9,1.0,"(amp,1512mm)"
10,3.0,"(amp,17)"
11,1.0,"(amp,1pmchat1)"
12,2.0,"(amp,21)"
13,1.0,"(amp,229)"
14,2.0,"(amp,22nd)"
15,1.0,"(amp,279)"
16,1.0,"(amp,2v74)"
17,8.0,"(amp,3)"
18,3.0,"(amp,30)"
19,5.0,"(amp,300)"
20,1.0,"(amp,3am)"
21,1.0,"(amp,495)"
22,2.0,"(amp,4br3ba)"
23,1.0,"(amp,4k)"
24,1.0,"(amp,4th)"
25,1.0,"(amp,50s99sta)"
26,1.0,"(amp,5800)"
27,1.0,"(amp,6999)"
28,1.0,"(amp,6x1k)"
29,1.0,"(amp,70mph)"
30,1.0,"(amp,7565)"
31,1.0,"(amp,8)"
32,1.0,"(amp,80)"
33,1.0,"(amp,896)"
34,1.0,"(amp,954)"
35,2.0,"(amp,_slimmer_)"
36,1.0,"(amp,aboard)"
37,3.0,"(amp,absolut)"
38,2.0,"(amp,accessoriesgtapparel)"
39,2.0,"(amp,ace)"
40,3.0,"(amp,act)"
41,2.0,"(amp,add)"
42,1.0,"(amp,adjourn)"
43,1.0,"(amp,adopt)"
44,1.0,"(amp,afterdan)"
45,1.0,"(amp,aggress)"
46,1.0,"(amp,agre)"
47,1.0,"(amp,ahhhhh)"
48,1.0,"(amp,allpurpos)"
49,2.0,"(amp,am_anatiala)"
50,4.0,"(amp,amaz)"
51,8.0,"(amp,and)"
52,1.0,"(amp,android)"
53,1.0,"(amp,ani)"
54,1.0,"(amp,aoif)"
55,2.0,"(amp,apac)"
56,2.0,"(amp,apex)"
57,4.0,"(amp,appreci)"
58,17.0,"(amp,april)"
59,4.0,"(amp,are)"
60,2.0,"(amp,art)"
61,4.0,"(amp,ass)"
62,1.0,"(amp,atherton)"
63,3.0,"(amp,athlet)"
64,1.0,"(amp,atm)"
65,1.0,"(amp,austria)"
66,1.0,"(amp,avoid)"
67,2.0,"(amp,awesom)"
68,1.0,"(amp,badt_boi_)"
69,1.0,"(amp,baggi)"
70,1.0,"(amp,balconi)"
71,3.0,"(amp,band)"
72,1.0,"(amp,bare)"
73,1.0,"(amp,barrier)"
74,1.0,"(amp,bart)"
75,1.0,"(amp,basi)"
76,1.0,"(amp,batter)"
77,1.0,"(amp,bbcpm)"
78,4.0,"(amp,be)"
79,3.0,"(amp,bear)"
80,1.0,"(amp,been)"
81,1.0,"(amp,beg)"
82,1.0,"(amp,bell)"
83,8.0,"(amp,best)"
84,1.0,"(amp,bias)"
85,2.0,"(amp,bicyclist)"
86,3.0,"(amp,bikefriend)"
87,1.0,"(amp,bikerid)"
88,3.0,"(amp,bikinginla)"
89,1.0,"(amp,blinker)"
90,12.0,"(amp,blockedbikenyc)"
91,1.0,"(amp,blog)"
92,2.0,"(amp,bmx)"
93,1.0,"(amp,bmxlife)"
94,1.0,"(amp,bone)"
95,1.0,"(amp,bonus)"
96,3.0,"(amp,boost)"
97,2.0,"(amp,bound)"
98,1.0,"(amp,bournvill)"
99,1.0,"(amp,boyfriend)"
100,1.0,"(amp,brae)"
101,1.0,"(amp,brazi)"
102,1.0,"(amp,bridge8hub)"
103,1.0,"(amp,broke)"
104,2.0,"(amp,brookhaven)"
105,1.0,"(amp,bulbout)"
106,1.0,"(amp,bungalow)"
107,1.0,"(amp,burger)"
108,1.0,"(amp,burglari)"
109,7.0,"(amp,busi)"
110,1.0,"(amp,buss)"
111,1.0,"(amp,by)"
112,1.0,"(amp,c25blh)"
113,2.0,"(amp,calvinamphobb)"
114,3.0,"(amp,camera)"
115,3.0,"(amp,canal)"
116,1.0,"(amp,card)"
117,4.0,"(amp,castro)"
118,7.0,"(amp,cat)"
119,1.0,"(amp,cedar)"
120,2.0,"(amp,chamble)"
121,2.0,"(amp,chase)"
122,1.0,"(amp,chicagocaps01)"
123,2.0,"(amp,child)"
124,1.0,"(amp,chocol)"
125,1.0,"(amp,chrishallrid)"
126,11.0,"(amp,citi)"
127,1.0,"(amp,cityofboston)"
128,1.0,"(amp,civilengin)"
129,3.0,"(amp,clavicl)"
130,4.0,"(amp,clay)"
131,1.0,"(amp,coal)"
132,2.0,"(amp,colleg)"
133,17.0,"(amp,come)"
134,2.0,"(amp,comment)"
135,5.0,"(amp,communityboard1)"
136,1.0,"(amp,conductor)"
137,2.0,"(amp,confirm)"
138,1.0,"(amp,confront)"
139,1.0,"(amp,congress)"
140,2.0,"(amp,consid)"
141,1.0,"(amp,contiuk)"
142,1.0,"(amp,conveniencecomfortutil)"
143,1.0,"(amp,cop)"
144,4.0,"(amp,coupon)"
145,6.0,"(amp,cours)"
146,3.0,"(amp,crack)"
147,2.0,"(amp,credit)"
148,1.0,"(amp,crippl)"
149,2.0,"(amp,crosswalk)"
150,1.0,"(amp,cspc)"
151,7.0,"(amp,current)"
152,6.0,"(amp,cut)"
153,4.0,"(amp,cvs)"
154,1.0,"(amp,cyari)"
155,1.0,"(amp,cyclinglif)"
156,9.0,"(amp,dad)"
157,1.0,"(amp,daft)"
158,6.0,"(amp,damag)"
159,3.0,"(amp,danger)"
160,1.0,"(amp,davidson)"
161,1.0,"(amp,dayton)"
162,3.0,"(amp,definit)"
163,1.0,"(amp,deliber)"
164,1.0,"(amp,deliveri)"
