,count,pair
0,1.0,"(bus,01)"
1,1.0,"(bus,01chosen)"
2,1.0,"(bus,040)"
3,118.0,"(bus,1)"
4,96.0,"(bus,10)"
5,1.0,"(bus,10112)"
6,2.0,"(bus,1030)"
7,2.0,"(bus,1037thebuzz)"
8,1.0,"(bus,103suck)"
9,1.0,"(bus,1061bli)"
10,1.0,"(bus,1062)"
11,3.0,"(bus,108)"
12,1.0,"(bus,10mile)"
13,1.0,"(bus,1102)"
14,1.0,"(bus,111483_)"
15,1.0,"(bus,112)"
16,2.0,"(bus,1155am)"
17,2.0,"(bus,117)"
18,1.0,"(bus,11i)"
19,1.0,"(bus,11thhour)"
20,1.0,"(bus,1210)"
21,1.0,"(bus,1247)"
22,1.0,"(bus,126)"
23,1.0,"(bus,12hour)"
24,1.0,"(bus,12kyear)"
25,3.0,"(bus,130)"
26,1.0,"(bus,1300)"
27,1.0,"(bus,1305)"
28,1.0,"(bus,1314)"
29,1.0,"(bus,135)"
30,1.0,"(bus,1355)"
31,1.0,"(bus,1436)"
32,8.0,"(bus,14th)"
33,41.0,"(bus,15)"
34,3.0,"(bus,162)"
35,1.0,"(bus,167q)"
36,2.0,"(bus,176)"
37,2.0,"(bus,180)"
38,1.0,"(bus,1800)"
39,1.0,"(bus,1815hrs)"
40,1.0,"(bus,1841)"
41,1.0,"(bus,1922)"
42,1.0,"(bus,1928c3019)"
43,1.0,"(bus,194)"
44,1.0,"(bus,1940)"
45,1.0,"(bus,1968)"
46,1.0,"(bus,1977)"
47,2.0,"(bus,1980s)"
48,1.0,"(bus,19min)"
49,1.0,"(bus,19th)"
50,2.0,"(bus,1assign)"
51,1.0,"(bus,1h20)"
52,1.0,"(bus,1rais)"
53,1.0,"(bus,1robbioso)"
54,1.0,"(bus,2002)"
55,8.0,"(bus,2011)"
56,2.0,"(bus,2016)"
57,4.0,"(bus,2020)"
58,1.0,"(bus,2025)"
59,1.0,"(bus,203pm)"
60,1.0,"(bus,20s)"
61,2.0,"(bus,2124)"
62,1.0,"(bus,2247700682)"
63,1.0,"(bus,22queenofheart)"
64,1.0,"(bus,2304)"
65,3.0,"(bus,230pm)"
66,1.0,"(bus,2318)"
67,1.0,"(bus,2351onthelist)"
68,2.0,"(bus,23k)"
69,9.0,"(bus,24)"
70,1.0,"(bus,243)"
71,2.0,"(bus,248)"
72,1.0,"(bus,263chat)"
73,1.0,"(bus,270)"
74,3.0,"(bus,275)"
75,1.0,"(bus,27bus)"
76,1.0,"(bus,27pm)"
77,1.0,"(bus,28a)"
78,1.0,"(bus,28th)"
79,9.0,"(bus,29)"
80,1.0,"(bus,298)"
81,1.0,"(bus,2a)"
82,1.0,"(bus,2hr)"
83,1.0,"(bus,2k)"
84,1.0,"(bus,2kms)"
85,1.0,"(bus,2murder)"
86,1.0,"(bus,2nazism)"
87,1.0,"(bus,2pawz)"
88,1.0,"(bus,2the)"
89,1.0,"(bus,2wks)"
90,1.0,"(bus,301)"
91,1.0,"(bus,3024)"
92,1.0,"(bus,311dcgov)"
93,1.0,"(bus,315)"
94,1.0,"(bus,324)"
95,3.0,"(bus,32618)"
96,5.0,"(bus,33)"
97,2.0,"(bus,33rd)"
98,1.0,"(bus,347)"
99,13.0,"(bus,350m)"
100,1.0,"(bus,351)"
101,2.0,"(bus,356)"
102,1.0,"(bus,360)"
103,1.0,"(bus,374)"
104,1.0,"(bus,38)"
105,1.0,"(bus,3mb)"
106,1.0,"(bus,3mph)"
107,3.0,"(bus,3y)"
108,14.0,"(bus,400)"
109,2.0,"(bus,405)"
110,1.0,"(bus,40mph)"
111,9.0,"(bus,41019)"
112,1.0,"(bus,410pm)"
113,1.0,"(bus,414)"
114,2.0,"(bus,415pm)"
115,3.0,"(bus,419)"
116,1.0,"(bus,41a)"
117,3.0,"(bus,42)"
118,1.0,"(bus,428)"
119,2.0,"(bus,441)"
120,2.0,"(bus,450)"
121,1.0,"(bus,45mph)"
122,3.0,"(bus,47)"
123,1.0,"(bus,49y3730)"
124,2.0,"(bus,4am)"
125,1.0,"(bus,4i3)"
126,1.0,"(bus,4ma)"
127,4.0,"(bus,4pm)"
128,1.0,"(bus,4x)"
129,1.0,"(bus,5031)"
130,1.0,"(bus,504)"
131,8.0,"(bus,509)"
132,1.0,"(bus,50th)"
133,1.0,"(bus,5121)"
134,7.0,"(bus,513)"
135,1.0,"(bus,52d)"
136,1.0,"(bus,532pm)"
137,4.0,"(bus,545)"
138,1.0,"(bus,554)"
139,9.0,"(bus,56)"
140,1.0,"(bus,59001)"
141,5.0,"(bus,5th)"
142,55.0,"(bus,6)"
143,13.0,"(bus,60)"
144,2.0,"(bus,608)"
145,1.0,"(bus,609am)"
146,2.0,"(bus,612)"
147,1.0,"(bus,623624)"
148,1.0,"(bus,6256)"
149,1.0,"(bus,626)"
150,6.0,"(bus,630)"
151,1.0,"(bus,6364)"
152,2.0,"(bus,64th)"
153,3.0,"(bus,65)"
154,2.0,"(bus,680)"
155,1.0,"(bus,6lack)"
156,1.0,"(bus,6month)"
157,1.0,"(bus,6musicstudio)"
158,1.0,"(bus,702)"
159,1.0,"(bus,70s)"
160,1.0,"(bus,715730)"
161,5.0,"(bus,720)"
162,2.0,"(bus,725)"
163,5.0,"(bus,730am)"
164,2.0,"(bus,734)"
165,1.0,"(bus,74)"
166,1.0,"(bus,743)"
167,1.0,"(bus,7500toholt)"
168,2.0,"(bus,758am)"
169,1.0,"(bus,770)"
170,2.0,"(bus,79thamsterdam)"
171,2.0,"(bus,810)"
172,2.0,"(bus,811am)"
173,4.0,"(bus,815)"
174,1.0,"(bus,824)"
175,1.0,"(bus,8286)"
176,5.0,"(bus,83)"
177,1.0,"(bus,830ish)"
178,2.0,"(bus,842)"
179,3.0,"(bus,860)"
180,2.0,"(bus,8614)"
181,8.0,"(bus,900)"
182,1.0,"(bus,9028925483)"
183,1.0,"(bus,905)"
184,1.0,"(bus,90month)"
185,2.0,"(bus,955)"
186,5.0,"(bus,97)"
187,1.0,"(bus,99sarabeth)"
188,6.0,"(bus,9am)"
189,2.0,"(bus,9pm)"
190,1.0,"(bus,__delasoul)"
191,1.0,"(bus,__mayno)"
192,1.0,"(bus,_bil)"
193,1.0,"(bus,_hellenoftroy_)"
194,1.0,"(bus,_itsrom)"
195,1.0,"(bus,_montano_d)"
196,1.0,"(bus,_mymusictast)"
197,1.0,"(bus,_ohyoumad)"
198,1.0,"(bus,_que19_)"
199,1.0,"(bus,_yogendrayadav)"
200,1.0,"(bus,_yuckz_)"
201,2.0,"(bus,a2)"
202,3.0,"(bus,a7)"
203,1.0,"(bus,a_navv)"
204,1.0,"(bus,aaaaa)"
205,1.0,"(bus,aaaaaaallllllllllllllllllll)"
206,1.0,"(bus,aalxya)"
207,1.0,"(bus,aam)"
208,2.0,"(bus,aaronvsamuel)"
209,1.0,"(bus,aavallon)"
210,2.0,"(bus,abbg)"
211,2.0,"(bus,abit)"
212,36.0,"(bus,abl)"
213,1.0,"(bus,aboveup)"
214,1.0,"(bus,abq)"
215,1.0,"(bus,abram)"
216,2.0,"(bus,abuja)"
217,1.0,"(bus,abutugcfr)"
218,1.0,"(bus,abysm)"
219,2.0,"(bus,aca)"
220,3.0,"(bus,academybus)"
221,1.0,"(bus,acadia)"
222,4.0,"(bus,acceler)"
223,54.0,"(bus,accid)"
224,3.0,"(bus,accommod)"
225,7.0,"(bus,accord)"
226,29.0,"(bus,account)"
227,1.0,"(bus,accuracydanmusa)"
228,2.0,"(bus,acquir)"
229,1.0,"(bus,acrid)"
230,14.0,"(bus,activ)"
231,2.0,"(bus,activist)"
232,35.0,"(bus,ad)"
233,1.0,"(bus,adamparkhomenko)"
234,10.0,"(bus,address)"
235,2.0,"(bus,admir)"
236,1.0,"(bus,adoomies1)"
237,1.0,"(bus,adriancroydon)"
238,8.0,"(bus,advantag)"
239,12.0,"(bus,adventur)"
240,1.0,"(bus,advers)"
241,8.0,"(bus,advis)"
242,2.0,"(bus,advoc)"
243,1.0,"(bus,aerissnow)"
244,3.0,"(bus,affi)"
245,8.0,"(bus,afraid)"
246,24.0,"(bus,after)"
247,1.0,"(bus,afterparti)"
248,6.0,"(bus,afterward)"
249,16.0,"(bus,agenc)"
250,1.0,"(bus,ags614)"
251,1.0,"(bus,aha)"
252,1.0,"(bus,ahahahaha)"
253,2.0,"(bus,ahahhaha)"
254,1.0,"(bus,ahyawnah)"
255,1.0,"(bus,aimeeallison)"
256,1.0,"(bus,aircraft)"
257,2.0,"(bus,airdrop)"
258,3.0,"(bus,airplan)"
259,1.0,"(bus,ajmitchell25)"
260,3.0,"(bus,alar)"
261,10.0,"(bus,alex)"
262,1.0,"(bus,alex_block)"
263,1.0,"(bus,alex_houseof308)"
264,2.0,"(bus,algor)"
265,1.0,"(bus,align)"
266,1.0,"(bus,alistairblevin)"
267,83.0,"(bus,all)"
268,1.0,"(bus,allbus)"
269,1.0,"(bus,allegeri)"
270,6.0,"(bus,allegri)"
271,1.0,"(bus,allergi)"
272,1.0,"(bus,alleyway)"
273,2.0,"(bus,alloc)"
274,39.0,"(bus,allow)"
275,1.0,"(bus,alltheloveftmgc)"
276,2.0,"(bus,alltim)"
277,1.0,"(bus,alma)"
278,18.0,"(bus,alon)"
279,3.0,"(bus,aloud)"
280,1.0,"(bus,alpha)"
281,1.0,"(bus,alriiiighti)"
282,168.0,"(bus,also)"
283,1.0,"(bus,alx400)"
284,1.0,"(bus,aly_ayl_)"
285,2.0,"(bus,alyazeedi96)"
286,5.0,"(bus,amadichima)"
287,1.0,"(bus,amandakhurley)"
288,2.0,"(bus,ambient)"
289,16.0,"(bus,american)"
290,1.0,"(bus,americanu)"
291,394.0,"(bus,amp)"
292,1.0,"(bus,ampco)"
293,3.0,"(bus,amy_siskind)"
294,23.0,"(bus,an)"
295,1.0,"(bus,analogkid75)"
296,1.0,"(bus,andershillestad)"
297,3.0,"(bus,andr)"
298,1.0,"(bus,andrewct)"
299,1.0,"(bus,andrewgdotcom)"
300,1.0,"(bus,andrewpollackfl)"
301,1.0,"(bus,andrewsch)"
302,2.0,"(bus,anecdot)"
303,1.0,"(bus,angelbreath)"
304,1.0,"(bus,angryblackbiguy)"
305,47.0,"(bus,anim)"
306,1.0,"(bus,anna_soubri)"
307,2.0,"(bus,annawatton)"
308,1.0,"(bus,annecutl)"
309,1.0,"(bus,annelizawalsh78)"
310,2.0,"(bus,annex)"
311,1.0,"(bus,annihil)"
312,21.0,"(bus,announc)"
313,2.0,"(bus,anonym)"
314,148.0,"(bus,anoth)"
315,1.0,"(bus,ansaraabbasi)"
316,2.0,"(bus,antiblack)"
317,5.0,"(bus,anticip)"
318,2.0,"(bus,antiqu)"
319,1.0,"(bus,antoniowhen)"
320,1.0,"(bus,antwerp)"
321,2.0,"(bus,anvt)"
322,1.0,"(bus,anwargh76729263)"
323,13.0,"(bus,anxieti)"
324,1.0,"(bus,anyin)"
325,46.0,"(bus,anyth)"
326,1.0,"(bus,anytim)"
327,1.0,"(bus,apex_zi)"
328,1.0,"(bus,aphasia)"
329,1.0,"(bus,apmcfadyen)"
