,count,pair
0,1.0,"(car,000forev)"
1,1.0,"(car,0040)"
2,2.0,"(car,06)"
3,1.0,"(car,060519)"
4,1.0,"(car,09025853814)"
5,1.0,"(car,0_debz_0)"
6,2.0,"(car,0t7o_07to)"
7,92.0,"(car,1)"
8,75.0,"(car,10)"
9,1.0,"(car,1008)"
10,2.0,"(car,100ft)"
11,1.0,"(car,100mphs)"
12,1.0,"(car,1012)"
13,1.0,"(car,1013kdwb)"
14,1.0,"(car,101build)"
15,1.0,"(car,1030pm)"
16,2.0,"(car,1080p)"
17,1.0,"(car,10kms)"
18,1.0,"(car,110hellview)"
19,2.0,"(car,1229am)"
20,2.0,"(car,12w)"
21,2.0,"(car,1300)"
22,1.0,"(car,1350)"
23,1.0,"(car,13gl)"
24,1.0,"(car,14th)"
25,33.0,"(car,15)"
26,2.0,"(car,1747)"
27,4.0,"(car,180)"
28,1.0,"(car,1800)"
29,1.0,"(car,1823)"
30,1.0,"(car,1960s)"
31,1.0,"(car,1963)"
32,2.0,"(car,1968)"
33,2.0,"(car,1977)"
34,1.0,"(car,1986)"
35,3.0,"(car,1995)"
36,1.0,"(car,19k)"
37,1.0,"(car,19th)"
38,1.0,"(car,1jamesdyoung)"
39,1.0,"(car,1welshman001)"
40,2.0,"(car,2007)"
41,1.0,"(car,200s)"
42,1.0,"(car,2011)"
43,8.0,"(car,2016)"
44,10.0,"(car,2020)"
45,1.0,"(car,2025)"
46,2.0,"(car,20533)"
47,1.0,"(car,20cm)"
48,1.0,"(car,20mph)"
49,1.0,"(car,20s)"
50,1.0,"(car,20x)"
51,1.0,"(car,2110)"
52,1.0,"(car,220)"
53,1.0,"(car,2200)"
54,1.0,"(car,2318)"
55,8.0,"(car,24)"
56,1.0,"(car,270)"
57,1.0,"(car,275)"
58,1.0,"(car,280k)"
59,1.0,"(car,28k)"
60,3.0,"(car,29)"
61,1.0,"(car,2k)"
62,2.0,"(car,2pcs)"
63,1.0,"(car,2run)"
64,1.0,"(car,30000)"
65,2.0,"(car,3060)"
66,3.0,"(car,30min)"
67,1.0,"(car,30second)"
68,1.0,"(car,310)"
69,2.0,"(car,31st)"
70,2.0,"(car,32nd)"
71,1.0,"(car,32rodster)"
72,1.0,"(car,33)"
73,5.0,"(car,360)"
74,2.0,"(car,38)"
75,4.0,"(car,3drenderbot)"
76,1.0,"(car,3pd)"
77,1.0,"(car,3sec)"
78,10.0,"(car,400)"
79,2.0,"(car,4000)"
80,1.0,"(car,405)"
81,1.0,"(car,4145)"
82,1.0,"(car,42)"
83,1.0,"(car,441)"
84,2.0,"(car,450)"
85,2.0,"(car,4550)"
86,1.0,"(car,45_scooter)"
87,1.0,"(car,4636)"
88,2.0,"(car,47)"
89,2.0,"(car,4am)"
90,1.0,"(car,4s)"
91,2.0,"(car,50k)"
92,1.0,"(car,50th)"
93,1.0,"(car,51)"
94,1.0,"(car,545)"
95,2.0,"(car,56)"
96,1.0,"(car,5hrs)"
97,1.0,"(car,5m)"
98,3.0,"(car,5th)"
99,73.0,"(car,6)"
100,6.0,"(car,60)"
101,1.0,"(car,621)"
102,1.0,"(car,630)"
103,1.0,"(car,649)"
104,3.0,"(car,65)"
105,3.0,"(car,69k)"
106,1.0,"(car,6ixval_)"
107,1.0,"(car,6way)"
108,1.0,"(car,70mph)"
