,count,pair
0,147.0,"(get,)"
1,3.0,"(get,100)"
2,1.0,"(get,1115)"
3,1.0,"(get,125th)"
4,1.0,"(get,1900s)"
5,1.0,"(get,2018)"
6,2.0,"(get,20min)"
7,1.0,"(get,26b)"
8,2.0,"(get,275)"
9,1.0,"(get,285b)"
10,3.0,"(get,30)"
11,6.0,"(get,4)"
12,1.0,"(get,5ish)"
13,9.0,"(get,6inch)"
14,1.0,"(get,730)"
15,1.0,"(get,74th)"
16,1.0,"(get,7heabolitionist)"
17,2.0,"(get,absolut)"
18,1.0,"(get,accident)"
19,6.0,"(get,across)"
20,1.0,"(get,after)"
21,2.0,"(get,alexschief)"
22,10.0,"(get,all)"
23,5.0,"(get,almost)"
24,1.0,"(get,alon_levi)"
25,5.0,"(get,along)"
26,1.0,"(get,american)"
27,16.0,"(get,amp)"
28,1.0,"(get,amplifi)"
29,1.0,"(get,angelgaz)"
30,2.0,"(get,anobell)"
31,7.0,"(get,anyon)"
32,4.0,"(get,aoc)"
33,2.0,"(get,apart)"
34,1.0,"(get,appear)"
35,1.0,"(get,appl)"
36,1.0,"(get,argu)"
37,2.0,"(get,arriv)"
38,1.0,"(get,asap)"
39,5.0,"(get,ass)"
40,2.0,"(get,assum)"
41,2.0,"(get,attempt)"
42,2.0,"(get,attende)"
43,2.0,"(get,avoid)"
44,1.0,"(get,background)"
45,1.0,"(get,backup)"
46,1.0,"(get,balanc)"
47,1.0,"(get,ballot)"
48,1.0,"(get,bathroom)"
49,2.0,"(get,beach)"
50,1.0,"(get,bearer)"
51,1.0,"(get,beaten)"
52,1.0,"(get,beauti)"
53,1.0,"(get,bell)"
54,1.0,"(get,belowfreez)"
55,4.0,"(get,berlin)"
56,2.0,"(get,bluxter)"
57,1.0,"(get,bn)"
58,3.0,"(get,bodi)"
59,1.0,"(get,bostonmarathon)"
60,1.0,"(get,bradmbradford)"
61,1.0,"(get,branch)"
62,1.0,"(get,breath)"
63,2.0,"(get,brilliant)"
64,5.0,"(get,bring)"
65,2.0,"(get,brt)"
66,1.0,"(get,bryan)"
67,1.0,"(get,bud)"
68,6.0,"(get,buy)"
69,2.0,"(get,callous)"
70,1.0,"(get,cancel)"
71,1.0,"(get,cave)"
72,1.0,"(get,cdnpoli)"
73,2.0,"(get,center)"
74,2.0,"(get,chip)"
75,1.0,"(get,chipsi)"
76,3.0,"(get,choic)"
77,1.0,"(get,chorus)"
78,25.0,"(get,citi)"
79,3.0,"(get,citizen)"
80,10.0,"(get,class)"
81,1.0,"(get,clock)"
82,5.0,"(get,close)"
83,2.0,"(get,clown)"
84,1.0,"(get,collect)"
85,1.0,"(get,comin)"
86,1.0,"(get,communiti)"
87,2.0,"(get,commut)"
88,2.0,"(get,compani)"
89,1.0,"(get,composit)"
90,1.0,"(get,context)"
91,3.0,"(get,continu)"
92,1.0,"(get,copi)"
93,2.0,"(get,coupl)"
94,2.0,"(get,court)"
95,1.0,"(get,cram)"
96,1.0,"(get,creatordusti)"
97,1.0,"(get,crisi)"
98,4.0,"(get,cup)"
99,4.0,"(get,custom)"
100,1.0,"(get,da)"
101,2.0,"(get,dad)"
102,1.0,"(get,daili)"
103,2.0,"(get,danm1703)"
104,5.0,"(get,dark)"
105,4.0,"(get,date)"
106,1.0,"(get,davidamoy)"
107,30.0,"(get,day)"
108,5.0,"(get,deal)"
109,1.0,"(get,defund)"
110,1.0,"(get,destroy)"
111,1.0,"(get,devorah54)"
112,7.0,"(get,do)"
113,1.0,"(get,donald)"
114,1.0,"(get,donor)"
115,1.0,"(get,drag)"
116,1.0,"(get,dri)"
117,3.0,"(get,e)"
118,1.0,"(get,easi)"
119,2.0,"(get,easili)"
120,1.0,"(get,eglinton)"
121,4.0,"(get,either)"
122,4.0,"(get,elev)"
123,1.0,"(get,episod)"
124,2.0,"(get,equival)"
125,2.0,"(get,escal)"
126,1.0,"(get,espiecyy)"
127,15.0,"(get,everi)"
128,2.0,"(get,evid)"
129,2.0,"(get,exhaust)"
130,1.0,"(get,eyebal)"
131,1.0,"(get,fail)"
132,6.0,"(get,fan)"
133,1.0,"(get,fenc)"
134,1.0,"(get,fish)"
135,1.0,"(get,fixthesubway)"
136,1.0,"(get,fleet)"
137,2.0,"(get,fli)"
138,2.0,"(get,forward)"
139,1.0,"(get,four)"
140,13.0,"(get,fuck)"
141,3.0,"(get,fuckin)"
142,1.0,"(get,fuel)"
143,9.0,"(get,full)"
144,2.0,"(get,funniest)"
145,1.0,"(get,fye)"
146,5.0,"(get,gas)"
147,1.0,"(get,gatorad)"
148,3.0,"(get,gift)"
149,2.0,"(get,girl)"
150,1.0,"(get,gitmo)"
151,1.0,"(get,gm)"
152,12.0,"(get,goe)"
153,1.0,"(get,gone)"
154,1.0,"(get,greasi)"
155,7.0,"(get,great)"
156,1.0,"(get,hall)"
157,4.0,"(get,hangri)"
158,1.0,"(get,happi)"
159,8.0,"(get,hes)"
