,count,pair,word,cooccurword,alphaword
0,4.0,"(dont,100)",100,dont,100dont
1,2.0,"(dont,14th)",14th,dont,14thdont
2,1.0,"(dont,20min)",20min,dont,20mindont
3,1.0,"(dont,3phasefootbal)",3phasefootbal,dont,3phasefootbaldont
4,12.0,"(dont,4)",4,dont,4dont
5,1.0,"(dont,45)",45,dont,45dont
6,2.0,"(dont,59)",59,dont,59dont
7,1.0,"(dont,8h)",8h,dont,8hdont
8,1.0,"(dont,9am)",9am,dont,9amdont
9,1.0,"(dont,abid)",abid,dont,abiddont
10,1.0,"(dont,accident)",accident,dont,accidentdont
11,2.0,"(dont,accur)",accur,dont,accurdont
12,1.0,"(dont,across)",across,dont,acrossdont
13,1.0,"(dont,ad)",ad,dont,addont
14,1.0,"(dont,advic)",advic,dont,advicdont
15,2.0,"(dont,aka)",aka,dont,akadont
16,1.0,"(dont,alhambra)",alhambra,dont,alhambradont
17,1.0,"(dont,alien)",alien,dont,aliendont
18,10.0,"(dont,all)",all,dont,alldont
19,2.0,"(dont,american)",american,dont,americandont
20,13.0,"(dont,amp)",amp,dont,ampdont
21,1.0,"(dont,amtrak)",amtrak,dont,amtrakdont
22,1.0,"(dont,analog)",analog,dont,analogdont
23,2.0,"(dont,angri)",angri,dont,angridont
24,6.0,"(dont,anoth)",anoth,dont,anothdont
25,1.0,"(dont,anxious)",anxious,dont,anxiousdont
26,2.0,"(dont,aoc)",aoc,dont,aocdont
27,1.0,"(dont,arentr)",arentr,dont,arentrdont
28,6.0,"(dont,around)",around,dont,arounddont
29,2.0,"(dont,ass)",ass,dont,assdont
30,2.0,"(dont,athlet)",athlet,dont,athletdont
31,19.0,"(dont,back)",back,dont,backdont
32,1.0,"(dont,ball)",ball,dont,balldont
33,1.0,"(dont,bambambigganos)",bambambigganos,dont,bambambigganosdont
34,1.0,"(dont,banter)",banter,dont,banterdont
35,2.0,"(dont,base)",base,dont,basedont
36,1.0,"(dont,becam)",becam,dont,becamdont
37,8.0,"(dont,believ)",believ,dont,believdont
38,1.0,"(dont,below)",below,dont,belowdont
39,1.0,"(dont,bigbear_bear10)",bigbear_bear10,dont,bigbear_bear10dont
40,1.0,"(dont,bknetsforev)",bknetsforev,dont,bknetsforevdont
41,1.0,"(dont,blind)",blind,dont,blinddont
42,1.0,"(dont,blow)",blow,dont,blowdont
43,2.0,"(dont,board)",board,dont,boarddont
44,2.0,"(dont,bout)",bout,dont,boutdont
45,1.0,"(dont,brimsdown)",brimsdown,dont,brimsdowndont
46,1.0,"(dont,briteeye777)",briteeye777,dont,briteeye777dont
47,1.0,"(dont,brockley)",brockley,dont,brockleydont
48,1.0,"(dont,bubblysag)",bubblysag,dont,bubblysagdont
49,3.0,"(dont,bunch)",bunch,dont,bunchdont
50,2.0,"(dont,buy)",buy,dont,buydont
51,1.0,"(dont,caliconserv1)",caliconserv1,dont,caliconserv1dont
52,2.0,"(dont,calm)",calm,dont,calmdont
53,1.0,"(dont,cancel)",cancel,dont,canceldont
54,2.0,"(dont,cat)",cat,dont,catdont
55,1.0,"(dont,centrist)",centrist,dont,centristdont
56,1.0,"(dont,chalkwhite101)",chalkwhite101,dont,chalkwhite101dont
57,1.0,"(dont,chappers06)",chappers06,dont,chappers06dont
58,1.0,"(dont,charg)",charg,dont,chargdont
59,1.0,"(dont,chug)",chug,dont,chugdont
60,1.0,"(dont,ciaspygirl)",ciaspygirl,dont,ciaspygirldont
61,1.0,"(dont,clickbait)",clickbait,dont,clickbaitdont
62,1.0,"(dont,coachella)",coachella,dont,coachelladont
63,1.0,"(dont,collidecon)",collidecon,dont,collidecondont
64,1.0,"(dont,communiti)",communiti,dont,communitidont
65,1.0,"(dont,commut)",commut,dont,commutdont
66,1.0,"(dont,comolli71)",comolli71,dont,comolli71dont
67,2.0,"(dont,compar)",compar,dont,compardont
68,1.0,"(dont,compet)",compet,dont,competdont
69,1.0,"(dont,complain)",complain,dont,complaindont
70,1.0,"(dont,complet)",complet,dont,completdont
71,2.0,"(dont,connect)",connect,dont,connectdont
72,1.0,"(dont,consent)",consent,dont,consentdont
73,4.0,"(dont,conserv)",conserv,dont,conservdont
74,1.0,"(dont,contest)",contest,dont,contestdont
75,1.0,"(dont,corbyn)",corbyn,dont,corbyndont
76,1.0,"(dont,coronari)",coronari,dont,coronaridont
77,2.0,"(dont,cost)",cost,dont,costdont
78,3.0,"(dont,cover)",cover,dont,coverdont
79,1.0,"(dont,ctanner3)",ctanner3,dont,ctanner3dont
80,3.0,"(dont,cub)",cub,dont,cubdont
81,1.0,"(dont,curriculum)",curriculum,dont,curriculumdont
82,3.0,"(dont,custom)",custom,dont,customdont
83,1.0,"(dont,cute)",cute,dont,cutedont
84,1.0,"(dont,dad)",dad,dont,daddont
85,1.0,"(dont,danicugini)",danicugini,dont,danicuginidont
86,14.0,"(dont,day)",day,dont,daydont
87,2.0,"(dont,dead)",dead,dont,deaddont
88,1.0,"(dont,dear)",dear,dont,deardont
89,1.0,"(dont,death)",death,dont,deathdont
90,2.0,"(dont,defend)",defend,dont,defenddont
91,2.0,"(dont,dem)",dem,dont,demdont
92,1.0,"(dont,dilishaw)",dilishaw,dont,dilishawdont
93,1.0,"(dont,dirtdigger11)",dirtdigger11,dont,dirtdigger11dont
94,1.0,"(dont,disillusionedlik)",disillusionedlik,dont,disillusionedlikdont
95,1.0,"(dont,dispar)",dispar,dont,dispardont
96,1.0,"(dont,docil)",docil,dont,docildont
97,2.0,"(dont,dontgetoffatbaltimoredontgetoffatbalimoredont)",dont,dontgetoffatbaltimoredontgetoffatbalimoredont,dontdontgetoffatbaltimoredontgetoffatbalimoredont
98,1.0,"(dont,downfal)",dont,downfal,dontdownfal
99,2.0,"(dont,driver)",dont,driver,dontdriver
100,1.0,"(dont,duckl)",dont,duckl,dontduckl
101,2.0,"(dont,dude)",dont,dude,dontdude
102,1.0,"(dont,e)",dont,e,donte
103,1.0,"(dont,echocharley81)",dont,echocharley81,dontechocharley81
104,1.0,"(dont,education4lib)",dont,education4lib,donteducation4lib
105,7.0,"(dont,either)",dont,either,donteither
106,1.0,"(dont,emilyqr)",dont,emilyqr,dontemilyqr
107,1.0,"(dont,entri)",dont,entri,dontentri
108,1.0,"(dont,episod)",dont,episod,dontepisod
109,1.0,"(dont,equal)",dont,equal,dontequal
110,2.0,"(dont,equip)",dont,equip,dontequip
111,2.0,"(dont,essenti)",dont,essenti,dontessenti
112,1.0,"(dont,eus)",dont,eus,donteus
113,1.0,"(dont,evilkth)",dont,evilkth,dontevilkth
114,1.0,"(dont,fade)",dont,fade,dontfade
115,1.0,"(dont,fair)",dont,fair,dontfair
116,1.0,"(dont,faith)",dont,faith,dontfaith
117,2.0,"(dont,fake)",dont,fake,dontfake
118,7.0,"(dont,fan)",dont,fan,dontfan
119,1.0,"(dont,fanfic)",dont,fanfic,dontfanfic
120,1.0,"(dont,fannypack)",dont,fannypack,dontfannypack
121,1.0,"(dont,fantasyspinoff)",dont,fantasyspinoff,dontfantasyspinoff
122,1.0,"(dont,fatehpur)",dont,fatehpur,dontfatehpur
123,1.0,"(dont,fatehpurkind)",dont,fatehpurkind,dontfatehpurkind
124,1.0,"(dont,fatehpurnow)",dont,fatehpurnow,dontfatehpurnow
125,1.0,"(dont,fay_young)",dont,fay_young,dontfay_young
126,1.0,"(dont,fftraderjo)",dont,fftraderjo,dontfftraderjo
127,1.0,"(dont,fiction)",dont,fiction,dontfiction
128,1.0,"(dont,fifth)",dont,fifth,dontfifth
129,1.0,"(dont,finitealright)",dont,finitealright,dontfinitealright
130,1.0,"(dont,five)",dont,five,dontfive
131,1.0,"(dont,flashback)",dont,flashback,dontflashback
132,2.0,"(dont,fli)",dont,fli,dontfli
133,9.0,"(dont,follow)",dont,follow,dontfollow
134,2.0,"(dont,footbal)",dont,footbal,dontfootbal
135,7.0,"(dont,forget)",dont,forget,dontforget
136,5.0,"(dont,friend)",dont,friend,dontfriend
137,1.0,"(dont,fruit)",dont,fruit,dontfruit
138,1.0,"(dont,g_man500)",dont,g_man500,dontg_man500
139,1.0,"(dont,gangren)",dont,gangren,dontgangren
140,1.0,"(dont,gentl)",dont,gentl,dontgentl
141,1.0,"(dont,gigant)",dont,gigant,dontgigant
142,1.0,"(dont,glasgow)",dont,glasgow,dontglasgow
143,1.0,"(dont,gnrailuk)",dont,gnrailuk,dontgnrailuk
144,4.0,"(dont,goe)",dont,goe,dontgoe
145,1.0,"(dont,golfer)",dont,golfer,dontgolfer
146,1.0,"(dont,grannyanon1969)",dont,grannyanon1969,dontgrannyanon1969
147,2.0,"(dont,grant)",dont,grant,dontgrant
148,1.0,"(dont,grow)",dont,grow,dontgrow
149,1.0,"(dont,haryshv)",dont,haryshv,dontharyshv
150,7.0,"(dont,hes)",dont,hes,donthes
151,4.0,"(dont,histori)",dont,histori,donthistori
152,1.0,"(dont,hold)",dont,hold,donthold
153,1.0,"(dont,hoop)",dont,hoop,donthoop
154,1.0,"(dont,horn)",dont,horn,donthorn
155,3.0,"(dont,hous)",dont,hous,donthous
156,1.0,"(dont,httpstcoigrp7bk5ey)",dont,httpstcoigrp7bk5ey,donthttpstcoigrp7bk5ey
157,1.0,"(dont,httpstcooqol19tktm)",dont,httpstcooqol19tktm,donthttpstcooqol19tktm
158,1.0,"(dont,httpstcouitl4dy7h8)",dont,httpstcouitl4dy7h8,donthttpstcouitl4dy7h8
159,1.0,"(dont,httpstcourb2aaijqh)",dont,httpstcourb2aaijqh,donthttpstcourb2aaijqh
160,1.0,"(dont,httpstcowunhscn6bx)",dont,httpstcowunhscn6bx,donthttpstcowunhscn6bx
161,1.0,"(dont,httpstcowz30duqmym)",dont,httpstcowz30duqmym,donthttpstcowz30duqmym
162,1.0,"(dont,httpstcoy36vnf6a1w)",dont,httpstcoy36vnf6a1w,donthttpstcoy36vnf6a1w
163,1.0,"(dont,httpstcoz3pgblx0yu)",dont,httpstcoz3pgblx0yu,donthttpstcoz3pgblx0yu
