,count,word
0,1.0,000plus
1,1.0,01s
2,2.0,08milelong
3,1.0,090gram
4,2.0,100lumen
5,2.0,100x12mm
6,2.0,10es
7,1.0,10m
8,2.0,10percent
9,1.0,10todoframealign
10,1.0,10tooth
11,2.0,10yearold
12,1.0,110a
13,1.0,110mmwide
14,3.0,110x15mm
15,1.0,11pound
16,2.0,11yearold
17,1.0,125mm
18,2.0,128bit
19,1.0,132mm
20,2.0,137mile
21,1.0,139gcolin
22,1.0,139info
23,1.0,13person
24,3.0,14th
25,1.0,150pound
26,1.0,150x15mm
27,1.0,153mm
28,18.0,15mm
29,54.0,160mm
30,8.0,160mmtravel
31,2.0,161lbs
32,1.0,1625mm
33,1.0,165mmtravel
34,1.0,170pound
35,1.0,17inch
36,1.0,185cantitoeroadcom
37,1.0,18mile
38,1.0,190mmwide
39,2.0,195mm
40,1.0,1960s
41,1.0,199weight
42,1.0,1hour
43,2.0,1speed
44,10.0,1x12
45,2.0,1x12speed
46,1.0,1xcompat
47,3.0,200grit
48,2.0,200k
49,1.0,2016s
50,2.0,216mm
51,1.0,220octal
52,1.0,22group
53,1.0,22mm
54,1.0,230mm
55,1.0,233km
56,4.0,24inch
57,1.0,250are
58,2.0,25c
59,1.0,25mile
60,1.0,25mphan
61,1.0,269g
62,1.0,26x515
63,7.0,272mm
64,2.0,275x235
65,1.0,28year
66,1.0,29env
67,1.0,29mm
68,1.0,29s
69,1.0,29x22
70,6.0,2d
71,2.0,2inch
72,1.0,2k
73,16.0,2r
74,2.0,2xl
75,4.0,2xs
76,1.0,2xu35
77,1.0,300foot
78,1.0,300hour
79,2.0,300lb
80,1.0,300pluspound
81,2.0,300seri
82,2.0,30foot
83,3.0,30mph
84,4.0,30tooth
85,2.0,318g
86,1.0,3236t
87,1.0,325g
88,1.0,32c
89,1.0,32tso
90,1.0,34gram
91,6.0,360degre
92,4.0,36mm
93,1.0,36ounc
94,2.0,37yearold
95,1.0,381g
96,1.0,384mm
97,1.0,385ginfo
98,4.0,38inch
99,1.0,38to50
100,1.0,38yearold
101,1.0,392evo
102,2.0,39is
103,1.0,3x9
104,1.0,400mile
105,2.0,405mm
106,1.0,40g
107,1.0,40kph
108,2.0,40price
109,1.0,414gron
110,1.0,415km
111,1.0,425weight
112,1.0,426mm
113,1.0,42liter
114,1.0,42yearold
115,1.0,433mm
116,1.0,4369mm
117,1.0,43mm
118,1.0,440mm
119,1.0,445inch
120,4.0,44cm
121,4.0,454s
122,1.0,45f
123,1.0,4636t
124,1.0,4762cm
125,1.0,479g
126,1.0,499joplin
127,3.0,4mm
128,2.0,4way
129,1.0,500seri
130,1.0,50lb
131,8.0,50mm
132,4.0,50s
133,5.0,50tooth
134,2.0,51cm
135,1.0,5238t
136,1.0,52t
137,1.0,53lbs
138,3.0,55cs
139,1.0,56yearold
140,7.0,58cm
141,1.0,595cm
142,1.0,5foottwo
143,1.0,5weight
144,1.0,601mm
145,1.0,60sera
146,1.0,63degre
147,1.0,640g
148,1.0,64ounc
149,1.0,650mm
150,6.0,650x47mm
151,1.0,658degre
152,1.0,699almost
153,1.0,6foot6
154,1.0,700cx32mmwheel
155,1.0,700x32
156,2.0,700x45mm
157,1.0,720mm
158,1.0,75buy
159,2.0,76degre
160,1.0,78pound
161,1.0,7999at
162,1.0,80g40tooth
163,1.0,850g
164,1.0,8g
165,1.0,8hour
166,8.0,8speed
167,1.0,90info
168,1.0,90mmwide
169,1.0,910xt
170,2.0,95mile
171,14.0,a2
172,3.0,a2b
173,2.0,aaa
174,1.0,abbrevi
175,2.0,abid
176,132.0,abl
177,2.0,aboutfac
178,1.0,abrasionresist
179,1.0,absfocus
180,5.0,abund
181,1.0,ac
182,1.0,ac1
183,50.0,accept
184,4.0,acclaim
185,1.0,acclim
186,95.0,accommod
187,45.0,achiev
188,10.0,acknowledg
189,1.0,aclimb
190,100.0,activ
191,3.0,actor
192,1.0,adaptorpric
193,10.0,addict
194,192.0,addit
195,1.0,additionslik
196,1.0,adjustablear
197,1.0,adrien
198,2.0,advancedlevel
199,89.0,advantag
200,3.0,advent
201,6.0,advis
202,1.0,advisori
203,1.0,aerodynamiclook
204,1.0,aeronaut
205,2.0,aert
206,1.0,aestheticsthat
207,1.0,affection
208,3.0,affluent
209,6.0,afterward
210,2.0,afterwork
211,1.0,againthi
212,6.0,agent
213,2.0,ahab
214,43.0,ahead
215,2.0,ahh
216,1.0,aidan
217,1.0,aion
218,3.0,airbnb
219,1.0,airevac
220,1.0,airpurg
221,3.0,airspr
222,4.0,airtt
223,1.0,akin
224,3.0,al2
225,1.0,alcoholan
226,40.0,alert
227,3.0,alex
228,1.0,alexi
229,1.0,alicia
230,1.0,allblack
231,2.0,allcondit
232,2.0,allergi
233,1.0,allmtn
234,1.0,allov
235,16.0,allroad
236,2.0,allud
237,4.0,allur
238,1.0,allwhit
239,1.0,allwomen
240,1.0,alphabet
241,1.0,alreadyadvanc
242,4.0,altamira
243,1.0,alternativeroad
244,2.0,aluminumand
245,1.0,aluminumback
246,2.0,aluminumrim
247,1.0,am275
248,1.0,amass
249,1.0,amazlinen
250,33.0,amazoncom
251,4.0,ambassador
252,5.0,ambush
253,1.0,amgen
254,1.0,amic
255,10.0,amplifi
256,2.0,amplitud
257,1.0,analyticsspe
258,1.0,anchorag
259,193.0,and
260,1.0,andbi
261,13.0,andi
262,2.0,andorra
263,1.0,andvoilahad
264,1.0,anem
265,12.0,anod
266,4.0,anonym
267,7.0,anthem
268,1.0,antibik
269,23.0,anticip
270,1.0,anxietyprice995
271,2.0,anythingif
272,17.0,appar
273,23.0,appeal
274,1.0,appeas
275,2.0,appet
276,1.0,apprehens
277,29.0,appropri
278,5.0,approxim
279,2.0,arabian
280,8.0,arcteryx
281,2.0,arduous
282,1.0,arestorag
283,113.0,arm
284,2.0,armi
285,2.0,arrangedbut
286,1.0,arrow
287,4.0,arsenal
288,19.0,art
289,8.0,ascend
290,4.0,asian
291,2.0,askyour
292,1.0,aspenblanket
293,9.0,aspir
294,4.0,assess
295,2.0,assolid
296,1.0,assovertherearwheel
297,6.0,assur
298,7.0,astana
299,1.0,atout
300,2.0,attir
301,1.0,attrit
302,7.0,austria
303,21.0,author
304,2.0,autosag
305,1.0,avalanch
306,7.0,avenu
307,50.0,averag
308,1.0,averi
309,1.0,avow
310,29.0,award
311,1.0,awe
312,6.0,ax
313,3.0,axi
314,1.0,axial
315,1.0,azur
316,1.0,b12
317,1.0,b6
318,488.0,back
319,5.0,backbeat
320,2.0,backlit
321,1.0,backon
