,count,word
0,1.0,000more
1,1.0,116stori
2,1.0,14th
3,1.0,1920sera
4,1.0,2d
5,1.0,360degre
6,1.0,400mile
7,1.0,420relat
8,1.0,61yearold
9,1.0,82went
10,1.0,8foot
11,8.0,abl
12,1.0,abolish
13,2.0,abund
14,6.0,accept
15,2.0,acclaim
16,1.0,accommod
17,8.0,achiev
18,1.0,acknowledg
19,1.0,aclu
20,13.0,activ
21,1.0,activityand
22,2.0,addict
23,3.0,addit
24,8.0,administr
25,7.0,advantag
26,5.0,advis
27,1.0,afflictedbi
28,6.0,affluent
29,3.0,agent
30,3.0,agricultur
31,3.0,ahead
32,1.0,ail
33,8.0,airbnb
34,1.0,albrightknox
35,1.0,alec
36,5.0,alert
37,3.0,alex
38,1.0,alexi
39,1.0,allergi
40,1.0,allfemal
41,1.0,allswel
42,2.0,alphabet
43,1.0,altieri
44,1.0,ambassador
45,1.0,amitha
46,1.0,amplifi
47,12.0,and
48,2.0,anonym
49,4.0,anticip
50,1.0,appar
51,5.0,appeal
52,1.0,apprentic
53,1.0,arabica
54,2.0,arcad
55,1.0,archdioces
56,1.0,aretaken
57,2.0,arm
58,52.0,art
59,2.0,artilleri
60,1.0,artsprofession
61,1.0,asbesto
62,1.0,ascend
63,1.0,ascher
64,3.0,asian
65,2.0,aspir
66,5.0,assess
67,1.0,athlyn
68,1.0,aural
69,68.0,author
70,4.0,avenu
71,8.0,averag
72,2.0,award
73,1.0,awash
74,1.0,aziz
75,41.0,back
76,1.0,badger
77,1.0,baird
78,1.0,ball
79,98.0,base
80,1.0,basement
81,3.0,bathroom
82,1.0,bayviewhunt
83,8.0,bbc
84,2.0,bcycl
85,5.0,beer
86,2.0,began
87,1.0,benson
88,1.0,benz
89,6.0,berkeley
90,1.0,bernardino
91,1.0,berni
92,1.0,bigspend
93,1.0,bilingu
94,1.0,billfold
95,1.0,bind
96,2.0,bipartisan
97,7.0,bixi
98,1.0,bliss
99,1.0,bloi
100,1.0,blow
101,3.0,blue
102,1.0,bluecollar
103,4.0,blueprint
104,4.0,bomb
105,1.0,booksel
106,3.0,booster
107,1.0,bootleg
108,1.0,borer
109,1.0,borinot
110,6.0,borough
111,3.0,bottom
112,2.0,bottomup
113,3.0,brace
114,2.0,bradi
115,3.0,bradley
116,2.0,brandon
117,1.0,breadcrumb
118,1.0,breakdown
