,count,word
0,1.0,100page
1,2.0,10inch
2,1.0,13member
3,1.0,1960s
4,2.0,1electromot
5,1.0,21stcenturi
6,2.0,25mile
7,2.0,2footer
8,2.0,4s
9,2.0,57mm
10,1.0,abl
11,2.0,ac
12,3.0,accept
13,1.0,addit
14,1.0,administr
15,3.0,advantag
16,2.0,ahead
17,6.0,alphabet
18,4.0,amazoncom
19,1.0,and
20,10.0,art
21,2.0,asian
22,6.0,author
23,2.0,autofocus
24,4.0,avalanch
25,12.0,back
26,2.0,beaver
27,12.0,beecher
28,1.0,began
29,2.0,benson
30,2.0,blue
31,3.0,bluff
32,4.0,bnsfs
33,4.0,booksel
34,2.0,bozeman
35,2.0,bradley
36,2.0,brakeman
37,2.0,breakthrough
38,1.0,breviti
39,4.0,bridg
40,5.0,british
41,2.0,burnedoff
42,2.0,busiest
43,1.0,camelot
44,17.0,camera
45,3.0,capit
46,4.0,captiv
47,17.0,car
48,2.0,cargo
49,6.0,celebr
50,10.0,chang
51,15.0,charter
52,4.0,check
53,1.0,classic
54,2.0,clinch
55,19.0,coast
56,1.0,codi
57,1.0,collector
58,2.0,comfort
59,12.0,confer
60,3.0,connecticut
61,4.0,consolid
62,1.0,contribut
63,3.0,control
64,5.0,corp
65,5.0,cost
66,3.0,council
67,8.0,creat
68,2.0,ctc
69,3.0,cumbr
70,2.0,curvatur
71,2.0,danvill
72,8.0,david
73,1.0,dead
74,4.0,demis
75,1.0,denni
76,2.0,depth
77,2.0,divis
78,2.0,doldrum
79,2.0,dollar
80,1.0,donner
81,4.0,dude
82,1.0,due
83,2.0,durabl
84,6.0,eastern
85,1.0,edmontontowinnipeg
86,1.0,edward
87,4.0,electrif
88,238.0,email
89,4.0,emblem
90,2.0,ensur
91,2.0,epilogu
92,1.0,especi
93,4.0,expens
94,1.0,eye
95,6.0,f
96,4.0,f125
97,2.0,f18
98,3.0,factor
99,2.0,fair
100,1.0,fare
101,1.0,favorit
102,1.0,fayettevill
103,2.0,firsthand
104,3.0,five
105,2.0,flat
106,7.0,florida
107,3.0,focus
108,1.0,fought
109,3.0,found
110,1.0,fpa4
111,5.0,franz
112,1.0,freerick
113,2.0,freighthaul
114,3.0,geep
115,2.0,genius
116,8.0,ges
117,1.0,giant
118,16.0,golden
119,12.0,googl
120,2.0,gp382s
121,5.0,guss
122,1.0,haul
123,2.0,haven
124,4.0,highperform
125,1.0,hike
126,6.0,hilal
127,2.0,hire
128,10.0,hunter
129,6.0,illinoi
130,9.0,imag
131,2.0,individu
132,8.0,iso
133,1.0,jeffrey
134,8.0,jr
135,2.0,jt42cwr
136,5.0,keef
137,2.0,key
138,6.0,kill
139,2.0,knew
140,1.0,larri
141,2.0,late
142,5.0,leader
143,2.0,leas
144,2.0,length
145,2.0,light
146,2.0,linn
147,2.0,list
148,10.0,locat
149,5.0,log
150,2.0,longestrun
151,2.0,loom
152,2.0,loui
153,1.0,luckin
154,7.0,made
155,29.0,magazin
156,12.0,make
157,5.0,march
158,4.0,marquett
159,4.0,massachusett
160,2.0,matt
161,2.0,men
162,4.0,midland
163,12.0,midwest
164,1.0,militari
165,2.0,minim
166,2.0,monolith
167,2.0,moorman
168,11.0,more
169,4.0,muscl
170,2.0,musthav
171,1.0,mustse
172,467.0,newslett
173,4.0,newsletterview
174,4.0,newsstand
175,12.0,nobl
176,3.0,ogden
177,2.0,oil
178,4.0,onlin
179,13.0,order
180,8.0,orlean
181,8.0,our
182,1.0,oust
183,2.0,overcapac
184,2.0,pack
185,1.0,packag
186,2.0,panel
187,11.0,pass
188,1.0,peek
189,6.0,percent
190,1.0,persh
191,2.0,perspect
192,2.0,peter
193,16.0,phillip
194,14.0,photograph
195,4.0,photographi
196,1.0,pittsburgh
197,2.0,plow
198,1.0,plus
199,1.0,polson
200,4.0,prairi
201,1.0,praxair
202,2.0,predash
203,1.0,preown
204,1.0,press
205,3.0,produc
206,2.0,proprietari
207,4.0,prr
208,2.0,quot
209,18.0,railway
210,5.0,ratio
211,10.0,read
212,1.0,readi
213,5.0,red
214,3.0,reloc
215,2.0,reluct
216,3.0,remov
217,2.0,repeat
218,1.0,request
219,4.0,resum
220,2.0,rise
221,4.0,robert
222,2.0,robust
223,1.0,roger
224,1.0,row
225,4.0,safe
226,2.0,salina
227,2.0,saturday
228,1.0,sds
229,2.0,seen
230,2.0,sensat
231,2.0,serious
232,9.0,sharehold
233,2.0,shawmut
234,1.0,shortlin
235,233.0,sign
236,3.0,simpl
237,1.0,singletrack
238,2.0,sl
239,18.0,solomon
240,2.0,space
241,2.0,spartan
242,8.0,special
243,1.0,spent
244,1.0,sperri
245,6.0,stand
246,4.0,stapl
247,4.0,start
248,2.0,statu
249,10.0,steampreserv
250,4.0,storm
251,1.0,stream
252,2.0,streetrun
253,2.0,stuck
254,2.0,success
255,2.0,sugar
256,9.0,summer
257,1.0,summit
258,1.0,t
259,4.0,t1
260,2.0,tacoma
261,16.0,take
262,1.0,talent
263,2.0,team
264,1.0,terrif
265,2.0,territori
266,2.0,thameslink
267,16.0,the
268,9.0,thing
269,2.0,thompson
270,2.0,thursday
271,1.0,tillamook
272,4.0,toledo
273,1.0,toltec
274,2.0,tonopah
275,4.0,tourist
276,2.0,tp
277,2.0,tractiv
278,2.0,transfer
279,2.0,trigger
280,4.0,turn
281,2.0,twos
282,2.0,twounit
283,2.0,unabl
284,1.0,under
285,1.0,underground
286,2.0,uniqu
287,1.0,unlik
288,7.0,use
289,6.0,view
290,6.0,want
291,249.0,week
292,2.0,weld
293,1.0,white
294,2.0,wind
295,3.0,wont
296,8.0,world
297,1.0,worth
298,2.0,worthwhil
299,6.0,wreck
300,2.0,wrong
301,39.0,year
302,6.0,zoom
303,2.0,19month
304,1.0,1year
305,1.0,338billion
306,2.0,7th
307,2.0,9s
308,2.0,aberr
309,2.0,aboard
310,11.0,access
311,2.0,acrimoni
312,2.0,adopt
313,4.0,affili
314,3.0,afraid
315,7.0,age
316,2.0,aim
317,2.0,albert
318,4.0,alley
319,7.0,allnew
320,2.0,allow
321,2.0,alton
322,4.0,amid
323,5.0,announc
324,3.0,answer
325,20.0,appl
326,2.0,applic
327,2.0,approach
328,4.0,april
329,2.0,apsc
330,2.0,arkansa
331,22.0,ask
332,6.0,bag
333,2.0,bakersfield
334,6.0,battl
335,9.0,behind
336,1.0,bicycl
337,2.0,birmingham
338,4.0,bo
339,3.0,bodi
340,1.0,bogg
341,4.0,book
342,1.0,bought
343,2.0,budd
344,2.0,bumpi
345,1.0,bush
346,1.0,candid
347,4.0,canon
