,Count,Word
0,8,000s
1,1,100year
2,1,10foot
3,1,12acr
4,2,12th
5,1,13andahalf
6,1,14hour
7,4,17th
8,1,1880s
9,1,18yearold
10,3,1920s
11,5,1970s
12,1,200squarefoot
13,1,30minut
14,1,30s
15,2,37yearold
16,1,38yearold
17,1,42foottal
18,1,500foot
19,1,61yearold
20,1,76er
21,1,80s
22,2,80yearold
23,1,aa
24,1,aaron
25,1,abc
26,1,abel
27,6,about
28,10,abroad
29,1,absent
30,3,abstract
31,2,accardi
32,2,accent
33,2,accommod
34,1,accost
35,1,accumul
36,1,acquit
37,1,acryl
38,1,acut
39,4,addict
40,3,adida
41,3,adjac
42,3,adolesc
43,3,advent
44,9,advic
45,1,advisori
46,1,aerial
47,5,affair
48,15,affect
49,1,affidavit
50,1,affluent
51,3,afterward
52,2,aggriev
53,8,ahead
54,1,ailment
55,31,airbnb
56,1,airli
57,1,akin
58,8,album
59,1,albuquerqu
60,1,alhambra
61,2,alic
62,4,alicja
63,1,allegi
64,1,allyn
65,1,aloft
66,43,along
67,1,altman
68,1,aluminum
69,2,alzheim
70,1,amateur
71,1,ambient
72,1,ambul
73,60,american
74,2,amidst
75,1,amli
76,3,ana
77,1,anass
78,25,angel
79,10,angri
80,1,anguish
81,1,animos
82,2,anna
83,3,annoy
84,1,antigovern
85,1,antitrump
86,3,antitrust
87,1,anton
88,4,anymor
89,22,anyon
90,4,anywher
91,1,ap
92,1,apiec
93,11,appeal
94,16,appl
95,1,applese
96,7,appli
97,2,apprehens
98,2,approxim
99,1,apron
100,1,aqua
101,1,aramco
102,2,arbor
103,3,arch
104,3,architect
105,3,architectur
106,2,archiv
107,2,archriv
108,1,arduous
109,47,area
110,3,arizona
111,1,arous
112,33,arrest
113,3,arthur
114,1,artichok
115,2,artifici
116,1,ashira
117,9,asia
118,8,asian
119,1,asif
120,75,ask
121,1,assail
122,1,assemblag
123,1,assessor
124,4,asset
125,35,associ
126,1,assumpt
127,1,astound
128,2,asylum
129,2,ate
130,50,athlet
131,58,attack
132,1,attenu
133,12,attorney
134,12,australia
135,7,australian
136,1,austria
137,1,auteur
138,1,authent
139,8,autonom
140,1,autonomi
141,3,await
142,56,away
143,3,awesom
144,1,awok
145,1,aye
146,1,bacchanalian
147,3,background
148,4,backpack
149,3,backward
150,1,badian
151,1,bahama
152,1,bakeri
153,1,baltimorebas
154,2,bandido
155,5,banker
156,1,bankrupt
157,38,bar
158,3,barack
159,1,bareill
160,1,barger
161,27,barksdal
162,2,barn
163,1,barneyscom
164,1,barrenlook
165,3,barrett
166,1,bartlett
167,1,basel
168,11,basic
169,1,batch
170,1,bathtub
171,1,batter
172,4,battss
173,1,bavaria
174,1,bbq
175,15,be
176,64,beach
177,1,beal
178,21,becam
179,4,becaus
180,10,bed
181,1,bedminst
182,1,bedraggl
183,5,beer
184,38,began
185,1,beginn
186,1,begun
187,1,behold
188,1,belgium
189,2,ben
190,2,bend
191,1,bercow
192,1,bereft
193,1,bergen
194,5,besid
195,4,bessi
196,1,bestknown
197,1,betel
198,2,beth
199,3,bethesda
200,2,betray
201,2,between
202,1,biblebas
203,2,biden
204,1,bien
205,25,biggest
206,12,bill
207,2,billi
208,1,bingham
209,1,binocular
210,1,binturong
211,1,birk
212,4,birthday
213,1,bison
214,18,bit
215,55,black
216,1,blackberri
217,5,blackout
218,2,blast
219,1,blinkandyoullmissit
220,1,blockchain
221,1,bloomfield
222,10,blue
223,1,bluejean
224,1,bluetooth
225,1,blunt
226,33,bodi
227,2,bodybuild
228,3,boga
229,1,bogot
230,1,bogus
231,1,boi
232,1,bolthol
233,1,bon
234,5,bond
235,1,bongarra
236,1,bonni
237,1,booksel
238,9,boom
239,2,booster
240,2,borderlin
241,5,bore
242,1,borrow
243,1,bosom
244,1,bossi
245,1,bostonbas
246,6,both
247,8,bottl
248,1,boulevard
249,3,bounti
250,1,bournemouth
251,6,box
252,1,boxer
253,2,boxi
254,5,boyfriend
255,6,boyhood
256,24,bra
257,3,brace
258,2,braid
259,11,brain
260,1,brais
261,3,branch
262,10,brand
263,21,bras
264,1,brass
265,1,bratabas
266,3,brazen
267,1,breakup
268,4,breed
269,2,breit
270,1,brent
271,2,brewer
272,5,brian
273,5,broadcast
274,5,broaden
275,14,broadway
276,2,brolley
277,4,bruce
278,5,brunch
279,3,bubbl
280,1,buff
281,16,built
282,1,bundesfhr
283,3,buri
284,17,burn
285,1,burundi
286,9,bush
287,5,butter
288,13,butterfli
289,1,butterlik
290,1,buzz
291,9,by
292,1,byram
293,12,c
294,3,cab
295,1,cabbag
296,1,cabin
297,1,cach
298,8,cafe
299,2,cake
300,3,californian
301,2,callahan
302,1,calonico
303,1,calvin
304,2,cambridg
305,14,camera
306,1,cameraconsci
307,2,campbel
308,1,camper
309,2,canadian
310,1,canard
311,1,canberra
312,3,candl
313,1,canning
314,1,cantor
315,1,capac
316,3,cape
317,1,capiraso
318,27,capit
319,4,capitalist
320,1,capt
321,1,captiv
322,3,cardozo
323,1,careen
324,3,cargo
325,3,carjack
326,2,carlo
327,1,carlov
328,1,carnegi
329,2,carol
330,1,carolin
331,25,carri
332,1,casino
333,2,cassett
334,1,caster
335,2,castro
336,1,caterpillar
337,5,cellphon
338,3,census
339,1,certainti
340,3,certif
341,1,chacao
342,11,chair
343,1,cham
344,1,champagn
345,8,chanc
346,2,channel
347,2,char
348,2,character
349,1,charismat
350,1,charli
351,1,chatti
352,2,cheeki
353,2,cheer
354,2,chemic
355,2,chen
356,1,cherri
357,1,chidick
358,1,childless
359,53,children
360,3,chilean
361,2,chill
362,1,chimichurri
363,1,chirp
364,1,chisel
365,6,chocol
366,12,christchurch
367,2,christma
368,14,church
369,1,churn
370,1,chvez
371,2,cider
372,1,cindi
373,2,cinephil
374,1,circa
375,1,circul
376,2,circumst
377,1,ciro
378,4,citistat
379,2,civet
380,1,clan
381,3,clariti
382,49,class
383,6,classroom
384,31,clear
385,3,clerk
386,1,climateteamnytimescom
387,9,climb
388,7,clinton
389,4,clip
390,1,clock
391,41,close
392,1,closeknit
393,1,cmon
394,1,cnn
395,1,coc
396,1,cocaptain
397,2,cohn
398,2,coincid
399,5,cole
400,1,collar
401,1,colon
402,1,comal
403,13,combin
404,1,commend
405,17,commission
406,3,communist
407,60,communiti
408,1,communityservic
409,12,compar
410,4,compon
411,3,compos
412,3,compstat
413,2,concentr
414,2,conceptu
415,30,concern
416,6,conclud
417,2,conclus
418,1,concord
419,5,condominium
420,7,confer
421,1,confetti
422,14,confid
423,1,confidenti
424,1,confin
425,4,conflict
426,1,confound
427,1,conglomer
428,1,congratulatori
429,4,conic
430,1,conjur
431,1,connot
432,3,consider
433,7,conspiraci
434,4,contemporari
435,1,conting
436,1,contraband
437,4,contractor
438,4,contradict
439,1,contrapt
440,6,contribut
441,36,control
442,6,controversi
443,8,conveni
444,6,convert
445,1,conway
446,1,cookbook
447,7,cool
448,1,copkil
449,4,cord
450,1,corn
451,1,corni
452,4,correct
453,3,correspond
454,1,costum
455,1,cotta
456,1,cottag
457,1,cough
458,10,council
459,2,countrysid
460,1,coup
461,4,cousin
462,1,couturi
463,1,cove
464,1,cower
465,1,cram
466,8,crash
467,1,crave
468,2,credenti
469,1,creepi
470,15,crimin
471,1,crise
472,1,croce
473,1,crochet
474,1,crosbi
475,1,crosley
476,12,cross
477,5,crossword
478,6,crucial
479,4,crush
480,2,ct08
481,2,culpabl
482,2,curfew
483,2,currenc
484,7,curri
485,12,custom
486,2,customari
487,1,dalton
488,2,damagecontrol
489,1,dana
490,2,danang
491,1,daniell
492,1,danna
493,1,danseur
494,1,dansk
495,1,darl
496,24,date
497,5,daz
498,2,dazzl
499,5,dc
500,1,dcor
501,2,dearth
502,1,decadeslong
503,3,decent
504,4,decim
505,1,decri
506,15,deep
507,8,deepli
508,4,defeat
509,10,definit
510,24,degre
511,3,del
512,3,delacour
513,2,deli
514,10,deliveri
515,2,delug
516,18,demand
517,1,dement
518,36,democrat
519,1,denizen
520,1,department
521,1,deprav
522,2,descript
523,12,desert
524,14,destin
525,1,detach
526,15,detail
527,1,deterior
528,1,detriment
529,3,devast
530,3,devid
531,1,devis
532,1,diabet
533,1,diamant
534,1,dianell
535,1,diarynytimescom
536,9,digit
537,2,digniti
538,1,dilemma
539,1,dim
540,1,dimaggio
541,6,diplomat
542,2,disc
543,1,discern
544,11,discount
545,2,discrimin
546,7,dish
547,1,disillusion
548,1,dismay
549,6,dismiss
550,6,disney
551,11,dispatch
552,2,disrupt
553,1,dissuad
554,2,distant
555,2,distrust
556,1,ditch
557,6,dive
558,5,divorc
559,1,dizzi
560,1,docent
561,1,dodg
562,9,dog
563,3,domest
564,8,donat
565,16,dong
566,1,dopamin
567,2,dorm
568,1,dossena
569,22,doubl
570,26,dozen
571,17,dr
572,5,draft
573,3,drag
574,2,drake
575,1,drape
576,9,drew
577,5,dri
578,66,driver
579,7,drove
580,27,drug
581,1,dulci
582,1,dunk
583,1,dusk
584,2,earnest
585,1,earring
586,25,east
587,3,eastern
588,20,eat
589,4,ecommerc
590,1,ecuador
591,8,edg
592,14,editor
593,1,edmonton
594,16,eight
595,1,elder
596,1,eleanor
597,7,electron
598,22,els
599,1,embed
600,6,employ
601,2,empower
602,1,enclosur
603,2,encrust
604,1,energ
605,12,enforc
606,20,engag
607,19,engin
608,9,enjoy
609,1,enrol
610,1,ensnar
611,1,enterpris
612,1,enthusiasm
613,1,entranc
614,1,enviabl
615,1,envis
616,1,epsilon
617,1,equinox
618,6,equiti
619,5,eric
620,2,ernest
621,2,errant
622,2,erricka
623,3,error
624,12,escap
625,24,essay
626,2,eurydic
627,28,ever
628,75,everi
629,2,evict
630,13,evid
631,1,evoc
632,4,examin
633,20,exampl
634,1,exceed
635,4,excel
636,1,exhusband
637,1,exoticd
638,1,expenditur
639,2,explod
640,5,explos
641,4,expos
642,4,extinct
643,1,extraleg
644,2,extremist
645,1,exurban
646,1,eyeopen
647,3,ezpass
648,48,face
649,19,fact
650,1,fairfax
651,1,fairttrad
652,5,faith
653,2,fame
654,12,fan
655,1,fann
656,1,fanni
657,1,fantasi
658,1,faraway
659,8,fare
660,10,farmer
661,2,farmhous
662,1,faron
663,1,farral
664,1,fartorec
665,10,fasano
666,1,fascism
667,1,fastest
668,3,fda
669,25,fear
670,28,featur
671,28,fee
672,5,feed
673,4,feedback
674,9,fell
675,1,feminin
676,1,fernando
677,1,fervent
678,1,fest
679,9,festiv
680,6,fifth
681,28,film
682,3,filmmak
683,2,firearm
684,2,firemen
685,1,fireplac
686,1,firstperson
687,1,firstround
688,2,fisherman
689,1,fitzgerald
690,1,fiveman
691,1,flammarion
692,1,flank
693,1,flap
694,2,flexibl
695,3,float
696,1,floodwat
697,14,florida
698,1,flout
699,1,flunk
700,1,foam
701,37,focus
702,25,food
703,1,fooddeliveri
704,3,footprint
705,2,forcibl
706,5,forget
707,1,forgottenabout
708,9,forward
709,33,four
710,1,fourday
711,1,fouryear
712,3,foy
713,1,franci
714,1,fray
715,1,freda
716,4,freddi
717,1,freud
718,65,friend
719,5,friendship
720,3,fring
721,1,fripperi
722,1,fritz
723,3,fruit
724,7,fulfil
725,2,fulgenzi
726,1,fullsiz
727,5,fume
728,4,fun
729,17,fund
730,5,funer
731,4,funni
732,2,furnish
733,1,gaff
734,1,galen
735,1,gallon
736,1,gamechang
737,5,gamer
738,3,garag
739,5,garbag
740,2,gari
741,2,gatekeep
742,15,gave
743,8,gavio
744,2,gaza
745,1,gazebo
746,2,gen
747,1,gendarmeri
748,6,genderbas
749,38,generat
750,1,geni
751,1,gentlemen
752,2,geofenc
753,1,ghani
754,2,ghost
755,1,gibbous
756,1,gimmick
757,1,gino
758,1,giphi
759,2,glimps
760,1,gloomi
761,1,glue
762,1,glut
763,1,glutamin
764,170,go
765,12,goal
766,1,god
767,1,gofundm
768,4,goingout
769,1,golda
770,5,golf
771,1,gore
772,4,gotten
773,1,goug
774,55,govern
775,2,gowanus
776,3,grace
777,1,grad
778,1,graffiti
779,1,grain
780,8,grand
781,1,grandstand
782,1,gras
783,1,gratif
784,1,gravelli
785,41,green
786,8,greenbaum
787,2,greenberg
788,1,grey
789,3,grimac
790,2,grip
791,1,grittier
792,1,grocer
793,2,groceri
794,1,grouper
795,1,grouponlik
796,9,growth
797,1,gt
798,3,guilt
799,3,guitar
800,1,gum
801,2,guri
802,5,h
803,5,hail
804,1,halcyon
805,2,halfhour
806,1,halfnak
807,1,hallandal
808,1,handkerchiefhem
809,4,handl
810,1,handlebar
811,2,handwritten
812,9,hang
813,3,hannah
814,1,hansen
815,9,harass
816,2,hardtofind
817,3,hardwar
818,2,harington
819,2,harm
820,1,harmattan
821,1,harper
822,6,harri
823,1,harsh
824,1,harvest
825,3,haunt
826,1,haut
827,1,havoc
828,4,hawaii
829,4,hawkin
830,4,headlin
831,5,healthi
832,2,heap
833,3,hearti
834,1,hebrew
835,2,hem
836,1,hemorrhag
837,7,henri
838,33,her
839,1,herbal
840,2,herd
841,6,heritag
842,3,herself
843,2,hi
844,1,hickenloop
845,1,hickori
846,1,hid
847,1,hieronymus
848,1,higherprofil
849,1,highgrowth
850,1,highlandtown
851,2,highprofil
852,3,highqual
853,1,highris
854,1,hightech
855,1,highvalu
856,9,hire
857,7,his
858,32,histori
859,1,hitherto
860,2,hoc
861,3,hodgkin
862,6,hole
863,1,homeown
864,1,homer
865,8,honest
866,2,hoog
867,1,hor
868,1,hord
869,3,horn
870,4,horrifi
871,6,hors
872,1,horsesho
873,1,hostelworld
874,1,housew
875,11,how
876,3,hub
877,4,hudson
878,4,hug
879,1,hunch
880,6,hung
881,1,hungari
882,3,hunter
883,1,hurri
884,1,hurtl
885,1,hyatt
886,2,hybrid
887,2,hydrat
888,1,hymn
889,1,hypocrisi
890,2,ici
891,10,identifi
892,1,idyl
893,1,ignit
894,2,ilhan
895,82,im
896,18,imag
897,1,impair
898,1,impli
899,25,import
900,7,imposs
901,1,impostor
902,1,imprimatur
903,1,inadvert
904,1,inbetween
905,14,inbox
906,6,incid
907,3,inclin
908,9,incom
909,3,incorpor
910,1,incub
911,3,indian
912,6,indic
913,1,indonesia
914,1,ineffect
915,1,inelig
916,1,infight
917,3,inflict
918,5,influx
919,5,inhabit
920,3,inhal
921,2,inher
922,11,injuri
923,1,inlaw
924,2,innov
925,1,inordin
926,1,inquisit
927,4,inrix
928,1,insle
929,1,instinct
930,1,insulin
931,13,intellig
932,7,intend
933,13,intens
934,1,interced
935,4,interim
936,7,interior
937,1,internship
938,2,interrupt
939,4,intimid
940,1,intoler
941,2,intrigu
942,3,introvert
943,1,intrud
944,1,intrus
945,2,inventori
946,1,investigativejourn
947,13,invit
948,1,involuntari
949,2,ipad
950,1,ir
951,1,ireland
952,2,iri
953,1,irreconcil
954,1,irrevers
955,1,irrit
956,2,isador
957,5,islam
958,3,isol
959,1,italianlanguag
960,1,itch
961,4,itself
962,18,ive
963,3,iwi
964,4,jack
965,1,jacki
966,4,jackson
967,1,jadon
968,3,jamaica
969,3,jason
970,5,jay
971,7,jean
972,2,jeanmarc
973,1,jenk
974,1,jenna
975,4,jessica
976,1,jimmi
977,1,joan
978,1,johnathan
979,1,jona
980,4,jongun
981,5,journal
982,2,judici
983,1,julien
984,15,jump
985,8,june
986,1,jungl
987,1,juno
988,7,just
989,1,jut
990,1,juxtapos
991,1,jyllandsposten
992,3,ka
993,2,kamen
994,1,kan
995,2,kanaleneiland
996,1,karen
997,1,kathaleen
998,2,kayak
999,1,keen
1000,28,kelli
1001,2,kensico
1002,1,kent
1003,1,kentucki
1004,1,keurig
1005,8,key
1006,1,khanlik
1007,1,khosroshahin
1008,1,kinet
1009,1,kirsten
1010,1,kite
1011,1,klaus
1012,1,klondik
1013,4,knee
1014,8,knock
1015,2,knot
1016,1,kolson
1017,1,komanoff
1018,9,komarova
1019,1,korakia
1020,1,kosturova
1021,1,kuerig
1022,1,kushner
1023,10,kwade
1024,1,lacer
1025,3,lachlan
1026,5,laguna
1027,1,lakesid
1028,1,landler
1029,1,laquan
1030,1,lar
1031,16,larger
1032,3,largescal
1033,2,lasdun
1034,1,lash
1035,1,latenight
1036,1,latino
1037,9,latsio
1038,3,latter
1039,1,lauderdalehollywood
1040,20,laugh
1041,1,laughter
1042,1,lavish
1043,47,law
1044,3,lawless
1045,16,lawmak
1046,1,lawn
1047,1,lawrenc
1048,1,layli
1049,9,le
1050,3,leapt
1051,41,leav
1052,25,led
1053,1,ledger
1054,1,leftlean
1055,2,leftofcent
1056,1,legwork
1057,1,leith
1058,2,lemon
1059,3,lend
1060,5,length
1061,1,lens
1062,4,leopard
1063,55,less
1064,1,letterhead
1065,2,lettuc
1066,2,lexington
1067,1,liar
1068,12,lie
1069,2,lieuten
1070,1,lifeordeath
1071,1,lighthousetop
1072,2,lill
1073,1,lima
1074,1,lincolnvill
1075,36,line
1076,1,linen
1077,1,linguist
1078,3,lion
1079,1,lira
1080,36,list
1081,6,lit
1082,4,liter
1083,1,livecaptur
1084,1,livingdin
1085,1,lo
1086,1,lobster
1087,1,loew
1088,4,logan
1089,1,loi
1090,3,lon
1091,2,loner
1092,4,longdist
1093,16,longer
1094,1,longrun
1095,1,longshot
1096,2,loom
1097,2,lopez
1098,25,los
1099,12,loss
1100,1,loudest
1101,4,loung
1102,1,lowaltitud
1103,1,lowemiss
1104,1,lt
1105,1,luci
1106,1,ludwig
1107,5,lush
1108,1,lushest
1109,3,lynn
1110,1,lyre
1111,11,m
1112,1,macaqu
1113,1,macdoug
1114,1,madonnaesqu
1115,1,magnifi
1116,10,mail
1117,2,mainstream
1118,10,maintain
1119,143,make
1120,1,makkai
1121,1,malaysian
1122,1,malcolm
1123,1,malign
1124,2,maneuv
1125,1,manicur
1126,1,marc
1127,2,margarin
1128,1,marina
1129,1,marjori
1130,1,marker
1131,4,marr
1132,26,marri
1133,1,marsh
1134,1,marten
1135,2,martha
1136,2,martinez
1137,4,marvel
1138,4,massacr
1139,18,master
1140,1,mastermind
1141,1,matarr
1142,3,matcha
1143,31,mateo
1144,7,materi
1145,4,mathemat
1146,1,matiss
1147,1,maximum
1148,1,mazur
1149,5,mba
1150,2,mcdonald
1151,1,mcever
1152,3,mcghee
1153,1,mcintosh
1154,5,mckeon
1155,1,mckinsey
1156,1,mcnalli
1157,1,mcsalli
1158,8,md
1159,4,meadow
1160,1,meatless
1161,2,median
1162,15,medic
1163,1,meeropol
1164,3,meir
1165,4,melcher
1166,1,mele
1167,1,mellon
1168,7,melt
1169,61,member
1170,2,membership
1171,4,memor
1172,1,menlo
1173,1,merger
1174,1,merkley
1175,1,mesquit
1176,3,metronorth
1177,3,mexican
1178,1,mice
1179,1,mickey
1180,1,mid2017
1181,2,mid40
1182,1,midaugust
1183,1,midclimb
1184,1,midday
1185,3,middleclass
1186,1,mighti
1187,2,mikkel
1188,3,milk
1189,1,millan
1190,70,million
1191,1,millisecond
1192,20,mind
1193,2,mindset
1194,5,mini
1195,2,miniatur
1196,2,minn
1197,4,minor
1198,8,mirror
1199,5,misconduct
1200,20,miss
1201,1,mithi
1202,8,mix
1203,1,mns
1204,1,moak
1205,1,mockeri
1206,3,modak
1207,16,model
1208,4,modest
1209,1,molecular
1210,3,mom
1211,18,mongol
1212,7,monitor
1213,1,monster
1214,1,moonlight
1215,5,moral
1216,3,morbid
1217,42,morn
1218,1,mors
1219,1,motion
1220,11,motiv
1221,17,motorcycl
1222,1,motorist
1223,80,move
1224,233,ms
1225,95,much
1226,1,muchanticip
1227,1,muddl
1228,1,mug
1229,1,mulleavi
1230,1,muller
1231,1,multitask
1232,1,multitud
1233,1,munch
1234,1,murray
1235,1,musthav
1236,2,mysteri
1237,2,mzezewa
1238,1,naki
1239,1,namesak
1240,1,nap
1241,1,narcot
1242,1,narrowli
1243,2,nasdaq
1244,2,natasha
1245,23,natur
1246,10,nazi
1247,1,nearer
1248,1,nearmiss
1249,1,neat
1250,1,nebul
1251,26,neighbor
1252,1,neither
1253,1,neonazi
1254,1,nephew
1255,6,nervous
1256,1,nester
1257,1,neue
1258,59,never
1259,27,newslett
1260,12,newspap
1261,1,newtosci
1262,1,newtown
1263,1,newyorkpresbyterian
1264,1,ngo
1265,2,nguyen
1266,1,nh
1267,1,nicer
1268,3,nichol
1269,1,niel
1270,1,nile
1271,1,ninetythre
1272,3,ninh
1273,1,nirvana
1274,1,nissan
1275,1,nm
1276,1,nogal
1277,1,noncitizen
1278,1,nook
1279,1,noonlight
1280,3,nope
1281,5,norm
1282,1,normalweight
1283,1,normat
1284,1,northeast
1285,1,norway
1286,1,notif
1287,6,notori
1288,1,notorieti
1289,1,nottinghamshir
1290,1,nouveau
1291,2,nov
1292,13,novemb
1293,2,nuclear
1294,2,numb
1295,1,nuun
1296,1,nytimesphoto
1297,1,nytmetro
1298,5,nytodaynytimescom
1299,2,oatmeal
1300,1,obi
1301,8,observ
1302,1,obstacl
1303,2,obtain
1304,10,ocasiocortez
1305,8,occasion
1306,3,odyssey
1307,138,offic
1308,1,offset
1309,1,offshor
1310,1,offwhit
1311,7,oil
1312,37,old
1313,16,older
1314,1,oldfashion
1315,1,oldlin
1316,1,olympicsstyl
1317,1,onceindustri
1318,8,onebedroom
1319,1,onechina
1320,1,oneoff
1321,1,onetenthscal
1322,1,onetim
1323,1,onevot
1324,7,onli
1325,21,onlin
1326,2,onstag
1327,3,oodham
1328,1,oop
1329,1,ooz
1330,1,ope
1331,85,open
1332,1,openroof
1333,29,opinion
1334,3,opt
1335,1,orbison
1336,1,orchard
1337,1,orchestra
1338,1,ordain
1339,2,orient
1340,3,orpheus
1341,1,oscarnomin
1342,1,ostrich
1343,23,out
1344,4,outbreak
1345,2,outcri
1346,2,outdat
1347,1,outer
1348,5,outfit
1349,2,outing
1350,1,outland
1351,1,outofd
1352,1,outright
1353,1,outstrip
1354,1,outward
1355,1,outweigh
1356,3,oval
1357,15,over
1358,1,overcast
1359,2,overhead
1360,8,overlook
1361,3,overnight
1362,3,overs
1363,1,overseen
1364,5,overtim
1365,1,overturn
1366,1,ovid
1367,1,owston
1368,1,pa
1369,1,pace
1370,1,packet
1371,1,packmul
1372,1,paco
1373,2,paddi
1374,9,paid
1375,11,pain
1376,1,painkil
1377,1,paisley
1378,2,palai
1379,1,palmfring
1380,1,palmtreelin
1381,2,pan
1382,2,pancak
1383,1,pannier
1384,2,paranoia
1385,1,parkview
1386,1,paroleandprob
1387,90,part
1388,29,parti
1389,1,partial
1390,1,particul
1391,26,partner
1392,3,parttim
1393,1,pas
1394,24,pass
1395,1,passauer
1396,1,passiv
1397,1,passthehot
1398,1,password
1399,1,patchwork
1400,2,patent
1401,11,path
1402,3,patton
1403,3,paul
1404,1,pauli
1405,13,peac
1406,3,pecan
1407,1,pell
1408,16,peloton
1409,2,penalti
1410,1,penchant
1411,1,pension
1412,269,peopl
1413,4,pepper
1414,1,perk
1415,1,permit
1416,2,persian
1417,2,personnel
1418,8,pet
1419,6,peter
1420,2,pharmaci
1421,1,phase
1422,2,phil
1423,1,philli
1424,1,phillip
1425,29,photo
1426,6,phuong
1427,1,picasso
1428,2,pickup
1429,1,pineappl
1430,2,pink
1431,1,pinkham
1432,1,pinot
1433,4,pioneer
1434,3,pirat
1435,1,piress
1436,1,pitchbook
1437,1,placement
1438,1,plantbas
1439,1,plasticcov
1440,5,plate
1441,1,plateaus
1442,1,playroom
1443,4,pleasantvill
1444,4,pleasur
1445,3,pledg
1446,10,plenti
1447,1,plumber
1448,1,plymouth
1449,49,point
1450,1,pointer
1451,8,poll
1452,13,pollut
1453,3,polynesian
1454,1,poncho
1455,1,pont
1456,1,popcorn
1457,2,popup
1458,7,pork
1459,3,portion
1460,1,portsmouth
1461,7,pose
1462,21,posit
1463,1,possess
1464,30,possibl
1465,30,post
1466,1,posthast
1467,1,postindustri
1468,1,postmodern
1469,1,postpartum
1470,6,pot
1471,6,pour
1472,4,powder
1473,3,prado
1474,1,pray
1475,1,preach
1476,1,preced
1477,1,precious
1478,1,precipit
1479,1,predispos
1480,2,prejudic
1481,1,prelud
1482,5,prep
1483,1,preponder
1484,1,presag
1485,4,preschool
1486,14,present
1487,106,presid
1488,3,pretend
1489,1,pretens
1490,1,pricey
1491,11,prison
1492,38,privat
1493,5,prize
1494,2,procrastin
1495,27,product
1496,17,profession
1497,7,profil
1498,18,project
1499,2,prolif
1500,2,prolong
1501,1,pronounc
1502,1,prop
1503,1,propaganda
1504,1,prophesi
1505,2,propublica
1506,2,prostitut
1507,32,protect
1508,4,protein
1509,1,protrud
1510,3,proud
1511,3,psychiatr
1512,33,publish
1513,1,puckish
1514,1,pun
