,Count,Word
0,2.0,000meter
1,1.0,017acr
2,1.0,100year
3,1.0,10a
4,1.0,10cours
5,1.0,10down
6,2.0,10foot
7,1.0,10stori
8,1.0,116a
9,1.0,125pound
10,2.0,12inch
11,1.0,12point
12,8.0,12th
13,1.0,12week
14,1.0,12year
15,5.0,12yearold
16,1.0,13andahalf
17,2.0,14hour
18,1.0,14round
19,1.0,150page
20,1.0,15foot
21,1.0,15second
22,1.0,15squaremil
23,1.0,15stori
24,1.0,168th
25,1.0,16millimet
26,1.0,1740s
27,1.0,1790s
28,1.0,17album
29,1.0,17mile
30,4.0,17th
31,6.0,18yearold
32,12.0,1920s
33,38.0,1970s
34,17.0,2000s
35,1.0,200foot
36,1.0,200foothigh
37,1.0,200squarefoot
38,1.0,2019s
39,1.0,20person
40,1.0,21inch
41,1.0,228horsepow
42,5.0,22yearold
43,1.0,250foot
44,1.0,258th
45,4.0,26th
46,1.0,280charact
47,9.0,28yearold
48,1.0,2minut
49,1.0,30footlong
50,1.0,30mile
51,6.0,30minut
52,17.0,30s
53,1.0,30th
54,1.0,30year
55,1.0,31april
56,1.0,31crane
57,4.0,31yearold
58,1.0,325i
59,4.0,32yearold
60,1.0,35d
61,1.0,35millimet
62,1.0,35minut
63,3.0,37yearold
64,2.0,38a
65,3.0,38yearold
66,1.0,400page
67,1.0,40footlong
68,1.0,40sstyle
69,2.0,44th
70,1.0,45degre
71,3.0,49er
72,1.0,4by5foot
73,1.0,4foot2
74,1.0,500foot
75,1.0,500horsepow
76,1.0,500s
77,1.0,506squarefoot
78,2.0,51yearold
79,4.0,57yearold
80,1.0,5cent
81,4.0,5yearold
82,1.0,60foot
83,1.0,611squarefoot
84,2.0,61yearold
85,1.0,620squarefoot
86,1.0,62mile
87,1.0,652squarefoot
88,2.0,67yearold
89,1.0,695th
90,1.0,6d
91,1.0,6foot
92,1.0,6foot11
93,1.0,6s
94,7.0,6th
95,1.0,71yearold
96,1.0,750squarefoot
97,1.0,77yearold
98,2.0,788room
99,1.0,800yearold
100,8.0,80s
101,2.0,80yearold
102,1.0,828squarefoot
103,1.0,85footlong
104,1.0,90pound
105,1.0,90squarefoot
106,1.0,97yearold
107,1.0,9a
108,1.0,9newss
109,2.0,a320neo
110,2.0,aa
111,9.0,aaron
112,4.0,abarca
113,8.0,abbrevi
114,8.0,abc
115,1.0,abc7
116,4.0,abdel
117,4.0,abdic
118,1.0,abdomen
119,14.0,abduct
120,1.0,abdulaziz
121,3.0,abel
122,1.0,aberr
123,1.0,abhinandan
124,3.0,abject
125,17.0,aboard
126,67.0,about
127,1.0,aboutfac
128,11.0,abov
129,1.0,abovethefray
130,7.0,abraham
131,1.0,abridg
132,30.0,abroad
133,9.0,absent
134,3.0,absolv
135,14.0,abstract
136,3.0,academia
137,17.0,accent
138,5.0,accolad
139,27.0,accommod
140,7.0,accumul
141,2.0,acerb
142,1.0,acheb
143,1.0,achiad
144,1.0,achim
145,1.0,aclunj
146,2.0,acolyt
147,6.0,acquit
148,1.0,acrimoni
149,1.0,acronym
150,2.0,acryl
151,10.0,acut
152,2.0,ada
153,32.0,addict
154,1.0,addiss
155,1.0,adfre
156,2.0,adida
157,8.0,adjac
158,2.0,adkin
159,1.0,adlumin
