,Count,Word
0,1.0,000s
1,1.0,017acr
2,1.0,100page
3,1.0,100year
4,1.0,116a
5,5.0,12th
6,1.0,12yearold
7,1.0,13andahalf
8,1.0,15letter
9,2.0,168th
10,1.0,18yearold
11,8.0,1920s
12,11.0,1970s
13,6.0,2000s
14,1.0,21d
15,1.0,280charact
16,1.0,30footlong
17,1.0,30minut
18,3.0,30s
19,7.0,30th
20,1.0,32yearold
21,1.0,37yearold
22,1.0,38yearold
23,1.0,40footlong
24,2.0,40second
25,1.0,42foottal
26,1.0,47yearold
27,1.0,48yearold
28,1.0,50strong
29,1.0,51yearold
30,1.0,57yearold
31,3.0,5cent
32,1.0,62mile
33,1.0,650seat
34,1.0,65minut
35,1.0,6foot11
36,2.0,76er
37,1.0,77yearold
38,4.0,80s
39,1.0,80yearold
40,1.0,85footlong
41,1.0,90squarefoot
42,4.0,aaron
43,1.0,abbrevi
44,2.0,abc
45,2.0,abduct
46,1.0,abel
47,3.0,aboard
48,8.0,about
49,1.0,aboutfac
50,3.0,abov
51,1.0,abraham
52,6.0,abroad
53,1.0,absent
54,2.0,academia
55,6.0,accent
56,2.0,accolad
57,4.0,accommod
58,1.0,accost
59,6.0,accumul
60,1.0,acolyt
61,1.0,acronym
62,3.0,ada
63,3.0,addict
64,5.0,adjac
65,1.0,adolesc
66,1.0,adulatori
67,11.0,advic
68,1.0,advisori
69,2.0,aerial
70,1.0,aerialist
71,15.0,affair
72,23.0,affect
73,4.0,affluent
74,1.0,afropuerto
75,9.0,afterward
76,1.0,aggriev
77,1.0,agnost
78,1.0,agronomist
79,23.0,ahead
80,1.0,aidan
81,1.0,aileen
82,1.0,airbnb
83,5.0,akin
84,1.0,akinmowo
85,1.0,alaskan
86,1.0,alaykum
87,15.0,album
88,2.0,albuquerqu
89,2.0,alic
90,5.0,allen
91,2.0,allevi
92,1.0,allmal
93,2.0,allur
94,77.0,along
95,1.0,aloof
96,2.0,altman
97,3.0,aluminum
98,1.0,amazonown
99,1.0,amber
100,2.0,ambient
101,2.0,ambul
102,89.0,american
103,3.0,ana
104,3.0,ancestri
105,58.0,angel
106,10.0,angri
107,1.0,anguish
108,1.0,animos
109,3.0,anna
110,1.0,annabel
111,1.0,annesophi
112,3.0,annoy
113,7.0,anthem
114,1.0,anticompetit
115,2.0,antiestablish
116,1.0,antinuclear
117,1.0,antitrump
118,1.0,anyhow
119,2.0,anymor
120,27.0,anyon
121,9.0,anywher
122,1.0,apartmentwis
123,3.0,apiec
124,5.0,apolog
125,19.0,appeal
126,20.0,appl
127,26.0,appli
128,2.0,applianc
129,2.0,apprentic
130,2.0,approxim
131,1.0,apron
132,4.0,aramco
133,4.0,arch
134,1.0,archi
135,19.0,architect
136,38.0,architectur
137,5.0,archiv
138,1.0,archriv
139,1.0,arduous
140,101.0,area
141,4.0,arena
142,3.0,arizona
143,1.0,armida
144,1.0,armrest
145,45.0,arrest
146,1.0,arrog
147,1.0,arthur
148,2.0,artifici
149,1.0,ascend
150,1.0,ashgray
151,2.0,asia
152,6.0,asian
153,1.0,asif
154,140.0,ask
155,1.0,assad
156,4.0,assail
157,7.0,asset
158,49.0,associ
159,2.0,assumpt
160,1.0,astral
161,2.0,asylum
162,2.0,ate
163,2.0,athlet
164,3.0,atlanta
165,1.0,atlantia
166,1.0,att
167,70.0,attack
168,6.0,attende
169,28.0,attorney
170,1.0,au
171,9.0,australia
172,3.0,australian
173,1.0,austria
174,1.0,autarkeia
175,2.0,authent
176,4.0,autonom
177,1.0,autonomi
178,1.0,aux
179,1.0,avedon
180,4.0,aveng
181,6.0,await
182,96.0,away
183,4.0,awesom
184,1.0,awok
185,1.0,babe
186,2.0,babysitt
187,1.0,backbench
188,10.0,background
189,1.0,backlot
190,3.0,backpack
191,2.0,backward
192,1.0,badass
193,4.0,baikal
194,6.0,bakeri
195,1.0,balenciaga
196,3.0,ballpark
197,1.0,ballroom
198,1.0,ballroomstyl
199,1.0,baltimorebas
200,2.0,banker
201,1.0,bankrupt
202,1.0,baquet
203,43.0,bar
204,5.0,barack
205,1.0,barger
206,1.0,barkley
207,27.0,barksdal
208,2.0,barn
209,1.0,barrack
210,2.0,barrel
211,1.0,barrelchest
212,1.0,barrett
213,2.0,bartend
214,1.0,bartowpel
215,17.0,basic
216,1.0,batch
217,2.0,batman
218,4.0,batson
219,7.0,batter
220,4.0,battss
221,1.0,baystyl
222,23.0,be
223,13.0,beach
224,1.0,beachsid
225,2.0,beal
226,1.0,beaverton
227,67.0,becam
228,14.0,becaus
229,15.0,bed
230,1.0,bedevil
231,1.0,bedminst
232,1.0,bedraggl
233,10.0,beer
234,90.0,began
235,1.0,beginn
236,7.0,begun
237,1.0,behold
238,8.0,ben
239,5.0,bend
240,1.0,benign
241,1.0,bennington
242,1.0,bercow
243,1.0,bergen
244,1.0,bernersle
245,1.0,bert
246,14.0,besid
247,1.0,bestcas
248,1.0,bestknown
249,1.0,bestpreserv
250,6.0,betray
251,1.0,between
252,4.0,bibl
253,2.0,biden
254,32.0,biggest
255,1.0,bignam
256,2.0,bigticket
257,102.0,bill
258,11.0,billi
259,1.0,biltmor
260,3.0,biographi
261,9.0,birthday
262,32.0,bit
263,1.0,bitchi
264,169.0,black
265,1.0,blackburn
266,4.0,blackout
267,3.0,blast
268,1.0,bleach
269,1.0,blehl
270,1.0,bloodsuck
271,19.0,blue
272,1.0,bluewhit
273,2.0,blunt
274,33.0,bodi
275,1.0,bodili
276,8.0,boeppl
277,1.0,bolk
278,31.0,bond
279,1.0,bonebend
280,6.0,booker
281,1.0,booksel
282,1.0,bookshop
283,11.0,boom
284,4.0,booster
285,1.0,bootedgeedg
286,1.0,borderlin
287,1.0,bore
288,11.0,borrow
289,6.0,boss
290,1.0,bostonbas
291,1.0,boswel
292,7.0,both
293,14.0,bottl
294,1.0,boul
295,4.0,boulevard
296,1.0,bounti
297,13.0,box
298,4.0,boyfriend
299,1.0,bra
300,2.0,brace
301,6.0,brad
302,6.0,bradi
303,7.0,brain
304,9.0,branch
305,16.0,brand
306,1.0,braqu
307,1.0,brassglob
308,1.0,brassknuckl
309,1.0,brazen
310,1.0,bream
311,7.0,breathnach
312,1.0,breathtak
313,4.0,breed
314,1.0,brentwood
315,1.0,bret
316,3.0,brian
317,4.0,brightlin
318,2.0,brink
319,3.0,brisk
320,10.0,broadcast
321,3.0,broaden
322,12.0,broadway
323,1.0,broish
324,1.0,brokendown
325,1.0,brokenheart
326,1.0,bronzehu
327,10.0,brookfield
328,1.0,brotherinlaw
329,5.0,bruce
330,1.0,bruis
331,2.0,bruni
332,2.0,bubbl
333,3.0,buckl
334,1.0,buff
335,2.0,buford
336,56.0,built
337,1.0,bunge
338,1.0,bunker
339,1.0,bupki
340,1.0,bur
341,1.0,burbank
342,2.0,bureaucrat
343,2.0,burger
344,7.0,buri
345,7.0,burn
346,1.0,burningham
347,1.0,burundi
348,7.0,bush
349,1.0,businesswoman
350,4.0,bustl
351,1.0,busybodi
352,1.0,butterfli
353,1.0,buttonpush
354,5.0,buzz
355,3.0,buzzfe
356,1.0,buzzi
357,5.0,bvg
358,33.0,by
359,15.0,c
360,19.0,cab
361,4.0,cabin
362,10.0,cafe
363,19.0,cake
364,1.0,calculus
365,2.0,cali
366,2.0,caller
367,2.0,calonico
368,2.0,cambodian
369,19.0,camera
370,2.0,campbel
371,8.0,canadian
372,2.0,candl
373,1.0,cannon
374,7.0,capac
375,33.0,capit
376,1.0,capitalist
377,3.0,captiv
378,6.0,cardozo
379,9.0,carfre
380,2.0,cargo
381,3.0,carjack
382,4.0,carlo
383,1.0,carlov
384,2.0,carlson
385,4.0,carnegi
386,3.0,carol
387,2.0,carolin
388,1.0,carpent
389,54.0,carri
390,1.0,carriag
391,2.0,carrier
392,1.0,cascad
393,2.0,cashmer
394,31.0,casino
395,2.0,casserol
396,1.0,cassett
397,2.0,castro
398,1.0,catalan
399,1.0,catterina
400,1.0,celgen
401,5.0,cellar
402,8.0,cellphon
403,2.0,censorship
404,3.0,census
405,1.0,centuriesold
406,1.0,ceramictil
407,1.0,cerebr
408,1.0,certainti
409,1.0,certif
410,1.0,chaffin
411,1.0,chaim
412,12.0,chair
413,3.0,champagn
414,23.0,chanc
415,1.0,channel
416,1.0,chappell
417,4.0,character
418,1.0,chardonnay
419,2.0,charli
420,8.0,cheal
421,2.0,checkup
422,1.0,cheekbyjowl
423,2.0,cheeki
424,7.0,cheer
425,3.0,chemic
426,1.0,chen
427,6.0,cherri
428,1.0,cherrywood
429,12.0,chess
430,1.0,chestwax
431,3.0,chevrolet
432,1.0,chicagoarea
433,1.0,chicest
434,2.0,chick
435,44.0,children
