,Count,Word
0,8.0,000s
1,1.0,000th
2,1.0,000word
3,1.0,017acr
4,1.0,100rbi
5,1.0,100unit
6,3.0,100year
7,1.0,10foot
8,1.0,10for17
9,2.0,10stori
10,1.0,10thin
11,1.0,116a
12,1.0,118th
13,1.0,11match
14,1.0,123rd
15,2.0,12acr
16,1.0,12point
17,1.0,12s
18,11.0,12th
19,1.0,12thfloor
20,1.0,12week
21,4.0,12yearold
22,2.0,134yearold
23,1.0,14minut
24,2.0,14thseed
25,1.0,150page
26,1.0,15a
27,2.0,15foot
28,1.0,15may
29,1.0,15stori
30,1.0,15x15
31,1.0,1600s
32,2.0,168th
33,1.0,16millimet
34,1.0,16vsno
35,1.0,1790s
36,1.0,17member
37,18.0,17th
38,1.0,17week
39,3.0,17year
40,1.0,1830s
41,4.0,1880s
42,7.0,18yearold
43,15.0,1920s
44,52.0,1970s
45,2.0,1d
46,1.0,1s
47,12.0,2000s
48,1.0,2004present
49,1.0,200foottal
50,2.0,200squarefoot
51,2.0,2014present
52,1.0,21inch
53,2.0,22stori
54,4.0,22yearold
55,1.0,24a
56,1.0,250squarefoot
57,2.0,25man
58,1.0,26th
59,1.0,26year
60,1.0,28day
61,7.0,28yearold
62,1.0,2across
63,1.0,2r
64,1.0,300acr
65,1.0,30footlong
66,1.0,30inch
67,5.0,30minut
68,13.0,30s
69,6.0,30th
70,1.0,30year
71,1.0,310mile
72,4.0,31yearold
73,1.0,325carat
74,1.0,325i
75,6.0,32yearold
76,1.0,33a
77,1.0,35millimet
78,2.0,35th
79,1.0,35yearoldsoci
80,1.0,36across
81,4.0,37yearold
82,5.0,38yearold
83,2.0,3b
84,1.0,3g
85,1.0,40countri
86,1.0,40footlong
87,2.0,40sera
88,1.0,41yearold
89,1.0,427billionyearold
90,1.0,42a
91,1.0,42foottal
92,1.0,42room
93,1.0,43stori
94,1.0,44inch
95,1.0,44th
96,2.0,47yearold
97,1.0,48yearold
98,1.0,49er
99,1.0,4foot2
100,2.0,51yearold
101,1.0,57yearold
102,1.0,58th
103,1.0,5cent
104,1.0,5foot1
105,3.0,5yearold
106,1.0,60footlong
107,1.0,60minut
108,1.0,61st
109,1.0,62mile
110,1.0,62nd
111,1.0,650seat
112,3.0,67th
113,1.0,6foot11
114,1.0,6th
115,1.0,71yearold
116,2.0,76d
117,5.0,76er
118,1.0,76th
119,1.0,79footwid
120,22.0,80s
121,3.0,80yearold
122,1.0,812squarefoot
123,1.0,828squarefoot
124,1.0,837squarefoot
125,1.0,85footlong
126,1.0,87yearold
127,1.0,90squarefoot
128,1.0,90yearold
129,2.0,96side
130,2.0,a320neo
131,1.0,aa
132,31.0,aaron
133,4.0,abarca
134,1.0,abbadio
135,4.0,abbrevi
136,5.0,abc
137,1.0,abdel
138,2.0,abdic
139,1.0,abdomen
140,12.0,abduct
141,4.0,abel
142,2.0,aberr
143,1.0,abhinandan
144,2.0,abhor
145,2.0,abject
146,12.0,aboard
147,86.0,about
148,15.0,abov
149,9.0,abraham
150,24.0,abroad
151,7.0,absent
152,20.0,abstract
153,1.0,abulhawa
154,2.0,abunimah
155,1.0,ac130
156,3.0,academia
157,1.0,academicfraud
158,1.0,acadmi
159,2.0,acanthus
160,1.0,acatyp
161,1.0,accel
162,19.0,accent
163,2.0,accolad
164,34.0,accommod
165,1.0,accost
166,13.0,accumul
167,1.0,acerb
168,1.0,acheb
169,1.0,acke
170,1.0,aclunj
171,3.0,acolyt
172,3.0,acquit
173,1.0,acrimoni
174,2.0,acronym
175,1.0,acryl
176,7.0,acut
177,4.0,ada
178,1.0,adan
179,1.0,adbear
180,37.0,addict
181,4.0,adida
182,22.0,adjac
183,4.0,adkin
184,3.0,adolesc
185,1.0,adolph
186,2.0,advent
187,76.0,advic
