,Count,Word
0,2.0,000meter
1,1.0,000person
2,1.0,12inch
3,2.0,12th
4,2.0,13andahalf
5,1.0,150page
6,1.0,15may
7,2.0,15second
8,1.0,17th
9,1.0,1880s
10,6.0,18yearold
11,1.0,1920s
12,12.0,1970s
13,5.0,2000s
14,1.0,20odd
15,1.0,22yearold
16,1.0,250foot
17,2.0,26th
18,6.0,28yearold
19,1.0,302s
20,4.0,30minut
21,4.0,30s
22,1.0,30th
23,2.0,31april
24,1.0,325i
25,2.0,32yearold
26,2.0,35th
27,3.0,37yearold
28,1.0,38yearold
29,1.0,3by2foot
30,1.0,3g
31,1.0,400page
32,4.0,40second
33,1.0,40sstyle
34,1.0,41yearold
35,1.0,47yearold
36,1.0,4foot2
37,1.0,56minut
38,1.0,57yearold
39,1.0,5foot2inch
40,1.0,5hour
41,1.0,5yearold
42,1.0,62mile
43,1.0,695th
44,1.0,71yearold
45,2.0,80s
46,1.0,80th
47,1.0,90yearold
48,2.0,a10
49,10.0,a320neo
50,3.0,aa
51,3.0,aaron
52,1.0,abak
53,1.0,abbrevi
54,2.0,abc
55,1.0,abdel
56,2.0,abdic
57,4.0,abduct
58,8.0,abel
59,2.0,abhinandan
60,1.0,abhor
61,2.0,abject
62,47.0,aboard
63,1.0,aborto
64,25.0,about
65,8.0,abov
66,1.0,abr
67,18.0,abroad
68,2.0,absent
69,8.0,abstract
70,2.0,ac130
71,2.0,academia
72,1.0,acaso
73,2.0,accent
74,1.0,acceso
75,1.0,accolad
76,13.0,accommod
77,1.0,accost
78,6.0,accumul
79,1.0,acerb
80,1.0,acercar
81,3.0,ackermann
82,1.0,acquit
83,2.0,acronym
84,1.0,acusado
85,7.0,acut
86,11.0,addict
87,1.0,addriven
88,1.0,adida
89,3.0,adjac
90,1.0,adlumin
91,2.0,advent
92,28.0,advic
93,7.0,advisori
94,7.0,aerial
95,6.0,aeronaut
96,23.0,affair
97,66.0,affect
98,1.0,affleck
99,1.0,africaninspir
100,1.0,afrosouth
101,16.0,afterward
102,1.0,aggrandiz
103,2.0,aggrav
104,1.0,agua
105,55.0,ahead
106,1.0,aidan
107,1.0,aienabl
108,1.0,ailment
109,1.0,aipacback
110,1.0,airaccid
111,5.0,airbnb
112,5.0,airbuss
113,1.0,airhelp
114,2.0,airli
115,5.0,akin
116,1.0,alana
117,1.0,albayrak
118,2.0,alberta
119,18.0,album
120,1.0,albuquerqu
121,1.0,alcalda
122,1.0,aldawla
123,2.0,alexei
124,1.0,algo
125,4.0,alguna
126,1.0,alianza
127,7.0,alic
128,1.0,alislamia
129,1.0,allegi
130,21.0,allen
131,2.0,allergi
132,1.0,allevi
133,1.0,allmal
134,2.0,allse
135,1.0,allur
136,1.0,almosttwoyearold
137,3.0,aloft
138,106.0,along
139,2.0,alonso
140,1.0,aloof
141,2.0,altman
142,2.0,altria
143,5.0,aluminum
144,1.0,alyson
145,9.0,amateur
146,1.0,ambient
147,2.0,ambiental
148,2.0,ambul
149,545.0,american
150,1.0,amig
151,1.0,amorph
152,1.0,ampute
153,1.0,amritsar
154,5.0,ana
155,5.0,analytica
156,1.0,anand
157,1.0,anarchi
158,56.0,angel
159,7.0,angleofattack
160,16.0,angri
161,3.0,anguish
162,1.0,animos
163,7.0,ankara
164,1.0,anki
165,6.0,anna
166,1.0,annan
167,1.0,anneci
168,1.0,annimo
169,1.0,annot
170,5.0,annoy
171,1.0,anohni
172,1.0,ansa
173,1.0,antenna
174,4.0,anthem
175,1.0,antiaborto
176,1.0,antibodi
177,1.0,antidisinform
178,2.0,antieuropean
179,4.0,antigovern
180,1.0,antiretrovir
181,1.0,antisatellit
182,2.0,antitrump
183,12.0,antitrust
184,1.0,anton
185,1.0,anu
186,13.0,anymor
187,66.0,anyon
188,10.0,anywher
189,2.0,aortic
190,1.0,ap
191,3.0,apiec
192,1.0,apocalypt
193,21.0,apolog
194,35.0,appeal
195,56.0,appl
196,28.0,appli
197,1.0,apprehend
198,2.0,apprehens
199,1.0,apprentic
200,7.0,approxim
201,1.0,apron
202,1.0,aproxima
203,1.0,aprueba
204,12.0,aramco
205,1.0,arch
206,3.0,archaeologist
207,6.0,architect
208,16.0,architectur
209,59.0,archiv
210,4.0,archriv
211,1.0,archway
212,1.0,arduous
213,102.0,area
214,11.0,arena
215,1.0,argumenta
216,6.0,arizona
217,1.0,armitag
218,2.0,armrest
219,86.0,arrest
220,3.0,arrog
221,1.0,arthistor
222,4.0,arthur
223,4.0,articul
224,18.0,artifici
225,1.0,artisttheorist
226,1.0,asa
227,4.0,ascend
228,22.0,asia
229,49.0,asian
230,1.0,asif
231,244.0,ask
232,1.0,askal
233,1.0,aspiracion
234,2.0,asrat
235,1.0,assa
236,11.0,assail
237,1.0,assang
238,1.0,assemblag
239,38.0,asset
240,91.0,associ
241,6.0,assumpt
242,1.0,astound
243,49.0,asylum
244,1.0,atbat
245,5.0,ate
246,1.0,atend
247,38.0,athlet
248,4.0,atlanta
249,1.0,aton
250,5.0,att
251,195.0,attack
252,1.0,attende
253,57.0,attorney
254,2.0,au
255,1.0,auciello
256,1.0,audi
257,1.0,audiovisu
258,2.0,aunqu
259,1.0,austinbergstrom
260,1.0,austraco
261,75.0,australia
262,60.0,australian
263,3.0,austria
264,1.0,austriaco
265,1.0,austrian
266,8.0,authent
267,1.0,autoguidovi
268,12.0,autonom
269,4.0,autonomi
270,1.0,aux
271,1.0,avantgardist
272,1.0,avedon
273,2.0,aveng
274,2.0,avic
275,1.0,avistamiento
276,14.0,await
277,115.0,away
278,2.0,awesom
279,1.0,awok
280,7.0,axelrod
281,1.0,azhar
282,1.0,babbl
283,4.0,babyflot
284,1.0,babysitt
285,26.0,background
286,9.0,backpack
287,3.0,backward
288,3.0,badghi
289,1.0,bagpip
290,4.0,baikal
291,3.0,baird
292,1.0,balenciaga
293,1.0,balkan
294,1.0,ballpark
295,2.0,ballroom
296,1.0,bangladesh
297,17.0,banker
298,1.0,bankfund
299,2.0,bankrupt
300,2.0,baquet
301,61.0,bar
302,16.0,barack
303,2.0,bard
304,1.0,bari
305,1.0,barlow
306,7.0,barn
307,3.0,baromet
308,2.0,barrack
309,1.0,barrel
