,Count,Word
0,1.0,000four
1,1.0,000kg
2,1.0,09m
3,1.0,0x3x
4,5.0,0ye_na_kr
5,1.0,100climb
6,1.0,100m
7,1.0,100rechat
8,2.0,1030am
9,1.0,10aug
10,3.0,10k
11,4.0,11am
12,1.0,11pm
13,1.0,122294m040
14,14.0,12th
15,1.0,12x
16,1.0,12year
17,4.0,12yr
18,1.0,13rd
19,1.0,150m
20,1.0,155mi
21,2.0,15k
22,1.0,16mp
23,1.0,17n
24,6.0,17th
25,1.0,1830s
26,1.0,18m
27,1.0,18min
28,1.0,18x215
29,1.0,190kg
30,1.0,1964suebar
31,1.0,1970mike
32,3.0,1970s
33,1.0,1987a
34,1.0,1988thank
35,1.0,1boy4rmdabart
36,1.0,1diii
37,1.0,1lauraspenc
38,1.0,1mph
39,1.0,1pmchat
40,1.0,1pmchat1
41,1.0,1upusa
42,1.0,1x
43,1.0,200mm
44,1.0,2017juli
45,2.0,20lbs
46,1.0,20wheel
47,1.0,21s
48,1.0,220ftsec
49,1.0,22m
50,2.0,25km
51,1.0,25pm
52,1.0,26207mi
53,1.0,26inch
54,2.0,26s
55,3.0,26th
56,1.0,28mm
57,2.0,2bikerchik1
58,1.0,2cloverdal
59,1.0,2in1
60,1.0,2kids2huski
61,3.0,2m
62,1.0,2wheeler
63,1.0,300month
64,1.0,30mile
65,3.0,30mph
66,1.0,30th
67,1.0,30yr
68,1.0,350nyc
69,1.0,35mph
70,1.0,35th
71,1.0,36v10ah
72,1.0,39km
73,1.0,3dsmax
74,1.0,400500pm
75,1.0,400lb
76,1.0,42f
77,1.0,42nagirl
78,3.0,4k
79,1.0,4kmonth
80,1.0,4ps
81,2.0,4way
82,1.0,4waystop
83,1.0,4x15
84,2.0,4x4
85,1.0,4yo
86,1.0,5000k
87,2.0,50cc
88,1.0,50cent
89,1.0,50ft
90,1.0,50kph
91,1.0,510billion
92,1.0,52014cross
93,1.0,55cm
94,1.0,5am
95,3.0,5km
96,1.0,5kms
97,1.0,5p9p
98,3.0,5pm
99,1.0,5wa
100,1.0,60f
101,2.0,60k
102,1.0,630830pm
103,1.0,630am
104,1.0,630pm
105,1.0,64cm
106,1.0,650r
107,1.0,66km
108,1.0,6mileflyguy
109,7.0,6th
110,1.0,70km
111,1.0,790r
112,1.0,79p
113,1.0,7am7pm
114,1.0,7iliev
115,1.0,7kstreet
116,1.0,7mi
117,1.0,800577tip
118,5.0,80s
119,1.0,80yr
120,3.0,8301030am
121,1.0,85th
122,1.0,90r
123,1.0,919fm
124,1.0,94jc11
125,1.0,95jefferi
126,1.0,9th11th
127,1.0,_clearlystock
128,1.0,_goldenuri
129,1.0,_lexieeej
130,1.0,_lrlna
131,1.0,_majesticstorm
132,2.0,aaron
133,1.0,aaronbastani
134,1.0,aarpliv
135,1.0,aasal
136,1.0,aatr
137,1.0,abajo
138,1.0,abbeludwig
139,6.0,abc
140,1.0,abc7
141,1.0,abduct
142,1.0,abel
143,2.0,abfabtravel
144,1.0,abhidas000
145,1.0,abject
146,1.0,aboard
147,17.0,about
148,1.0,abov
149,2.0,abraham
150,3.0,abroad
151,1.0,abstract
152,1.0,academymayb
153,2.0,accent
154,1.0,accesstojustic
155,10.0,accommod
156,2.0,accossato
157,2.0,accossatorac
158,1.0,accost
159,1.0,achain
160,1.0,acoyle98
161,1.0,acrobolix
162,1.0,acrylicpaint
163,2.0,activa
164,4.0,activetransport
165,1.0,acut
166,1.0,adamkelley7
167,3.0,addict
168,2.0,adeyanjudeji
169,1.0,adjac
170,1.0,adriancrick
171,1.0,adventurerid
172,19.0,advic
173,3.0,advisori
174,1.0,aeo
175,2.0,aerial
176,6.0,af
177,2.0,affair
178,9.0,affect
179,1.0,afif_elkhuffash
180,1.0,aflutterby_0
181,1.0,aftermarket
182,2.0,aftertheflash
183,3.0,afterward
184,1.0,agana
185,1.0,aggriev
186,1.0,agletterman
187,1.0,agnosticatheo
188,1.0,agv_uk
189,24.0,ahead
190,1.0,ahfodloui
191,5.0,ahhh
192,1.0,ahhhhh
193,1.0,ahtribun
194,1.0,ailsa_graham
195,1.0,airbnb
196,1.0,airhub_cycl
197,1.0,ajam
198,1.0,ajstylesorg
199,3.0,ajwvictoriabc
200,1.0,akersley
201,1.0,akin
202,1.0,akrapov
203,2.0,akron
204,1.0,alamedacounti
205,1.0,alanisnk
206,3.0,alaphilipp
207,2.0,alberta
208,1.0,albertabikeswap
209,6.0,album
210,1.0,albuquerqu
211,3.0,albyselki
212,1.0,alcdsb
213,1.0,alesscleverguy
214,1.0,alexandriava
215,1.0,alexsaintxxx
216,1.0,alexstanden23
217,1.0,algo
218,3.0,alic
219,1.0,alim
220,3.0,allah
