,Count,Word
0,1.0,0o
1,1.0,100that
2,3.0,1030pm
3,1.0,1037thebuzz
4,2.0,10downingstreet
5,1.0,10k
6,2.0,116bus
7,9.0,11am
8,7.0,11pm
9,1.0,1210pm
10,2.0,1224pm
11,9.0,12th
12,1.0,1415mobilephot
13,1.0,148a
14,1.0,1500club
15,1.0,159th
16,1.0,15k
17,1.0,15mil
18,1.0,161bus
19,1.0,16million
20,8.0,17th
21,1.0,18c
22,1.0,18yard
23,1.0,1928c3019
24,1.0,1970s
25,1.0,1foot
26,2.0,1gallon
27,1.0,1morehourtogo
28,1.0,2000s
29,1.0,2019elect
30,1.0,2019imran
31,1.0,2019loksabhaelect
32,2.0,20400month
33,2.0,205lotto
34,1.0,20odd
35,1.0,20pm
36,1.0,22c
37,1.0,23mm
38,1.0,240most
39,1.0,263chat
40,1.0,26th
41,1.0,27r
42,1.0,29p
43,1.0,2c
44,1.0,2min
45,1.0,2x6
46,1.0,30minut
47,1.0,30sec
48,2.0,30th
49,1.0,30x
50,1.0,315am
51,1.0,322b
52,2.0,35million
53,1.0,35ss
54,2.0,35yr
55,1.0,394m
56,1.0,3amp11
57,1.0,3bathroom
58,1.0,3bedroom
59,2.0,3day
60,2.0,3docean
61,2.0,3drenderbot
62,1.0,3hr
63,1.0,3hrs
64,1.0,3lvcareerhack
65,1.0,400pm
66,1.0,40m
67,4.0,40min
68,1.0,410s
69,1.0,41o2o19
70,4.0,45min
71,1.0,49er
72,1.0,4loko
73,3.0,4x4
74,1.0,509pm
75,1.0,530p
76,2.0,545am
77,1.0,58th
78,2.0,5am
79,1.0,5atb
80,1.0,5livesport
81,8.0,5pm
82,1.0,5sos
83,1.0,5y
84,1.0,630am
85,2.0,630pm
86,1.0,666johnsuh
87,1.0,6musicstudio
88,1.0,6n
89,1.0,6redeleph
90,10.0,6th
91,1.0,748am
92,1.0,76munbar
93,1.0,76th
94,1.0,79thamsterdam
95,2.0,7up
96,3.0,80s
97,1.0,80th
98,1.0,810am
99,1.0,81servic
100,1.0,83f
101,1.0,8b
102,1.0,8hr
103,1.0,8hrs
104,1.0,900am
105,1.0,900e
106,1.0,905am
107,1.0,90month
108,1.0,90smaniax
109,1.0,95bv5
110,2.0,9k
111,2.0,9newsaus
112,1.0,____keeee
113,1.0,__mayno
114,1.0,_alexanderstew
115,1.0,_bentigo_
116,1.0,_chloeswarbrick
117,1.0,_connfid
118,2.0,_mcrosi
119,1.0,_southerngurl_
120,1.0,_unpeachi
121,2.0,a4
122,2.0,aa
123,1.0,aaaaaa
124,1.0,aaiga
125,3.0,aaron
126,1.0,aaronbastani
127,1.0,aaronstarki
128,2.0,aaronvsamuel
129,4.0,abc
130,1.0,abc13
131,1.0,abccompani
132,1.0,abductor
133,3.0,abeg
134,4.0,aberdeen
135,1.0,abhi
136,1.0,abiodunborisad
137,1.0,ableton
138,11.0,aboard
139,18.0,about
140,1.0,abov
141,1.0,abqrid
142,1.0,abroad
143,1.0,abrstowfik
144,1.0,absent
145,1.0,abstract
146,3.0,accent
147,1.0,accolad
148,4.0,accommod
149,1.0,acctg
150,1.0,accuracydanmusa
151,1.0,aces0128
152,2.0,acl
153,2.0,acquit
154,1.0,acryl
155,1.0,acsnottingham
156,1.0,activit
157,2.0,ada
158,1.0,addict
159,1.0,addisonsenior22
160,12.0,adjac
161,1.0,advbarryroux
162,6.0,advic
163,2.0,advisori
164,1.0,adwarn
165,1.0,adwick
166,1.0,aerial
167,12.0,af
168,17.0,affect
169,8.0,afterward
170,2.0,aftonshow
171,1.0,ageist
172,1.0,agentsofshield
173,1.0,aggrav
174,1.0,aggriev
175,1.0,agh
176,1.0,aghahussainr
177,2.0,agnost
178,1.0,ahaha
179,20.0,ahead
180,4.0,ahhh
181,1.0,ahhhhhhhhi
182,1.0,ahmedashour5
183,1.0,ahsanmansoor
184,1.0,aik
185,1.0,ailment
186,1.0,aircoach
187,2.0,airli
188,1.0,airtel_pres
189,2.0,aisa
190,1.0,ajaxjuv
191,1.0,ajaxrememb
192,1.0,ajmitchell25
193,1.0,akelty21
194,1.0,akga
195,2.0,akin
196,1.0,akrolla47
197,2.0,akron
198,1.0,al_humphrey
199,1.0,alanmimm
200,3.0,alboarmeri
201,9.0,album
202,2.0,albuquerqu
203,1.0,alehra_
204,2.0,alex_da_asian
205,2.0,alex_eanderson
206,1.0,alexdyson
207,2.0,alexthomasdc
208,1.0,alford
209,1.0,alhurranew
210,1.0,ali_deverian
211,1.0,alic
212,3.0,alivelshi
213,1.0,aliwhitesox
214,3.0,allah
215,6.0,allegri
216,5.0,allen
217,1.0,allen_coltin
218,1.0,allenflow
219,1.0,allentownnyc
220,1.0,allergi
221,1.0,allevi
222,1.0,alleymac96
223,1.0,alloutmay1
224,1.0,almati
225,1.0,almer
226,1.0,alnmouth
227,52.0,along
228,1.0,alr
229,1.0,alreadyin
230,1.0,alreadym
231,1.0,altsq
232,8.0,alwayystir
233,1.0,aly_ayl_
234,1.0,alyssa_milano
235,1.0,alyssams
236,1.0,amadeus1967
237,1.0,amanda_krumin
238,1.0,amandakhurley
239,1.0,amandamkeef
240,1.0,amandathecatmom
241,1.0,amandionair
242,1.0,amber
243,3.0,ambient
244,9.0,ambul
245,46.0,american
246,1.0,americasmostelig
247,3.0,amitshah
248,2.0,amongst
249,1.0,ampwhatl
250,3.0,amrood
251,1.0,amyfeepc
252,2.0,amyklobuchar
253,3.0,amys_bus_ticket
254,1.0,ana
255,1.0,andestransit
256,5.0,andhra
257,1.0,andhrapradeshelect
258,1.0,andhrapradeshelection2019
259,1.0,andrewbild
260,1.0,andrewgdotcom
261,1.0,andrewsimp
262,1.0,andyrinomhota
263,13.0,angel
264,1.0,angelbreath
265,8.0,angri
266,1.0,animalplanet
267,1.0,ankara
268,3.0,anna
269,1.0,anne_rowland
270,1.0,annettlif
271,1.0,annieclarkdt
272,1.0,anniecp5
273,1.0,annndd
274,27.0,annoy
275,1.0,antartica
276,1.0,ante
277,2.0,anthem
278,1.0,anthonylok
279,1.0,anu
280,21.0,anymor
281,76.0,anyon
282,19.0,anywher
283,1.0,aoifewrenn
284,1.0,aot
285,3.0,ap
286,2.0,apach
287,2.0,apaullo95
288,1.0,apga
289,1.0,aphrabrandreth
290,2.0,aplus
291,1.0,apollo
292,28.0,apolog
293,1.0,apologist
294,2.0,appanoos
295,4.0,appeal
296,8.0,appl
297,24.0,appli
298,1.0,applianc
299,1.0,appreciatedsd
300,1.0,apprehend
301,1.0,apprehens
302,7.0,approxim
303,1.0,appvalley_vip
304,1.0,apron
305,1.0,aqsatariq50
306,1.0,aragorn
307,2.0,arbi
308,1.0,arboc
309,1.0,arch
310,1.0,architect
311,1.0,architectish
312,3.0,architectur
313,1.0,archway
314,79.0,area
315,3.0,arena
316,2.0,arizona
317,1.0,arlingtonvapd
318,1.0,armenian
319,1.0,armyofknitt
320,58.0,arrest
321,1.0,arrivatheshir
322,1.0,arrog
323,1.0,arron_bank
324,1.0,arthrit
325,2.0,arthur
326,1.0,arthurm8i
327,3.0,articul
328,1.0,artifici
329,1.0,artwendeley
330,1.0,asa
331,1.0,asaba
332,1.0,asalu
333,1.0,ascend
334,2.0,asda
335,8.0,asf
336,1.0,ashland
337,6.0,asia
338,3.0,asian
339,178.0,ask
340,1.0,ask_d
341,1.0,askin
342,8.0,askrapidkl
343,2.0,assang
344,3.0,asset
345,1.0,assetto
346,7.0,associ
347,1.0,assumpt
348,1.0,astana
349,1.0,aston
350,2.0,astound
351,1.0,astros_dud
352,1.0,asylum
353,1.0,asz
354,6.0,ate
355,1.0,atgrad
356,8.0,athlet
357,1.0,athletico
358,7.0,atlanta
359,1.0,atlraidern
360,1.0,atroci
361,90.0,attack
362,1.0,atti
363,2.0,attn
364,2.0,attorney
365,1.0,audi
366,1.0,augensteinwtop
367,1.0,aukat
368,1.0,aurivo
369,1.0,aurivoco_op
370,2.0,aussi
371,1.0,austinit
372,4.0,australia
373,2.0,australian
374,2.0,austria
375,4.0,austrian
376,2.0,authent
377,3.0,autograph
378,7.0,autonom
379,1.0,avenetti
380,8.0,await
381,152.0,away
382,24.0,awesom
383,1.0,awww
384,1.0,ax420_
385,1.0,axleryd
386,1.0,axross
387,5.0,aye
388,1.0,ayodhya
389,5.0,az
390,1.0,azorcantour
391,1.0,azzamameen
392,1.0,b4dure
393,1.0,b52malmet
394,1.0,b64
395,1.0,b_s_1976
396,1.0,b_thekid_
397,1.0,baaki
398,7.0,babe
399,1.0,babykii_
400,1.0,back_dafucup
401,2.0,backaftathi
402,8.0,background
403,19.0,backpack
404,2.0,backward
405,1.0,badschoolbusdriv
406,1.0,badw
407,1.0,bagbox
408,1.0,bahama
409,4.0,bakeri
410,1.0,bale
411,1.0,bam
412,1.0,bamber
413,1.0,bampg
414,1.0,bampq
415,2.0,banff
416,1.0,bangtan
417,1.0,banhart
418,2.0,banker
419,2.0,bankrupt
420,1.0,bantam
421,92.0,bar
422,1.0,barack
423,2.0,baranicool
424,1.0,barber
425,4.0,barn
426,1.0,barrack
427,5.0,bartend
428,1.0,basaa
429,5.0,bash
430,25.0,basic
431,3.0,bassguitarnina
432,1.0,batao
433,1.0,batch
434,1.0,bathtub
435,1.0,batter
436,5.0,battleofthejuic
437,1.0,bazabaggie73
438,1.0,bazbear1
439,3.0,bbc6music
440,2.0,bbcan7
441,1.0,bbjournal24
442,3.0,bbq
443,1.0,bca
444,1.0,bcarringtonut
445,1.0,bcps
446,5.0,bcu22
447,4.0,bdegrant
448,17.0,be
449,12.0,beach
450,1.0,bearden
451,2.0,beatbox
452,1.0,beater
453,1.0,beaudhisaatva
454,2.0,beaumont
455,9.0,becam
456,4.0,becaus
457,1.0,beccactaylor
458,1.0,beckenham
459,1.0,beckyirving_
460,1.0,beco
461,14.0,bed
462,1.0,bedmadeli
463,1.0,bedraggl
464,1.0,bedread
465,1.0,beekeep
466,16.0,beer
467,1.0,beethovin
468,3.0,began
