,Count,Word
0,1.0,000forev
1,1.0,000ggut
2,1.0,000kg
3,1.0,100m
4,1.0,101build
5,1.0,1030pm
6,1.0,104thehawk
7,3.0,10k
8,1.0,10stori
9,1.0,10x24
10,1.0,116k
11,1.0,120k
12,1.0,1229am
13,1.0,12point
14,1.0,12s
15,1.0,12th
16,1.0,139k
17,1.0,14x20
18,1.0,15bath
19,1.0,15k
20,1.0,161sqf
21,1.0,1690nm
22,1.0,170k
23,1.0,175k
24,1.0,17th
25,1.0,18yearold
26,2.0,1970s
27,1.0,1car
28,1.0,1greatthink
29,1.0,1kmonth
30,1.0,1linew
31,2.0,1s
32,4.0,2000s
33,1.0,2019924am
34,1.0,2020ford
35,1.0,2030ish
36,2.0,20km
37,1.0,23andm
38,1.0,24hoursoflemon
39,1.0,2530k
40,1.0,260k
41,1.0,2apt10
42,1.0,2eryn11175
43,1.0,30mile
44,1.0,30mph
45,1.0,30th
46,1.0,32g
47,1.0,32rodster
48,1.0,32yearold
49,1.0,350k
50,1.0,35mph
51,1.0,35s
52,1.0,392mpg
53,1.0,3bd
54,2.0,3bedroom
55,3.0,3drenderbot
56,1.0,3ft
57,1.0,400pm
58,35.0,40m
59,1.0,40min
60,1.0,4102019the
61,1.0,450kw
62,1.0,47k
63,1.0,4gallon
64,1.0,4way
65,1.0,4x10
66,5.0,4x4
67,1.0,562_3377808you
68,1.0,56k
69,1.0,5livesport
70,1.0,5newssabrina
71,2.0,5sos
72,1.0,600gws
73,2.0,62nd
74,1.0,6car
75,1.0,6ixval_
76,1.0,6s
77,1.0,6th
78,1.0,70degre
79,1.0,71mph
80,1.0,76th
81,1.0,7r
82,1.0,80fuzulshot
83,4.0,80s
84,1.0,810min
85,1.0,820si
86,1.0,87yearold
87,1.0,8mile
88,1.0,900am
89,2.0,90sera
90,1.0,924oc
91,1.0,992000ish
92,1.0,9amp10
93,1.0,_alex_corbett_
94,1.0,_casaubon_
95,1.0,_chellexi
96,1.0,_diamondcocain
97,1.0,_drane
98,1.0,_dsmooov
99,1.0,_icze4r
100,1.0,_ivanlegend_
101,1.0,_layshjanea
102,1.0,_loveisfaith
103,1.0,_mi
104,1.0,_mjack_
105,1.0,_morenaa7
106,1.0,_mufasaaaa
107,1.0,_s1gma_
108,1.0,_scolem
109,1.0,_sportsjunki
110,1.0,_taewilson
111,1.0,_themodernmom_
112,1.0,_truck_norris_
113,1.0,a15
114,1.0,a1b
115,1.0,a47
116,1.0,a9
117,1.0,a_lovely_death
118,2.0,aa
119,1.0,aaa_travel
120,1.0,aaacarfit
121,1.0,aapl
122,1.0,aaron
123,1.0,aaronmeining
124,2.0,abbieeaton44
125,3.0,abc
126,1.0,abc12wjrt
127,3.0,abc7
128,3.0,abduct
129,1.0,abegi
130,1.0,aberdeen
131,5.0,aberystwythcar
132,1.0,aboard
133,13.0,about
134,1.0,abraham
135,1.0,abroad
136,1.0,ac2cnkotb
137,2.0,accent
138,4.0,accommod
139,1.0,acelucario
140,1.0,acquit
141,8.0,acura
142,1.0,acut
143,1.0,adairius
144,1.0,adalin
145,1.0,adamandpeev
146,1.0,adamzwar
147,4.0,addict
148,1.0,addisun__
149,1.0,adeyanjudeji
150,1.0,adeyln
151,1.0,adida
152,2.0,adjac
153,1.0,adnan
154,1.0,adultuntil
155,2.0,aduro
156,9.0,advic
157,1.0,aecordea
158,1.0,aerdnaxm
159,1.0,aerial
160,25.0,af
161,2.0,afd
162,1.0,affair
163,1.0,affanmrz
164,6.0,affect
165,1.0,affleck
166,1.0,afgan
167,1.0,afrikiko
168,6.0,afterward
169,1.0,againliv
170,1.0,agentsofshield
171,1.0,agnost
172,1.0,agnosticatheo
173,1.0,agocs_jodi
174,1.0,agraybe
175,2.0,ahaha
176,17.0,ahead
177,2.0,ahhh
178,2.0,ailsa_graham
179,1.0,airflow
180,1.0,ajcwsbtraff
181,2.0,ajimenez45
182,1.0,akin
183,1.0,alberta
184,13.0,album
185,4.0,albuquerqu
186,2.0,alegi
187,1.0,alexhyn
188,1.0,alexislynn
189,1.0,alexxxhamm
190,1.0,alfalfa
191,1.0,alg1k
192,2.0,alic
193,1.0,alissa
194,2.0,allah
195,2.0,allen
196,1.0,allendal
197,8.0,allergi
198,1.0,allijb1
199,1.0,allisoncgardn
200,1.0,allll
201,1.0,alllll
202,1.0,alltootay1213
203,1.0,alman95822408
204,1.0,almostthirtyyearold
205,1.0,alnour
206,35.0,along
207,2.0,alonso
208,2.0,altcoinsara
209,2.0,aluminum
210,1.0,alvarado
211,1.0,alyssa_milano
212,1.0,alzheim
213,1.0,amanda_pompili
214,2.0,amandafbelfast
215,1.0,amarieast
216,1.0,amateur
217,1.0,amazingspywar
218,2.0,amber
219,1.0,amber_chrissi
220,7.0,ambul
221,26.0,american
222,2.0,americanidol
223,3.0,amg
224,2.0,amherst
225,1.0,aminaw
226,2.0,amongst
227,1.0,amonthofm
228,1.0,anabonaa
229,1.0,andalsoagentsofinstagram
230,1.0,andiwijaya6820
231,13.0,andrewaden8
232,1.0,andrewyang
233,1.0,andyaustinmain
234,1.0,andylassn
235,1.0,andyostroy
236,1.0,anechoicmedia_
237,1.0,anesthesia
238,13.0,angel
239,1.0,angermanag
240,1.0,anglo
241,16.0,angri
242,2.0,anna
243,1.0,annafountain
244,1.0,anniemodiba
245,31.0,annoy
246,1.0,antartica
247,1.0,antenna
248,1.0,anthem
249,1.0,anthonycole68
250,1.0,antiharass
251,1.0,anus
252,1.0,anyhow
253,39.0,anymor
254,92.0,anyon
255,17.0,anywher
256,1.0,ap
257,1.0,apach
258,1.0,apaphoto
259,1.0,apatcolyps
260,1.0,apexonrac
261,6.0,apolog
262,12.0,appl
263,1.0,applesauc
264,21.0,appli
265,2.0,applianc
266,2.0,apprentic
267,3.0,approxim
268,1.0,aprilsnow
269,1.0,apron
270,1.0,aprox
271,1.0,aprperform
272,1.0,aprperformancew
273,1.0,arapahoeso
274,2.0,arbi
275,1.0,arch
276,2.0,architectur
277,1.0,archiv
278,69.0,area
279,5.0,arena
280,1.0,argybargi
281,1.0,ariellec
