,Count,Word
0,1.0,000ft2
1,1.0,0_o
2,1.0,0xfeedc0ffe
3,1.0,1030am
4,1.0,106b
5,1.0,10k
6,1.0,1100month
7,3.0,11am
8,10.0,11pm
9,1.0,127nism
10,1.0,12d
11,1.0,12inch
12,2.0,12new
13,1.0,12s
14,2.0,12th
15,1.0,130am
16,2.0,130pm
17,1.0,144billion
18,4.0,145th
19,1.0,14b
20,1.0,170k
21,1.0,17kmh
22,1.0,17th
23,1.0,1904featur
24,5.0,1970s
25,1.0,19g
26,1.0,1newsnz
27,1.0,2000s
28,1.0,2019s
29,1.0,22percent
30,1.0,23hrs
31,1.0,250kday
32,1.0,250ride
33,1.0,26th
34,1.0,29kn
35,1.0,2eryn11175
36,1.0,2m
37,1.0,2minut
38,1.0,300mg
39,1.0,30minut
40,2.0,34thstreet
41,1.0,3b
42,1.0,3dwardg85
43,1.0,3hrs
44,1.0,3ontario
45,2.0,3racha
46,1.0,3stori
47,1.0,40m
48,1.0,4567s
49,1.0,49th
50,1.0,4stararcadian
51,1.0,4u
52,3.0,5am
53,1.0,5lb
54,1.0,600am900pm
55,1.0,60k
56,2.0,63rd
57,1.0,6in
58,5.0,6th
59,1.0,743am
60,2.0,790m
61,1.0,79a
62,1.0,7heabolitionist
63,1.0,7train
64,1.0,7wtc
65,1.0,80mph
66,5.0,80s
67,2.0,85mile
68,1.0,895thelakenew
69,1.0,8inch
70,2.0,_abigailbrook
71,1.0,_bryanfernandez
72,1.0,_dannyphoto_
73,1.0,_icze4r
74,1.0,_ixs6
75,1.0,a_j_marshal
76,1.0,aaahgshbdgd
77,1.0,aaron
78,2.0,aaronblackfox
79,1.0,aaronlinguini
80,3.0,abc
81,1.0,abcd
82,1.0,abcdefm
83,4.0,abduct
84,1.0,abehsera
85,1.0,aberdeen
86,3.0,aboard
87,2.0,about
88,1.0,abov
89,2.0,abstract
90,1.0,accent
91,8.0,accommod
92,1.0,accost
93,1.0,acearohanda
94,1.0,acenqrws1237
95,1.0,aconn2010
96,1.0,acushdep
97,1.0,ada
98,3.0,adam16289417
99,1.0,adamlockett34
100,1.0,adammleach
101,1.0,adamvin
102,6.0,addict
103,1.0,adecastroverd
104,2.0,adida
105,1.0,adjac
106,1.0,adromachadi
107,6.0,advic
108,3.0,advisori
109,1.0,aerial
110,10.0,af
111,12.0,affect
112,1.0,afterward
113,1.0,agalbraith
114,1.0,agavecorn
115,1.0,agh
116,1.0,agnost
117,1.0,agua
118,11.0,ahead
119,3.0,ahhh
120,1.0,aiani
121,1.0,aina
122,4.0,airbnb
