,Count,Word
0,1.0,000th
1,3.0,0400l
2,1.0,0for1
3,3.0,100m
4,1.0,1015min
5,1.0,1030am
6,1.0,1045p
7,1.0,105mitten
8,1.0,10feet
9,8.0,10k
10,1.0,10pm1am
11,1.0,110db
12,1.0,1181trfc
13,2.0,11pm
14,1.0,120k
15,5.0,123rd
16,9.0,12th
17,1.0,12yearold
18,1.0,130700h
19,1.0,13rd
20,1.0,1430h
21,1.0,14hour
22,1.0,14mm
23,5.0,17th
24,1.0,1800l
25,1.0,187m
26,1.0,18apr2019
27,1.0,1959smith715
28,3.0,1970s
29,1.0,19teach
30,2.0,1jiminy_cricket
31,1.0,1knick
32,1.0,1mo
33,1.0,1n
34,1.0,1ra_enelor
35,1.0,1s
36,4.0,1x
37,5.0,20001hit
38,1.0,2018yet
39,1.0,2019ear
40,1.0,22yearold
41,1.0,23g
42,2.0,2cool
43,7.0,2out
44,1.0,2shin
45,8.0,300k
46,1.0,30kmh
47,4.0,30mph
48,3.0,30s
49,6.0,30year
50,2.0,320pio
51,1.0,347pm
52,1.0,35x
53,1.0,365km
54,5.0,3b
55,1.0,3dgraphic
56,1.0,3for8
57,1.0,3mile
58,1.0,40stori
59,1.0,44th
60,1.0,47p
61,1.0,47yearsold
62,1.0,49th
63,1.0,4for
64,1.0,4k
65,1.0,4pmeveri
66,3.0,4way
67,1.0,4x4
68,1.0,51yearold
69,1.0,56blackcat
70,1.0,57km
71,2.0,5am
72,1.0,5km
73,1.0,5pm
74,1.0,5sos
75,1.0,60this
76,1.0,630am
77,2.0,630pm
78,1.0,67s
79,6.0,67th
80,1.0,68mi
81,8.0,6th
82,1.0,6x
83,1.0,720km
84,2.0,748pm
85,1.0,7min
86,1.0,7xvizionz
87,3.0,80s
88,1.0,80suburbia
89,1.0,826valencia
90,1.0,84ewashington
91,1.0,888westand
92,1.0,8hr
93,1.0,973fm
94,1.0,9u
95,1.0,__diamonddj
96,1.0,_allisulli
97,1.0,_bvgg_
98,1.0,_gt
99,1.0,_keepitgeee
100,1.0,_kevin_pham
101,1.0,_mjbelik
102,1.0,_ncuthu
103,1.0,_ourlittlesatan
104,1.0,_potsmaster_
105,1.0,_rebuk
106,1.0,_rian_ston
107,1.0,_vivyllon_
108,1.0,a008
109,1.0,a120
110,1.0,a382
111,4.0,a4
112,1.0,aa
113,1.0,aaaaaa
114,1.0,aaaaagghhhh
115,1.0,aaaamberr2255
116,4.0,aampm
117,1.0,aapkeacharya
118,3.0,aaron
119,1.0,aarondodd
120,3.0,aaronleegunn
121,1.0,aaronson_p
122,1.0,aasiyah_joseph
123,1.0,abbyvx
124,3.0,abc
125,2.0,abc7
126,2.0,abcxyztea
127,1.0,abduct
128,1.0,abdullajshahghazimazaar
129,1.0,abel
130,2.0,aberdeen
131,1.0,aberr
132,1.0,abinitio
133,4.0,abm
134,17.0,about
