,Count,Word
0,1.0,05fl
1,1.0,12ml
2,1.0,28a
3,1.0,3pm
4,2.0,abl
5,1.0,ac
6,1.0,addit
7,2.0,aguilar
8,1.0,aj
9,1.0,and
10,3.0,appar
11,1.0,armi
12,1.0,arsenal
13,1.0,art
14,1.0,atrupar
15,3.0,author
16,1.0,award
17,7.0,back
18,1.0,backi
19,2.0,ball
20,5.0,base
21,2.0,bat
22,1.0,bdsm
23,3.0,beer
24,1.0,berni
25,1.0,bhm
26,1.0,bookworm
27,1.0,bridg
28,1.0,brilliant
29,1.0,brittbeard
30,1.0,brooklynbrid
31,1.0,bucket
32,1.0,bullet
33,1.0,cannabi
34,2.0,capit
35,1.0,captain
36,1.0,celebr
37,7.0,cell
38,1.0,certain
39,1.0,chad
40,4.0,chang
41,1.0,chapman
42,1.0,charact
43,5.0,check
44,2.0,chees
45,1.0,chickenman
46,1.0,chronicl
47,1.0,clean
48,2.0,clutch
49,1.0,confer
50,1.0,congrat
51,1.0,content
52,1.0,continent
53,2.0,control
54,1.0,cooki
55,1.0,counter
56,3.0,cream
57,3.0,creat
58,3.0,critic
59,1.0,curd
60,1.0,cute
61,1.0,davidja54683793
62,1.0,dcucent
63,2.0,decid
64,2.0,delici
65,1.0,depth
66,1.0,derkacard
67,1.0,dh
68,1.0,dif
69,1.0,district
70,2.0,do
71,1.0,drdagarw
72,1.0,drdurolog
73,1.0,drink
74,1.0,drugwipeuk
75,5.0,ebay
76,1.0,edugift
77,1.0,english
78,1.0,ensanelybold
79,1.0,ensur
80,1.0,eon
81,1.0,europeelect
82,1.0,everthecraft
83,1.0,excess
84,1.0,exposur
85,1.0,fade
86,1.0,fair
87,2.0,favorit
88,3.0,festiv
89,1.0,fianc
90,5.0,found
91,2.0,freeosk
92,1.0,gooner
93,2.0,grow
94,1.0,guardian
95,1.0,handdream
96,1.0,handl
97,1.0,heebumie
98,1.0,highbal
99,1.0,hike
100,1.0,hinx
101,1.0,hold
102,1.0,hous
