,Count,Word
0,1.0,000yr
1,1.0,1012pm
2,1.0,1040a
3,1.0,10p
4,1.0,111_princess111
5,2.0,11am
6,1.0,11pm
7,1.0,12404but
8,1.0,12mph
9,1.0,12s
10,4.0,12th
11,1.0,13006pleas
12,1.0,130am
13,1.0,134340kgs
14,1.0,145th
15,1.0,14cent
16,1.0,14ft
17,1.0,1620pm
18,1.0,168th
19,1.0,16e
20,2.0,17s
21,1.0,17th
22,4.0,18yearold
23,3.0,1970s
24,1.0,19g
25,1.0,1audiomarc
26,1.0,1d
27,1.0,1gladi
28,1.0,1rst
29,1.0,1x
30,3.0,2000s
31,1.0,200b
32,1.0,200mm
33,1.0,2019ingo
34,1.0,20odd
35,1.0,20yd
36,1.0,24basand
37,1.0,24foot
38,2.0,26th
39,1.0,2m
40,1.0,2mlu
41,5.0,308saiga
42,5.0,30minut
43,1.0,30s
44,10.0,30th
45,1.0,30yr
46,1.0,31yearold
47,1.0,333am
48,1.0,3468marsh
49,1.0,347pm
50,1.0,35th
51,2.0,3hr
52,1.0,3hrs
53,1.0,3lincoln
54,1.0,47ksg2
55,3.0,4p
56,1.0,4way
57,1.0,4x4
58,1.0,4x4s
59,1.0,504pm
60,2.0,534ft
61,2.0,536pm
62,1.0,545am
63,1.0,559pm
64,4.0,5am
65,1.0,5pm
66,3.0,621pm
67,2.0,630pm
68,1.0,65k
69,1.0,6th
70,2.0,716pm
71,2.0,752pm
72,2.0,757pm
73,2.0,800k
74,4.0,80s
75,3.0,80th
76,1.0,838am
77,1.0,856am
78,1.0,8episod
79,1.0,92qjamsbmor
80,1.0,970m
81,1.0,9am5pm
82,1.0,___c_h_i_n_g___
83,1.0,_adamcrowley
84,1.0,_africanunion
85,1.0,_ant5400
86,1.0,_cindy_k
87,1.0,_coachtsmith
88,1.0,_dippstick_
89,2.0,_discernment_
90,1.0,_gman12
91,1.0,_icecooooold
92,1.0,_icze4r
93,2.0,_jamiewhyt
94,1.0,_leebret
95,1.0,_lewyjayi
96,1.0,_marlee_m
97,1.0,_mjbelik
98,2.0,_ourlittlesatan
99,1.0,_pinkydon_
100,1.0,_thomashh
101,1.0,a229
102,1.0,a_lost_futur
103,1.0,a_willert
104,1.0,aa
105,1.0,aaaaagghhhh
106,1.0,aaaaall
107,2.0,aaron
108,2.0,aaronbastani
109,2.0,aaronbronstet
110,1.0,abbyful
111,3.0,abc
112,1.0,abdomen
113,3.0,aberdeen
114,1.0,abevpdx
115,1.0,abfabtravel
116,73.0,aboard
117,11.0,about
118,2.0,abov
119,1.0,abraham
120,5.0,abroad
121,2.0,absent
122,1.0,absolutley
123,1.0,abstract
124,4.0,accent
125,5.0,accommod
126,1.0,accomod
127,1.0,accumul
128,1.0,acryl
129,1.0,ada
130,1.0,adamsgeog
131,1.0,adamvin
132,1.0,adamwhite908
133,5.0,addict
134,1.0,adirondackmoos
135,2.0,adjac
136,1.0,adjunctprofessr
137,1.0,adri_anon
138,1.0,adriandt31
139,2.0,advancedfit
140,1.0,adventurousk
141,1.0,advertisingtrain
142,11.0,advic
143,4.0,advisori
144,2.0,adwick
145,1.0,aeon
146,2.0,aerial
147,5.0,af
148,9.0,affect
149,1.0,aflbomberslion
150,1.0,afnanixvii
151,2.0,afro
152,1.0,afterangel_
153,1.0,aftertax
154,7.0,afterward
155,1.0,agap
156,1.0,agavecorn
157,1.0,agc
158,1.0,aggrav
159,1.0,agletterman
160,1.0,agnosticatheo
161,1.0,agnosticaussi
162,1.0,agogravi
163,1.0,ahaha
164,27.0,ahead
165,3.0,ahhh
166,1.0,aimsadvanc
167,1.0,aimvirtu
168,1.0,aircond
169,1.0,airmax
170,1.0,ajj
171,1.0,ak
172,2.0,akasha
173,1.0,alan244g
174,3.0,alanstweet
175,3.0,alberta
176,21.0,album
177,1.0,albumbyamericancountri
178,1.0,albuquerqu
179,2.0,albyselki
180,1.0,aleman
181,1.0,alexakabatman
182,1.0,alexandraerin
183,1.0,alexapreec
184,1.0,alf24
185,1.0,algernon
186,1.0,alhambra
187,1.0,alilsnack
188,1.0,alistairtaurus
189,3.0,allah
190,1.0,allahabadplz
191,4.0,allen
192,1.0,allergi
193,1.0,allon
194,1.0,allstarsentertain
195,1.0,allur
196,26.0,along
197,1.0,alphama_r6
198,1.0,alrightvill
199,1.0,alterhan
200,1.0,aluminum
201,1.0,alumsthank
202,1.0,alwayssunni
203,4.0,alyssa_milano
204,4.0,amandaasett
205,1.0,amandapalm
206,1.0,amandawinnle
207,1.0,amateur
208,1.0,amazlngnatur
209,2.0,amber
210,3.0,ambul
211,1.0,amdg
212,48.0,american
213,5.0,american2b
214,1.0,americath
215,1.0,americaunivers
216,1.0,amirforatl
217,1.0,amishcountri
218,1.0,amongst
219,1.0,amory_mil
220,1.0,ampmor
221,2.0,amritsar
222,1.0,amritsar_guwahati
223,2.0,amssm19
224,1.0,amtrackb
225,2.0,amywillraceamy1
226,1.0,ana
227,2.0,anacostia
228,1.0,anagrouv
229,1.0,andeanabyss
230,1.0,andnsndn
231,1.0,andrew_robison1
232,3.0,andrewgreene864
233,1.0,andrewneem
234,24.0,andrewyang
235,1.0,andy_watts80
236,1.0,andyfillmorehfx
237,9.0,angel
238,1.0,angelabeeker1
239,2.0,angellight2u
240,1.0,angelofmaga_
241,1.0,angiealsabrook
242,6.0,angri
243,1.0,angryandasian
244,1.0,anguish
245,2.0,angular
246,1.0,anim8d
247,1.0,animal251806005
248,1.0,anjunadeep
249,1.0,ankit9696
250,1.0,anna
251,1.0,annaeuss
252,1.0,annai
253,1.0,annan
254,2.0,annieashefield
255,1.0,annikun
256,1.0,annot
257,14.0,annoy
258,1.0,anondeplor
259,1.0,anotherlevel
260,1.0,answerit
261,1.0,anthem
262,1.0,anther
263,1.0,anthonyschein
264,3.0,antifa
265,1.0,antifascist
266,1.0,antitrump
267,1.0,anton
268,27.0,anymor
269,81.0,anyon
270,30.0,anywher
271,1.0,aoe
272,2.0,apach
273,1.0,apocalypt
274,20.0,apolog
275,5.0,appeal
276,8.0,appl
277,1.0,appleloosa
278,1.0,appleseed120
279,17.0,appli
280,1.0,apport
281,1.0,apprentic
282,14.0,approxim
283,1.0,april13
284,3.0,aqua
285,1.0,aramco
286,1.0,architect
287,3.0,architectur
288,2.0,archiv
289,1.0,archway
290,1.0,arduous
291,43.0,area
292,1.0,arealcutie_
293,2.0,arena
294,1.0,arentr
295,3.0,arizona
296,1.0,armaldo
297,10.0,arrest
298,4.0,arrog
299,1.0,arron_bank
300,4.0,arthur
301,2.0,articul
302,3.0,artifici
303,1.0,artillarywil
304,1.0,artisticdream79
305,1.0,arya
306,1.0,asf
307,1.0,ashjamesonxo
308,1.0,ashleighwignal
309,1.0,ashleylynch
310,1.0,ashlyambikha
311,4.0,asia
312,9.0,asian
313,116.0,ask
314,1.0,askrapidkl
315,3.0,asmsg
316,1.0,asoiaf
317,1.0,aspec
318,14.0,assang
319,1.0,assessor
320,1.0,asset
